compound_code	compound_name	cd630_clindamycin_score	escherichia_630_score	ratio	magnitude	interaction_score	percentile
C00027	Hydrogen_peroxide	-8.082	-7.392	0.62	438.935	-8.088	90.0
C00149	(S)-Malate	0.737	2.104	0.35	5.966	1.063	60.0
C02430	L-Methionyl-tRNA	-3.585	10.217	0.01	1202.21	-3.599	60.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-1.0	-9.574	0.003	764.186	-1.004	60.0
C14818	Fe2+	7.077	8.109	0.873	411.108	8.487	90.0
C00437	N-Acetylornithine	1.0	-2.773	0.293	8.835	-1.37	60.0
C01451	Salicin	4.087	6.57	0.622	112.004	6.123	70.0
C01024	Hydroxymethylbilane	-3.807	-7.492	0.078	194.015	-3.915	60.0
C00826	L-Arogenate	1.0	8.224	0.122	301.0	5.194	70.0
C00469	Ethanol	5.768	11.009	0.524	2115.309	10.114	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-3.459	-6.17	0.153	83.0	-3.664	60.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	4.0	-6.883	0.136	134.029	-4.183	70.0
C01185	Nicotinate_D-ribonucleotide	4.585	8.391	0.546	359.694	7.619	80.0
C15812	[Enzyme]-S-sulfanylcysteine	-4.524	7.687	0.112	229.078	-4.677	70.0
C05752	Octanoyl-[acp]	4.459	10.17	0.438	1174.053	9.008	90.0
C00794	D-Sorbitol	4.609	-12.275	0.005	4980.539	-4.616	70.0
C05840	Iminoaspartate	-1.0	-5.392	0.048	43.991	-1.067	60.0
C00227	Acetyl_phosphate	0.429	-8.713	0.003	420.984	-0.434	60.0
C00226	Primary_alcohol	5.768	11.009	0.524	2115.309	10.114	90.0
C00221	beta-D-Glucose	4.954	-9.646	0.039	832.185	-5.009	80.0
C00385	Xanthine	-3.246	-6.07	0.141	76.669	-3.437	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	4.459	10.17	0.438	1174.053	9.008	90.0
C00229	Acyl-carrier_protein	3.0	7.349	0.408	171.031	6.126	70.0
C00499	Allantoate	3.907	-6.943	0.122	138.043	-4.073	60.0
C00546	Methylglyoxal	-4.954	-6.7	0.298	134.964	-5.33	80.0
C00364	dTMP	-3.322	7.489	0.056	189.645	-3.4	50.0
C00365	dUMP	1.874	-7.426	0.021	175.634	-1.904	50.0
C00363	dTDP	-2.585	7.508	0.033	188.026	-2.632	50.0
C00009	Orthophosphate	-4.585	-7.6	0.124	218.012	-4.753	70.0
C00008	ADP	-5.585	-8.687	0.116	460.144	-5.744	80.0
C00007	Oxygen	8.082	7.392	0.915	438.935	8.649	90.0
C00006	NADP+	-4.0	6.897	0.134	135.18	-4.182	70.0
C00003	NAD+	-2.222	-8.335	0.014	327.578	-2.243	50.0
C00002	ATP	5.846	8.725	0.67	480.663	8.331	90.0
C00369	Starch	4.555	6.077	0.75	91.015	6.092	70.0
C00376	Retinal	-3.7	-7.435	0.075	186.041	-3.804	60.0
C16619	6-Thioguanosine_monophosphate	-5.022	-8.622	0.082	426.478	-5.136	80.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-4.322	-8.622	0.051	413.987	-4.393	70.0
C16614	6-Methylmercaptopurine	4.322	8.622	0.501	413.987	7.697	80.0
C00645	N-Acetyl-D-mannosamine	-2.248	-8.196	0.016	298.003	-2.271	50.0
C00099	beta-Alanine	-1.503	-6.769	0.026	111.896	-1.54	60.0
C00310	D-Xylulose	-3.17	-7.366	0.055	173.964	-3.247	50.0
C00641	1,2-Diacyl-sn-glycerol	3.036	8.531	0.356	378.104	7.072	80.0
C01931	L-Lysyl-tRNA	-6.109	-8.57	0.182	449.061	-6.35	90.0
C01528	Hydrogen_selenide	-8.358	8.919	0.678	812.148	-9.105	90.0
C00091	Succinyl-CoA	6.183	9.056	0.683	604.92	8.69	90.0
C00092	D-Glucose_6-phosphate	-6.674	-8.234	0.339	403.191	-7.095	90.0
C00093	sn-Glycerol_3-phosphate	3.967	-9.444	0.022	712.148	-3.999	60.0
C00094	Sulfite	-1.353	-6.167	0.036	74.409	-1.403	60.0
C00095	D-Fructose	-1.7	8.6	0.008	391.272	-1.712	50.0
C14099	2-Naphthaldehyde	-5.768	-11.009	0.026	2115.309	-5.806	90.0
C06311	Galactitol_1-phosphate	-4.891	6.989	0.234	156.699	-5.194	80.0
C14090	1-Naphthaldehyde	-5.768	-11.009	0.026	2115.309	-5.806	90.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	3.322	-8.285	0.032	321.914	-3.368	50.0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	1.0	9.574	0.104	764.186	6.319	70.0
C05775	alpha-Ribazole	-1.585	8.267	0.01	311.046	-1.599	50.0
C00166	Phenylpyruvate	4.713	-5.177	0.725	62.404	-5.5	80.0
C00167	UDP-glucuronate	-4.248	7.044	0.144	150.965	-4.442	70.0
C02988	L-Histidyl-tRNA(His)	-4.585	-9.185	0.041	606.051	-4.643	70.0
C00163	Propanoate	6.585	9.852	0.668	1020.163	9.413	90.0
C02984	L-Aspartyl-tRNA(Asp)	-5.129	-9.32	0.055	674.138	-5.206	80.0
C02987	L-Glutamyl-tRNA(Glu)	-4.248	8.539	0.051	390.96	-4.32	70.0
C03263	Coproporphyrinogen_III	4.459	-6.392	0.262	105.975	-4.795	80.0
C02047	L-Leucyl-tRNA	-5.248	-9.157	0.067	608.865	-5.341	80.0
C03082	4-Phospho-L-aspartate	-2.07	-8.119	0.015	282.21	-2.092	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	4.087	7.547	0.542	204.008	6.788	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-6.985	-10.143	0.112	1257.376	-7.138	90.0
C00860	L-Histidinol	-2.585	-7.972	0.024	257.08	-2.619	50.0
C02962	D-Allose_6-phosphate	5.285	6.409	0.825	123.966	6.676	80.0
C00864	Pantothenate	4.392	-8.468	0.059	375.092	-4.475	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	1.524	8.224	0.185	301.876	5.806	70.0
C01419	Cys-Gly	6.622	9.22	0.718	694.84	8.963	90.0
C01412	Butanal	6.585	12.536	0.525	6034.985	11.63	90.0
C06510	Adenosine-GDP-cobinamide	-3.0	5.644	0.16	58.005	-3.214	50.0
C03561	(R)-3-Hydroxybutanoyl-CoA	8.093	-8.364	0.829	602.515	-8.964	90.0
C03406	N-(L-Arginino)succinate	-3.17	-6.443	0.103	96.004	-3.312	50.0
C05512	Deoxyinosine	4.248	-8.48	0.053	376.055	-4.323	70.0
C07645	Aldophosphamide	3.7	9.367	0.395	673.306	8.055	80.0
C07648	Thioguanine	4.322	8.622	0.501	413.987	7.697	80.0
C00327	L-Citrulline	3.104	7.055	0.44	141.572	5.961	70.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-1.585	-8.0	0.012	259.0	-1.602	50.0
C02463	Precorrin_2	1.585	-8.704	0.007	420.028	-1.595	50.0
C05269	3-Oxohexanoyl-CoA	-8.326	-2.755	0.021	327.655	-2.785	50.0
C18096	D-Allulose_6-phosphate	-5.285	-6.409	0.459	123.966	-5.83	90.0
C00269	CDP-diacylglycerol	1.322	-7.313	0.016	161.513	-1.345	60.0
C16219	3-Oxostearoyl-[acp]	-4.524	10.621	0.015	1597.858	-4.545	70.0
C00262	Hypoxanthine	3.03	9.248	0.328	616.199	7.657	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.17	-11.413	0.013	2762.815	-5.189	80.0
C16216	3-Oxostearoyl-CoA	5.17	11.413	0.453	2762.815	10.289	90.0
C00267	alpha-D-Glucose	4.065	7.013	0.58	145.896	6.402	70.0
C00266	Glycolaldehyde	-4.0	-10.081	0.015	1099.137	-4.021	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.322	9.685	0.012	833.144	-3.339	50.0
C00286	dGTP	-5.069	-8.882	0.071	505.357	-5.168	80.0
C00283	Hydrogen_sulfide	2.301	4.621	0.498	29.535	3.878	70.0
C00288	HCO3-	5.629	-8.647	0.123	450.36	-5.797	90.0
C04051	5-Amino-4-imidazolecarboxyamide	-4.087	-8.488	0.047	376.034	-4.154	70.0
C01209	Malonyl-[acyl-carrier_protein]	4.226	10.17	0.416	1170.773	8.926	90.0
C00217	D-Glutamate	3.824	7.262	0.527	167.652	6.464	70.0
C00212	Adenosine	4.059	2.874	0.708	23.999	4.087	70.0
C00036	Oxaloacetate	4.311	8.5	0.507	381.888	7.598	80.0
C00037	Glycine	-2.818	7.97	0.028	257.783	-2.858	50.0
C00035	GDP	-4.591	-9.649	0.03	826.958	-4.634	70.0
C00033	Acetate	6.337	8.313	0.762	398.866	8.248	90.0
C00031	D-Glucose	4.278	-9.88	0.021	961.672	-4.307	70.0
C00136	Butanoyl-CoA	6.418	-11.435	0.031	2854.222	-6.462	90.0
C00135	L-Histidine	4.248	9.185	0.462	601.051	8.119	80.0
C00134	Putrescine	2.874	-4.122	0.421	24.743	-3.381	50.0
C00133	D-Alanine	-7.068	10.091	0.123	1224.848	-7.235	90.0
C00131	dATP	-2.558	-7.986	0.023	259.417	-2.591	50.0
C00130	IMP	-0.7	-5.529	0.035	47.798	-0.75	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-3.443	-8.84	0.024	469.128	-3.477	50.0
