compound_code	compound_name	escherichia_630_score	cd630_clindamycin_score	ratio	magnitude	interaction_score	percentile
C00027	Hydrogen_peroxide	-7.392	-8.082	0.62	438.935	-8.088	90.0
C00026	2-Oxoglutarate	9.139	-5.819	0.1	620.238	-5.957	90.0
C02430	L-Methionyl-tRNA	10.217	-3.585	0.01	1202.21	-3.599	60.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-9.574	-1.0	0.003	764.186	-1.004	60.0
C14818	Fe2+	8.109	7.077	0.873	411.108	8.487	90.0
C00437	N-Acetylornithine	-2.773	1.0	0.293	8.835	-1.37	60.0
C01451	Salicin	6.57	4.087	0.622	112.004	6.123	70.0
C01024	Hydroxymethylbilane	-7.492	-3.807	0.078	194.015	-3.915	60.0
C00826	L-Arogenate	8.224	1.0	0.122	301.0	5.194	70.0
C00469	Ethanol	11.009	5.768	0.524	2115.309	10.114	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-6.17	-3.459	0.153	83.0	-3.664	60.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-6.883	4.0	0.136	134.029	-4.183	70.0
C01185	Nicotinate_D-ribonucleotide	8.391	4.585	0.546	359.694	7.619	80.0
C15812	[Enzyme]-S-sulfanylcysteine	7.687	-4.524	0.112	229.078	-4.677	70.0
C05752	Octanoyl-[acp]	10.17	4.459	0.438	1174.053	9.008	90.0
C00794	D-Sorbitol	-12.275	4.609	0.005	4980.539	-4.616	70.0
C00227	Acetyl_phosphate	-8.713	0.429	0.003	420.984	-0.434	60.0
C00226	Primary_alcohol	11.009	5.768	0.524	2115.309	10.114	90.0
C00221	beta-D-Glucose	-9.646	4.954	0.039	832.185	-5.009	80.0
C00385	Xanthine	-6.07	-3.246	0.141	76.669	-3.437	50.0
C00387	Guanosine	-8.399	4.682	0.076	363.23	-4.788	80.0
C00229	Acyl-carrier_protein	7.349	3.0	0.408	171.031	6.126	70.0
C00882	Dephospho-CoA	8.006	2.322	0.29	262.067	6.248	70.0
C00546	Methylglyoxal	-6.7	-4.954	0.298	134.964	-5.33	80.0
C00364	dTMP	7.489	-3.322	0.056	189.645	-3.4	50.0
C00365	dUMP	-7.426	1.874	0.021	175.634	-1.904	50.0
C00363	dTDP	7.508	-2.585	0.033	188.026	-2.632	50.0
C00009	Orthophosphate	-7.6	-4.585	0.124	218.012	-4.753	70.0
C00008	ADP	-8.687	-5.585	0.116	460.144	-5.744	80.0
C00007	Oxygen	7.392	8.082	0.915	438.935	8.649	90.0
C00006	NADP+	6.897	-4.0	0.134	135.18	-4.182	70.0
C00003	NAD+	-8.335	-2.222	0.014	327.578	-2.243	50.0
C00002	ATP	8.725	5.846	0.67	480.663	8.331	90.0
C00369	Starch	6.077	4.555	0.75	91.015	6.092	70.0
C00376	Retinal	-7.435	-3.7	0.075	186.041	-3.804	60.0
C16619	6-Thioguanosine_monophosphate	-8.622	-5.022	0.082	426.478	-5.136	80.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-8.622	-4.322	0.051	413.987	-4.393	70.0
C16614	6-Methylmercaptopurine	8.622	4.322	0.501	413.987	7.697	80.0
C00645	N-Acetyl-D-mannosamine	-8.196	-2.248	0.016	298.003	-2.271	50.0
C00099	beta-Alanine	-6.769	-1.503	0.026	111.896	-1.54	60.0
C00310	D-Xylulose	-7.366	-3.17	0.055	173.964	-3.247	50.0
C00641	1,2-Diacyl-sn-glycerol	8.531	3.036	0.356	378.104	7.072	80.0
C01931	L-Lysyl-tRNA	-8.57	-6.109	0.182	449.061	-6.35	90.0
C00314	Pyridoxine	-6.759	2.807	0.065	115.307	-2.897	50.0
C00091	Succinyl-CoA	9.056	6.183	0.683	604.92	8.69	90.0
C00092	D-Glucose_6-phosphate	-8.234	-6.674	0.339	403.191	-7.095	90.0
C00093	sn-Glycerol_3-phosphate	-9.444	3.967	0.022	712.148	-3.999	60.0
C00094	Sulfite	-6.167	-1.353	0.036	74.409	-1.403	60.0
C00095	D-Fructose	8.6	-1.7	0.008	391.272	-1.712	50.0
C14099	2-Naphthaldehyde	-11.009	-5.768	0.026	2115.309	-5.806	90.0
C06311	Galactitol_1-phosphate	6.989	-4.891	0.234	156.699	-5.194	80.0
C14090	1-Naphthaldehyde	-11.009	-5.768	0.026	2115.309	-5.806	90.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-8.285	3.322	0.032	321.914	-3.368	50.0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	9.574	1.0	0.104	764.186	6.319	70.0
C05775	alpha-Ribazole	8.267	-1.585	0.01	311.046	-1.599	50.0
C00166	Phenylpyruvate	-5.177	4.713	0.725	62.404	-5.5	80.0
C00167	UDP-glucuronate	7.044	-4.248	0.144	150.965	-4.442	70.0
C02988	L-Histidyl-tRNA(His)	-9.185	-4.585	0.041	606.051	-4.643	70.0
C00163	Propanoate	9.852	6.585	0.668	1020.163	9.413	90.0
C02984	L-Aspartyl-tRNA(Asp)	-9.32	-5.129	0.055	674.138	-5.206	80.0
C02987	L-Glutamyl-tRNA(Glu)	8.539	-4.248	0.051	390.96	-4.32	70.0
C03263	Coproporphyrinogen_III	-6.392	4.459	0.262	105.975	-4.795	80.0
C02047	L-Leucyl-tRNA	-9.157	-5.248	0.067	608.865	-5.341	80.0
C03082	4-Phospho-L-aspartate	-8.119	-2.07	0.015	282.21	-2.092	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	7.547	4.087	0.542	204.008	6.788	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-10.143	-6.985	0.112	1257.376	-7.138	90.0
C00860	L-Histidinol	-7.972	-2.585	0.024	257.08	-2.619	50.0
C02962	D-Allose_6-phosphate	6.409	5.285	0.825	123.966	6.676	80.0
C00864	Pantothenate	-8.468	4.392	0.059	375.092	-4.475	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	8.224	1.524	0.185	301.876	5.806	70.0
C01419	Cys-Gly	9.22	6.622	0.718	694.84	8.963	90.0
C01412	Butanal	12.536	6.585	0.525	6034.985	11.63	90.0
C06510	Adenosine-GDP-cobinamide	5.644	-3.0	0.16	58.005	-3.214	50.0
C03561	(R)-3-Hydroxybutanoyl-CoA	-8.364	8.093	0.829	602.515	-8.964	90.0
C03406	N-(L-Arginino)succinate	-6.443	-3.17	0.103	96.004	-3.312	50.0
C05512	Deoxyinosine	-8.48	4.248	0.053	376.055	-4.323	70.0
C07645	Aldophosphamide	9.367	3.7	0.395	673.306	8.055	80.0
C07648	Thioguanine	8.622	4.322	0.501	413.987	7.697	80.0
C00327	L-Citrulline	7.055	3.104	0.44	141.572	5.961	70.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-8.0	-1.585	0.012	259.0	-1.602	50.0
C02463	Precorrin_2	-8.704	1.585	0.007	420.028	-1.595	50.0
C05269	3-Oxohexanoyl-CoA	-2.755	-8.326	0.021	327.655	-2.785	50.0
C18096	D-Allulose_6-phosphate	-6.409	-5.285	0.459	123.966	-5.83	90.0
C00269	CDP-diacylglycerol	-7.313	1.322	0.016	161.513	-1.345	60.0
C16219	3-Oxostearoyl-[acp]	10.621	-4.524	0.015	1597.858	-4.545	70.0
C00262	Hypoxanthine	9.248	3.03	0.328	616.199	7.657	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-11.413	-5.17	0.013	2762.815	-5.189	80.0
C16216	3-Oxostearoyl-CoA	11.413	5.17	0.453	2762.815	10.289	90.0
C00267	alpha-D-Glucose	7.013	4.065	0.58	145.896	6.402	70.0
C00266	Glycolaldehyde	-10.081	-4.0	0.015	1099.137	-4.021	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	9.685	-3.322	0.012	833.144	-3.339	50.0
C00286	dGTP	-8.882	-5.069	0.071	505.357	-5.168	80.0
C00283	Hydrogen_sulfide	4.621	2.301	0.498	29.535	3.878	70.0
C00288	HCO3-	-8.647	5.629	0.123	450.36	-5.797	90.0
