compound_code	compound_name	clostridium_630_score	cd630_cefoperazone_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-0.759	-4.376	0.0	0.0	0.0	50.0
C00024	Acetyl-CoA	5.752	-7.807	0.241	277.837	-6.063	90.0
C00148	L-Proline	-3.907	9.076	0.028	554.696	-3.947	80.0
C05528	3-Sulfopyruvate	-5.883	-7.581	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-4.0	-7.087	0.0	0.0	0.0	50.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	4.585	4.248	0.926	43.002	5.316	80.0
C00352	D-Glucosamine_6-phosphate	-0.415	-5.805	0.0	0.0	0.0	50.0
C00022	Pyruvate	-1.052	-6.921	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	3.045	-4.686	0.321	33.995	-3.446	80.0
C00029	UDP-glucose	4.35	-3.744	0.657	33.791	-4.473	80.0
C00144	GMP	-3.74	-5.433	0.0	0.0	0.0	50.0
C01100	L-Histidinol_phosphate	2.322	4.196	0.553	23.329	3.69	70.0
C00026	2-Oxoglutarate	3.641	-4.713	0.476	38.703	-4.202	80.0
C14089	1-Hydroxymethylnaphthalene	3.209	9.569	0.335	768.796	8.01	90.0
C00275	D-Mannose_6-phosphate	4.755	-6.451	0.309	114.489	-5.143	90.0
C00944	3-Dehydroquinate	-3.7	-3.7	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.737	3.503	0.294	14.671	-2.109	70.0
C00021	S-Adenosyl-L-homocysteine	-4.0	5.087	0.471	49.989	-4.557	80.0
C05402	Melibiose	-0.737	-1.0	0.0	0.0	0.0	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-1.585	-1.0	0.0	0.0	0.0	50.0
C00020	AMP	0.222	6.642	0.033	101.038	1.756	60.0
C05729	R-S-Cysteinylglycine	4.248	7.397	0.574	187.547	6.751	90.0
C00433	2,5-Dioxopentanoate	3.17	3.0	0.946	17.0	4.008	70.0
C11437	1-Deoxy-D-xylulose_5-phosphate	2.322	-0.585	0.3	6.5	-0.964	70.0
C11355	4-Amino-4-deoxychorismate	4.644	-2.322	0.2	30.003	-2.585	70.0
C05684	Selenite	8.986	9.412	0.955	1188.286	10.148	90.0
C01081	Thiamin_monophosphate	-2.585	-1.585	0.0	0.0	0.0	50.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.524	2.322	0.92	10.752	3.306	70.0
C02336	beta-D-Fructose	2.536	2.322	0.916	10.8	3.306	70.0
C05726	S-Substituted_L-cysteine	-4.248	-7.488	0.0	0.0	0.0	50.0
C00416	Phosphatidate	-5.295	5.07	0.856	72.851	-5.962	90.0
C00705	dCDP	3.17	3.036	0.958	17.203	4.042	70.0
C03090	5-Phosphoribosylamine	-4.678	3.485	0.437	36.795	-4.008	80.0
C01181	4-Trimethylammoniobutanoate	-3.17	-3.0	0.0	0.0	0.0	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	5.129	3.0	0.585	42.993	4.652	80.0
C00232	Succinate_semialdehyde	-4.555	-5.524	0.0	0.0	0.0	50.0
C06002	(S)-Methylmalonate_semialdehyde	3.17	3.0	0.946	17.0	4.008	70.0
C01185	Nicotinate_D-ribonucleotide	-3.0	5.7	0.154	59.984	-3.207	80.0
C00235	Dimethylallyl_diphosphate	-5.706	-3.7	0.0	0.0	0.0	50.0
C01613	Stachyose	0.737	1.0	0.737	3.667	1.434	60.0
C18902	Methylselenic_acid	8.986	9.412	0.955	1188.286	10.148	90.0
C00010	CoA	4.459	-7.622	0.112	218.986	-4.612	90.0
C00818	D-Glucarate	-3.17	-3.0	0.0	0.0	0.0	50.0
C00062	L-Arginine	6.426	4.939	0.769	116.659	6.486	90.0
C00014	Ammonia	5.802	-6.987	0.44	182.644	-6.328	90.0
C00015	UDP	3.0	-5.812	0.142	64.181	-3.192	70.0
C00054	Adenosine_3',5'-bisphosphate	-4.459	-4.954	0.0	0.0	0.0	50.0
C04419	Carboxybiotin-carboxyl-carrier_protein	-7.271	-5.2	0.0	0.0	0.0	50.0
C05823	3-Mercaptolactate	-4.585	-4.248	0.0	0.0	0.0	50.0
C00493	Shikimate	0.341	0.341	1.0	2.533	1.341	60.0
C00155	L-Homocysteine	-2.17	2.858	0.621	11.75	-2.867	70.0
