Compound_code	Metabolite_name	Importance_score	p_value
C05528	3-Sulfopyruvate	0.0	n.s.
C05527	3-Sulfinylpyruvate	0.0	n.s.
C00149	(S)-Malate	6.895	n.s.
C00944	3-Dehydroquinate	0.0	n.s.
C05356	5(S)-HPETE	0.0	n.s.
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	11.324	<0.05
C02430	L-Methionyl-tRNA	5.492	n.s.
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-8.093	n.s.
C14819	Fe3+	0.0	n.s.
C14818	Fe2+	6.658	n.s.
C00436	N-Carbamoylputrescine	0.0	n.s.
C00827	Lactoyl-CoA	0.0	n.s.
C00826	L-Arogenate	0.0	n.s.
C00741	Diacetyl	-10.842	<0.05
C00534	Pyridoxamine	0.0	n.s.
C06126	Digalactosylceramide	10.292	<0.05
C01181	4-Trimethylammoniobutanoate	0.0	n.s.
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-8.87	n.s.
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-8.248	n.s.
C01185	Nicotinate_D-ribonucleotide	8.2	n.s.
C06128	GM4	8.954	n.s.
C15812	[Enzyme]-S-sulfanylcysteine	-9.568	n.s.
C15813	C15813	0.0	n.s.
C15811	[Enzyme]-cysteine	9.96	n.s.
C15814	C15814	0.0	n.s.
C03160	2-Succinylbenzoyl-CoA	-3.585	n.s.
C16688	Sucrose_6-phosphate	-10.715	<0.05
C05752	Octanoyl-[acp]	-6.209	n.s.
C00794	D-Sorbitol	7.943	n.s.
C02067	Pseudouridine	8.371	n.s.
C00798	Formyl-CoA	0.0	n.s.
C00227	Acetyl_phosphate	-8.624	<0.05
C00226	Primary_alcohol	11.476	<0.05
C01236	D-Glucono-1,5-lactone_6-phosphate	9.468	n.s.
C00221	beta-D-Glucose	-10.161	<0.05
C00385	Xanthine	-6.268	n.s.
C00387	Guanosine	8.036	n.s.
C02504	alpha-Isopropylmalate	0.0	n.s.
C02505	2-Phenylacetamide	7.484	n.s.
C00229	Acyl-carrier_protein	-4.322	n.s.
C00380	Cytosine	0.0	n.s.
C00508	L-Ribulose	-7.375	n.s.
C00366	Urate	0.0	<0.05
C01801	Deoxyribose	10.209	n.s.
C00364	dTMP	-5.248	n.s.
C00365	dUMP	-8.244	n.s.
C00362	dGMP	-7.238	n.s.
C00363	dTDP	9.331	n.s.
C00360	dAMP	0.0	n.s.
C00008	ADP	-9.806	<0.05
C05831	3-Methoxyanthranilate	0.0	n.s.
C00006	NADP+	9.351	n.s.
C00005	NADPH	-9.725	n.s.
C00003	NAD+	-3.35	n.s.
C00002	ATP	-9.623	<0.05
C00369	Starch	9.029	n.s.
C05703	Methaneselenol	-10.057	n.s.
C04088	Octadecanoyl-[acyl-carrier_protein]	-7.87	n.s.
C00632	3-Hydroxyanthranilate	0.0	n.s.
C03586	2-Oxo-2,3-dihydrofuran-5-acetate	-7.577	n.s.
C16619	6-Thioguanosine_monophosphate	-8.714	n.s.
C16618	6-Thioxanthine_5'-monophosphate	7.96	n.s.
C02612	(R)-2-Methylmalate	0.0	<0.05
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-8.476	n.s.
C16614	6-Methylmercaptopurine	8.476	n.s.
C00645	N-Acetyl-D-mannosamine	-8.481	n.s.
C00644	D-Mannitol_1-phosphate	-7.257	n.s.
C00647	Pyridoxamine_phosphate	0.0	n.s.
C00310	D-Xylulose	0.0	n.s.
C00641	1,2-Diacyl-sn-glycerol	7.493	n.s.
C01931	L-Lysyl-tRNA	-8.618	n.s.
C00314	Pyridoxine	11.461	<0.05
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1.0	n.s.
C00092	D-Glucose_6-phosphate	-10.731	<0.05
C00093	sn-Glycerol_3-phosphate	5.97	n.s.
C00095	D-Fructose	8.481	n.s.
C00096	GDP-mannose	10.353	<0.05
C00097	L-Cysteine	-8.305	n.s.
C14099	2-Naphthaldehyde	-11.476	<0.05
C06311	Galactitol_1-phosphate	0.0	<0.05
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-7.79	n.s.
C14090	1-Naphthaldehyde	-11.476	<0.05
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-8.963	n.s.
C02282	Glutaminyl-tRNA	8.667	n.s.
C06196	2'-Deoxyinosine_5'-phosphate	-10.115	n.s.
C03232	3-Phosphonooxypyruvate	7.162	n.s.
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	n.s.
C05172	Selenophosphoric_acid	0.0	n.s.
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	7.248	n.s.
C11949	3-Isopropylbut-3-enoyl-CoA	-7.248	n.s.
C06199	Hordenine	0.0	n.s.
C07118	Benzoyl_acetyl-CoA	7.248	n.s.
C14762	13(S)-HODE	9.861	n.s.
C00870	4-Nitrophenol	-8.248	n.s.
C14765	13-OxoODE	-9.861	n.s.
C00166	Phenylpyruvate	0.0	n.s.
C00167	UDP-glucuronate	0.0	n.s.
C00160	Glycolate	-9.278	n.s.
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-5.044	n.s.
C00162	Fatty_acid	0.0	n.s.
C00163	Propanoate	9.19	n.s.
C02984	L-Aspartyl-tRNA(Asp)	-8.883	n.s.
C02987	L-Glutamyl-tRNA(Glu)	-8.468	n.s.
C00438	N-Carbamoyl-L-aspartate	-5.57	n.s.
C02047	L-Leucyl-tRNA	-7.943	n.s.
C03082	4-Phospho-L-aspartate	7.421	n.s.
C04377	5,10-Methylenetetrahydromethanopterin	-9.855	n.s.
C04376	5'-Phosphoribosyl-N-formylglycinamide	7.19	n.s.
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	5.948	n.s.
C03089	5-Methylthio-D-ribose	0.0	n.s.
C00860	L-Histidinol	0.0	n.s.
C02962	D-Allose_6-phosphate	0.0	n.s.
C00864	Pantothenate	7.422	n.s.
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.0	n.s.
C01380	Ethylene_glycol	0.0	n.s.
C00906	5,6-Dihydrothymine	0.0	n.s.
C01419	Cys-Gly	6.672	n.s.
C03360	4-Nitrophenyl_phosphate	8.248	n.s.
C01149	4-Trimethylammoniobutanal	0.0	n.s.
C01412	Butanal	10.781	<0.05
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-7.541	n.s.
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	7.109	n.s.
C01143	(R)-5-Diphosphomevalonate	5.592	n.s.
C06040	Diglucosyl-diacylglycerol	-10.353	<0.05
C03402	L-Asparaginyl-tRNA(Asn)	-8.015	n.s.
C17962	Demethylphosphinothricin	7.418	n.s.
C03406	N-(L-Arginino)succinate	-3.7	n.s.
C05512	Deoxyinosine	6.451	n.s.
C07645	Aldophosphamide	11.324	<0.05
C07648	Thioguanine	8.476	n.s.
C05519	L-Allothreonine	0.0	n.s.
C00327	L-Citrulline	7.106	n.s.
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	7.735	n.s.
C05269	3-Oxohexanoyl-CoA	0.0	n.s.
C00695	Cholic_acid	-7.687	n.s.
C18096	D-Allulose_6-phosphate	0.0	n.s.
C00269	CDP-diacylglycerol	-6.119	n.s.
