compound_code	compound_name	lactobacillus_mock_score	escherichia_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	8.379	0.944	0.113	334.837	5.237	70.0
C00024	Acetyl-CoA	-12.297	5.82	0.011	5088.785	-5.836	90.0
C00148	L-Proline	7.354	0.737	0.1	165.263	4.05	70.0
C00026	2-Oxoglutarate	7.684	0.907	0.118	207.518	4.614	70.0
C06481	L-Seryl-tRNA(Sec)	-10.333	1.0	0.002	1291.861	-1.002	70.0
C00352	D-Glucosamine_6-phosphate	-7.931	-1.415	0.0	0.0	0.0	50.0
C00022	Pyruvate	-6.079	-5.431	0.0	0.0	0.0	50.0
C14899	3-Dehydro-L-gulonate_6-phosphate	-8.214	-1.0	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	6.289	0.48	0.076	79.59	2.603	60.0
C00029	UDP-glucose	-10.612	-0.7	0.0	0.0	0.0	50.0
C00147	Adenine	7.808	0.222	0.028	225.267	2.679	60.0
C00144	GMP	7.799	-0.485	0.006	224.106	-0.494	70.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-9.755	-1.585	0.0	0.0	0.0	50.0
C01101	L-Ribulose_5-phosphate	7.168	-0.918	0.013	145.697	-0.937	70.0
C00149	(S)-Malate	7.775	-4.503	0.104	241.707	-4.645	90.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	6.768	1.585	0.234	111.986	4.713	70.0
C00275	D-Mannose_6-phosphate	-13.74	-1.322	0.0	0.0	0.0	50.0
C05400	Epimelibiose	9.755	1.585	0.162	867.067	7.138	80.0
C00344	Phosphatidylglycerol	6.322	1.0	0.158	82.004	3.697	60.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	9.702	2.0	0.206	836.9	7.431	90.0
C02430	L-Methionyl-tRNA	4.392	2.0	0.455	24.995	3.509	60.0
C01762	Xanthosine	9.073	-1.222	0.004	540.906	-1.228	80.0
C00345	6-Phospho-D-gluconate	10.07	-1.0	0.002	1076.91	-1.003	70.0
C05729	R-S-Cysteinylglycine	7.16	1.222	0.171	145.345	4.633	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-8.836	-0.893	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-8.444	-1.322	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	8.96	-1.0	0.004	499.999	-1.006	70.0
C00644	D-Mannitol_1-phosphate	-8.055	-1.0	0.0	0.0	0.0	50.0
C16221	(2E)-Octadecenoyl-[acp]	-7.788	-2.322	0.0	0.0	0.0	50.0
C01228	Guanosine_3',5'-bis(diphosphate)	-8.735	1.0	0.005	428.086	-1.007	70.0
C03291	L-Xylulose_5-phosphate	-3.822	-1.0	0.0	0.0	0.0	50.0
C05726	S-Substituted_L-cysteine	-7.16	-1.222	0.0	0.0	0.0	50.0
C06126	Digalactosylceramide	9.755	1.585	0.162	867.067	7.138	80.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-8.858	-1.585	0.0	0.0	0.0	50.0
C00705	dCDP	7.923	0.322	0.041	243.945	3.309	60.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-9.899	6.392	0.088	1038.745	-6.514	90.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-9.165	-1.0	0.0	0.0	0.0	50.0
C01344	dIDP	10.561	1.0	0.095	1512.698	7.162	90.0
C01185	Nicotinate_D-ribonucleotide	8.875	1.138	0.128	471.707	5.919	70.0
C01613	Stachyose	9.662	1.585	0.164	813.125	7.059	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-7.898	-1.585	0.0	0.0	0.0	50.0
C15812	[Enzyme]-S-sulfanylcysteine	-9.576	1.0	0.003	765.244	-1.004	70.0
C02839	L-Tyrosyl-tRNA(Tyr)	-9.285	-1.585	0.0	0.0	0.0	50.0
C00014	Ammonia	6.411	1.513	0.236	87.949	4.375	70.0
C00015	UDP	6.17	-1.585	0.042	75.004	-1.644	90.0
