compound_code	compound_name	cd630_streptomycin_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-9.347	-3.322	0.0	0.0	0.0	50.0
C00149	(S)-Malate	1.415	5.426	0.261	45.659	3.574	60.0
C00944	3-Dehydroquinate	-3.17	1.585	0.333	12.001	-2.0	70.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	5.285	11.379	0.464	2702.291	10.294	90.0
C02430	L-Methionyl-tRNA	-4.585	-8.155	0.0	0.0	0.0	50.0
C14819	Fe3+	-8.755	-4.7	0.0	0.0	0.0	50.0
C00433	2,5-Dioxopentanoate	2.807	3.0	0.936	14.998	3.811	60.0
C00438	N-Carbamoyl-L-aspartate	-5.17	-4.209	0.0	0.0	0.0	50.0
C00826	L-Arogenate	2.807	3.322	0.845	16.999	3.844	70.0
C00469	Ethanol	10.223	11.713	0.873	4552.27	11.956	90.0
C01181	4-Trimethylammoniobutanoate	-2.807	-3.0	0.0	0.0	0.0	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	4.17	-9.796	0.02	906.977	-4.199	70.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	5.555	-8.011	0.182	304.973	-5.797	80.0
C01185	Nicotinate_D-ribonucleotide	6.276	8.56	0.733	454.906	8.382	80.0
C15812	[Enzyme]-S-sulfanylcysteine	-6.714	-8.6	0.0	0.0	0.0	50.0
C15811	[Enzyme]-cysteine	7.033	9.472	0.743	841.121	9.287	90.0
C16688	Sucrose_6-phosphate	-1.0	-10.677	0.0	0.0	0.0	50.0
C05752	Octanoyl-[acp]	5.755	-7.741	0.252	267.935	-6.08	90.0
C00794	D-Sorbitol	8.912	-5.883	0.123	540.718	-6.05	90.0
C16219	3-Oxostearoyl-[acp]	-5.7	9.518	0.071	785.152	-5.799	80.0
C00227	Acetyl_phosphate	-3.236	-8.495	0.0	0.0	0.0	50.0
C00226	Primary_alcohol	10.223	11.713	0.873	4552.27	11.956	90.0
C00221	beta-D-Glucose	5.044	-10.157	0.029	1174.716	-5.085	80.0
C00385	Xanthine	-5.14	-6.404	0.0	0.0	0.0	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	5.755	-7.741	0.252	267.935	-6.08	90.0
C02504	alpha-Isopropylmalate	0.874	1.17	0.747	4.083	1.609	60.0
C00229	Acyl-carrier_protein	-1.585	-3.807	0.0	0.0	0.0	50.0
C01801	Deoxyribose	4.0	10.267	0.39	1248.182	8.926	90.0
C00364	dTMP	-5.087	-7.558	0.0	0.0	0.0	50.0
C00365	dUMP	3.7	-7.122	0.093	152.291	-3.829	70.0
C00363	dTDP	-4.248	9.379	0.029	684.826	-4.289	70.0
C00009	Orthophosphate	-5.728	-8.781	0.0	0.0	0.0	50.0
C00008	ADP	-6.62	-10.357	0.0	0.0	0.0	50.0
C00006	NADP+	-5.807	10.437	0.04	1442.263	-5.864	80.0
C00003	NAD+	-3.415	-4.632	0.0	0.0	0.0	50.0
C00002	ATP	6.552	-9.427	0.136	782.182	-6.736	90.0
C00369	Starch	8.058	8.586	0.939	650.778	9.254	90.0
C05703	Methaneselenol	-9.048	-10.171	0.0	0.0	0.0	50.0
C00376	Retinal	-5.285	-11.379	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-6.322	-9.289	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	2.585	8.765	0.295	441.039	7.023	70.0
C02612	(R)-2-Methylmalate	1.585	3.392	0.467	13.498	2.657	60.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-4.644	-8.738	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	4.644	8.738	0.531	451.975	7.908	80.0
C00645	N-Acetyl-D-mannosamine	-5.983	-8.753	0.0	0.0	0.0	50.0
C00099	beta-Alanine	-2.841	5.508	0.157	52.672	-3.052	70.0
C00311	Isocitrate	0.488	1.772	0.275	4.818	0.408	60.0
C00310	D-Xylulose	-2.585	-3.7	0.0	0.0	0.0	50.0
C00641	1,2-Diacyl-sn-glycerol	-3.945	8.071	0.057	284.315	-4.025	70.0
C01931	L-Lysyl-tRNA	-7.257	-9.776	0.0	0.0	0.0	50.0
C01528	Hydrogen_selenide	-10.043	-9.874	0.0	0.0	0.0	50.0
C00091	Succinyl-CoA	7.38	-10.237	0.138	1373.396	-7.567	90.0
C00092	D-Glucose_6-phosphate	-7.999	-9.688	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	5.724	8.003	0.715	309.389	7.79	80.0
C00095	D-Fructose	-7.811	9.073	0.417	763.14	-8.314	90.0
C00097	L-Cysteine	6.465	-7.238	0.585	239.298	-7.13	90.0
C14099	2-Naphthaldehyde	-10.223	-11.713	0.0	0.0	0.0	50.0
C05729	R-S-Cysteinylglycine	8.276	6.129	0.741	379.96	8.136	80.0
C14818	Fe2+	8.755	7.044	0.805	563.998	8.826	90.0
C14090	1-Naphthaldehyde	-10.223	-11.713	0.0	0.0	0.0	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	4.392	-9.127	0.038	580.11	-4.445	80.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	4.845	-8.311	0.09	346.325	-4.97	80.0
C05172	Selenophosphoric_acid	2.322	-3.17	0.556	14.001	-2.959	70.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	2.807	7.451	0.377	181.973	6.099	70.0
C11949	3-Isopropylbut-3-enoyl-CoA	-2.807	-7.451	0.0	0.0	0.0	50.0
C07118	Benzoyl_acetyl-CoA	2.807	7.451	0.377	181.973	6.099	70.0
C00166	Phenylpyruvate	6.647	-0.195	0.011	101.363	-0.211	60.0
C00167	UDP-glucuronate	-4.7	-3.907	0.0	0.0	0.0	50.0
C00160	Glycolate	8.208	-7.507	0.615	477.602	-8.199	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	4.392	-6.352	0.257	102.68	-4.722	80.0
C00162	Fatty_acid	2.807	3.0	0.936	14.998	3.811	60.0
C00163	Propanoate	7.913	9.333	0.848	885.949	9.553	90.0
C02984	L-Aspartyl-tRNA(Asp)	-6.248	-9.847	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-5.17	-9.267	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	5.728	2.0	0.349	57.003	4.315	70.0
