compound_code	compound_name	lactobacillus_630_score	olsenella_630_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-3.322	-3.322	0.0	0.0	0.0	50.0
C00944	3-Dehydroquinate	1.585	1.585	1.0	6.0	2.585	60.0
C05356	5(S)-HPETE	4.0	4.0	1.0	32.0	5.0	70.0
C02430	L-Methionyl-tRNA	-8.155	-4.807	0.0	0.0	0.0	50.0
C14819	Fe3+	-4.7	-4.7	0.0	0.0	0.0	50.0
C14818	Fe2+	7.044	4.7	0.667	157.956	6.72	80.0
C00436	N-Carbamoylputrescine	-3.459	-3.459	0.0	0.0	0.0	50.0
C00438	N-Carbamoyl-L-aspartate	-4.209	0.585	0.081	19.994	-0.698	80.0
C00826	L-Arogenate	3.322	3.322	1.0	20.001	4.322	70.0
C01181	4-Trimethylammoniobutanoate	-3.0	-3.0	0.0	0.0	0.0	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-9.796	-1.585	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	8.56	-1.0	0.005	379.413	-1.008	80.0
C15811	[Enzyme]-cysteine	9.472	3.17	0.335	719.16	7.911	90.0
C16688	Sucrose_6-phosphate	-10.677	-2.0	0.0	0.0	0.0	50.0
C00506	L-Cysteate	3.322	3.322	1.0	20.001	4.322	70.0
C00227	Acetyl_phosphate	-8.495	-0.496	0.0	0.0	0.0	50.0
C00226	Primary_alcohol	11.713	4.807	0.41	3385.094	10.44	90.0
C00221	beta-D-Glucose	-10.157	4.0	0.014	1157.725	-4.02	90.0
C00385	Xanthine	-6.404	2.17	0.053	89.183	-2.245	80.0
C00387	Guanosine	8.296	3.7	0.446	327.296	7.19	80.0
C02504	alpha-Isopropylmalate	1.17	1.17	1.0	4.5	2.17	60.0
C00229	Acyl-carrier_protein	-3.807	-3.0	0.0	0.0	0.0	50.0
C00366	Urate	-4.358	-4.358	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	7.748	3.17	0.409	223.972	6.518	80.0
C00364	dTMP	-7.558	-2.585	0.0	0.0	0.0	50.0
C00365	dUMP	-7.122	1.648	0.022	142.429	-1.68	80.0
C00362	dGMP	8.366	1.807	0.216	333.425	6.17	70.0
C00363	dTDP	9.379	-3.0	0.012	673.825	-3.017	90.0
C00009	Orthophosphate	-8.781	-3.17	0.0	0.0	0.0	50.0
C00008	ADP	-10.357	1.322	0.002	1313.998	-1.325	80.0
C05831	3-Methoxyanthranilate	-4.524	-4.524	0.0	0.0	0.0	50.0
C00006	NADP+	10.437	-2.585	0.004	1392.277	-2.591	90.0
C00003	NAD+	-4.632	-1.874	0.0	0.0	0.0	50.0
C00002	ATP	-9.427	2.054	0.006	692.503	-2.063	80.0
C00369	Starch	8.586	-3.426	0.028	395.024	-3.466	90.0
C05703	Methaneselenol	-10.171	-3.7	0.0	0.0	0.0	50.0
