compound_code	compound_name	olsenella_630_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.585	2.766	0.211	8.302	0.812	70.0
C00024	Acetyl-CoA	-2.581	-2.609	0.0	0.0	0.0	50.0
C00148	L-Proline	1.585	-3.787	0.217	16.804	-1.869	70.0
C05528	3-Sulfopyruvate	-3.322	-4.644	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-3.807	-4.858	0.0	0.0	0.0	50.0
C00020	AMP	0.322	-0.115	0.866	2.333	-1.015	60.0
C00352	D-Glucosamine_6-phosphate	-0.553	-0.737	0.0	0.0	0.0	50.0
C00022	Pyruvate	-2.336	-4.284	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	0.652	4.592	0.142	25.689	1.867	70.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.3	1.566	0.416	4.192	-0.802	60.0
C00029	UDP-glucose	1.737	4.689	0.37	29.128	3.432	80.0
C00147	Adenine	-0.252	0.149	0.931	2.3	-1.098	70.0
C00144	GMP	0.637	-1.399	0.59	4.192	-1.306	70.0
C01100	L-Histidinol_phosphate	3.369	0.737	0.219	11.998	1.392	70.0
C00857	Deamino-NAD+	1.0	3.907	0.256	17.001	2.121	70.0
C00026	2-Oxoglutarate	-0.915	-4.224	0.0	0.0	0.0	50.0
C14089	1-Hydroxymethylnaphthalene	4.807	4.977	0.966	59.487	5.844	90.0
C00944	3-Dehydroquinate	1.585	-3.322	0.3	13.001	-1.964	70.0
C00021	S-Adenosyl-L-homocysteine	-2.248	-4.19	0.0	0.0	0.0	50.0
C05402	Melibiose	-2.807	-0.737	0.0	0.0	0.0	50.0
C02430	L-Methionyl-tRNA	-4.807	-2.807	0.0	0.0	0.0	50.0
C06311	Galactitol_1-phosphate	-5.334	-7.17	0.0	0.0	0.0	50.0
C00433	2,5-Dioxopentanoate	3.0	3.0	1.0	16.0	4.0	80.0
C03232	3-Phosphonooxypyruvate	-4.379	1.138	0.106	23.008	-1.283	70.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-0.737	2.858	0.23	8.917	-1.036	70.0
C01181	4-Trimethylammoniobutanoate	-3.0	-3.0	0.0	0.0	0.0	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.585	5.248	0.079	41.002	-1.695	70.0
C06002	(S)-Methylmalonate_semialdehyde	-1.0	3.0	0.25	10.0	-1.322	70.0
C01185	Nicotinate_D-ribonucleotide	-1.0	-3.17	0.0	0.0	0.0	50.0
C02637	3-Dehydroshikimate	-3.459	2.807	0.636	17.995	-3.518	80.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	3.322	-2.248	0.475	14.751	-2.809	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-3.585	3.0	0.667	20.0	-3.737	80.0
C00159	D-Mannose	6.331	-1.0	0.025	82.505	-1.035	60.0
C00011	CO2	4.674	6.398	0.731	109.859	6.327	90.0
C00014	Ammonia	3.17	6.096	0.52	77.404	5.331	90.0
C00015	UDP	1.0	2.807	0.356	8.998	1.681	70.0
C02336	beta-D-Fructose	2.0	2.632	0.76	10.199	2.954	80.0
C16688	Sucrose_6-phosphate	-2.0	2.0	1.0	8.0	-3.0	80.0
C01528	Hydrogen_selenide	-2.322	-8.183	0.0	0.0	0.0	50.0
C00155	L-Homocysteine	2.248	-2.7	0.731	11.248	-3.04	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-2.0	-4.807	0.0	0.0	0.0	50.0
C05840	Iminoaspartate	3.585	-3.0	0.667	20.0	-3.737	80.0
C00954	Indole-3-acetate	-3.0	-3.0	0.0	0.0	0.0	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.0	4.807	0.832	43.993	5.194	90.0
C01134	Pantetheine_4'-phosphate	1.415	4.585	0.309	26.667	3.041	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	6.17	0.167	84.004	-3.807	80.0
C05345	beta-D-Fructose_6-phosphate	3.936	-5.033	0.467	48.046	-4.489	90.0
C00818	D-Glucarate	-3.0	1.585	0.375	11.0	-2.044	70.0
C00226	Primary_alcohol	4.807	4.977	0.966	59.487	5.844	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-3.322	-1.807	0.0	0.0	0.0	50.0
C05382	Sedoheptulose_7-phosphate	-3.846	5.573	0.302	61.984	-4.227	90.0
C00385	Xanthine	2.17	0.879	0.405	6.339	1.361	70.0
C00229	Acyl-carrier_protein	-3.0	-4.728	0.0	0.0	0.0	50.0
C00882	Dephospho-CoA	-1.585	-4.585	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-1.047	-1.273	0.0	0.0	0.0	50.0
C00718	Amylose	2.907	4.129	0.704	24.997	4.137	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-7.592	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	3.17	3.585	0.884	21.001	4.215	90.0
C00364	dTMP	-2.585	-3.459	0.0	0.0	0.0	50.0
C00365	dUMP	1.648	-4.248	0.165	22.135	-1.868	70.0
C00009	Orthophosphate	-3.17	-2.0	0.0	0.0	0.0	50.0
C00008	ADP	1.322	2.841	0.465	9.665	2.169	70.0
C00058	Formate	3.209	-5.839	0.162	66.489	-3.425	80.0
C00003	NAD+	-1.874	-3.369	0.0	0.0	0.0	50.0
C00002	ATP	2.054	3.769	0.545	17.785	3.277	80.0
C00369	Starch	-3.426	-4.893	0.0	0.0	0.0	50.0
C05703	Methaneselenol	-3.7	-8.767	0.0	0.0	0.0	50.0
C00491	L-Cystine	3.17	3.585	0.884	21.001	4.215	90.0
C00804	Propynoate	-3.0	-3.0	0.0	0.0	0.0	50.0
C03722	Quinolinate	-3.585	3.17	0.75	21.001	-3.977	90.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	4.585	6.459	0.71	111.974	6.313	90.0
C01127	4-Hydroxy-2-oxoglutarate	4.644	3.17	0.683	34.003	4.537	90.0
C06188	Salicin_6-phosphate	4.585	2.0	0.436	28.001	3.61	80.0
C16618	6-Thioxanthine_5'-monophosphate	-1.0	-1.585	0.0	0.0	0.0	50.0
