compound_code	compound_name	lactobacillus_mock_score	alistipes_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	3.851	5.618	0.685	63.542	5.445	70.0
C09332	Tetrahydrofolyl-[Glu](2)	-3.17	-6.426	0.105	94.985	-3.314	50.0
C00148	L-Proline	2.536	7.18	0.353	150.809	5.735	80.0
C00026	2-Oxoglutarate	3.981	-6.017	0.244	80.549	-4.296	70.0
C06481	L-Seryl-tRNA(Sec)	-6.615	-6.768	0.899	207.006	-7.541	90.0
C00020	AMP	3.771	1.585	0.42	16.652	2.807	70.0
C00352	D-Glucosamine_6-phosphate	6.155	-5.728	0.744	124.262	-6.53	90.0
C00022	Pyruvate	-5.362	6.239	0.544	116.658	-5.989	90.0
C00143	5,10-Methylenetetrahydrofolate	-1.356	-5.215	0.069	39.702	-1.452	60.0
C02972	Dihydrolipoylprotein	7.6	-6.15	0.366	265.024	-6.6	90.0
C00029	UDP-glucose	-6.268	4.17	0.234	95.066	-4.473	70.0
C00147	Adenine	2.121	-2.755	0.644	11.1	-2.839	50.0
C00144	GMP	3.241	-6.229	0.126	84.464	-3.412	60.0
C02876	Propanoyl_phosphate	-1.807	-7.238	0.023	154.457	-1.84	60.0
C01101	L-Ribulose_5-phosphate	2.865	5.661	0.506	57.883	4.873	70.0
C01103	Orotidine_5'-phosphate	1.222	-3.7	0.179	15.329	-1.46	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-2.322	6.752	0.046	112.784	-2.387	50.0
C03838	5'-Phosphoribosylglycinamide	-2.807	-6.741	0.065	113.964	-2.898	50.0
C02430	L-Methionyl-tRNA	3.585	-5.044	0.364	44.991	-4.033	70.0
C03939	Acetyl-[acyl-carrier_protein]	-2.515	3.051	0.69	14.004	-3.272	50.0
C05729	R-S-Cysteinylglycine	2.322	8.618	0.269	397.895	6.744	90.0
C14818	Fe2+	2.322	7.15	0.325	147.025	5.577	70.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-2.954	-7.071	0.058	142.206	-3.035	50.0
C00627	Pyridoxine_phosphate	-8.055	-6.629	0.372	364.923	-7.085	90.0
C05335	L-Selenomethionine	3.459	5.322	0.65	50.999	5.051	70.0
C00459	dTTP	-4.392	6.964	0.168	145.841	-4.616	70.0
C00438	N-Carbamoyl-L-aspartate	-1.585	3.858	0.207	17.5	-1.856	60.0
C00101	Tetrahydrofolate	1.485	4.512	0.329	25.616	3.076	70.0
C05122	Taurocholate	6.907	6.17	0.893	192.013	7.422	90.0
C05726	S-Substituted_L-cysteine	-2.322	-8.618	0.013	397.895	-2.34	50.0
C00700	XTP	6.209	7.484	0.83	253.0	7.714	90.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-3.322	-7.484	0.056	189.023	-3.4	60.0
C00705	dCDP	3.369	-2.939	0.742	18.0	-3.74	60.0
C06250	Holo-[carboxylase]	-3.868	-6.267	0.19	91.612	-4.118	70.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-5.209	-4.907	0.811	66.991	-5.764	80.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-3.17	6.644	0.09	109.01	-3.294	50.0
C11736	5-Fluorodeoxyuridine	3.17	6.615	0.479	107.02	5.68	80.0
C01185	Nicotinate_D-ribonucleotide	3.524	-6.19	0.158	84.512	-3.735	60.0
C05688	L-Selenocysteine	4.17	6.741	0.619	124.966	6.272	80.0
C00491	L-Cystine	3.755	6.129	0.613	83.487	5.677	70.0
C00010	CoA	4.841	-6.755	0.265	136.669	-5.181	80.0
C02839	L-Tyrosyl-tRNA(Tyr)	-5.209	-6.807	0.33	148.961	-5.621	80.0
C00141	3-Methyl-2-oxobutanoic_acid	2.3	-4.392	0.235	25.92	-2.604	50.0
C00014	Ammonia	-2.52	-4.031	0.351	22.083	-2.954	50.0
C00015	UDP	-0.585	-3.907	0.1	16.501	-0.722	60.0
C02988	L-Histidyl-tRNA(His)	-3.0	-6.508	0.088	99.013	-3.122	50.0
C00065	L-Serine	-2.677	5.185	0.176	42.773	-2.911	50.0
C05796	Galactan	8.449	6.248	0.739	425.468	8.298	90.0
C00152	L-Asparagine	-1.188	6.7	0.022	106.247	-1.219	60.0
C00155	L-Homocysteine	-3.532	-1.379	0.225	14.168	-1.672	60.0
C02992	L-Threonyl-tRNA(Thr)	-3.907	-7.721	0.071	225.987	-4.006	70.0
C19846	Pimelyl-[acyl-carrier_protein]_methyl_ester	-3.7	-6.629	0.131	111.972	-3.878	70.0
C05746	3-Oxohexanoyl-[acp]	4.585	6.34	0.723	105.009	6.247	80.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-3.807	6.19	0.192	87.005	-4.06	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-2.0	4.907	0.133	34.002	-2.181	50.0
C00886	L-Alanyl-tRNA	-3.907	-6.7	0.144	118.969	-4.101	70.0
C01134	Pantetheine_4'-phosphate	5.15	5.415	0.951	78.172	6.216	80.0
C05754	trans-Dec-2-enoyl-[acp]	-3.459	-5.7	0.212	62.981	-3.736	60.0
C00197	3-Phospho-D-glycerate	-7.88	6.427	0.365	321.612	-6.876	90.0
C05345	beta-D-Fructose_6-phosphate	6.908	5.811	0.841	176.234	7.212	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.728	-6.615	0.27	124.521	-5.073	80.0
