compound_code	compound_name	alistipes_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-6.658	-3.0	0.079	108.985	-3.11	50.0
C00149	(S)-Malate	-5.856	2.273	0.083	62.754	-2.389	50.0
C00944	3-Dehydroquinate	5.392	1.585	0.294	44.991	3.725	60.0
C02430	L-Methionyl-tRNA	-5.044	-4.322	0.606	52.992	-5.006	80.0
C14819	Fe3+	-7.15	-4.322	0.141	162.026	-4.512	70.0
C14818	Fe2+	7.15	4.322	0.604	162.026	6.614	80.0
C00438	N-Carbamoyl-L-aspartate	3.858	-2.585	0.414	20.5	-3.085	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-4.907	-3.17	0.3	39.003	-3.549	60.0
C01185	Nicotinate_D-ribonucleotide	-6.19	-1.0	0.027	75.009	-1.039	50.0
C00558	D-Tagaturonate	6.19	-6.022	0.89	137.992	-6.94	90.0
C05796	Galactan	6.248	4.858	0.778	105.004	6.351	80.0
C16219	3-Oxostearoyl-[acp]	6.34	4.322	0.682	101.009	6.106	70.0
C00221	beta-D-Glucose	3.215	3.916	0.821	24.381	4.323	60.0
C00385	Xanthine	-4.19	-2.555	0.322	24.129	-2.958	50.0
C00387	Guanosine	7.304	4.087	0.56	175.019	6.614	80.0
C00229	Acyl-carrier_protein	7.257	4.807	0.662	180.952	6.905	90.0
C00921	Dihydropteroate	2.322	3.17	0.732	14.001	3.358	60.0
C00546	Methylglyoxal	-6.919	-5.977	0.521	183.999	-6.582	90.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	7.435	5.524	0.743	219.059	7.347	90.0
C05838	cis-2-Hydroxycinnamate	-7.435	-5.524	0.266	219.059	-5.864	80.0
C00364	dTMP	3.087	-1.415	0.314	11.164	-1.809	50.0
C00365	dUMP	-5.221	1.0	0.054	39.297	-1.075	50.0
C00362	dGMP	-5.755	-0.222	0.022	55.171	-0.253	60.0
C00363	dTDP	-6.672	-3.807	0.137	115.966	-3.993	60.0
C00009	Orthophosphate	-6.229	-3.907	0.2	90.011	-4.17	60.0
C00008	ADP	-2.336	4.47	0.228	27.211	-2.632	50.0
C00003	NAD+	-7.5	-3.807	0.077	195.016	-3.914	60.0
C00002	ATP	6.959	6.714	0.965	229.396	7.79	90.0
C00369	Starch	2.644	-4.078	0.37	23.139	-3.098	50.0
C05703	Methaneselenol	-6.845	-4.644	0.217	139.963	-4.928	80.0
C16619	6-Thioguanosine_monophosphate	-7.129	-4.931	0.218	170.478	-5.215	80.0
C16618	6-Thioxanthine_5'-monophosphate	-2.0	-5.322	0.1	44.002	-2.137	50.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-7.077	-4.858	0.215	164.018	-5.139	80.0
C16614	6-Methylmercaptopurine	7.077	4.858	0.686	164.018	6.815	80.0
C03742	(S)-4-Hydroxymandelonitrile	-7.435	-5.524	0.266	219.059	-5.864	80.0
C00099	beta-Alanine	5.615	1.222	0.218	51.343	3.482	60.0
C00310	D-Xylulose	-6.443	6.17	0.828	159.007	-7.04	90.0
C01931	L-Lysyl-tRNA	-6.931	-6.555	0.771	216.049	-7.379	90.0
C00315	Spermidine	-6.15	-1.7	0.046	74.261	-1.765	50.0
C01528	Hydrogen_selenide	-6.812	-4.17	0.16	130.362	-4.384	70.0
C00760	Cellulose	7.435	-6.19	0.422	246.053	-6.698	90.0
C00093	sn-Glycerol_3-phosphate	7.347	5.061	0.689	196.187	7.078	90.0
C00095	D-Fructose	-7.827	-5.755	0.238	281.075	-6.063	90.0
C00097	L-Cysteine	-7.224	4.279	0.13	168.913	-4.455	70.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	5.883	4.907	0.834	89.017	6.214	80.0
C06196	2'-Deoxyinosine_5'-phosphate	-7.484	-4.17	0.101	197.024	-4.308	70.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-7.071	-4.129	0.13	151.953	-4.305	70.0
C02988	L-Histidyl-tRNA(His)	-6.508	-6.285	0.857	168.991	-7.178	90.0
C00163	Propanoate	7.238	6.476	0.895	239.974	7.746	90.0
C02984	L-Aspartyl-tRNA(Asp)	-6.285	-5.672	0.654	128.963	-6.398	90.0
C02987	L-Glutamyl-tRNA(Glu)	-6.426	-5.044	0.384	118.975	-5.513	80.0
C03263	Coproporphyrinogen_III	6.109	4.644	0.76	94.025	6.159	80.0
C02047	L-Leucyl-tRNA	-6.524	-5.524	0.5	138.042	-6.109	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.15	-5.615	0.345	191.035	-6.043	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	-3.459	6.304	0.139	90.009	-3.647	60.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.441	-4.619	0.884	46.294	-5.355	80.0
C02962	D-Allose_6-phosphate	6.508	5.285	0.812	130.002	6.722	80.0
C00864	Pantothenate	-6.524	3.459	0.119	103.025	-3.622	60.0
C01380	Ethylene_glycol	7.728	6.443	0.834	299.015	7.962	90.0
C01419	Cys-Gly	8.618	3.907	0.453	407.896	7.531	90.0
C08325	Amygdalin	7.435	5.524	0.743	219.059	7.347	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-7.0	-3.939	0.12	143.338	-4.102	60.0
C07648	Thioguanine	7.077	4.858	0.686	164.018	6.815	80.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-4.392	1.585	0.143	23.995	-1.778	50.0
C00695	Cholic_acid	-6.17	-3.17	0.125	81.004	-3.34	50.0
C18096	D-Allulose_6-phosphate	-6.508	-5.285	0.428	130.002	-5.799	80.0
C00269	CDP-diacylglycerol	-1.773	-5.7	0.066	55.402	-1.865	50.0
C00506	L-Cysteate	6.658	3.0	0.451	108.985	5.618	70.0
C00262	Hypoxanthine	3.35	2.852	0.851	17.416	3.89	60.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.358	-5.585	0.146	376.103	-5.782	80.0
C16216	3-Oxostearoyl-CoA	8.358	5.585	0.668	376.103	7.973	90.0
C00267	alpha-D-Glucose	6.297	4.765	0.757	105.819	6.323	80.0
C00266	Glycolaldehyde	-7.478	-6.443	0.488	265.283	-7.016	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.267	-5.426	0.279	197.015	-5.781	80.0
C00460	dUTP	7.484	4.209	0.562	197.517	6.796	80.0
C00286	dGTP	5.554	-4.951	0.658	77.912	-5.681	80.0
C00407	L-Isoleucine	-3.485	2.379	0.465	16.398	-2.929	50.0
C01962	Thiocysteine	-6.129	-7.807	0.313	293.931	-6.521	90.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	5.807	-3.907	0.268	70.987	-4.249	60.0
C01209	Malonyl-[acyl-carrier_protein]	6.902	3.931	0.57	134.847	6.263	80.0
C00217	D-Glutamate	3.907	4.392	0.89	35.997	5.001	70.0
C00214	Thymidine	6.615	2.0	0.302	102.02	4.947	70.0
C00212	Adenosine	7.304	4.087	0.56	175.019	6.614	80.0
C05840	Iminoaspartate	5.992	3.907	0.652	78.647	5.68	70.0
C05841	Nicotinate_D-ribonucleoside	7.304	4.087	0.56	175.019	6.614	80.0
C00035	GDP	3.624	-4.358	0.601	32.836	-4.303	70.0
C00031	D-Glucose	7.055	-3.672	0.096	145.72	-3.804	60.0
C00135	L-Histidine	6.508	1.222	0.188	93.346	4.132	60.0
C00134	Putrescine	-3.459	1.585	0.273	13.997	-1.933	50.0
C00133	D-Alanine	3.322	4.524	0.734	33.007	4.599	60.0
C00131	dATP	2.115	-2.322	0.866	9.332	-3.015	50.0
C00130	IMP	-0.059	1.951	0.269	4.908	-0.403	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.536	-1.524	0.248	14.475	-1.844	50.0
C00042	Succinate	6.989	4.17	0.597	145.029	6.435	80.0
C00041	L-Alanine	-4.97	4.392	0.67	52.337	-5.132	80.0
C00040	Acyl-CoA	7.136	4.907	0.688	170.656	6.875	90.0
C00047	L-Lysine	6.931	3.807	0.549	136.019	6.223	80.0
C00046	RNA	-6.306	-5.087	0.43	113.111	-5.603	80.0
C00044	GTP	-6.623	-5.884	0.599	157.62	-6.561	90.0
C00049	L-Aspartate	-3.779	3.232	0.684	23.123	-3.984	60.0
C00048	Glyoxylate	-1.322	3.954	0.161	17.998	-1.538	50.0
C06481	L-Seryl-tRNA(Sec)	-6.768	-5.807	0.514	164.972	-6.405	90.0
C01101	L-Ribulose_5-phosphate	5.661	4.0	0.707	66.598	5.556	70.0
C01103	Orotidine_5'-phosphate	-3.7	-6.052	0.196	79.345	-3.958	60.0
C05122	Taurocholate	6.17	3.17	0.514	81.004	5.379	70.0
C05345	beta-D-Fructose_6-phosphate	5.811	6.025	0.964	121.26	6.87	80.0
C00424	(S)-Lactaldehyde	-7.728	-5.845	0.271	269.492	-6.191	90.0
C00817	D-Altronate	-6.705	2.115	0.042	108.661	-2.174	50.0
C00036	Oxaloacetate	-4.434	6.503	0.238	112.314	-4.742	70.0
C05223	Dodecanoyl-[acyl-carrier_protein]	6.752	1.0	0.148	109.784	4.023	60.0
C05466	Glycochenodeoxycholate	6.17	3.17	0.514	81.004	5.379	70.0
C05465	Taurochenodeoxycholate	6.17	3.17	0.514	81.004	5.379	70.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-6.807	4.807	0.25	139.966	-5.129	80.0
C00253	Nicotinate	-7.304	-4.459	0.139	180.017	-4.647	70.0
C00251	Chorismate	3.0	3.087	0.972	16.497	4.003	60.0
C00255	Riboflavin	-4.807	5.392	0.667	69.984	-5.544	80.0
C05336	Selenomethionyl-tRNA(Met)	-6.741	-5.7	0.486	158.95	-6.271	90.0
C05335	L-Selenomethionine	5.322	3.0	0.564	48.002	4.758	60.0
C01081	Thiamin_monophosphate	7.349	-2.585	0.037	169.031	-2.637	50.0
C00491	L-Cystine	6.129	7.807	0.785	293.931	7.85	90.0
