compound_code	compound_name	butyrivibrio_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-7.693	-10.382	0.0	0.0	0.0	50.0
C20359	UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate	3.459	2.585	0.747	16.997	3.667	60.0
C00149	(S)-Malate	4.459	-9.121	0.04	578.787	-4.515	80.0
C00944	3-Dehydroquinate	-6.954	-6.459	0.0	0.0	0.0	50.0
C02430	L-Methionyl-tRNA	-3.585	-8.071	0.0	0.0	0.0	50.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-4.322	7.562	0.106	208.969	-4.467	80.0
C14819	Fe3+	-6.794	-10.065	0.0	0.0	0.0	50.0
C14818	Fe2+	6.794	10.065	0.675	1182.159	9.64	90.0
C00436	N-Carbamoylputrescine	-2.807	8.785	0.016	448.11	-2.83	80.0
C00437	N-Acetylornithine	-4.818	6.883	0.239	146.237	-5.127	80.0
C01024	Hydroxymethylbilane	-1.585	8.676	0.007	412.012	-1.596	70.0
C00826	L-Arogenate	7.622	7.34	0.963	359.01	8.433	80.0
C06126	Digalactosylceramide	8.028	9.18	0.875	841.054	9.523	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	5.672	-8.409	0.15	390.893	-5.874	80.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	5.248	-8.488	0.106	397.042	-5.393	80.0
C01185	Nicotinate_D-ribonucleotide	5.261	-8.313	0.121	356.372	-5.425	80.0
C06128	GM4	3.17	6.022	0.526	73.984	5.283	60.0
C00491	L-Cystine	7.459	9.486	0.786	893.032	9.456	80.0
C15812	[Enzyme]-S-sulfanylcysteine	-7.807	-2.322	0.0	0.0	0.0	50.0
C06441	L-Xylulose_1-phosphate	6.524	10.16	0.642	1236.13	9.633	90.0
C15811	[Enzyme]-cysteine	9.074	2.322	0.256	543.947	7.121	70.0
C15815	C15815	0.585	7.788	0.075	222.515	4.063	60.0
C05796	Galactan	7.901	10.544	0.749	1732.024	10.342	90.0
C03294	N-Formylmethionyl-tRNA	-8.098	-8.15	0.0	0.0	0.0	50.0
C05791	D-Urobilinogen	-4.392	-3.7	0.0	0.0	0.0	50.0
C00794	D-Sorbitol	-7.96	-9.18	0.0	0.0	0.0	50.0
C00791	Creatinine	2.0	3.459	0.578	14.997	3.116	60.0
C00506	L-Cysteate	7.693	9.29	0.828	832.922	9.43	80.0
C11538	Cobalt-sirohydrochlorin	-4.17	-3.17	0.0	0.0	0.0	50.0
C01233	sn-Glycero-3-phosphoethanolamine	8.281	7.0	0.845	439.049	8.536	80.0
C00942	3',5'-Cyclic_GMP	-6.895	-4.459	0.0	0.0	0.0	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	8.028	9.18	0.875	841.054	9.523	90.0
C00385	Xanthine	-5.867	-8.262	0.0	0.0	0.0	50.0
C00387	Guanosine	7.676	9.618	0.798	990.296	9.626	90.0
C02504	alpha-Isopropylmalate	5.881	-5.649	0.851	109.111	-6.538	90.0
C00229	Acyl-carrier_protein	6.781	10.721	0.632	1797.857	10.151	90.0
C11173	SN-38	-4.392	-3.7	0.0	0.0	0.0	50.0
C00546	Methylglyoxal	-8.202	-6.313	0.0	0.0	0.0	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.679	-10.617	0.0	0.0	0.0	50.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	9.95	10.551	0.943	2489.382	11.197	90.0
C01801	Deoxyribose	8.752	1.585	0.181	434.136	6.297	60.0
C00364	dTMP	-4.787	-7.202	0.0	0.0	0.0	50.0
C00365	dUMP	-6.949	-7.689	0.0	0.0	0.0	50.0
C00362	dGMP	-2.7	-6.541	0.0	0.0	0.0	50.0
C00360	dAMP	-9.581	-8.667	0.0	0.0	0.0	50.0
C00008	ADP	7.258	3.719	0.512	166.233	6.412	60.0
C05831	3-Methoxyanthranilate	-6.476	-6.845	0.0	0.0	0.0	50.0
C05830	8-Methoxykynurenate	-6.476	-6.845	0.0	0.0	0.0	50.0
C00005	NADPH	-5.459	-1.0	0.0	0.0	0.0	50.0
C00003	NAD+	-6.163	5.771	0.762	126.262	-6.588	90.0
C00002	ATP	8.749	9.324	0.938	1071.16	9.973	90.0
C00369	Starch	4.763	-3.935	0.563	42.447	-4.58	80.0
C05703	Methaneselenol	-7.547	-9.062	0.0	0.0	0.0	50.0
C00632	3-Hydroxyanthranilate	6.476	6.418	0.991	174.525	7.434	70.0
C16619	6-Thioguanosine_monophosphate	-8.028	-9.606	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	-7.877	6.34	0.345	316.087	-6.767	90.0
C02612	(R)-2-Methylmalate	8.063	7.629	0.946	465.378	8.782	80.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-7.864	-9.241	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	7.864	9.241	0.851	838.057	9.478	80.0
C03742	(S)-4-Hydroxymandelonitrile	-9.95	-10.551	0.0	0.0	0.0	50.0
C00645	N-Acetyl-D-mannosamine	-5.895	-2.0	0.0	0.0	0.0	50.0
C00312	L-Xylulose	7.392	7.852	0.941	399.003	8.553	80.0
C00310	D-Xylulose	9.028	-10.703	0.313	2188.99	-9.421	90.0
C01931	L-Lysyl-tRNA	-7.697	-9.62	0.0	0.0	0.0	50.0
C00315	Spermidine	-0.322	-8.566	0.0	0.0	0.0	50.0
C00314	Pyridoxine	6.17	1.0	0.162	74.004	3.584	60.0
C00092	D-Glucose_6-phosphate	-9.622	9.952	0.796	1778.463	-10.466	90.0
C00093	sn-Glycerol_3-phosphate	-7.965	5.152	0.142	285.42	-5.344	80.0
C00094	Sulfite	-4.17	-2.0	0.0	0.0	0.0	50.0
C00095	D-Fructose	7.353	-9.204	0.277	753.25	-7.706	90.0
