compound_code	compound_name	alistipes_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-6.658	-5.044	0.327	133.976	-5.452	80.0
C00149	(S)-Malate	-5.856	-4.948	0.533	88.788	-5.564	80.0
C00944	3-Dehydroquinate	5.392	1.0	0.185	43.991	3.028	60.0
C02430	L-Methionyl-tRNA	-5.044	-5.248	0.868	70.993	-5.946	90.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-4.807	-3.585	0.429	39.993	-4.1	70.0
C14819	Fe3+	-7.15	-3.17	0.063	151.025	-3.259	60.0
C14818	Fe2+	7.15	3.17	0.443	151.025	6.065	80.0
C00828	Menaquinone	-5.883	-3.807	0.237	73.011	-4.114	70.0
C00438	N-Carbamoyl-L-aspartate	3.858	2.459	0.637	19.999	3.672	60.0
C00535	Testosterone	6.15	2.585	0.42	77.013	5.017	70.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-4.907	1.0	0.067	32.002	-1.093	60.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	6.644	-4.907	0.3	130.012	-5.286	80.0
C01185	Nicotinate_D-ribonucleotide	-6.19	-4.503	0.311	95.683	-4.893	80.0
C00558	D-Tagaturonate	6.19	2.0	0.323	77.009	4.637	70.0
C06441	L-Xylulose_1-phosphate	5.833	-2.0	0.07	61.004	-2.098	50.0
C05796	Galactan	6.248	9.541	0.655	820.954	9.07	90.0
C00506	L-Cysteate	6.658	3.907	0.587	115.986	6.089	80.0
C00224	Adenylyl_sulfate	-7.615	-1.737	0.017	199.373	-1.761	50.0
C00221	beta-D-Glucose	3.215	-5.574	0.195	56.922	-3.472	60.0
C00385	Xanthine	-4.19	2.907	0.411	25.753	-3.404	60.0
C00387	Guanosine	7.304	3.0	0.411	166.024	6.092	80.0
C00229	Acyl-carrier_protein	7.257	8.583	0.846	536.437	8.825	90.0
C00921	Dihydropteroate	2.322	-3.0	0.625	13.0	-3.022	50.0
C05841	Nicotinate_D-ribonucleoside	7.304	2.807	0.384	165.022	5.987	80.0
C00546	Methylglyoxal	-6.919	-4.524	0.19	144.018	-4.775	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.358	-5.781	0.168	383.088	-6.005	90.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	7.435	7.14	0.96	314.088	8.237	90.0
C05838	cis-2-Hydroxycinnamate	-7.435	-7.14	0.815	314.088	-8.0	90.0
C00364	dTMP	3.087	-1.0	0.235	10.497	-1.305	50.0
C00365	dUMP	-5.221	-1.737	0.089	40.631	-1.86	50.0
C00362	dGMP	-5.755	-2.322	0.093	59.004	-2.45	50.0
C00363	dTDP	-6.672	4.807	0.275	129.963	-5.157	80.0
C00008	ADP	-2.336	-2.624	0.819	11.214	-3.199	50.0
C00006	NADP+	-6.322	-3.17	0.113	89.004	-3.324	60.0
C00003	NAD+	-7.5	-0.737	0.009	182.686	-0.75	60.0
C00002	ATP	6.959	7.296	0.954	281.564	8.069	90.0
C00369	Starch	2.644	5.989	0.441	69.765	4.945	70.0
C05703	Methaneselenol	-6.845	-3.248	0.083	124.461	-3.363	60.0
C16619	6-Thioguanosine_monophosphate	-7.129	-4.883	0.211	169.48	-5.159	80.0
C16618	6-Thioxanthine_5'-monophosphate	-2.0	-3.0	0.5	12.0	-2.585	50.0
C04652	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	-5.146	-5.009	0.909	67.608	-5.942	90.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-7.077	-5.044	0.244	168.008	-5.359	80.0
C16614	6-Methylmercaptopurine	7.077	5.044	0.713	168.008	6.904	80.0
C03742	(S)-4-Hydroxymandelonitrile	-7.435	-7.14	0.815	314.088	-8.0	90.0
C00312	L-Xylulose	7.055	6.728	0.954	238.98	7.832	90.0
C00310	D-Xylulose	-6.443	-5.358	0.471	128.016	-5.915	90.0
C01242	S-Aminomethyldihydrolipoylprotein	5.977	2.503	0.419	68.656	4.846	70.0
C01931	L-Lysyl-tRNA	-6.931	-5.129	0.287	157.015	-5.493	80.0
C01528	Hydrogen_selenide	-6.812	-3.059	0.074	120.695	-3.162	50.0
C00091	Succinyl-CoA	-6.522	-1.83	0.039	95.456	-1.885	50.0
C00092	D-Glucose_6-phosphate	-7.589	-6.047	0.343	258.657	-6.473	90.0
C00093	sn-Glycerol_3-phosphate	7.347	3.0	0.408	170.805	6.124	80.0
C00095	D-Fructose	-7.827	-4.492	0.099	249.573	-4.628	70.0
C00097	L-Cysteine	-7.224	-3.534	0.077	161.083	-3.642	60.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	5.883	4.755	0.808	86.017	6.119	80.0
C06196	2'-Deoxyinosine_5'-phosphate	-7.484	-4.248	0.106	198.024	-4.394	70.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-7.071	-4.402	0.157	155.598	-4.613	70.0
C04738	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine	-2.0	-3.807	0.286	17.997	-2.363	50.0
C17560	2-Polyprenyl-6-methoxy-1,4-benzoquinone	5.883	3.807	0.647	73.011	5.562	70.0
C17561	2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone	-5.883	-3.807	0.237	73.011	-4.114	70.0
C00185	Cellobiose	7.435	7.14	0.96	314.088	8.237	90.0
C00167	UDP-glucuronate	-6.476	-2.0	0.045	93.016	-2.063	50.0
C02988	L-Histidyl-tRNA(His)	-6.508	-2.585	0.066	97.013	-2.677	50.0
C00163	Propanoate	7.238	4.087	0.565	167.952	6.567	80.0
C02984	L-Aspartyl-tRNA(Asp)	-6.285	-5.492	0.577	122.983	-6.149	90.0
C02987	L-Glutamyl-tRNA(Glu)	-6.426	-3.644	0.145	98.485	-3.84	70.0
C03263	Coproporphyrinogen_III	6.109	2.0	0.327	73.023	4.579	60.0
