compound_code	compound_name	parabacteroides_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C02730	2-Succinylbenzoate	7.895	3.459	0.438	249.027	6.77	70.0
C05335	L-Selenomethionine	8.358	3.459	0.414	339.099	7.133	80.0
C00149	(S)-Malate	-9.121	2.322	0.009	561.794	-2.335	70.0
C02430	L-Methionyl-tRNA	-8.071	3.585	0.045	280.914	-3.648	80.0
C14818	Fe2+	10.065	2.322	0.231	1076.191	7.956	80.0
C00438	N-Carbamoyl-L-aspartate	-5.732	-1.585	0.0	0.0	0.0	50.0
C06126	Digalactosylceramide	9.18	6.954	0.758	704.02	9.059	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-8.409	-5.209	0.0	0.0	0.0	50.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-8.488	-3.17	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	-8.313	3.524	0.036	329.529	-3.575	80.0
C06128	GM4	6.022	3.322	0.552	74.984	5.37	70.0
C15812	[Enzyme]-S-sulfanylcysteine	-2.322	-5.0	0.0	0.0	0.0	50.0
C15811	[Enzyme]-cysteine	2.322	5.285	0.439	43.989	4.273	60.0
C03160	2-Succinylbenzoyl-CoA	7.762	-1.0	0.009	219.068	-1.013	70.0
C05796	Galactan	10.544	8.449	0.801	1842.466	10.528	90.0
C00794	D-Sorbitol	-9.18	-4.524	0.0	0.0	0.0	50.0
C01233	sn-Glycero-3-phosphoethanolamine	7.0	4.0	0.571	144.0	6.363	70.0
C00221	beta-D-Glucose	7.62	-7.943	0.799	442.803	-8.468	90.0
C00385	Xanthine	-8.262	-4.313	0.0	0.0	0.0	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	8.264	-2.322	0.016	312.406	-2.345	70.0
C02504	alpha-Isopropylmalate	-5.649	0.503	0.028	51.596	-0.543	60.0
C00229	Acyl-carrier_protein	10.721	-4.392	0.012	1708.879	-4.41	80.0
C00288	HCO3-	-8.19	4.196	0.063	310.364	-4.284	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-10.617	-5.0	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	9.486	3.755	0.396	730.586	8.176	80.0
C00365	dUMP	-7.689	-4.692	0.0	0.0	0.0	50.0
C00362	dGMP	-6.541	-3.459	0.0	0.0	0.0	50.0
C00363	dTDP	9.961	5.17	0.519	1032.691	9.066	90.0
C00009	Orthophosphate	-8.827	-2.807	0.0	0.0	0.0	50.0
C00008	ADP	3.719	-6.646	0.131	113.317	-3.897	80.0
C00006	NADP+	-8.297	6.011	0.205	379.008	-6.28	90.0
C00005	NADPH	-1.0	-6.16	0.0	0.0	0.0	50.0
C00003	NAD+	5.771	-1.138	0.04	56.807	-1.195	70.0
C00002	ATP	9.324	-6.267	0.12	717.931	-6.431	90.0
C00369	Starch	-3.935	4.807	0.546	43.288	-4.564	90.0
C05703	Methaneselenol	-9.062	-6.16	0.0	0.0	0.0	50.0
C03586	2-Oxo-2,3-dihydrofuran-5-acetate	-4.459	-3.907	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-9.606	-4.524	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	6.34	4.585	0.723	105.009	6.247	70.0
C02612	(R)-2-Methylmalate	7.629	0.585	0.077	199.451	3.935	60.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-9.241	-3.17	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	9.241	3.17	0.343	614.088	7.719	80.0
C00645	N-Acetyl-D-mannosamine	-2.0	-4.629	0.0	0.0	0.0	50.0
C00099	beta-Alanine	7.451	2.459	0.33	180.473	5.896	70.0
C00641	1,2-Diacyl-sn-glycerol	1.1	3.7	0.297	15.14	2.17	60.0
C01931	L-Lysyl-tRNA	-9.62	-4.322	0.0	0.0	0.0	50.0
C01528	Hydrogen_selenide	-8.907	-5.746	0.0	0.0	0.0	50.0
C00091	Succinyl-CoA	-11.246	-7.6	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	9.952	-6.582	0.097	1086.294	-6.715	90.0
C00093	sn-Glycerol_3-phosphate	5.152	-1.463	0.078	38.312	-1.571	70.0
C00095	D-Fructose	-9.204	4.824	0.048	618.091	-4.892	90.0
C00096	GDP-mannose	5.936	5.755	0.97	115.227	6.804	70.0
C00097	L-Cysteine	8.036	-5.926	0.232	323.268	-6.227	90.0
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-8.827	-3.322	0.0	0.0	0.0	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	8.873	-5.524	0.098	514.87	-5.659	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-9.543	-6.209	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	-1.138	2.678	0.344	8.6	-1.564	70.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	2.0	2.585	0.774	10.0	2.952	60.0
C11949	3-Isopropylbut-3-enoyl-CoA	-2.0	-2.585	0.0	0.0	0.0	50.0
C07118	Benzoyl_acetyl-CoA	2.0	2.585	0.774	10.0	2.952	60.0
C14762	13(S)-HODE	8.651	4.392	0.508	422.981	7.746	80.0
C00870	4-Nitrophenol	-8.281	-3.17	0.0	0.0	0.0	50.0
C14765	13-OxoODE	-8.651	-4.392	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-8.508	-3.0	0.0	0.0	0.0	50.0
C00163	Propanoate	10.501	6.615	0.63	1547.179	9.929	90.0
C02984	L-Aspartyl-tRNA(Asp)	-9.85	-4.459	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-9.581	-4.322	0.0	0.0	0.0	50.0
C00169	Carbamoyl_phosphate	-8.773	-3.49	0.0	0.0	0.0	50.0
C02047	L-Leucyl-tRNA	-10.661	-4.755	0.0	0.0	0.0	50.0
C03082	4-Phospho-L-aspartate	-7.397	5.44	0.258	211.958	-5.771	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-10.448	-5.087	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	8.649	2.0	0.231	405.429	6.551	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-8.358	3.147	0.027	336.96	-3.185	80.0
C00864	Pantothenate	4.248	4.087	0.962	35.996	5.114	70.0
C01380	Ethylene_glycol	9.649	1.0	0.104	804.857	6.382	70.0
C01419	Cys-Gly	10.589	2.322	0.219	1545.305	8.405	90.0
C03360	4-Nitrophenyl_phosphate	8.281	3.17	0.383	320.05	6.937	70.0
C01412	Butanal	8.651	6.216	0.719	476.322	8.419	90.0
C06040	Diglucosyl-diacylglycerol	-4.322	-5.755	0.0	0.0	0.0	50.0
C03402	L-Asparaginyl-tRNA(Asn)	-9.781	-4.222	0.0	0.0	0.0	50.0
C17962	Demethylphosphinothricin	3.7	3.17	0.857	21.997	4.236	60.0
C03406	N-(L-Arginino)succinate	-8.455	2.585	0.017	356.921	-2.609	70.0
C07648	Thioguanine	9.241	3.17	0.343	614.088	7.719	80.0
C01962	Thiocysteine	-9.486	-3.755	0.0	0.0	0.0	50.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	7.044	4.322	0.614	151.965	6.543	70.0
C00695	Cholic_acid	-7.762	-6.907	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-7.116	-2.459	0.0	0.0	0.0	50.0
C16219	3-Oxostearoyl-[acp]	9.263	4.585	0.495	638.386	8.304	80.0
C00263	L-Homoserine	5.802	-2.738	0.12	62.464	-2.901	80.0
C00262	Hypoxanthine	7.192	-4.239	0.129	165.103	-4.414	80.0
C00508	L-Ribulose	-9.623	-4.392	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	10.617	5.0	0.471	1602.491	9.56	90.0
C00267	alpha-D-Glucose	8.316	4.556	0.548	342.211	7.551	80.0
C00266	Glycolaldehyde	-9.327	-1.0	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-10.328	4.0	0.012	1301.399	-4.018	80.0
C00464	Mannan	-4.322	-5.755	0.0	0.0	0.0	50.0
C00460	dUTP	-8.414	5.113	0.101	375.695	-5.252	90.0
C00286	dGTP	-6.216	-7.812	0.0	0.0	0.0	50.0
C00283	Hydrogen_sulfide	6.781	7.14	0.95	251.016	7.897	80.0
C04432	tRNA_containing_6-isopentenyladenosine	-8.98	-2.585	0.0	0.0	0.0	50.0
C00327	L-Citrulline	9.312	2.722	0.292	642.209	7.552	80.0
C05427	Phytyl_diphosphate	8.637	4.392	0.509	419.099	7.735	80.0
C04051	5-Amino-4-imidazolecarboxyamide	-9.246	-5.7	0.0	0.0	0.0	50.0
C01209	Malonyl-[acyl-carrier_protein]	8.467	2.392	0.283	359.1	6.665	70.0
C02492	1,4-beta-D-Mannan	8.791	-5.755	0.122	496.954	-5.921	90.0
C00217	D-Glutamate	7.198	-0.737	0.011	148.496	-0.753	70.0
C00214	Thymidine	6.989	-6.267	0.606	204.039	-6.951	90.0
C00212	Adenosine	9.618	4.728	0.492	812.291	8.641	90.0
C00036	Oxaloacetate	5.972	3.326	0.557	72.798	5.341	70.0
C00037	Glycine	8.499	-2.095	0.012	366.06	-2.112	70.0
C00035	GDP	-6.889	-6.066	0.0	0.0	0.0	50.0
C00033	Acetate	8.614	7.121	0.827	531.006	8.778	90.0
C00031	D-Glucose	9.843	4.102	0.417	935.586	8.607	90.0
C00137	myo-Inositol	-7.745	-4.788	0.0	0.0	0.0	50.0
C00135	L-Histidine	7.324	2.17	0.296	164.73	5.609	70.0
C00134	Putrescine	-7.562	-3.17	0.0	0.0	0.0	50.0
C00133	D-Alanine	8.322	7.647	0.919	520.452	8.902	90.0
C00131	dATP	-4.807	6.046	0.424	94.067	-5.317	90.0
C00130	IMP	-8.226	-4.15	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	8.821	1.087	0.123	454.382	5.807	70.0
C00042	Succinate	10.491	2.322	0.221	1444.149	8.32	90.0
C00041	L-Alanine	7.966	4.17	0.523	268.038	7.132	80.0
C00040	Acyl-CoA	7.375	3.478	0.472	177.138	6.384	70.0
C00047	L-Lysine	7.111	-3.392	0.076	148.735	-3.498	80.0
C00046	RNA	-8.982	-4.694	0.0	0.0	0.0	50.0
C00044	GTP	-9.432	-5.31	0.0	0.0	0.0	50.0
C00049	L-Aspartate	5.764	1.69	0.293	57.569	4.077	60.0
C06481	L-Seryl-tRNA(Sec)	-9.987	-6.615	0.0	0.0	0.0	50.0
C01101	L-Ribulose_5-phosphate	9.168	2.865	0.313	582.517	7.508	80.0
C01103	Orotidine_5'-phosphate	5.866	1.222	0.208	60.656	3.659	60.0
C01102	O-Phospho-L-homoserine	8.253	-1.322	0.008	307.571	-1.334	70.0
C02888	Sorbose_1-phosphate	-8.651	-4.392	0.0	0.0	0.0	50.0
C05122	Taurocholate	7.762	6.907	0.89	337.077	8.229	80.0
C03688	Apo-[acyl-carrier-protein]	2.585	5.322	0.486	46.002	4.482	70.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	9.054	-3.459	0.021	542.524	-3.489	80.0
C00227	Acetyl_phosphate	3.081	-6.014	0.131	73.086	-3.259	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-4.03	3.17	0.551	25.337	-3.803	80.0
C05345	beta-D-Fructose_6-phosphate	6.678	6.908	0.967	222.487	7.749	80.0
C00160	Glycolate	7.315	-4.74	0.168	185.956	-4.964	90.0
C00387	Guanosine	9.618	5.3	0.551	825.187	8.829	90.0
C05466	Glycochenodeoxycholate	7.762	6.907	0.89	337.077	8.229	80.0
C05841	Nicotinate_D-ribonucleoside	9.618	5.585	0.581	833.791	8.919	90.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-7.907	-1.0	0.0	0.0	0.0	50.0
C00253	Nicotinate	-8.162	-4.931	0.0	0.0	0.0	50.0
C00250	Pyridoxal	1.0	8.055	0.124	267.948	5.056	70.0
C05338	4-Hydroxyphenylacetyl-CoA	2.0	2.585	0.774	10.0	2.952	60.0
C00255	Riboflavin	-7.57	2.322	0.026	195.019	-2.359	70.0
C05336	Selenomethionyl-tRNA(Met)	-9.109	-3.459	0.0	0.0	0.0	50.0
C00392	Mannitol	4.17	2.807	0.673	24.999	4.073	60.0
