compound_code	compound_name	alistipes_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	5.618	-2.134	0.089	53.501	-2.257	50.0
C09332	Tetrahydrofolyl-[Glu](2)	-6.426	-2.807	0.081	92.982	-2.92	60.0
C00148	L-Proline	7.18	3.17	0.442	154.01	6.087	80.0
C00026	2-Oxoglutarate	-6.017	1.415	0.041	67.425	-1.473	50.0
C06481	L-Seryl-tRNA(Sec)	-6.768	-3.907	0.138	123.987	-4.093	80.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	6.409	1.585	0.247	87.977	4.443	70.0
C00352	D-Glucosamine_6-phosphate	-5.728	1.379	0.049	55.604	-1.448	50.0
C00022	Pyruvate	6.239	-3.222	0.124	84.862	-3.39	70.0
C00143	5,10-Methylenetetrahydrofolate	-5.215	0.599	0.041	38.657	-0.657	60.0
C00029	UDP-glucose	4.17	2.891	0.693	25.419	4.139	70.0
C00147	Adenine	-2.755	-2.17	0.667	11.251	-2.907	60.0
C00144	GMP	-6.229	-2.888	0.099	82.412	-3.024	60.0
C00343	Thioredoxin_disulfide	4.672	-4.585	0.941	49.493	-5.542	90.0
C00944	3-Dehydroquinate	5.392	2.0	0.371	45.991	4.092	70.0
C00344	Phosphatidylglycerol	6.426	3.585	0.558	97.985	5.773	80.0
C02430	L-Methionyl-tRNA	-5.044	-3.17	0.273	41.991	-3.518	70.0
C00020	AMP	1.585	3.285	0.482	12.747	2.621	60.0
C11437	1-Deoxy-D-xylulose_5-phosphate	2.415	0.379	0.157	6.634	0.058	60.0
C02737	Phosphatidylserine	2.624	-0.222	0.189	7.331	-0.472	60.0
C05684	Selenite	6.943	3.7	0.533	136.037	6.18	80.0
C12739	5'-Deoxy-5-fluorouridine	-6.954	-4.0	0.129	139.983	-4.175	80.0
C05122	Taurocholate	6.17	1.0	0.162	74.004	3.584	70.0
C00700	XTP	7.484	3.459	0.462	190.02	6.457	90.0
C03684	6-Pyruvoyltetrahydropterin	-6.476	-1.585	0.034	92.017	-1.633	50.0
C00231	D-Xylulose_5-phosphate	-5.576	-2.656	0.132	54.006	-2.835	60.0
C01345	dITP	7.484	3.459	0.462	190.02	6.457	90.0
C01185	Nicotinate_D-ribonucleotide	-6.19	-1.222	0.032	75.342	-1.267	50.0
C02637	3-Dehydroshikimate	-4.985	-1.222	0.074	34.002	-1.325	50.0
C01931	L-Lysyl-tRNA	-6.931	-3.907	0.123	137.023	-4.074	80.0
C00010	CoA	-6.755	2.0	0.037	112.008	-2.052	50.0
C00011	CO2	7.581	6.409	0.845	276.45	7.869	90.0
C00014	Ammonia	-4.031	-3.619	0.752	28.634	-4.428	90.0
C05980	Cardiolipin	-6.426	-3.585	0.14	97.985	-3.773	80.0
C00065	L-Serine	5.185	-1.578	0.082	39.364	-1.692	50.0
C00153	Nicotinamide	-7.304	-4.807	0.177	186.017	-5.042	90.0
C00493	Shikimate	2.988	1.047	0.35	10.0	1.809	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-6.15	3.459	0.155	82.009	-3.667	70.0
C00015	UDP	-3.907	-3.17	0.6	24.002	-3.848	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-4.954	1.0	0.065	32.996	-1.09	50.0
C01134	Pantetheine_4'-phosphate	5.415	3.7	0.683	55.662	5.249	80.0
