compound_code	compound_name	turicibacter_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-4.17	-5.044	0.546	50.992	-4.798	90.0
C00149	(S)-Malate	1.0	-4.948	0.065	32.867	-1.091	50.0
C02430	L-Methionyl-tRNA	-1.0	-5.248	0.053	40.002	-1.074	60.0
C00437	N-Acetylornithine	1.379	2.369	0.582	7.767	2.177	70.0
C00826	L-Arogenate	3.17	4.644	0.683	34.003	4.537	80.0
C06126	Digalactosylceramide	3.7	2.322	0.628	17.996	3.497	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-4.954	1.0	0.065	32.996	-1.09	50.0
C01185	Nicotinate_D-ribonucleotide	2.7	-4.503	0.287	29.173	-3.064	60.0
C05796	Galactan	3.322	9.541	0.348	754.951	8.038	90.0
C00794	D-Sorbitol	-3.7	-2.322	0.385	17.996	-2.792	60.0
C00506	L-Cysteate	4.17	3.907	0.937	33.002	4.95	80.0
C00221	beta-D-Glucose	-3.563	-5.574	0.248	59.455	-3.883	80.0
C00385	Xanthine	-0.678	2.907	0.213	9.1	-0.957	60.0
C00387	Guanosine	1.0	3.0	0.333	10.0	1.737	70.0
C02504	alpha-Isopropylmalate	3.157	2.585	0.819	14.92	3.611	80.0
C00508	L-Ribulose	-4.585	-5.248	0.632	62.003	-5.291	90.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	4.672	7.14	0.654	166.536	6.768	90.0
C05838	cis-2-Hydroxycinnamate	-4.672	-7.14	0.181	166.536	-4.912	90.0
C00365	dUMP	0.874	-1.737	0.55	5.166	-1.506	50.0
C00008	ADP	-3.298	-2.624	0.627	16.0	-3.326	70.0
C00003	NAD+	-2.415	-0.737	0.313	7.0	-1.129	50.0
C00002	ATP	3.027	7.296	0.415	165.301	6.1	90.0
C00369	Starch	2.874	5.989	0.48	70.845	5.087	80.0
C05703	Methaneselenol	-2.807	-3.248	0.737	16.499	-3.603	80.0
C16619	6-Thioguanosine_monophosphate	-1.0	-4.883	0.068	31.507	-1.095	50.0
C02612	(R)-2-Methylmalate	3.392	2.585	0.762	16.498	3.652	80.0
C03742	(S)-4-Hydroxymandelonitrile	-4.672	-7.14	0.181	166.536	-4.912	90.0
C00645	N-Acetyl-D-mannosamine	-3.585	-2.202	0.383	16.601	-2.67	60.0
C00310	D-Xylulose	5.907	-5.358	0.683	101.017	-6.109	90.0
C01931	L-Lysyl-tRNA	-1.0	-5.129	0.057	36.993	-1.08	60.0
C01528	Hydrogen_selenide	-2.322	-3.059	0.6	13.334	-3.0	60.0
C00760	Cellulose	4.115	6.15	0.669	88.34	5.885	90.0
C00093	sn-Glycerol_3-phosphate	2.102	3.0	0.701	12.293	3.107	70.0
C00095	D-Fructose	1.459	-4.492	0.122	25.251	-1.625	50.0
C00096	GDP-mannose	-2.807	3.818	0.496	21.102	-3.388	70.0
C00097	L-Cysteine	-2.858	-3.534	0.626	18.834	-3.559	70.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	2.954	-4.402	0.367	28.89	-3.405	70.0
C00166	Phenylpyruvate	-0.621	2.112	0.356	5.861	-1.06	60.0
C00163	Propanoate	2.585	4.087	0.632	22.995	3.862	80.0
C02984	L-Aspartyl-tRNA(Asp)	-5.833	-5.492	0.789	102.009	-6.332	90.0
C02987	L-Glutamyl-tRNA(Glu)	-5.459	-3.644	0.284	56.488	-4.005	80.0
C00169	Carbamoyl_phosphate	-3.563	-1.841	0.303	15.401	-2.223	50.0
