compound_code	compound_name	butyrivibrio_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-7.693	-5.044	0.159	239.921	-5.257	80.0
C00149	(S)-Malate	4.459	-4.948	0.713	52.861	-5.235	80.0
C00944	3-Dehydroquinate	-6.954	1.0	0.016	125.983	-1.023	60.0
C02430	L-Methionyl-tRNA	-3.585	-5.248	0.316	50.002	-3.981	70.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-4.322	-3.585	0.6	32.001	-4.263	70.0
C14819	Fe3+	-6.794	-3.17	0.081	119.968	-3.283	60.0
C14818	Fe2+	6.794	3.17	0.467	119.968	5.807	70.0
C00437	N-Acetylornithine	-4.818	2.369	0.183	33.373	-2.612	50.0
C01024	Hydroxymethylbilane	-1.585	3.585	0.25	15.0	-1.907	50.0
C00826	L-Arogenate	7.622	4.644	0.609	221.995	7.08	80.0
C06126	Digalactosylceramide	8.028	2.322	0.289	266.017	6.266	70.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	5.672	1.0	0.176	52.985	3.224	60.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	5.248	-4.907	0.789	68.004	-5.747	90.0
C01185	Nicotinate_D-ribonucleotide	5.261	-4.503	0.591	61.02	-5.173	80.0
C06128	GM4	3.17	1.0	0.315	11.0	1.795	60.0
C00491	L-Cystine	7.459	3.585	0.481	187.948	6.497	80.0
C06441	L-Xylulose_1-phosphate	6.524	-2.0	0.043	96.028	-2.061	50.0
C05796	Galactan	7.901	9.541	0.828	983.972	9.67	90.0
C00794	D-Sorbitol	-7.96	-2.322	0.02	254.0	-2.351	50.0
C00506	L-Cysteate	7.693	3.907	0.508	221.931	6.816	80.0
C01233	sn-Glycero-3-phosphoethanolamine	8.281	3.7	0.447	324.045	7.178	80.0
C00224	Adenylyl_sulfate	2.0	-1.737	0.833	7.333	-2.611	50.0
C01236	D-Glucono-1,5-lactone_6-phosphate	9.142	1.0	0.109	566.958	5.955	70.0
C00221	beta-D-Glucose	-8.89	-5.574	0.1	522.05	-5.712	90.0
