compound_code	compound_name	mollicute_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-2.134	0.243	0.27	5.573	-0.587	70.0
C00024	Acetyl-CoA	4.951	-3.848	0.466	45.331	-4.399	90.0
C00026	2-Oxoglutarate	1.415	-4.626	0.108	27.359	-1.563	80.0
C06481	L-Seryl-tRNA(Sec)	-3.907	-3.7	0.0	0.0	0.0	50.0
C00020	AMP	3.285	0.415	0.126	11.081	0.485	60.0
C00352	D-Glucosamine_6-phosphate	1.379	0.585	0.424	4.101	0.799	60.0
C00022	Pyruvate	-3.222	-3.526	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	0.599	1.461	0.41	4.268	0.807	60.0
C00029	UDP-glucose	2.891	1.766	0.611	10.819	2.724	80.0
C00147	Adenine	-2.17	-0.101	0.0	0.0	0.0	50.0
C14089	1-Hydroxymethylnaphthalene	5.17	2.954	0.571	43.751	4.644	90.0
C05400	Epimelibiose	3.585	0.585	0.163	13.5	1.139	60.0
C05401	3-beta-D-Galactosyl-sn-glycerol	3.585	0.585	0.163	13.5	1.139	60.0
C05402	Melibiose	-4.087	0.222	0.069	18.161	-0.318	70.0
C02430	L-Methionyl-tRNA	-3.17	-2.322	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	3.858	3.954	0.976	29.998	4.871	90.0
C00100	Propanoyl-CoA	-1.585	-1.7	0.0	0.0	0.0	50.0
C06126	Digalactosylceramide	3.585	0.585	0.163	13.5	1.139	60.0
C00231	D-Xylulose_5-phosphate	-2.656	0.3	0.195	7.534	-0.557	70.0
C01185	Nicotinate_D-ribonucleotide	-1.222	1.0	0.857	4.333	-1.893	80.0
C00235	Dimethylallyl_diphosphate	2.585	-3.609	0.492	18.202	-3.162	90.0
C01613	Stachyose	4.807	0.415	0.086	29.326	1.34	70.0
C01931	L-Lysyl-tRNA	-3.907	-2.807	0.0	0.0	0.0	50.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	1.585	1.0	6.0	2.585	80.0
C00011	CO2	6.409	6.808	0.941	197.027	7.535	90.0
C00014	Ammonia	-3.619	1.053	0.169	14.361	-1.278	80.0
C00015	UDP	-3.17	-1.874	0.0	0.0	0.0	50.0
C00065	L-Serine	-1.578	-0.787	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-4.807	-0.585	0.0	0.0	0.0	50.0
C00152	L-Asparagine	-0.415	0.778	0.778	3.048	-1.245	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3.459	-1.0	0.182	12.997	-1.241	80.0
C00794	D-Sorbitol	-3.585	-0.585	0.0	0.0	0.0	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	1.585	3.907	0.406	18.001	2.868	80.0
C02876	Propanoyl_phosphate	-3.7	-1.0	0.0	0.0	0.0	50.0
C05345	beta-D-Fructose_6-phosphate	1.412	-2.4	0.504	7.939	-2.001	90.0
C00226	Primary_alcohol	5.17	2.954	0.571	43.751	4.644	90.0
C06037	Digalactosyl-diacylglycerol	3.585	0.585	0.163	13.5	1.139	60.0
C03511	L-Phenylalanyl-tRNA(Phe)	-3.755	-1.322	0.0	0.0	0.0	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	3.585	0.585	0.163	13.5	1.139	60.0
C00385	Xanthine	2.459	-0.153	0.202	6.61	-0.419	70.0
C00387	Guanosine	4.807	0.485	0.101	29.393	1.568	70.0
C05841	Nicotinate_D-ribonucleoside	4.807	0.585	0.122	29.493	1.844	70.0
C00655	Xanthosine_5'-phosphate	3.115	-1.524	0.332	11.54	-1.938	80.0
C15996	7-Cyano-7-carbaguanine	-0.737	3.907	0.111	16.668	-0.889	70.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-3.322	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-3.585	-0.585	0.0	0.0	0.0	50.0
C00364	dTMP	1.807	-2.874	0.477	10.83	-2.37	90.0
C00365	dUMP	0.807	-3.567	0.148	13.601	-1.006	70.0
C00008	ADP	3.97	-1.415	0.17	18.337	-1.642	80.0
C00058	Formate	-1.17	2.624	0.365	8.415	-1.619	80.0
C00003	NAD+	0.737	-2.663	0.263	8.0	-1.074	80.0
C00002	ATP	-4.36	4.465	0.93	42.62	-5.308	90.0
C00369	Starch	0.874	2.402	0.364	7.118	1.373	70.0
C01127	4-Hydroxy-2-oxoglutarate	5.209	3.907	0.75	51.99	5.285	90.0
C00253	Nicotinate	-4.807	-1.17	0.0	0.0	0.0	50.0
C05336	Selenomethionyl-tRNA(Met)	-3.585	-2.322	0.0	0.0	0.0	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-5.044	0.585	0.045	34.491	-0.649	70.0
C05335	L-Selenomethionine	3.585	2.322	0.648	17.001	3.461	80.0
C00330	Deoxyguanosine	4.807	0.585	0.122	29.493	1.844	70.0
