compound_code	compound_name	butyrivibrio_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C05335	L-Selenomethionine	6.409	3.459	0.54	95.974	5.695	70.0
C00149	(S)-Malate	4.459	2.322	0.521	26.994	3.813	60.0
C02430	L-Methionyl-tRNA	-3.585	3.585	1.0	24.001	-4.585	70.0
C14818	Fe2+	6.794	2.322	0.342	115.968	5.309	70.0
C00438	N-Carbamoyl-L-aspartate	-3.03	-1.585	0.367	11.168	-2.036	50.0
C06126	Digalactosylceramide	8.028	6.954	0.866	385.0	8.382	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	5.672	-5.209	0.725	87.973	-5.996	80.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	5.248	-3.17	0.237	47.002	-3.477	60.0
C01185	Nicotinate_D-ribonucleotide	5.261	3.524	0.67	49.849	5.061	70.0
C06128	GM4	3.17	3.322	0.954	19.001	4.18	70.0
C15812	[Enzyme]-S-sulfanylcysteine	-7.807	-5.0	0.143	255.945	-5.193	80.0
C15811	[Enzyme]-cysteine	9.074	5.285	0.582	577.936	8.395	90.0
C05796	Galactan	7.901	8.449	0.935	588.486	9.104	90.0
C00794	D-Sorbitol	-7.96	-4.524	0.092	272.007	-4.651	70.0
C05754	trans-Dec-2-enoyl-[acp]	6.15	-3.459	0.155	82.009	-3.667	60.0
C01233	sn-Glycero-3-phosphoethanolamine	8.281	4.0	0.483	327.049	7.304	80.0
C01236	D-Glucono-1,5-lactone_6-phosphate	9.142	7.219	0.79	713.941	9.139	90.0
C00221	beta-D-Glucose	-8.89	-7.943	0.519	720.496	-8.546	90.0
C00385	Xanthine	-5.867	-4.313	0.341	78.24	-4.736	70.0
C00387	Guanosine	7.676	5.3	0.69	243.903	7.396	80.0
C02504	alpha-Isopropylmalate	5.881	0.503	0.086	60.35	2.368	60.0
C00229	Acyl-carrier_protein	6.781	-4.392	0.191	130.968	-4.644	70.0
C05841	Nicotinate_D-ribonucleoside	7.676	5.585	0.728	252.507	7.521	80.0
C00288	HCO3-	7.371	4.196	0.569	183.864	6.71	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.679	-5.0	0.078	441.864	-5.108	70.0
C01801	Deoxyribose	8.752	6.285	0.718	509.114	8.514	90.0
C00365	dUMP	-6.949	-4.692	0.209	149.403	-4.966	70.0
C00362	dGMP	-2.7	-3.459	0.591	17.495	-3.37	50.0
C00009	Orthophosphate	-7.883	-2.807	0.03	243.057	-2.849	50.0
C00008	ADP	7.258	-6.646	0.654	253.214	-7.372	90.0
C00006	NADP+	-6.672	6.011	0.632	166.46	-6.718	90.0
C00005	NADPH	-5.459	-6.16	0.615	115.493	-6.151	80.0
C00003	NAD+	-6.163	-1.138	0.031	73.856	-1.182	60.0
C00002	ATP	8.749	-6.267	0.179	507.252	-6.505	90.0
C00369	Starch	4.763	4.807	0.991	55.145	5.772	70.0
C05703	Methaneselenol	-7.547	-6.16	0.382	258.52	-6.627	90.0
C16619	6-Thioguanosine_monophosphate	-8.028	-4.524	0.088	284.024	-4.646	70.0
C16618	6-Thioxanthine_5'-monophosphate	-7.877	4.585	0.102	259.079	-4.725	70.0
