compound_code	compound_name	parabacteroides_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-10.382	-3.0	0.006	1342.423	-3.009	50.0
C00149	(S)-Malate	-9.121	2.273	0.009	561.627	-2.285	50.0
C00944	3-Dehydroquinate	-6.459	1.585	0.034	90.974	-1.633	50.0
C02430	L-Methionyl-tRNA	-8.071	-4.322	0.074	288.915	-4.426	70.0
C14819	Fe3+	-10.065	-4.322	0.019	1091.192	-4.349	70.0
C14818	Fe2+	10.065	4.322	0.429	1091.192	8.872	90.0
C00436	N-Carbamoylputrescine	8.785	-2.322	0.011	446.112	-2.338	50.0
C00437	N-Acetylornithine	6.883	-3.293	0.083	127.831	-3.408	60.0
C00438	N-Carbamoyl-L-aspartate	-5.732	-2.585	0.113	59.15	-2.739	50.0
C00826	L-Arogenate	7.34	4.585	0.625	186.017	6.86	70.0
C06126	Digalactosylceramide	9.18	6.022	0.656	645.02	8.725	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-8.409	-3.17	0.026	348.908	-3.208	60.0
C01185	Nicotinate_D-ribonucleotide	-8.313	-1.0	0.006	320.026	-1.009	50.0
C00558	D-Tagaturonate	7.562	-6.022	0.344	253.952	-6.448	90.0
C15812	[Enzyme]-S-sulfanylcysteine	-2.322	-3.907	0.333	20.001	-2.737	50.0
C15811	[Enzyme]-cysteine	2.322	4.954	0.469	35.996	4.077	60.0
C05796	Galactan	10.544	4.858	0.461	1522.002	9.454	90.0
C00794	D-Sorbitol	-9.18	-6.022	0.112	645.02	-6.175	90.0
C00791	Creatinine	3.459	1.415	0.409	13.663	2.483	60.0
C16219	3-Oxostearoyl-[acp]	9.263	4.322	0.467	634.386	8.209	80.0
C00227	Acetyl_phosphate	3.081	2.218	0.72	13.114	3.239	60.0
C00221	beta-D-Glucose	7.62	3.916	0.514	211.815	6.766	70.0
C00385	Xanthine	-8.262	-2.555	0.019	312.856	-2.582	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	8.264	1.0	0.121	309.406	5.227	60.0
C02504	alpha-Isopropylmalate	-5.649	-2.939	0.153	57.847	-3.144	60.0
C00229	Acyl-carrier_protein	10.721	4.807	0.448	1715.877	9.587	90.0
C00546	Methylglyoxal	-6.313	-5.977	0.792	142.494	-6.819	90.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	10.551	5.524	0.524	1546.277	9.661	90.0
C05838	cis-2-Hydroxycinnamate	-10.551	-5.524	0.031	1546.277	-5.568	80.0
C00364	dTMP	-7.202	-1.415	0.018	149.904	-1.441	50.0
C00365	dUMP	-7.689	1.0	0.01	208.357	-1.014	50.0
C00362	dGMP	-6.541	-0.222	0.013	94.285	-0.24	50.0
C00363	dTDP	9.961	-3.807	0.014	1010.686	-3.827	60.0
C00360	dAMP	-8.667	-7.307	0.39	564.822	-7.782	90.0
C00008	ADP	3.719	4.47	0.832	35.33	4.877	60.0
C00005	NADPH	-1.0	-3.585	0.167	14.0	-1.222	50.0
C00003	NAD+	5.771	-3.807	0.256	68.603	-4.136	70.0
C00002	ATP	9.324	6.714	0.72	745.902	9.069	90.0
C00369	Starch	-3.935	-4.078	0.906	32.184	-4.865	80.0
C05703	Methaneselenol	-9.062	-4.644	0.047	559.485	-4.71	70.0
C16619	6-Thioguanosine_monophosphate	-9.606	-4.931	0.039	809.787	-4.986	80.0
C16618	6-Thioxanthine_5'-monophosphate	6.34	-5.322	0.494	121.01	-5.901	90.0
C02612	(R)-2-Methylmalate	7.629	4.7	0.616	223.943	7.108	70.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-9.241	-4.858	0.048	634.088	-4.926	80.0
C16614	6-Methylmercaptopurine	9.241	4.858	0.526	634.088	8.381	80.0
C03742	(S)-4-Hydroxymandelonitrile	-10.551	-5.524	0.031	1546.277	-5.568	80.0
C00645	N-Acetyl-D-mannosamine	-2.0	-1.585	0.75	7.0	-2.392	50.0
C00099	beta-Alanine	7.451	1.222	0.164	177.307	4.862	60.0
C00310	D-Xylulose	-10.703	6.17	0.043	1738.959	-6.231	90.0
C00641	1,2-Diacyl-sn-glycerol	1.1	-3.406	0.202	12.744	-1.366	50.0
C01931	L-Lysyl-tRNA	-9.62	-6.555	0.119	880.907	-6.718	90.0
C00315	Spermidine	-8.566	-1.7	0.009	382.235	-1.712	50.0
C00314	Pyridoxine	1.0	4.17	0.24	20.001	2.262	50.0
C00760	Cellulose	9.299	-6.19	0.116	702.918	-6.348	90.0
C00093	sn-Glycerol_3-phosphate	5.152	5.061	0.982	68.938	6.082	70.0
C00095	D-Fructose	-9.204	-5.755	0.092	643.771	-5.881	90.0
C00096	GDP-mannose	5.936	0.379	0.064	62.523	1.997	50.0
C00097	L-Cysteine	8.036	4.279	0.532	281.882	7.23	70.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	8.873	4.907	0.553	498.858	8.108	80.0
C06196	2'-Deoxyinosine_5'-phosphate	-9.543	-4.17	0.024	763.984	-4.204	70.0
C03232	3-Phosphonooxypyruvate	-1.138	4.711	0.084	28.392	-1.254	50.0
C00166	Phenylpyruvate	7.979	-1.596	0.012	255.324	-1.613	50.0
C02988	L-Histidyl-tRNA(His)	-8.508	-6.285	0.214	442.03	-6.565	90.0
C00163	Propanoate	10.501	6.476	0.617	1538.175	9.89	90.0
C02984	L-Aspartyl-tRNA(Asp)	-9.85	-5.672	0.055	973.865	-5.75	80.0
C02987	L-Glutamyl-tRNA(Glu)	-9.581	-5.044	0.043	798.884	-5.105	80.0
C03263	Coproporphyrinogen_III	5.17	4.644	0.898	61.004	5.776	70.0
C02047	L-Leucyl-tRNA	-10.661	-5.524	0.028	1665.14	-5.564	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-10.448	-5.615	0.035	1445.897	-5.665	80.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	8.649	6.304	0.729	480.441	8.452	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-8.358	-4.619	0.075	352.675	-4.723	70.0
C00860	L-Histidinol	5.129	4.17	0.813	52.994	5.429	60.0
C02962	D-Allose_6-phosphate	8.945	5.285	0.591	531.837	8.296	80.0
C00864	Pantothenate	4.248	3.459	0.814	29.998	4.61	60.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-8.552	2.585	0.016	381.326	-2.608	50.0
C01380	Ethylene_glycol	9.649	6.443	0.668	889.861	9.215	90.0
C01419	Cys-Gly	10.589	3.907	0.369	1555.306	9.165	90.0
C01412	Butanal	8.651	6.687	0.773	505.021	8.609	90.0
C08325	Amygdalin	10.551	5.524	0.524	1546.277	9.661	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-9.781	-3.939	0.017	895.118	-3.964	60.0
C17962	Demethylphosphinothricin	3.7	3.907	0.947	27.997	4.729	60.0
C03406	N-(L-Arginino)succinate	-8.455	-5.322	0.114	390.922	-5.478	80.0
C07648	Thioguanine	9.241	4.858	0.526	634.088	8.381	80.0
C00288	HCO3-	-8.19	-5.443	0.149	335.537	-5.643	80.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	7.044	1.585	0.225	134.964	4.925	60.0
C00695	Cholic_acid	-7.762	-3.17	0.041	226.068	-3.229	60.0
C18096	D-Allulose_6-phosphate	-8.945	-5.285	0.079	531.837	-5.395	80.0
C00269	CDP-diacylglycerol	-7.116	-5.7	0.375	190.701	-6.159	90.0
C00506	L-Cysteate	9.29	3.0	0.323	633.992	7.678	80.0
C00263	L-Homoserine	5.802	1.503	0.259	58.627	3.925	60.0
C00262	Hypoxanthine	7.192	2.852	0.397	153.44	5.927	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-10.617	-5.585	0.031	1618.492	-5.628	80.0
C16216	3-Oxostearoyl-CoA	10.617	5.585	0.526	1618.492	9.734	90.0
C00267	alpha-D-Glucose	8.316	4.765	0.573	345.878	7.631	80.0
C00266	Glycolaldehyde	-9.327	-6.443	0.135	729.257	-6.626	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-10.328	-5.426	0.033	1328.391	-5.473	80.0
C00460	dUTP	-8.414	4.209	0.054	359.582	-4.285	70.0
C00286	dGTP	-6.216	-4.951	0.416	105.268	-5.453	80.0
C00283	Hydrogen_sulfide	6.781	3.585	0.529	121.973	6.011	70.0
C04432	tRNA_containing_6-isopentenyladenosine	-8.98	-3.807	0.028	518.948	-3.846	60.0
C01962	Thiocysteine	-9.486	-7.807	0.312	941.03	-8.199	90.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	8.175	-3.907	0.052	304.016	-3.98	60.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	10.043	2.807	0.279	1061.978	8.213	80.0
C01209	Malonyl-[acyl-carrier_protein]	8.467	3.931	0.464	369.104	7.421	70.0
C02492	1,4-beta-D-Mannan	8.791	5.524	0.628	488.964	8.263	80.0
C00217	D-Glutamate	7.198	4.392	0.61	167.825	6.678	70.0
C00214	Thymidine	6.989	2.0	0.286	131.028	5.229	60.0
C00212	Adenosine	9.618	4.087	0.425	802.785	8.414	80.0
C00036	Oxaloacetate	5.972	6.503	0.918	153.468	7.139	70.0
C00037	Glycine	8.499	4.775	0.562	389.167	7.772	80.0
C00035	GDP	-6.889	-4.358	0.173	139.027	-4.588	70.0
