compound_code	compound_name	clostridium_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.243	-4.875	0.04	30.528	-0.3	60.0
C00024	Acetyl-CoA	-3.848	-4.381	0.691	35.236	-4.606	90.0
C00026	2-Oxoglutarate	-4.626	-4.807	0.882	52.686	-5.538	90.0
C06481	L-Seryl-tRNA(Sec)	-3.7	-5.807	0.232	68.982	-4.001	90.0
C00020	AMP	0.415	-3.565	0.113	13.168	-0.569	50.0
C00352	D-Glucosamine_6-phosphate	0.585	1.848	0.317	5.1	0.691	60.0
C00022	Pyruvate	-3.526	3.299	0.854	21.362	-4.19	90.0
C00143	5,10-Methylenetetrahydrofolate	1.461	-1.312	0.902	5.236	-2.239	70.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-1.585	-5.129	0.086	37.993	-1.704	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-2.0	-3.904	0.267	18.97	-2.342	70.0
C00029	UDP-glucose	1.766	-1.131	0.644	5.591	-1.848	70.0
C00147	Adenine	-0.101	2.644	0.172	7.323	-0.329	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-0.585	-6.022	0.023	66.483	-0.618	50.0
C00558	D-Tagaturonate	-7.524	-6.022	0.353	249.039	-6.458	90.0
C00149	(S)-Malate	1.339	2.273	0.589	7.363	2.117	70.0
C14089	1-Hydroxymethylnaphthalene	2.954	6.687	0.442	110.785	5.613	90.0
C05400	Epimelibiose	0.585	6.022	0.097	66.483	2.691	70.0
C05401	3-beta-D-Galactosyl-sn-glycerol	0.585	6.022	0.097	66.483	2.691	70.0
C05402	Melibiose	0.222	4.392	0.051	22.162	0.164	60.0
C02430	L-Methionyl-tRNA	-2.322	-4.322	0.25	25.001	-2.644	80.0
C01762	Xanthosine	0.585	4.087	0.143	18.495	1.404	60.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-1.837	-4.038	0.217	20.0	-2.121	70.0
C03232	3-Phosphonooxypyruvate	1.766	4.711	0.375	29.592	3.472	80.0
C00100	Propanoyl-CoA	-1.7	-3.565	0.275	15.084	-2.05	70.0
C00438	N-Carbamoyl-L-aspartate	0.585	-2.585	0.25	7.5	-0.907	50.0
C00101	Tetrahydrofolate	3.933	-2.655	0.412	21.572	-3.153	80.0
C04411	(2R,3S)-3-Isopropylmalate	1.585	2.678	0.592	9.4	2.476	70.0
C06126	Digalactosylceramide	0.585	6.022	0.097	66.483	2.691	70.0
C06250	Holo-[carboxylase]	-0.322	1.415	0.469	3.917	-0.877	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.0	-3.17	0.222	11.0	-1.289	60.0
C00233	4-Methyl-2-oxopentanoate	-0.652	2.402	0.297	6.857	-1.028	50.0
C01185	Nicotinate_D-ribonucleotide	1.0	-1.0	1.0	4.0	-2.0	70.0
C00235	Dimethylallyl_diphosphate	-3.609	-6.423	0.142	98.007	-3.801	90.0
C01613	Stachyose	0.415	5.492	0.076	46.338	1.808	60.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	3.459	4.129	0.838	28.493	4.577	90.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	-3.907	0.2	18.001	-1.848	60.0
C00011	CO2	6.808	7.565	0.9	301.412	8.083	90.0
C00014	Ammonia	1.053	-3.378	0.2	12.471	-1.316	60.0
C00015	UDP	-1.874	-5.037	0.112	36.497	-2.027	70.0
C00065	L-Serine	-0.787	-3.92	0.114	16.862	-0.943	50.0
C00153	Nicotinamide	-0.585	-4.459	0.068	23.493	-0.68	50.0
C00152	L-Asparagine	0.778	1.737	0.448	5.048	1.177	60.0
