compound_code	compound_name	mollicute_mock_score	turicibacter_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-2.134	-1.263	0.547	6.789	-1.892	50.0
C00024	Acetyl-CoA	4.951	2.299	0.464	35.853	4.057	90.0
C00148	L-Proline	3.17	2.07	0.653	13.199	3.108	80.0
C00026	2-Oxoglutarate	1.415	-2.585	0.444	8.667	-1.945	50.0
C06481	L-Seryl-tRNA(Sec)	-3.907	-3.907	1.0	30.002	-4.907	90.0
C00020	AMP	3.285	0.678	0.206	11.347	1.228	60.0
C00352	D-Glucosamine_6-phosphate	1.379	1.848	0.746	6.201	2.21	70.0
C00022	Pyruvate	-3.222	5.066	0.279	42.829	-3.577	80.0
C00143	5,10-Methylenetetrahydrofolate	0.599	0.425	0.71	2.857	1.02	60.0
C00029	UDP-glucose	2.891	-2.962	0.952	15.21	-3.856	80.0
C00147	Adenine	-2.17	-0.322	0.278	5.75	-0.676	60.0
C00144	GMP	-2.888	-0.788	0.233	9.129	-1.09	50.0
C01100	L-Histidinol_phosphate	2.0	3.17	0.631	13.0	3.036	80.0
C00343	Thioredoxin_disulfide	-4.585	3.544	0.486	35.665	-4.115	90.0
C05400	Epimelibiose	3.585	3.7	0.969	24.996	4.598	90.0
C00021	S-Adenosyl-L-homocysteine	-2.459	2.954	0.71	13.247	-3.233	70.0
C05402	Melibiose	-4.087	-3.0	0.471	24.995	-3.557	80.0
C02430	L-Methionyl-tRNA	-3.17	-1.0	0.222	11.0	-1.289	50.0
C00620	alpha-D-Ribose_1-phosphate	3.858	1.807	0.468	17.999	3.076	80.0
C00100	Propanoyl-CoA	-1.585	-0.415	0.444	4.333	-0.945	50.0
C00826	L-Arogenate	2.907	3.17	0.917	16.501	3.92	80.0
C05122	Taurocholate	1.0	1.0	1.0	4.0	2.0	70.0
C06126	Digalactosylceramide	3.585	3.7	0.969	24.996	4.598	90.0
C00231	D-Xylulose_5-phosphate	-2.656	1.802	0.553	9.79	-2.437	60.0
C01185	Nicotinate_D-ribonucleotide	-1.222	2.7	0.359	8.831	-1.665	50.0
C01613	Stachyose	4.807	4.322	0.899	47.994	5.431	90.0
C18902	Methylselenic_acid	3.7	3.7	1.0	25.992	4.7	90.0
C00010	CoA	2.0	-3.0	0.5	12.0	-2.585	60.0
C00011	CO2	6.409	2.322	0.362	89.977	5.027	90.0
C00014	Ammonia	-3.619	3.191	0.743	21.419	-3.993	80.0
C00015	UDP	-3.17	-4.575	0.378	32.835	-3.632	80.0
C00065	L-Serine	-1.578	0.981	0.661	4.959	-1.713	50.0
C16688	Sucrose_6-phosphate	5.459	4.755	0.871	70.989	5.95	90.0
C01528	Hydrogen_selenide	-3.544	-2.322	0.429	16.664	-2.837	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3.459	1.0	0.289	12.997	1.91	70.0
C00794	D-Sorbitol	-3.585	-3.7	0.923	24.996	-4.529	90.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	1.0	3.907	0.256	17.001	2.121	70.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	1.585	-3.585	0.25	15.0	-1.907	50.0
C05399	Melibiitol	3.585	3.7	0.969	24.996	4.598	90.0
C05345	beta-D-Fructose_6-phosphate	1.412	4.279	0.33	22.075	2.865	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-3.755	-4.585	0.563	37.502	-4.399	90.0
C02336	beta-D-Fructose	-4.7	-4.17	0.693	43.993	-4.929	90.0
C06037	Digalactosyl-diacylglycerol	3.585	3.7	0.969	24.996	4.598	90.0
C00221	beta-D-Glucose	3.459	-3.563	0.93	22.815	-4.408	90.0
