compound_code	compound_name	alistipes_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-6.658	-7.693	0.0	0.0	0.0	50.0
C00149	(S)-Malate	-5.856	4.459	0.38	79.914	-4.923	80.0
C00944	3-Dehydroquinate	5.392	-6.954	0.339	165.974	-5.813	90.0
C02430	L-Methionyl-tRNA	-5.044	-3.585	0.0	0.0	0.0	50.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-4.807	-4.322	0.0	0.0	0.0	50.0
C14819	Fe3+	-7.15	-6.794	0.0	0.0	0.0	50.0
C14818	Fe2+	7.15	6.794	0.95	252.993	7.909	80.0
C00438	N-Carbamoyl-L-aspartate	3.858	-3.03	0.563	22.668	-3.675	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-4.907	5.672	0.588	80.987	-5.575	80.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	6.644	5.248	0.79	138.012	6.768	70.0
C01185	Nicotinate_D-ribonucleotide	-6.19	5.261	0.525	111.355	-5.87	90.0
C00558	D-Tagaturonate	6.19	-8.061	0.273	340.065	-6.539	90.0
C06441	L-Xylulose_1-phosphate	5.833	6.524	0.894	149.032	7.058	70.0
C05796	Galactan	6.248	7.901	0.791	315.026	7.961	80.0
C16219	3-Oxostearoyl-[acp]	6.34	-2.322	0.062	86.009	-2.408	70.0
C11538	Cobalt-sirohydrochlorin	-5.807	-4.17	0.0	0.0	0.0	50.0
C00224	Adenylyl_sulfate	-7.615	2.0	0.02	200.039	-2.029	70.0
C00221	beta-D-Glucose	3.215	-8.89	0.02	483.699	-3.243	70.0
C00385	Xanthine	-4.19	-5.867	0.0	0.0	0.0	50.0
C00387	Guanosine	7.304	7.676	0.952	362.53	8.43	90.0
C00229	Acyl-carrier_protein	7.257	6.781	0.934	262.931	7.941	80.0
C05841	Nicotinate_D-ribonucleoside	7.304	7.676	0.952	362.53	8.43	90.0
C00546	Methylglyoxal	-6.919	-8.202	0.0	0.0	0.0	50.0
C00508	L-Ribulose	-7.112	-8.512	0.0	0.0	0.0	50.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	7.435	9.95	0.747	1162.163	9.762	90.0
C05838	cis-2-Hydroxycinnamate	-7.435	-9.95	0.0	0.0	0.0	50.0
C00364	dTMP	3.087	-4.787	0.308	36.105	-3.474	70.0
C00365	dUMP	-5.221	-6.949	0.0	0.0	0.0	50.0
C00362	dGMP	-5.755	-2.7	0.0	0.0	0.0	50.0
C00009	Orthophosphate	-6.229	-7.883	0.0	0.0	0.0	50.0
C00008	ADP	-2.336	7.258	0.033	158.114	-2.383	70.0
C00006	NADP+	-6.322	-6.672	0.0	0.0	0.0	50.0
C00003	NAD+	-7.5	-6.163	0.0	0.0	0.0	50.0
C00002	ATP	6.959	8.749	0.795	554.654	8.785	90.0
C00369	Starch	2.644	4.763	0.555	33.403	4.213	60.0
C05703	Methaneselenol	-6.845	-7.547	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-7.129	-8.028	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	-2.0	-7.877	0.0	0.0	0.0	50.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-7.077	-7.864	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	7.077	7.864	0.9	367.987	8.371	80.0
C03742	(S)-4-Hydroxymandelonitrile	-7.435	-9.95	0.0	0.0	0.0	50.0
C00312	L-Xylulose	7.055	7.392	0.954	300.937	8.166	80.0
C00310	D-Xylulose	-6.443	9.028	0.167	609.037	-6.665	90.0
C01931	L-Lysyl-tRNA	-6.931	-7.697	0.0	0.0	0.0	50.0
C00315	Spermidine	-6.15	-0.322	0.0	0.0	0.0	50.0
C01528	Hydrogen_selenide	-6.812	-7.547	0.0	0.0	0.0	50.0
C00760	Cellulose	7.435	9.347	0.795	824.264	9.357	90.0
C00093	sn-Glycerol_3-phosphate	7.347	-7.965	0.652	412.669	-8.071	90.0
C00095	D-Fructose	-7.827	7.353	0.72	390.554	-8.135	90.0
C00097	L-Cysteine	-7.224	6.061	0.447	216.264	-6.594	90.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	5.883	7.994	0.736	313.952	7.852	80.0
C06196	2'-Deoxyinosine_5'-phosphate	-7.484	-6.022	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-7.071	-6.566	0.0	0.0	0.0	50.0
C05773	Cobyrinate	5.755	5.358	0.931	95.017	6.467	70.0
C05778	Sirohydrochlorin	5.807	1.0	0.172	57.986	3.32	60.0
C00167	UDP-glucuronate	-6.476	-7.877	0.0	0.0	0.0	50.0
C00160	Glycolate	-6.229	-7.955	0.0	0.0	0.0	50.0
C00163	Propanoate	7.238	9.101	0.795	700.086	9.121	90.0
C02984	L-Aspartyl-tRNA(Asp)	-6.285	-7.852	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-6.426	-8.103	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	6.109	8.52	0.717	436.115	8.289	80.0
C02047	L-Leucyl-tRNA	-6.524	-9.0	0.0	0.0	0.0	50.0
C03082	4-Phospho-L-aspartate	1.379	6.8	0.203	114.031	4.531	60.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.15	-8.852	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	-3.459	6.34	0.136	92.005	-3.643	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.441	-5.964	0.348	84.143	-4.872	80.0
C00861	L-Rhamnulose	-6.883	-6.066	0.0	0.0	0.0	50.0
C02962	D-Allose_6-phosphate	6.508	8.331	0.781	413.032	8.334	80.0
C00864	Pantothenate	-6.524	6.852	0.797	207.548	-7.369	90.0
C01380	Ethylene_glycol	7.728	8.114	0.952	489.061	8.864	90.0
C01419	Cys-Gly	8.618	6.384	0.741	476.412	8.463	90.0
C08325	Amygdalin	7.435	9.95	0.747	1162.163	9.762	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-7.0	-8.084	0.0	0.0	0.0	50.0
C07648	Thioguanine	7.077	7.864	0.9	367.987	8.371	80.0
C07649	5-FU	6.845	7.349	0.931	277.992	8.016	80.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-4.392	-6.022	0.0	0.0	0.0	50.0
C00695	Cholic_acid	-6.17	-7.418	0.0	0.0	0.0	50.0
C18096	D-Allulose_6-phosphate	-6.508	-8.195	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-1.773	4.902	0.114	33.316	-1.929	70.0
C00506	L-Cysteate	6.658	7.693	0.865	307.915	8.058	80.0
C00507	L-Rhamnose	7.966	7.87	0.988	483.978	8.901	90.0
C00262	Hypoxanthine	3.35	-1.954	0.38	14.071	-2.419	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.358	-8.679	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	8.358	8.679	0.963	737.965	9.473	90.0
C00267	alpha-D-Glucose	6.297	7.457	0.844	254.333	7.747	80.0
C00266	Glycolaldehyde	-7.478	-7.733	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.267	-7.6	0.0	0.0	0.0	50.0
C00460	dUTP	7.484	7.555	0.991	367.076	8.506	90.0
C00286	dGTP	5.554	-8.041	0.178	310.36	-5.791	90.0
C00407	L-Isoleucine	-3.485	-6.282	0.0	0.0	0.0	50.0
C01962	Thiocysteine	-6.129	-7.459	0.0	0.0	0.0	50.0
C05688	L-Selenocysteine	6.741	1.0	0.148	108.965	4.015	60.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	5.807	6.15	0.944	126.999	6.906	70.0
C18026	(2S)-Ethylmalonyl-CoA	7.96	9.494	0.838	970.072	9.668	90.0
C01209	Malonyl-[acyl-carrier_protein]	6.902	6.672	0.967	221.564	7.743	80.0
C00217	D-Glutamate	3.907	5.615	0.696	64.011	5.477	60.0
C00214	Thymidine	6.615	5.102	0.771	132.364	6.674	70.0
C00212	Adenosine	7.304	6.819	0.934	270.932	7.983	80.0
C05840	Iminoaspartate	5.992	3.459	0.577	74.643	5.429	60.0
C00037	Glycine	-6.054	8.083	0.245	337.601	-6.37	90.0
C00035	GDP	3.624	1.7	0.469	15.578	2.869	60.0
C00031	D-Glucose	7.055	7.856	0.898	364.656	8.355	80.0
C00135	L-Histidine	6.508	-6.2	0.808	164.53	-7.054	90.0
C00134	Putrescine	-3.459	6.009	0.171	75.397	-3.686	80.0
C00133	D-Alanine	3.322	5.833	0.57	67.005	5.254	60.0
C00131	dATP	2.115	-6.479	0.049	93.534	-2.183	70.0
C00130	IMP	-0.059	-2.346	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.536	-4.585	0.483	35.6	-4.105	80.0
C00042	Succinate	6.989	4.7	0.672	153.02	6.685	70.0
C00041	L-Alanine	-4.97	6.79	0.283	142.002	-5.33	80.0
C00040	Acyl-CoA	7.136	7.654	0.932	342.065	8.317	80.0
C00047	L-Lysine	6.931	-5.951	0.507	183.885	-6.543	90.0
C00046	RNA	-6.306	-7.76	0.0	0.0	0.0	50.0
