compound_code	compound_name	alistipes_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-6.658	-10.382	0.076	1435.408	-6.763	70.0
C16243	Cobalt-precorrin_5B	6.409	3.17	0.495	93.977	5.539	60.0
C00149	(S)-Malate	-5.856	-9.121	0.104	614.714	-5.999	60.0
C00944	3-Dehydroquinate	5.392	-6.459	0.477	129.964	-5.955	60.0
C02430	L-Methionyl-tRNA	-5.044	-8.071	0.123	301.905	-5.211	60.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-4.807	7.562	0.148	216.961	-5.006	50.0
C14819	Fe3+	-7.15	-10.065	0.133	1213.216	-7.33	90.0
C14818	Fe2+	7.15	10.065	0.71	1213.216	9.751	90.0
C00828	Menaquinone	-5.883	-8.931	0.121	547.103	-6.048	60.0
C00438	N-Carbamoyl-L-aspartate	3.858	-5.732	0.273	67.65	-4.206	50.0
C00535	Testosterone	6.15	5.322	0.865	111.014	6.586	60.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-4.907	-8.409	0.088	369.91	-5.029	60.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	6.644	-8.488	0.279	459.05	-6.999	80.0
C01185	Nicotinate_D-ribonucleotide	-6.19	-8.313	0.23	391.035	-6.488	70.0
C00558	D-Tagaturonate	6.19	7.562	0.819	261.977	7.744	70.0
C06441	L-Xylulose_1-phosphate	5.833	10.16	0.574	1201.106	9.43	80.0
C05796	Galactan	6.248	10.544	0.593	1569.005	9.861	90.0
C00506	L-Cysteate	6.658	9.29	0.717	726.977	9.025	80.0
C11538	Cobalt-sirohydrochlorin	-5.807	-3.17	0.161	64.987	-3.385	50.0
C00221	beta-D-Glucose	3.215	7.62	0.422	206.006	6.442	60.0
C00385	Xanthine	-4.19	-8.262	0.059	325.232	-4.273	50.0
C00387	Guanosine	7.304	9.618	0.759	943.814	9.485	90.0
C00229	Acyl-carrier_protein	7.257	10.721	0.677	1840.843	10.283	90.0
C05841	Nicotinate_D-ribonucleoside	7.304	9.618	0.759	943.814	9.485	90.0
C00546	Methylglyoxal	-6.919	-6.313	0.657	200.518	-7.042	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.358	-10.617	0.209	1898.593	-8.632	90.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	7.435	10.551	0.705	1673.308	10.204	90.0
C05838	cis-2-Hydroxycinnamate	-7.435	-10.551	0.115	1673.308	-7.592	90.0
C00364	dTMP	3.087	-7.202	0.058	155.735	-3.168	50.0
C00365	dUMP	-5.221	-7.689	0.181	243.655	-5.461	60.0
C00362	dGMP	-5.755	-6.541	0.58	147.123	-6.415	70.0
C00363	dTDP	-6.672	9.961	0.102	1098.659	-6.813	80.0
C00009	Orthophosphate	-6.229	-8.827	0.165	529.152	-6.45	70.0
C00008	ADP	-2.336	3.719	0.383	18.217	-2.804	50.0
C00006	NADP+	-6.322	-8.297	0.254	394.522	-6.649	70.0
C00003	NAD+	-7.5	5.771	0.302	235.626	-6.151	60.0
C00002	ATP	6.959	9.324	0.746	765.333	9.158	80.0
C00369	Starch	2.644	-3.935	0.409	21.546	-3.138	50.0
C05703	Methaneselenol	-6.845	-9.062	0.215	649.444	-7.126	80.0
C16619	6-Thioguanosine_monophosphate	-7.129	-9.606	0.18	919.254	-7.367	90.0
C16618	6-Thioxanthine_5'-monophosphate	-2.0	6.34	0.049	85.008	-2.07	50.0
C04652	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	-5.146	-6.933	0.29	157.599	-5.513	60.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-7.077	-9.241	0.223	740.105	-7.368	90.0
C16614	6-Methylmercaptopurine	7.077	9.241	0.766	740.105	9.147	80.0
C03742	(S)-4-Hydroxymandelonitrile	-7.435	-10.551	0.115	1673.308	-7.592	90.0
C00312	L-Xylulose	7.055	7.852	0.898	364.014	8.353	70.0
C00310	D-Xylulose	-6.443	-10.703	0.052	1753.959	-6.516	70.0
C01242	S-Aminomethyldihydrolipoylprotein	5.977	-7.941	0.256	308.73	-6.306	70.0
C01931	L-Lysyl-tRNA	-6.931	-9.62	0.155	908.902	-7.139	80.0
C00315	Spermidine	-6.15	-8.566	0.187	449.998	-6.398	70.0
C01528	Hydrogen_selenide	-6.812	-8.907	0.234	592.398	-7.115	80.0
C00091	Succinyl-CoA	-6.522	-11.246	0.038	2520.653	-6.576	70.0
C00092	D-Glucose_6-phosphate	-7.589	9.952	0.194	1183.029	-7.845	90.0
C00093	sn-Glycerol_3-phosphate	7.347	5.152	0.701	198.36	7.12	60.0
C00095	D-Fructose	-7.827	-9.204	0.385	816.838	-8.297	90.0
C00097	L-Cysteine	-7.224	8.036	0.57	411.968	-7.874	90.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	5.883	8.873	0.663	527.87	8.451	70.0
C06196	2'-Deoxyinosine_5'-phosphate	-7.484	-9.543	0.24	925.006	-7.794	90.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-7.071	-9.981	0.133	1145.059	-7.251	80.0
C04738	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine	-2.0	-10.399	0.003	1354.24	-2.004	50.0
C17560	2-Polyprenyl-6-methoxy-1,4-benzoquinone	5.883	8.931	0.659	547.103	8.493	70.0
C17561	2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone	-5.883	-8.931	0.121	547.103	-6.048	60.0
C05775	alpha-Ribazole	-0.737	2.663	0.263	8.0	-1.074	60.0
C05773	Cobyrinate	5.755	3.0	0.521	62.004	5.014	60.0
C05778	Sirohydrochlorin	5.807	3.17	0.546	64.987	5.149	60.0
C00167	UDP-glucuronate	-6.476	-9.282	0.143	711.547	-6.669	70.0
C00160	Glycolate	-6.229	7.315	0.471	234.243	-6.786	80.0
C00163	Propanoate	7.238	10.501	0.689	1600.116	10.107	90.0
C02984	L-Aspartyl-tRNA(Asp)	-6.285	-9.85	0.084	1000.859	-6.402	70.0
C02987	L-Glutamyl-tRNA(Glu)	-6.426	-9.581	0.112	851.878	-6.58	70.0
C03263	Coproporphyrinogen_III	6.109	5.17	0.846	105.025	6.474	60.0
C02047	L-Leucyl-tRNA	-6.524	-10.661	0.057	1711.154	-6.604	70.0
C06567	Penicilloic_acid	-5.931	-6.87	0.522	177.982	-6.537	70.0
C03082	4-Phospho-L-aspartate	1.379	-7.397	0.015	171.147	-1.401	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.15	-10.448	0.102	1538.912	-7.29	80.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	-3.459	8.649	0.027	412.425	-3.498	50.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.441	-8.358	0.066	349.823	-4.533	50.0
C00861	L-Rhamnulose	-6.883	-10.92	0.061	2055.555	-6.968	80.0
C02962	D-Allose_6-phosphate	6.508	8.945	0.728	583.861	8.731	80.0
C00864	Pantothenate	-6.524	4.248	0.206	111.029	-4.519	50.0
C01380	Ethylene_glycol	7.728	9.649	0.801	1014.869	9.667	90.0
C01419	Cys-Gly	8.618	10.589	0.814	1933.2	10.62	90.0
C04932	Lipid_A_disaccharide	5.285	7.484	0.706	218.012	7.266	60.0
C06510	Adenosine-GDP-cobinamide	5.129	2.322	0.453	39.993	4.178	60.0
C08325	Amygdalin	7.435	10.551	0.705	1673.308	10.204	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-7.0	-9.781	0.145	1007.781	-7.196	80.0
C07648	Thioguanine	7.077	9.241	0.766	740.105	9.147	80.0
C07649	5-FU	6.845	8.823	0.776	567.846	8.783	80.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-4.392	7.044	0.159	152.959	-4.605	50.0
C00695	Cholic_acid	-6.17	-7.762	0.332	289.071	-6.583	70.0
C18096	D-Allulose_6-phosphate	-6.508	-8.945	0.185	583.861	-6.752	70.0
C00269	CDP-diacylglycerol	-1.773	-7.116	0.025	142.135	-1.808	50.0
C16219	3-Oxostearoyl-[acp]	6.34	9.263	0.684	695.394	8.895	80.0
