compound_code	compound_name	turicibacter_mock_score	alistipes_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-1.263	5.618	0.049	51.512	-1.332	50.0
C00148	L-Proline	2.07	7.18	0.288	149.208	5.427	80.0
C00026	2-Oxoglutarate	-2.585	-6.017	0.093	70.759	-2.713	50.0
C06481	L-Seryl-tRNA(Sec)	-3.907	-6.768	0.138	123.987	-4.093	80.0
C00020	AMP	0.678	1.585	0.428	4.6	0.977	60.0
C00352	D-Glucosamine_6-phosphate	1.848	-5.728	0.068	56.603	-1.943	50.0
C00022	Pyruvate	5.066	6.239	0.812	109.029	6.468	90.0
C00143	5,10-Methylenetetrahydrofolate	0.425	-5.215	0.036	38.485	-0.476	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.854	-4.392	0.086	22.803	-0.973	60.0
C00029	UDP-glucose	-2.962	4.17	0.433	25.793	-3.481	70.0
C00147	Adenine	-0.322	-2.755	0.185	8.001	-0.567	60.0
C00144	GMP	-0.788	-6.229	0.023	76.736	-0.821	60.0
C01103	Orotidine_5'-phosphate	3.17	-3.7	0.693	21.997	-3.929	70.0
C05528	3-Sulfopyruvate	-4.17	-6.658	0.178	118.986	-4.407	80.0
C01094	D-Fructose_1-phosphate	3.322	7.366	0.451	174.964	6.302	90.0
C02430	L-Methionyl-tRNA	-1.0	-5.044	0.061	34.991	-1.085	50.0
C03939	Acetyl-[acyl-carrier_protein]	4.17	3.051	0.732	26.289	4.266	70.0
C05729	R-S-Cysteinylglycine	3.807	8.618	0.442	406.892	7.49	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-4.181	-3.382	0.575	28.564	-4.037	80.0
C03232	3-Phosphonooxypyruvate	1.766	3.766	0.469	17.005	2.995	70.0
C05684	Selenite	3.7	6.943	0.533	136.037	6.18	90.0
C05754	trans-Dec-2-enoyl-[acp]	-4.087	-5.7	0.327	68.979	-4.495	80.0
C00101	Tetrahydrofolate	0.515	4.512	0.114	24.245	1.469	60.0
C05122	Taurocholate	1.0	6.17	0.162	74.004	3.584	70.0
C05726	S-Substituted_L-cysteine	-3.807	-8.618	0.036	406.892	-3.858	70.0
C00445	5,10-Methenyltetrahydrofolate	0.059	3.781	0.016	14.788	-2.116	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	3.322	-7.484	0.056	189.023	-3.4	70.0
C06250	Holo-[carboxylase]	-1.585	-6.267	0.039	80.011	-1.64	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-4.954	-4.907	0.968	60.998	-5.884	90.0
C01185	Nicotinate_D-ribonucleotide	2.7	-6.19	0.089	79.507	-2.823	50.0
C18902	Methylselenic_acid	3.7	6.943	0.533	136.037	6.18	90.0
C00010	CoA	-3.0	-6.755	0.074	116.008	-3.103	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-2.807	-6.807	0.062	118.971	-2.894	60.0
C00014	Ammonia	3.191	-4.031	0.559	25.48	-3.831	70.0
C00015	UDP	-4.575	-3.907	0.629	38.836	-4.611	90.0
C05751	trans-Oct-2-enoyl-[acp]	-4.087	-5.7	0.327	68.979	-4.495	80.0
C00065	L-Serine	0.981	5.185	0.189	38.352	2.859	70.0
C05796	Galactan	3.322	6.248	0.532	86.004	5.515	80.0
C00152	L-Asparagine	-3.434	6.7	0.104	114.776	-3.577	70.0
C00155	L-Homocysteine	-0.402	-1.379	0.508	3.922	-0.995	60.0
C05752	Octanoyl-[acp]	4.17	6.498	0.642	108.385	6.12	80.0
C05746	3-Oxohexanoyl-[acp]	-3.459	6.34	0.136	92.005	-3.643	70.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.0	6.19	0.219	89.009	-4.286	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	1.585	4.907	0.323	33.002	3.414	70.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	3.907	-4.954	0.484	45.997	-4.476	80.0
C16219	3-Oxostearoyl-[acp]	-3.459	6.34	0.136	92.005	-3.643	70.0
C00760	Cellulose	4.115	7.435	0.553	190.372	6.719	90.0
C05345	beta-D-Fructose_6-phosphate	4.279	5.811	0.736	75.555	5.798	80.0
C00153	Nicotinamide	-1.0	-7.304	0.013	160.024	-1.018	60.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.585	-6.615	0.245	122.02	-4.901	90.0
C00221	beta-D-Glucose	-3.563	3.215	0.786	21.104	-4.051	80.0
C03838	5'-Phosphoribosylglycinamide	-5.644	-6.741	0.467	156.97	-6.197	90.0
C00385	Xanthine	-0.678	-4.19	0.088	19.852	-0.799	60.0
C00387	Guanosine	1.0	7.304	0.137	160.024	4.453	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	2.954	-7.071	0.058	142.206	-3.035	60.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-4.0	-6.426	0.186	101.984	-4.246	80.0
C05841	Nicotinate_D-ribonucleoside	1.0	7.304	0.137	160.024	4.453	70.0
C00655	Xanthosine_5'-phosphate	0.663	-2.773	0.232	8.419	-0.964	60.0
C00118	D-Glyceraldehyde_3-phosphate	4.617	4.754	0.971	51.522	5.645	80.0
C00718	Amylose	-4.0	-2.55	0.366	21.856	-3.0	60.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.0	-6.845	0.07	122.961	-3.097	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-1.0	-6.57	0.021	97.01	-1.03	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-3.0	-8.358	0.024	336.102	-3.035	60.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	4.672	7.435	0.628	198.537	6.963	90.0
C05838	cis-2-Hydroxycinnamate	-4.672	-7.435	0.147	198.537	-4.87	90.0
C01127	4-Hydroxy-2-oxoglutarate	3.459	7.827	0.442	238.068	6.717	90.0
C00365	dUMP	0.874	-5.221	0.049	39.13	-0.943	60.0
C05466	Glycochenodeoxycholate	1.0	6.17	0.162	74.004	3.584	70.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-3.459	6.34	0.136	92.005	-3.643	70.0
C20375	Glutaryl-[acp]_methyl_ester	4.17	7.229	0.577	168.02	6.599	90.0
C00008	ADP	-3.298	-2.336	0.513	14.885	-2.934	60.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	3.907	-4.954	0.484	45.997	-4.476	80.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-4.087	6.629	0.172	115.97	-4.316	80.0
C00003	NAD+	-2.415	-7.5	0.029	186.353	-2.457	50.0
C00002	ATP	3.027	6.959	0.435	132.565	5.85	80.0
C00369	Starch	2.874	2.644	0.92	13.582	3.643	70.0
C05703	Methaneselenol	-2.807	-6.845	0.061	121.959	-2.892	60.0
C00035	GDP	-3.626	3.624	0.999	24.675	-4.623	90.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	1.0	5.392	0.185	43.991	3.028	70.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	2.585	-4.977	0.191	37.494	-2.837	50.0
C00361	dGDP	1.222	-4.481	0.104	24.664	-1.365	50.0
C16619	6-Thioguanosine_monophosphate	-1.0	-7.129	0.014	141.973	-1.02	60.0
C00253	Nicotinate	-0.415	-7.304	0.008	159.357	-0.427	60.0
C05336	Selenomethionyl-tRNA(Met)	-1.0	-6.741	0.019	108.965	-1.027	60.0
C00441	L-Aspartate_4-semialdehyde	2.585	-4.815	0.213	34.149	-2.864	60.0
C00416	Phosphatidate	2.939	4.19	0.701	25.921	4.184	70.0
C00259	L-Arabinose	-6.248	8.262	0.248	382.984	-6.567	90.0
C03742	(S)-4-Hydroxymandelonitrile	-4.672	-7.435	0.147	198.537	-4.87	90.0
C01081	Thiamin_monophosphate	-3.585	7.349	0.074	175.031	-3.687	70.0
C00310	D-Xylulose	5.907	-6.443	0.69	147.008	-6.664	90.0
C01931	L-Lysyl-tRNA	-1.0	-6.931	0.016	124.022	-1.023	60.0
C01528	Hydrogen_selenide	-2.322	-6.812	0.045	117.361	-2.385	50.0
C00886	L-Alanyl-tRNA	-3.907	-6.7	0.144	118.969	-4.101	80.0
C00092	D-Glucose_6-phosphate	-2.678	-7.589	0.033	198.938	-2.725	50.0
C00093	sn-Glycerol_3-phosphate	2.102	7.347	0.286	167.098	5.579	80.0
C00095	D-Fructose	1.459	-7.827	0.012	229.82	-1.476	50.0
C00097	L-Cysteine	-2.858	-7.224	0.048	156.75	-2.926	60.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-3.322	-6.248	0.132	86.004	-3.5	70.0
C00078	L-Tryptophan	1.0	6.409	0.156	86.977	3.762	70.0
C00079	L-Phenylalanine	1.99	-1.138	0.554	6.173	-1.774	50.0
C00188	L-Threonine	2.546	7.721	0.33	216.826	6.16	80.0
C01798	D-Glucoside	4.672	7.435	0.628	198.537	6.963	90.0
C00073	L-Methionine	2.668	5.298	0.504	45.698	4.524	80.0
C00231	D-Xylulose_5-phosphate	1.802	-5.576	0.073	51.19	-1.904	50.0
C00074	Phosphoenolpyruvate	-6.807	-6.979	0.888	238.123	-7.724	90.0
C00075	UTP	3.194	5.652	0.565	59.434	5.07	80.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	2.954	-7.071	0.058	142.206	-3.035	60.0
C00337	(S)-Dihydroorotate	-2.503	-6.57	0.06	100.678	-2.587	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-4.087	-5.7	0.327	68.979	-4.495	80.0
C00123	L-Leucine	1.737	-3.322	0.333	13.334	-2.152	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-1.0	-6.409	0.024	86.977	-1.034	50.0
C00279	D-Erythrose_4-phosphate	-0.628	-3.68	0.121	14.363	-0.792	60.0
C02659	Acetone_cyanohydrin	-4.672	-7.435	0.147	198.537	-4.87	90.0
C00085	D-Fructose_6-phosphate	-3.322	4.926	0.329	40.401	-3.732	70.0
C00242	Guanine	-1.0	-4.585	0.083	26.001	-1.115	50.0
C00245	Taurine	-1.0	-6.17	0.028	74.004	-1.04	50.0
C00082	L-Tyrosine	0.022	1.248	0.018	3.39	-4.064	80.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	3.322	6.248	0.532	86.004	5.515	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-1.0	4.585	0.083	26.001	-1.115	50.0
C04646	6-Thioinosine-5'-monophosphate	1.585	3.807	0.416	16.997	2.823	70.0
C01921	Glycocholate	1.0	6.17	0.162	74.004	3.584	70.0
