compound_code	compound_name	lactobacillus_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00259	L-Arabinose	4.392	3.585	0.816	32.996	4.751	80.0
C00149	(S)-Malate	2.322	-4.948	0.162	35.867	-2.539	50.0
C02430	L-Methionyl-tRNA	3.585	-5.248	0.316	50.002	-3.981	70.0
C14818	Fe2+	2.322	3.17	0.732	14.001	3.358	70.0
C00438	N-Carbamoyl-L-aspartate	-1.585	2.459	0.546	8.498	-2.213	50.0
C06126	Digalactosylceramide	6.954	2.322	0.334	128.983	5.429	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-5.209	1.0	0.054	38.988	-1.076	60.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-3.17	-4.907	0.3	39.003	-3.549	70.0
C01185	Nicotinate_D-ribonucleotide	3.524	-4.503	0.507	34.178	-4.116	80.0
C06128	GM4	3.322	1.0	0.301	12.0	1.853	70.0
C05751	trans-Oct-2-enoyl-[acp]	-3.459	-3.0	0.727	18.997	-3.789	70.0
C05796	Galactan	8.449	9.541	0.886	1094.414	9.921	90.0
C00794	D-Sorbitol	-4.524	-2.322	0.217	28.007	-2.606	50.0
C00227	Acetyl_phosphate	-6.014	-0.547	0.023	66.085	-0.579	60.0
C00226	Primary_alcohol	7.639	0.585	0.077	200.828	3.943	70.0
C01236	D-Glucono-1,5-lactone_6-phosphate	7.219	1.0	0.139	150.983	4.386	80.0
C00221	beta-D-Glucose	-7.943	-5.574	0.194	293.719	-5.829	90.0
C00385	Xanthine	-4.313	2.907	0.377	27.377	-3.369	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-2.322	5.448	0.115	48.653	-2.478	50.0
C02504	alpha-Isopropylmalate	0.503	2.585	0.195	7.417	0.529	60.0
C00229	Acyl-carrier_protein	-4.392	8.583	0.055	404.473	-4.469	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.0	-5.781	0.582	86.986	-5.662	90.0
C02291	L-Cystathionine	3.755	3.585	0.955	25.501	4.606	80.0
C00365	dUMP	-4.692	-1.737	0.129	29.182	-1.912	50.0
C00362	dGMP	-3.459	-2.322	0.455	15.997	-2.863	60.0
C00363	dTDP	5.17	4.807	0.93	63.995	5.895	90.0
C00008	ADP	-6.646	-2.624	0.062	106.313	-2.71	50.0
C00006	NADP+	6.011	-3.17	0.14	73.49	-3.358	60.0
C00005	NADPH	-6.16	-1.0	0.028	73.506	-1.04	60.0
C00003	NAD+	-1.138	-0.737	0.757	3.867	-1.55	50.0
C00002	ATP	-6.267	7.296	0.49	234.162	-6.842	90.0
C00369	Starch	4.807	5.989	0.803	91.507	6.199	90.0
C05703	Methaneselenol	-6.16	-3.248	0.133	81.007	-3.428	60.0
C00376	Retinal	-7.704	-0.585	0.007	210.014	-0.595	60.0
C16619	6-Thioguanosine_monophosphate	-4.524	-4.883	0.78	52.514	-5.356	90.0
C16618	6-Thioxanthine_5'-monophosphate	4.585	-3.0	0.333	32.001	-3.415	60.0
C02612	(R)-2-Methylmalate	0.585	2.585	0.226	7.5	0.763	70.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-3.17	-5.044	0.273	41.991	-3.518	70.0
C16614	6-Methylmercaptopurine	3.17	5.044	0.628	41.991	4.722	80.0
C00645	N-Acetyl-D-mannosamine	-4.629	-2.202	0.186	29.345	-2.448	50.0
C00099	beta-Alanine	2.459	-1.0	0.364	7.498	-1.448	60.0
C01931	L-Lysyl-tRNA	-4.322	-5.129	0.572	54.994	-4.974	90.0
C00314	Pyridoxine	8.055	0.737	0.091	267.615	4.614	80.0
C00091	Succinyl-CoA	-7.6	-1.83	0.018	197.567	-1.856	50.0
C00092	D-Glucose_6-phosphate	-6.582	-6.047	0.69	161.922	-6.804	90.0
C00093	sn-Glycerol_3-phosphate	-1.463	3.0	0.345	10.757	-1.89	50.0
C00095	D-Fructose	4.824	-4.492	0.794	50.827	-5.336	90.0
C00096	GDP-mannose	5.755	3.818	0.663	68.108	5.498	90.0
C00097	L-Cysteine	-5.926	-3.534	0.191	72.384	-3.786	70.0
C14099	2-Naphthaldehyde	-7.639	-0.585	0.008	200.828	-0.596	60.0
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-3.322	-3.17	0.9	19.001	-4.096	80.0
C14090	1-Naphthaldehyde	-7.639	-0.585	0.008	200.828	-0.596	60.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-5.524	4.755	0.587	73.016	-5.421	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-6.209	-4.248	0.257	92.978	-4.578	80.0
C02730	2-Succinylbenzoate	3.459	2.807	0.812	17.995	3.868	70.0
C00870	4-Nitrophenol	-3.17	-5.17	0.25	45.002	-3.492	70.0
C02988	L-Histidyl-tRNA(His)	-3.0	-2.585	0.75	14.0	-3.392	60.0
C00163	Propanoate	6.615	4.087	0.618	115.014	6.151	90.0
C02984	L-Aspartyl-tRNA(Asp)	-4.459	-5.492	0.489	66.998	-5.033	90.0
C02987	L-Glutamyl-tRNA(Glu)	-4.322	-3.644	0.625	32.502	-4.344	80.0
C00169	Carbamoyl_phosphate	-3.49	-1.841	0.319	14.818	-2.24	50.0
C02047	L-Leucyl-tRNA	-4.755	-5.426	0.628	69.994	-5.458	90.0
C03082	4-Phospho-L-aspartate	5.44	0.531	0.098	44.856	2.13	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.087	-5.248	0.894	71.991	-6.009	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	2.0	5.508	0.363	49.506	4.168	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	3.147	1.28	0.407	11.287	2.199	70.0
C00864	Pantothenate	4.087	-2.585	0.353	22.995	-3.021	60.0
C01380	Ethylene_glycol	1.0	3.585	0.279	14.0	1.965	70.0
C01419	Cys-Gly	2.322	5.931	0.392	66.011	4.692	80.0
C03360	4-Nitrophenyl_phosphate	3.17	5.17	0.613	45.002	4.786	80.0
C00469	Ethanol	7.639	0.585	0.077	200.828	3.943	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-4.222	-6.845	0.162	133.623	-4.439	80.0
C03406	N-(L-Arginino)succinate	2.585	3.585	0.721	18.0	3.698	70.0
C07645	Aldophosphamide	7.704	0.585	0.076	210.014	3.995	70.0
C07648	Thioguanine	3.17	5.044	0.628	41.991	4.722	80.0
C00288	HCO3-	4.196	-3.248	0.518	27.829	-3.851	70.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	4.322	-3.0	0.4	28.001	-3.485	60.0
C00695	Cholic_acid	-6.907	-1.0	0.017	122.009	-1.024	60.0
C00269	CDP-diacylglycerol	-2.459	-3.892	0.37	20.344	-2.914	60.0
C16219	3-Oxostearoyl-[acp]	4.585	-4.585	1.0	48.001	-5.585	90.0
C00263	L-Homoserine	-2.738	0.222	0.175	7.838	-0.454	60.0
C00262	Hypoxanthine	-4.239	-3.196	0.485	28.047	-3.767	70.0
C00508	L-Ribulose	-4.392	-5.248	0.552	58.997	-5.027	90.0
C16216	3-Oxostearoyl-CoA	5.0	5.781	0.865	86.986	6.233	90.0
C00267	alpha-D-Glucose	4.556	-7.723	0.111	234.801	-4.708	80.0
C00266	Glycolaldehyde	-1.0	-5.066	0.06	35.498	-1.084	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	4.0	-3.322	0.625	26.0	-4.022	80.0
C00460	dUTP	5.113	-3.7	0.376	47.603	-4.16	80.0
C00286	dGTP	-7.812	1.923	0.017	228.514	-1.947	50.0
C00283	Hydrogen_sulfide	7.14	3.807	0.533	155.04	6.369	90.0
C04432	tRNA_containing_6-isopentenyladenosine	-2.585	-3.459	0.546	16.997	-3.213	60.0
C01962	Thiocysteine	-3.755	-3.585	0.889	25.501	-4.503	80.0
C05427	Phytyl_diphosphate	4.392	1.0	0.228	22.995	2.388	70.0
C04051	5-Amino-4-imidazolecarboxyamide	-5.7	-1.0	0.038	53.984	-1.054	60.0
C01209	Malonyl-[acyl-carrier_protein]	2.392	6.312	0.379	84.7	5.004	80.0
C00217	D-Glutamate	-0.737	-1.663	0.526	4.833	-1.347	60.0
C00214	Thymidine	-6.267	-1.585	0.039	80.011	-1.64	50.0
C00212	Adenosine	4.728	3.087	0.653	34.999	4.514	80.0
C00036	Oxaloacetate	3.326	5.9	0.564	69.742	5.297	80.0
C05841	Nicotinate_D-ribonucleoside	5.585	2.807	0.503	55.0	4.789	80.0
C00035	GDP	-6.066	3.162	0.134	75.947	-3.343	60.0
C00033	Acetate	7.121	2.28	0.32	144.055	5.527	90.0
C00031	D-Glucose	4.102	5.44	0.754	60.584	5.514	90.0
C00137	myo-Inositol	-4.788	-6.727	0.261	133.559	-5.122	90.0
C00135	L-Histidine	2.17	-1.459	0.611	7.249	-2.147	50.0
C00134	Putrescine	-3.17	3.585	0.75	21.001	-3.977	70.0
C00133	D-Alanine	7.647	-3.807	0.07	214.433	-3.904	70.0
C00131	dATP	6.046	2.07	0.342	70.272	4.589	80.0
C00130	IMP	-4.15	-2.724	0.372	24.36	-3.18	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	1.087	3.954	0.275	17.622	2.276	70.0
C00042	Succinate	2.322	5.865	0.396	63.283	4.647	80.0
C00041	L-Alanine	4.17	3.773	0.905	31.671	4.841	80.0
C00040	Acyl-CoA	3.478	2.0	0.575	15.142	3.122	70.0
C00047	L-Lysine	-3.392	4.044	0.636	26.993	-4.103	80.0
C00046	RNA	-4.694	-7.208	0.175	173.735	-4.927	80.0
C00044	GTP	-5.31	-6.398	0.47	124.002	-5.866	90.0
C00049	L-Aspartate	1.69	1.818	0.93	6.752	2.65	70.0
C06481	L-Seryl-tRNA(Sec)	-6.615	-4.585	0.245	122.02	-4.901	80.0
C01101	L-Ribulose_5-phosphate	2.865	6.807	0.421	119.258	5.649	90.0
C01103	Orotidine_5'-phosphate	1.222	-3.7	0.179	15.329	-1.46	60.0
C05122	Taurocholate	6.907	1.0	0.145	122.009	4.143	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-3.459	5.687	0.213	62.515	-3.738	70.0
C01233	sn-Glycero-3-phosphoethanolamine	4.0	3.7	0.925	28.996	4.745	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	3.17	0.737	0.232	10.667	1.31	70.0
C05345	beta-D-Fructose_6-phosphate	6.908	5.433	0.786	163.294	7.005	90.0
C00424	(S)-Lactaldehyde	-1.0	-2.7	0.308	8.498	-1.387	60.0
C03232	3-Phosphonooxypyruvate	2.678	4.293	0.624	26.003	4.02	70.0
C00387	Guanosine	5.3	3.0	0.566	47.397	4.746	80.0
C05466	Glycochenodeoxycholate	6.907	1.0	0.145	122.009	4.143	80.0
C00037	Glycine	-2.095	4.735	0.16	30.903	-2.31	50.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-1.0	-2.322	0.4	7.0	-1.485	50.0
C00253	Nicotinate	-4.931	-2.0	0.131	34.506	-2.178	50.0
C00250	Pyridoxal	8.055	0.585	0.073	267.448	4.28	80.0
C00255	Riboflavin	2.322	-3.322	0.5	15.001	-2.907	60.0
C05336	Selenomethionyl-tRNA(Met)	-3.459	-5.322	0.275	50.999	-3.809	70.0
C05335	L-Selenomethionine	3.459	4.459	0.776	32.99	4.678	80.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-7.704	-0.585	0.007	210.014	-0.595	60.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	7.704	0.585	0.076	210.014	3.995	70.0
C00559	Deoxyadenosine	-4.492	2.536	0.258	28.302	-2.867	60.0
C00491	L-Cystine	3.755	3.585	0.955	25.501	4.606	80.0
C00492	Raffinose	-5.7	-1.585	0.058	54.984	-1.666	50.0
