compound_code	compound_name	butyrivibrio_mock_score	alistipes_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-7.693	-6.658	0.488	307.915	-7.231	80.0
C00149	(S)-Malate	4.459	-5.856	0.38	79.914	-4.923	60.0
C00944	3-Dehydroquinate	-6.954	5.392	0.339	165.974	-5.813	60.0
C02430	L-Methionyl-tRNA	-3.585	-5.044	0.364	44.991	-4.033	50.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-4.322	-4.807	0.714	47.994	-5.1	60.0
C14819	Fe3+	-6.794	-7.15	0.781	252.993	-7.627	90.0
C14818	Fe2+	6.794	7.15	0.95	252.993	7.909	80.0
C01024	Hydroxymethylbilane	-1.585	6.585	0.031	99.003	-1.629	60.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	5.672	-4.907	0.588	80.987	-5.575	60.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	5.248	6.644	0.79	138.012	6.768	70.0
C01185	Nicotinate_D-ribonucleotide	5.261	-6.19	0.525	111.355	-5.87	60.0
C00491	L-Cystine	7.459	6.129	0.822	245.934	7.659	80.0
C05750	3-Oxooctanoyl-[acp]	-2.0	5.931	0.066	65.011	-2.092	60.0
C05796	Galactan	7.901	6.248	0.791	315.026	7.961	80.0
C16219	3-Oxostearoyl-[acp]	-2.322	6.34	0.062	86.009	-2.408	50.0
C11538	Cobalt-sirohydrochlorin	-4.17	-5.807	0.322	73.987	-4.572	50.0
C00224	Adenylyl_sulfate	2.0	-7.615	0.02	200.039	-2.029	60.0
C00221	beta-D-Glucose	-8.89	3.215	0.02	483.699	-3.243	50.0
C00385	Xanthine	-5.867	-4.19	0.313	76.616	-4.583	50.0
C00387	Guanosine	7.676	7.304	0.952	362.53	8.43	90.0
C00229	Acyl-carrier_protein	6.781	7.257	0.934	262.931	7.941	80.0
C05841	Nicotinate_D-ribonucleoside	7.676	7.304	0.952	362.53	8.43	90.0
C00546	Methylglyoxal	-8.202	-6.919	0.411	415.486	-7.416	80.0
C00508	L-Ribulose	-8.512	-7.112	0.379	503.395	-7.576	90.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	9.95	7.435	0.747	1162.163	9.762	90.0
C05838	cis-2-Hydroxycinnamate	-9.95	-7.435	0.175	1162.163	-7.668	90.0
C00364	dTMP	-4.787	3.087	0.308	36.105	-3.474	50.0
C00365	dUMP	-6.949	-5.221	0.302	160.851	-5.602	60.0
C00362	dGMP	-2.7	-5.755	0.12	60.502	-2.864	50.0
C00009	Orthophosphate	-7.883	-6.229	0.318	311.068	-6.627	70.0
C00008	ADP	7.258	-2.336	0.033	158.114	-2.383	60.0
C00006	NADP+	-6.672	-6.322	0.785	181.974	-7.158	80.0
C00003	NAD+	-6.163	-7.5	0.396	252.675	-6.644	70.0
C00002	ATP	8.749	6.959	0.795	554.654	8.785	90.0
C00369	Starch	4.763	2.644	0.555	33.403	4.213	60.0
C05703	Methaneselenol	-7.547	-6.845	0.615	301.975	-7.536	90.0
C16619	6-Thioguanosine_monophosphate	-8.028	-7.129	0.536	400.99	-7.748	90.0
C16618	6-Thioxanthine_5'-monophosphate	-7.877	-2.0	0.017	239.079	-2.024	60.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-7.864	-7.077	0.58	367.987	-7.737	90.0
C16614	6-Methylmercaptopurine	7.864	7.077	0.9	367.987	8.371	80.0
C03742	(S)-4-Hydroxymandelonitrile	-9.95	-7.435	0.175	1162.163	-7.668	90.0
C00312	L-Xylulose	7.392	7.055	0.954	300.937	8.166	80.0
C00310	D-Xylulose	9.028	-6.443	0.167	609.037	-6.665	70.0
C01931	L-Lysyl-tRNA	-7.697	-6.931	0.588	329.527	-7.598	90.0
C00315	Spermidine	-0.322	-6.15	0.018	72.263	-0.347	60.0
C01528	Hydrogen_selenide	-7.547	-6.812	0.601	299.375	-7.491	90.0
C00092	D-Glucose_6-phosphate	-9.622	-7.589	0.244	980.51	-7.904	90.0
C00093	sn-Glycerol_3-phosphate	-7.965	7.347	0.652	412.669	-8.071	90.0
C00095	D-Fructose	7.353	-7.827	0.72	390.554	-8.135	90.0
C00097	L-Cysteine	6.061	-7.224	0.447	216.264	-6.594	70.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	7.994	5.883	0.736	313.952	7.852	80.0
C06196	2'-Deoxyinosine_5'-phosphate	-6.022	-7.484	0.363	244.006	-6.469	70.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-6.566	-7.071	0.705	229.203	-7.335	80.0
C00438	N-Carbamoyl-L-aspartate	-3.03	3.858	0.563	22.668	-3.675	50.0
C05773	Cobyrinate	5.358	5.755	0.931	95.017	6.467	70.0
C05778	Sirohydrochlorin	1.0	5.807	0.172	57.986	3.32	60.0
C00167	UDP-glucuronate	-7.877	-6.476	0.379	324.095	-6.939	80.0
C02988	L-Histidyl-tRNA(His)	-7.615	-6.508	0.464	287.052	-7.058	80.0
C00163	Propanoate	9.101	7.238	0.795	700.086	9.121	90.0
C02984	L-Aspartyl-tRNA(Asp)	-7.852	-6.285	0.338	309.018	-6.705	70.0
C02987	L-Glutamyl-tRNA(Glu)	-8.103	-6.426	0.313	360.929	-6.819	80.0
C03263	Coproporphyrinogen_III	8.52	6.109	0.717	436.115	8.289	80.0
C02047	L-Leucyl-tRNA	-9.0	-6.524	0.18	604.028	-6.762	70.0
C03082	4-Phospho-L-aspartate	6.8	1.379	0.203	114.031	4.531	60.0
C04377	5,10-Methylenetetrahydromethanopterin	-8.852	-7.15	0.307	604.105	-7.537	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.34	-3.459	0.136	92.005	-3.643	50.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-5.964	4.441	0.348	84.143	-4.872	60.0
C00861	L-Rhamnulose	-6.066	-6.883	0.568	185.025	-6.715	70.0
C02962	D-Allose_6-phosphate	8.331	6.508	0.781	413.032	8.334	80.0
C00864	Pantothenate	6.852	-6.524	0.797	207.548	-7.369	80.0
C01380	Ethylene_glycol	8.114	7.728	0.952	489.061	8.864	90.0
C01419	Cys-Gly	6.384	8.618	0.741	476.412	8.463	90.0
C08325	Amygdalin	9.95	7.435	0.747	1162.163	9.762	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-8.084	-7.0	0.472	399.348	-7.558	90.0
C07648	Thioguanine	7.864	7.077	0.9	367.987	8.371	80.0
C07649	5-FU	7.349	6.845	0.931	277.992	8.016	80.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-6.022	-4.392	0.323	85.979	-4.796	50.0
C00695	Cholic_acid	-7.418	-6.17	0.421	243.021	-6.677	70.0
C18096	D-Allulose_6-phosphate	-8.195	-6.508	0.311	384.062	-6.898	80.0
C00269	CDP-diacylglycerol	4.902	-1.773	0.114	33.316	-1.929	60.0
C00506	L-Cysteate	7.693	6.658	0.865	307.915	8.058	80.0
C00507	L-Rhamnose	7.87	7.966	0.988	483.978	8.901	90.0
C00262	Hypoxanthine	-1.954	3.35	0.38	14.071	-2.419	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.679	-8.358	0.801	737.965	-9.206	90.0
C16216	3-Oxostearoyl-CoA	8.679	8.358	0.963	737.965	9.473	90.0
C00267	alpha-D-Glucose	7.457	6.297	0.844	254.333	7.747	80.0
C00266	Glycolaldehyde	-7.733	-7.478	0.838	391.028	-8.356	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.6	-7.267	0.794	348.035	-8.11	90.0
C00460	dUTP	7.555	7.484	0.991	367.076	8.506	90.0
C00286	dGTP	-8.041	5.554	0.178	310.36	-5.791	60.0
C00407	L-Isoleucine	-6.282	-3.485	0.144	89.013	-3.679	50.0
C01962	Thiocysteine	-7.459	-6.129	0.398	245.934	-6.612	70.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	6.15	5.807	0.944	126.999	6.906	70.0
C18026	(2S)-Ethylmalonyl-CoA	9.494	7.96	0.838	970.072	9.668	90.0
C01209	Malonyl-[acyl-carrier_protein]	6.672	6.902	0.967	221.564	7.743	80.0
C00217	D-Glutamate	5.615	3.907	0.696	64.011	5.477	60.0
C00214	Thymidine	5.102	6.615	0.771	132.364	6.674	70.0
C00212	Adenosine	6.819	7.304	0.934	270.932	7.983	80.0
C05840	Iminoaspartate	3.459	5.992	0.577	74.643	5.429	60.0
C00037	Glycine	8.083	-6.054	0.245	337.601	-6.37	70.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-8.214	-6.807	0.377	408.907	-7.269	80.0
C00031	D-Glucose	7.856	7.055	0.898	364.656	8.355	80.0
C00135	L-Histidine	-6.2	6.508	0.808	164.53	-7.054	80.0
C00134	Putrescine	6.009	-3.459	0.171	75.397	-3.686	50.0
C00133	D-Alanine	5.833	3.322	0.57	67.005	5.254	60.0
C00131	dATP	-6.479	2.115	0.049	93.534	-2.183	60.0
C00130	IMP	-2.346	-0.059	0.205	6.126	-0.328	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-4.585	3.536	0.483	35.6	-4.105	50.0
C00042	Succinate	4.7	6.989	0.672	153.02	6.685	70.0
C00041	L-Alanine	6.79	-4.97	0.283	142.002	-5.33	60.0
C00040	Acyl-CoA	7.654	7.136	0.932	342.065	8.317	80.0
C00047	L-Lysine	-5.951	6.931	0.507	183.885	-6.543	70.0
C00046	RNA	-7.76	-6.306	0.365	295.888	-6.755	70.0
C00044	GTP	-8.947	-6.623	0.2	592.097	-6.886	80.0
C00049	L-Aspartate	5.666	-3.779	0.27	64.501	-4.124	50.0
C00048	Glyoxylate	6.975	-1.322	0.02	128.301	-1.35	60.0
C06481	L-Seryl-tRNA(Sec)	-8.426	-6.768	0.317	452.923	-7.165	80.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	4.248	6.409	0.663	103.978	6.107	70.0
C01101	L-Ribulose_5-phosphate	9.382	5.661	0.603	717.809	8.759	90.0
C01103	Orotidine_5'-phosphate	-6.59	-3.7	0.135	109.332	-3.883	50.0
C05122	Taurocholate	7.418	6.17	0.832	243.021	7.659	80.0
C03684	6-Pyruvoyltetrahydropterin	-3.0	-6.476	0.09	97.016	-3.124	50.0
C05345	beta-D-Fructose_6-phosphate	10.671	5.811	0.545	1686.53	9.843	90.0
C00424	(S)-Lactaldehyde	-8.195	-7.728	0.723	505.061	-8.513	90.0
C00817	D-Altronate	-5.85	-6.705	0.553	162.009	-6.485	70.0
C00036	Oxaloacetate	10.089	-4.434	0.02	1110.775	-4.462	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	5.907	6.752	0.875	167.789	7.198	70.0
C05466	Glycochenodeoxycholate	7.418	6.17	0.832	243.021	7.659	80.0
C05465	Taurochenodeoxycholate	7.418	6.17	0.832	243.021	7.659	80.0
C00035	GDP	1.7	3.624	0.469	15.578	2.869	60.0
C00253	Nicotinate	-7.583	-7.304	0.824	349.763	-8.171	90.0
C00251	Chorismate	-6.188	3.0	0.11	80.908	-3.15	50.0
C00256	(R)-Lactate	7.392	5.858	0.792	225.964	7.484	80.0
C00255	Riboflavin	6.248	-4.807	0.368	103.997	-5.259	60.0
C05336	Selenomethionyl-tRNA(Met)	-8.155	-6.741	0.375	392.001	-7.201	80.0
C00259	L-Arabinose	-8.098	8.262	0.893	580.974	-9.018	90.0
C01081	Thiamin_monophosphate	-5.585	7.349	0.294	211.032	-5.957	60.0
C00558	D-Tagaturonate	-8.061	6.19	0.273	340.065	-6.539	70.0
C00493	Shikimate	4.355	2.988	0.686	28.398	4.284	60.0
C00886	L-Alanyl-tRNA	-8.551	-6.7	0.277	479.034	-7.053	80.0
C00882	Dephospho-CoA	-7.109	-2.807	0.051	145.044	-2.878	50.0
C00881	Deoxycytidine	7.547	6.954	0.921	310.997	8.163	80.0
C00078	L-Tryptophan	5.624	6.409	0.878	134.294	6.881	70.0
C00079	L-Phenylalanine	3.469	-1.138	0.199	13.274	-1.4	60.0
C00073	L-Methionine	8.214	5.298	0.645	336.276	7.761	80.0
C00074	Phosphoenolpyruvate	-10.818	-6.979	0.07	1931.422	-7.076	80.0
C00075	UTP	9.406	5.652	0.601	728.687	8.774	90.0
C00085	D-Fructose_6-phosphate	10.541	4.926	0.467	1520.3	9.473	90.0
C00082	L-Tyrosine	-2.919	1.248	0.314	9.938	-1.642	60.0
C00081	ITP	6.022	7.484	0.805	244.006	7.617	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-4.585	4.585	1.0	48.001	-5.585	60.0
C05762	3-Oxohexadecanoyl-[acp]	-2.0	5.931	0.066	65.011	-2.092	60.0
C04646	6-Thioinosine-5'-monophosphate	8.185	3.807	0.465	305.022	7.148	70.0
C02218	Dehydroalanine	-5.087	-7.562	0.18	222.957	-5.326	60.0
C01921	Glycocholate	7.418	6.17	0.832	243.021	7.659	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	-3.807	6.858	0.121	129.998	-3.971	50.0
C00106	Uracil	6.373	-2.202	0.056	87.484	-2.28	60.0
C00105	UMP	-4.71	5.356	0.639	67.129	-5.423	60.0
C00103	D-Glucose_1-phosphate	5.816	5.218	0.897	93.556	6.391	70.0
C00101	Tetrahydrofolate	-5.719	4.512	0.433	75.49	-5.031	60.0
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	2.807	6.066	0.463	73.994	5.098	60.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-4.322	5.7	0.385	71.985	-4.792	50.0
C05764	Hexadecanoyl-[acp]	5.907	7.229	0.817	210.023	7.423	70.0
C05761	Tetradecanoyl-[acp]	5.907	7.229	0.817	210.023	7.423	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	6.15	-5.7	0.732	122.997	-6.492	70.0
C05763	trans-Hexadec-2-enoyl-[acp]	6.15	-5.7	0.732	122.997	-6.492	70.0
C03175	Shikimate_3-phosphate	-4.492	-2.7	0.289	29.0	-3.066	50.0
C00361	dGDP	6.786	-4.481	0.202	132.686	-4.747	50.0
C02992	L-Threonyl-tRNA(Thr)	-8.714	-7.721	0.502	630.914	-8.308	90.0
C00179	Agmatine	5.19	5.781	0.898	91.491	6.36	70.0
