compound_code	compound_name	butyrivibrio_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	5.922	0.243	0.041	61.815	1.343	60.0
C00024	Acetyl-CoA	-8.417	-3.848	0.042	356.198	-3.908	90.0
C00026	2-Oxoglutarate	-4.412	-4.626	0.862	45.981	-5.309	90.0
C06481	L-Seryl-tRNA(Sec)	-8.426	-3.7	0.038	356.933	-3.754	90.0
C00020	AMP	-6.484	0.415	0.015	90.845	-0.436	50.0
C00352	D-Glucosamine_6-phosphate	6.436	0.585	0.091	88.082	3.001	70.0
C00022	Pyruvate	8.769	-3.526	0.026	447.766	-3.564	90.0
C00143	5,10-Methylenetetrahydrofolate	-7.131	1.461	0.02	142.92	-1.489	60.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-8.098	-1.585	0.011	276.994	-1.601	70.0
C00191	D-Glucuronate	9.187	7.103	0.773	720.33	9.121	90.0
C00029	UDP-glucose	-7.345	1.766	0.021	165.98	-1.796	70.0
C00147	Adenine	4.295	-0.101	0.055	20.703	-0.178	60.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-8.028	-0.585	0.006	262.517	-0.593	50.0
C00558	D-Tagaturonate	-8.061	-7.524	0.689	451.112	-8.28	90.0
C00149	(S)-Malate	4.459	1.339	0.3	24.523	2.881	60.0
C05400	Epimelibiose	8.028	0.585	0.073	262.517	4.258	70.0
C05686	Adenylylselenate	-5.17	-2.585	0.167	42.002	-2.807	80.0
C05402	Melibiose	4.907	0.222	0.045	31.169	0.496	60.0
C02430	L-Methionyl-tRNA	-3.585	-2.322	0.417	17.001	-2.825	80.0
C00103	D-Glucose_1-phosphate	5.816	3.36	0.578	66.604	5.266	80.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-8.282	-1.837	0.011	314.838	-1.853	70.0
C03232	3-Phosphonooxypyruvate	-0.678	1.766	0.47	5.001	-1.234	60.0
C03033	beta-D-Glucuronoside	4.392	1.0	0.228	22.995	2.388	60.0
C00100	Propanoyl-CoA	-11.255	-1.7	0.001	2447.201	-1.702	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.2	-1.0	0.007	296.067	-1.01	50.0
C00438	N-Carbamoyl-L-aspartate	-3.03	0.585	0.184	9.668	-0.828	50.0
C00101	Tetrahydrofolate	-5.719	3.933	0.29	67.947	-4.3	90.0
C06126	Digalactosylceramide	8.028	0.585	0.073	262.517	4.258	70.0
C01721	L-Fuculose	-7.15	-2.322	0.035	147.025	-2.372	80.0
C06250	Holo-[carboxylase]	-7.998	-0.322	0.005	256.895	-0.329	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	5.672	-1.0	0.039	52.985	-1.056	50.0
C00233	4-Methyl-2-oxopentanoate	6.842	-0.652	0.014	116.293	-0.672	50.0
C01185	Nicotinate_D-ribonucleotide	5.261	1.0	0.19	40.346	2.939	70.0
C00235	Dimethylallyl_diphosphate	-8.912	-3.609	0.025	493.905	-3.645	90.0
C01613	Stachyose	7.858	0.415	0.053	233.336	3.623	70.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	9.809	3.459	0.353	908.019	8.323	90.0
C15812	[Enzyme]-S-sulfanylcysteine	-7.807	1.585	0.013	226.945	-1.604	70.0
C00158	Citrate	-6.124	0.895	0.027	71.604	-0.933	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-7.449	-2.0	0.023	178.732	-2.033	70.0
C00014	Ammonia	-4.607	1.053	0.085	26.444	-1.171	60.0
C00015	UDP	-6.366	-1.874	0.044	86.147	-1.937	70.0
C00065	L-Serine	-7.009	-0.787	0.013	130.526	-0.806	50.0
C00153	Nicotinamide	-7.791	-0.585	0.007	222.975	-0.595	50.0
C00152	L-Asparagine	-7.197	0.778	0.012	148.443	-0.795	50.0
C00155	L-Homocysteine	-5.299	-0.322	0.032	40.619	-0.367	50.0
C05791	D-Urobilinogen	-4.392	-1.0	0.095	22.995	-1.131	50.0
C00794	D-Sorbitol	-7.96	-0.585	0.006	250.5	-0.594	50.0
C02876	Propanoyl_phosphate	-2.115	-1.0	0.462	6.332	-1.548	60.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	6.426	1.0	0.156	87.984	3.775	70.0
C00294	Inosine	7.715	0.485	0.063	211.509	3.733	70.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-4.087	-1.874	0.216	20.66	-2.156	70.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	9.192	3.907	0.425	599.882	7.994	90.0
C05399	Melibiitol	8.028	0.585	0.073	262.517	4.258	70.0
C05345	beta-D-Fructose_6-phosphate	10.671	-2.4	0.003	1635.666	-2.405	80.0
C00227	Acetyl_phosphate	-6.781	0.107	0.01	111.05	-0.121	60.0
C16633	5-Fluorouridine	7.577	2.0	0.264	194.943	5.685	80.0
C04900	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide	4.392	1.0	0.228	22.995	2.388	60.0
C06037	Digalactosyl-diacylglycerol	8.028	0.585	0.073	262.517	4.258	70.0
C03511	L-Phenylalanyl-tRNA(Phe)	-7.873	-1.322	0.011	236.928	-1.337	60.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	8.028	0.585	0.073	262.517	4.258	70.0
C05382	Sedoheptulose_7-phosphate	-6.078	-0.547	0.022	69.016	-0.578	50.0
C00385	Xanthine	-5.867	-0.153	0.019	59.476	-0.18	60.0
C00387	Guanosine	7.676	0.485	0.063	205.906	3.702	70.0
C00817	D-Altronate	-5.85	1.807	0.061	61.179	-1.892	70.0
C03539	S-Ribosyl-L-homocysteine	5.524	1.0	0.181	48.014	3.12	70.0
C00655	Xanthosine_5'-phosphate	-7.212	-1.524	0.019	151.137	-1.552	60.0
C00288	HCO3-	7.371	0.585	0.079	167.036	3.729	70.0
C16396	2,4-Diamino-6-nitrotoluene	7.366	4.644	0.63	189.966	6.904	90.0
C04411	(2R,3S)-3-Isopropylmalate	2.293	1.585	0.691	7.901	2.449	60.0
C16399	2,4-Diamino-6-hydroxylaminotoluene	-7.366	-4.644	0.152	189.966	-4.848	90.0
C03127	L-Isoleucyl-tRNA(Ile)	-8.17	-3.322	0.035	298.015	-3.371	90.0
C00508	L-Ribulose	-8.512	-2.663	0.017	371.396	-2.688	80.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-6.977	-1.0	0.016	127.976	-1.023	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-2.322	1.0	0.4	7.0	-1.485	60.0
C00364	dTMP	-4.787	-2.874	0.266	34.939	-3.214	90.0
C00365	dUMP	-6.949	-3.567	0.096	135.406	-3.699	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-6.977	-1.0	0.016	127.976	-1.023	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-2.322	1.0	0.4	7.0	-1.485	60.0
C00008	ADP	7.258	-1.415	0.017	155.732	-1.44	60.0
C00058	Formate	9.999	2.624	0.262	1029.455	8.078	90.0
C00003	NAD+	-6.163	-2.663	0.088	77.989	-2.785	80.0
C00002	ATP	8.749	4.465	0.51	452.326	7.851	90.0
C00369	Starch	4.763	2.402	0.504	32.438	4.032	70.0
C05401	3-beta-D-Galactosyl-sn-glycerol	8.028	0.585	0.073	262.517	4.258	70.0
C06508	Adenosyl_cobinamide	-6.95	4.392	0.17	144.635	-4.618	90.0
C01127	4-Hydroxy-2-oxoglutarate	9.937	3.907	0.393	995.247	8.612	90.0
C06010	(S)-2-Acetolactate	8.811	2.585	0.293	455.133	7.061	90.0
C16618	6-Thioxanthine_5'-monophosphate	-7.877	-2.585	0.026	241.079	-2.621	80.0
C05336	Selenomethionyl-tRNA(Met)	-8.155	-2.322	0.018	290.036	-2.347	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	6.459	0.585	0.091	89.474	3.019	70.0
C00259	L-Arabinose	-8.098	3.17	0.033	282.994	-3.217	90.0
C11376	SN38_glucuronide	4.392	1.0	0.228	22.995	2.388	60.0
C00645	N-Acetyl-D-mannosamine	-5.895	-1.0	0.034	61.508	-1.048	50.0
C00037	Glycine	8.083	0.817	0.101	272.922	4.786	80.0
C01083	alpha,alpha-Trehalose	-8.873	-1.585	0.006	471.856	-1.594	70.0
C00559	Deoxyadenosine	4.723	-0.322	0.047	27.66	-0.389	50.0
C01931	L-Lysyl-tRNA	-7.697	-2.807	0.034	214.503	-2.855	80.0
C00492	Raffinose	-4.907	-0.222	0.039	31.169	-0.277	60.0
C00330	Deoxyguanosine	5.923	0.585	0.099	62.174	2.618	60.0
C00886	L-Alanyl-tRNA	-8.551	-3.585	0.032	387.066	-3.63	90.0
C00092	D-Glucose_6-phosphate	-9.622	-3.075	0.011	796.399	-3.09	80.0
C00093	sn-Glycerol_3-phosphate	-7.965	-1.525	0.012	252.742	-1.542	60.0
C00498	ADP-glucose	-11.558	-3.157	0.003	3024.04	-3.161	80.0
C00095	D-Fructose	7.353	-0.193	0.007	164.626	-0.203	60.0
C11173	SN-38	-4.392	-1.0	0.095	22.995	-1.131	50.0
C00097	L-Cysteine	6.061	1.474	0.243	69.542	4.08	70.0
C00078	L-Tryptophan	5.624	1.0	0.178	51.317	3.19	70.0
C00079	L-Phenylalanine	3.469	0.348	0.1	12.346	0.309	60.0
C00073	L-Methionine	8.214	2.322	0.283	301.935	6.415	90.0
C00718	Amylose	-8.51	-2.585	0.016	370.557	-2.609	80.0
C02282	Glutaminyl-tRNA	-8.521	-2.632	0.017	373.546	-2.656	80.0
C00074	Phosphoenolpyruvate	-10.818	-4.699	0.014	1831.245	-4.72	90.0
C00075	UTP	9.406	5.006	0.532	710.537	8.563	90.0
C00333	D-Galacturonate	9.638	7.524	0.781	980.815	9.581	90.0
C00620	alpha-D-Ribose_1-phosphate	9.72	3.954	0.407	858.855	8.449	90.0
C03114	Dimethylbenzimidazole	4.392	5.728	0.767	73.998	5.826	80.0
C00123	L-Leucine	-4.79	1.222	0.084	29.998	-1.339	60.0
C02686	Galactosylceramide	-7.468	-0.585	0.008	178.548	-0.597	50.0
C01019	6-Deoxy-L-galactose	5.544	2.322	0.419	51.657	4.435	80.0
C00085	D-Fructose_6-phosphate	10.541	-0.363	0.001	1491.186	-0.364	50.0
C00242	Guanine	-2.624	-0.485	0.227	7.564	-0.78	50.0
C00083	Malonyl-CoA	5.723	-0.562	0.028	54.296	-0.602	50.0
C03373	Aminoimidazole_ribotide	-8.308	-2.807	0.022	323.924	-2.839	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-4.585	2.0	0.167	28.001	-2.222	70.0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	-4.392	-5.157	0.588	56.674	-5.06	90.0
C00407	L-Isoleucine	-6.282	1.485	0.036	80.615	-1.536	60.0
C00089	Sucrose	-7.443	-0.459	0.008	175.381	-0.47	50.0
C04646	6-Thioinosine-5'-monophosphate	8.185	2.585	0.316	297.025	6.552	90.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	7.446	-2.83	0.041	181.48	-2.888	80.0
C00672	2-Deoxy-D-ribose_1-phosphate	8.195	2.0	0.244	297.049	6.18	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	-3.807	-1.322	0.179	16.497	-1.559	70.0
C02988	L-Histidyl-tRNA(His)	-7.615	-2.807	0.036	203.038	-2.858	80.0
C00163	Propanoate	9.101	1.0	0.11	551.129	5.92	80.0
C02984	L-Aspartyl-tRNA(Asp)	-7.852	-1.585	0.013	234.04	-1.604	70.0
C02987	L-Glutamyl-tRNA(Glu)	-8.103	-2.0	0.015	278.945	-2.021	70.0
C06113	L-Aspartyl-tRNA(Asn)	-6.725	-1.0	0.019	107.786	-1.027	50.0
C06112	L-Glutamyl-tRNA(Gln)	-7.136	-1.322	0.018	143.153	-1.347	60.0
C02047	L-Leucyl-tRNA	-9.0	-3.17	0.018	521.0	-3.195	80.0
C00106	Uracil	6.373	-0.29	0.015	84.105	-0.311	60.0
C00068	Thiamin_diphosphate	4.777	-0.222	0.043	28.583	-0.282	60.0
C00342	Thioredoxin	9.0	3.406	0.378	522.6	7.628	90.0
C00343	Thioredoxin_disulfide	-9.0	-3.17	0.018	521.0	-3.195	80.0
C03082	4-Phospho-L-aspartate	6.8	2.07	0.304	115.629	5.137	80.0
C20251	1-Keto-D-chiro-inositol	-3.7	1.0	0.154	14.996	-1.207	60.0
C04377	5,10-Methylenetetrahydromethanopterin	-8.852	-2.0	0.009	466.08	-2.012	70.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.34	2.0	0.315	85.008	4.745	80.0
C00063	CTP	9.067	4.847	0.535	565.119	8.239	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-5.964	-2.585	0.096	68.423	-2.717	80.0
C00064	L-Glutamine	-7.294	-0.17	0.007	158.058	-0.18	60.0
C00108	Anthranilate	4.746	2.07	0.436	31.033	3.759	70.0
C00109	2-Oxobutanoate	10.04	0.963	0.096	1054.738	6.661	90.0
C00861	L-Rhamnulose	-6.066	-1.585	0.045	69.996	-1.648	70.0
C00860	L-Histidinol	6.17	1.0	0.162	74.004	3.584	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.963	1.322	0.334	18.095	2.594	60.0
C16634	5-Fluorouridine_monophosphate	-8.464	-2.0	0.011	357.116	-2.016	70.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-2.972	-0.628	0.197	9.392	-0.887	50.0
C00279	D-Erythrose_4-phosphate	-9.739	-0.637	0.002	856.093	-0.64	50.0
C01412	Butanal	4.858	4.807	0.99	56.993	5.817	80.0
C00361	dGDP	6.786	1.585	0.234	113.354	4.727	80.0
C00270	N-Acetylneuraminate	7.786	1.0	0.128	222.709	4.838	80.0
C00900	2-Acetolactate	9.809	3.459	0.353	908.019	8.323	90.0
C00668	alpha-D-Glucose_6-phosphate	8.772	4.02	0.458	453.378	7.699	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-8.084	-2.17	0.017	275.848	-2.194	70.0
C00253	Nicotinate	-7.583	-1.17	0.012	193.989	-1.187	60.0
C00475	Cytidine	5.0	-0.536	0.045	33.45	-0.6	50.0
C03406	N-(L-Arginino)succinate	-8.618	-4.392	0.053	413.89	-4.467	90.0
C12214	Aminofructose_6-phosphate	11.438	1.0	0.087	2776.477	7.923	90.0
C00234	10-Formyltetrahydrofolate	6.413	-4.492	0.264	107.715	-4.83	90.0
C05512	Deoxyinosine	6.798	0.322	0.047	112.526	2.414	60.0
