compound_code	compound_name	butyrivibrio_mock_score	lachnospiraceae_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	5.922	1.08	0.182	62.746	3.516	70.0
C00024	Acetyl-CoA	-8.417	-3.764	0.0	0.0	0.0	50.0
C00026	2-Oxoglutarate	-4.412	-0.652	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-8.426	-1.585	0.0	0.0	0.0	50.0
C00020	AMP	-6.484	-0.678	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	6.436	1.322	0.205	89.082	4.194	70.0
C00022	Pyruvate	8.769	-2.435	0.012	441.654	-2.453	90.0
C00143	5,10-Methylenetetrahydrofolate	-7.131	0.131	0.008	141.262	-0.142	70.0
C00140	N-Acetyl-D-glucosamine	-6.87	-3.0	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-7.449	-0.907	0.0	0.0	0.0	50.0
C00144	GMP	-7.547	-0.893	0.0	0.0	0.0	50.0
C11376	SN38_glucuronide	4.392	2.0	0.455	24.995	3.509	70.0
C01103	Orotidine_5'-phosphate	-6.59	-3.369	0.0	0.0	0.0	50.0
C05528	3-Sulfopyruvate	-7.693	-1.0	0.0	0.0	0.0	50.0
C00944	3-Dehydroquinate	-6.954	-1.0	0.0	0.0	0.0	50.0
C03838	5'-Phosphoribosylglycinamide	5.858	-1.0	0.034	60.001	-1.049	80.0
C00288	HCO3-	7.371	1.0	0.136	167.536	4.506	80.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-2.322	2.0	0.8	9.0	-2.848	90.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-6.566	-1.322	0.0	0.0	0.0	50.0
C02430	L-Methionyl-tRNA	-3.585	1.0	0.167	14.0	-1.222	80.0
C00623	sn-Glycerol_1-phosphate	-6.858	-1.0	0.0	0.0	0.0	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-8.282	-0.893	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-6.566	-1.322	0.0	0.0	0.0	50.0
C03033	beta-D-Glucuronoside	4.392	2.0	0.455	24.995	3.509	70.0
C00100	Propanoyl-CoA	-11.255	-1.322	0.0	0.0	0.0	50.0
C00624	N-Acetyl-L-glutamate	2.0	-1.0	0.5	6.0	-1.585	80.0
C05754	trans-Dec-2-enoyl-[acp]	6.15	1.0	0.163	73.012	3.569	70.0
C00438	N-Carbamoyl-L-aspartate	-3.03	-2.0	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-5.719	-1.0	0.0	0.0	0.0	50.0
C01228	Guanosine_3',5'-bis(diphosphate)	-7.276	-1.0	0.0	0.0	0.0	50.0
