compound_code	compound_name	mollicute_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-2.134	3.851	0.304	18.819	-2.517	50.0
C00024	Acetyl-CoA	4.951	-8.24	0.102	333.266	-5.092	90.0
C00148	L-Proline	3.17	2.536	0.8	14.8	3.566	70.0
C00026	2-Oxoglutarate	1.415	3.981	0.355	18.457	2.714	60.0
C06481	L-Seryl-tRNA(Sec)	-3.907	-6.615	0.153	113.021	-4.112	80.0
C00020	AMP	3.285	3.771	0.871	23.399	4.349	70.0
C00352	D-Glucosamine_6-phosphate	1.379	6.155	0.224	73.86	4.049	70.0
C00022	Pyruvate	-3.222	-5.362	0.227	50.457	-3.517	60.0
C00143	5,10-Methylenetetrahydrofolate	0.599	-1.356	0.592	4.074	-1.27	50.0
C00029	UDP-glucose	2.891	-6.268	0.096	84.483	-3.024	60.0
C00147	Adenine	-2.17	2.121	0.967	8.85	-3.097	60.0
C00144	GMP	-2.888	3.241	0.783	16.857	-3.722	70.0
C02876	Propanoyl_phosphate	-3.7	-1.807	0.269	16.495	-2.151	50.0
C00343	Thioredoxin_disulfide	-4.585	5.946	0.389	85.649	-5.059	90.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-5.044	6.687	0.32	136.027	-5.445	90.0
C05400	Epimelibiose	3.585	6.954	0.516	135.983	6.131	90.0
C00021	S-Adenosyl-L-homocysteine	-2.459	4.19	0.301	23.751	-2.839	50.0
C05402	Melibiose	-4.087	5.7	0.327	68.979	-4.495	80.0
C02430	L-Methionyl-tRNA	-3.17	3.585	0.75	21.001	-3.977	80.0
C00054	Adenosine_3',5'-bisphosphate	-3.0	-5.322	0.2	48.002	-3.263	60.0
C00620	alpha-D-Ribose_1-phosphate	3.858	7.788	0.495	235.515	6.866	90.0
C00627	Pyridoxine_phosphate	-3.807	-8.055	0.053	279.944	-3.881	70.0
C00100	Propanoyl-CoA	-1.585	-10.569	0.002	1522.099	-1.588	50.0
C00459	dTTP	3.392	-4.392	0.5	31.493	-3.977	70.0
C05122	Taurocholate	1.0	6.907	0.145	122.009	4.143	70.0
C06126	Digalactosylceramide	3.585	6.954	0.516	135.983	6.131	90.0
C03688	Apo-[acyl-carrier-protein]	3.0	5.322	0.564	48.002	4.758	80.0
C00231	D-Xylulose_5-phosphate	-2.656	2.907	0.84	13.803	-3.536	60.0
C01345	dITP	3.459	5.0	0.692	42.997	4.895	80.0
C01185	Nicotinate_D-ribonucleotide	-1.222	3.524	0.203	13.836	-1.488	50.0
C00063	CTP	4.935	5.654	0.873	80.943	6.143	90.0
C01613	Stachyose	4.807	6.19	0.777	101.002	6.293	90.0
C18902	Methylselenic_acid	3.7	6.966	0.531	138.015	6.196	90.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	-5.0	0.094	35.0	-1.714	50.0
C00011	CO2	6.409	3.392	0.529	95.475	5.659	80.0
C00014	Ammonia	-3.619	-2.52	0.467	18.022	-3.073	60.0
C05980	Cardiolipin	-3.585	-2.807	0.583	18.999	-3.47	60.0
C02988	L-Histidyl-tRNA(His)	-3.322	-3.0	0.8	18.0	-3.848	70.0
C02336	beta-D-Fructose	-4.7	5.555	0.553	73.005	-5.335	90.0
C00018	Pyridoxal_phosphate	-3.807	-8.055	0.053	279.944	-3.881	70.0
C00065	L-Serine	-1.578	-2.677	0.467	9.381	-2.131	50.0
C16688	Sucrose_6-phosphate	5.459	-4.459	0.5	65.98	-5.044	90.0
C01528	Hydrogen_selenide	-3.544	-5.746	0.217	65.332	-3.828	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3.459	3.17	0.916	19.997	4.196	70.0
C00015	UDP	-3.17	-0.585	0.167	10.501	-0.807	60.0
C00794	D-Sorbitol	-3.585	-4.524	0.522	35.007	-4.191	80.0
C00886	L-Alanyl-tRNA	-3.459	-3.907	0.733	25.998	-4.252	80.0
C01134	Pantetheine_4'-phosphate	3.7	5.15	0.718	48.502	5.123	80.0
C00066	tRNA	3.459	2.585	0.747	16.997	3.667	70.0
C05399	Melibiitol	3.585	6.954	0.516	135.983	6.131	90.0
C05345	beta-D-Fructose_6-phosphate	1.412	6.908	0.204	122.753	4.649	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-3.755	-4.728	0.509	40.003	-4.349	80.0
C00226	Primary_alcohol	5.17	7.639	0.677	235.33	7.315	90.0
C06037	Digalactosyl-diacylglycerol	3.585	6.954	0.516	135.983	6.131	90.0
C00221	beta-D-Glucose	3.459	-7.943	0.045	257.08	-3.522	60.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	3.585	6.954	0.516	135.983	6.131	90.0
C00385	Xanthine	2.459	-4.313	0.277	25.375	-2.811	50.0
C00387	Guanosine	4.807	5.3	0.907	67.39	5.934	80.0
C00229	Acyl-carrier_protein	-3.0	-4.392	0.381	28.995	-3.466	60.0
