compound_code	compound_name	lactobacillus_mock_score	lachnospiraceae_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	3.851	1.08	0.28	16.544	2.214	80.0
C00024	Acetyl-CoA	-8.24	-3.764	0.045	315.92	-3.827	90.0
C00026	2-Oxoglutarate	3.981	-0.652	0.1	17.362	-0.789	60.0
C06481	L-Seryl-tRNA(Sec)	-6.615	-1.585	0.031	101.02	-1.628	60.0
C00020	AMP	3.771	-0.678	0.117	15.252	-0.838	60.0
C00352	D-Glucosamine_6-phosphate	6.155	1.322	0.215	73.759	3.986	90.0
C00022	Pyruvate	-5.362	-2.435	0.131	46.534	-2.613	80.0
C00143	5,10-Methylenetetrahydrofolate	-1.356	0.131	0.428	3.655	-0.645	60.0
C00141	3-Methyl-2-oxobutanoic_acid	2.3	-0.907	0.381	6.8	-1.372	50.0
C00144	GMP	3.241	-0.893	0.196	11.312	-1.152	50.0
C01103	Orotidine_5'-phosphate	1.222	-3.369	0.226	12.664	-1.516	60.0
C00343	Thioredoxin_disulfide	5.946	-1.0	0.032	63.649	-1.046	50.0
C03838	5'-Phosphoribosylglycinamide	-2.807	-1.0	0.286	8.998	-1.363	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	4.585	2.0	0.436	28.001	3.61	80.0
C02430	L-Methionyl-tRNA	3.585	1.0	0.279	14.0	1.965	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-5.141	-0.893	0.053	37.142	-0.967	60.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-2.954	-1.322	0.323	10.249	-1.725	60.0
C00627	Pyridoxine_phosphate	-8.055	-1.0	0.008	267.948	-1.011	60.0
C00100	Propanoyl-CoA	-10.569	-1.322	0.002	1521.599	-1.324	50.0
C00438	N-Carbamoyl-L-aspartate	-1.585	-2.0	0.75	7.0	-2.392	80.0
C00101	Tetrahydrofolate	1.485	-1.0	0.714	4.799	-1.778	70.0
