compound_code	compound_name	eubacterium_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-4.875	-2.134	0.0	0.0	0.0	50.0
C00024	Acetyl-CoA	-4.381	4.951	0.674	51.767	-5.124	90.0
C00148	L-Proline	3.379	3.17	0.938	19.404	4.186	70.0
C00026	2-Oxoglutarate	-4.807	1.415	0.095	30.66	-1.546	80.0
C06481	L-Seryl-tRNA(Sec)	-5.807	-3.907	0.0	0.0	0.0	50.0
C00020	AMP	-3.565	3.285	0.824	21.582	-4.152	90.0
C00352	D-Glucosamine_6-phosphate	1.848	1.379	0.746	6.201	2.21	60.0
C00022	Pyruvate	3.299	-3.222	0.948	19.173	-4.184	90.0
C00143	5,10-Methylenetetrahydrofolate	-1.312	0.599	0.61	3.998	-1.286	80.0
C00029	UDP-glucose	-1.131	2.891	0.295	9.608	-1.504	80.0
C00147	Adenine	2.644	-2.17	0.72	10.751	-2.952	90.0
C00144	GMP	-2.725	-2.888	0.0	0.0	0.0	50.0
C02876	Propanoyl_phosphate	-5.6	-3.7	0.0	0.0	0.0	50.0
C01100	L-Histidinol_phosphate	-3.459	2.0	0.364	14.997	-2.448	80.0
C00343	Thioredoxin_disulfide	-3.807	-4.585	0.0	0.0	0.0	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	5.931	-5.044	0.541	94.002	-5.668	90.0
C00944	3-Dehydroquinate	1.585	2.0	0.792	7.0	2.472	60.0
C05400	Epimelibiose	6.022	3.585	0.595	76.984	5.518	90.0
C00021	S-Adenosyl-L-homocysteine	-4.555	-2.459	0.0	0.0	0.0	50.0
C05402	Melibiose	4.392	-4.087	0.809	37.99	-4.943	90.0
C02430	L-Methionyl-tRNA	-4.322	-3.17	0.0	0.0	0.0	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	0.263	0.379	0.694	2.5	0.795	60.0
C00627	Pyridoxine_phosphate	-4.17	-3.807	0.0	0.0	0.0	50.0
C00100	Propanoyl-CoA	-3.565	-1.585	0.0	0.0	0.0	50.0
C12739	5'-Deoxy-5-fluorouridine	-4.644	-4.0	0.0	0.0	0.0	50.0
C00826	L-Arogenate	4.585	2.907	0.634	31.501	4.32	70.0
C05122	Taurocholate	3.17	1.0	0.315	11.0	1.795	60.0
C06126	Digalactosylceramide	6.022	3.585	0.595	76.984	5.518	90.0
C01083	alpha,alpha-Trehalose	-3.202	-3.0	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	-5.718	-2.656	0.0	0.0	0.0	50.0
C01345	dITP	4.17	3.459	0.829	28.998	4.588	80.0
C01185	Nicotinate_D-ribonucleotide	-1.0	-1.222	0.0	0.0	0.0	50.0
C02637	3-Dehydroshikimate	-1.585	-1.222	0.0	0.0	0.0	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	6.022	3.585	0.595	76.984	5.518	90.0
C01931	L-Lysyl-tRNA	-6.555	-3.907	0.0	0.0	0.0	50.0
C15812	[Enzyme]-S-sulfanylcysteine	-3.907	1.585	0.2	18.001	-1.848	80.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.322	-3.585	0.0	0.0	0.0	50.0
C00014	Ammonia	-3.378	-3.619	0.0	0.0	0.0	50.0
C05980	Cardiolipin	-3.807	-3.585	0.0	0.0	0.0	50.0
C02336	beta-D-Fructose	1.585	-4.7	0.115	28.992	-1.743	80.0
C00018	Pyridoxal_phosphate	-4.17	-3.807	0.0	0.0	0.0	50.0
C00065	L-Serine	-3.92	-1.578	0.0	0.0	0.0	50.0
C16688	Sucrose_6-phosphate	2.322	5.459	0.425	48.987	4.381	70.0
C00493	Shikimate	2.243	1.047	0.467	6.8	1.666	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	3.459	0.289	12.997	1.91	60.0
C00015	UDP	-5.037	-3.17	0.0	0.0	0.0	50.0
C00794	D-Sorbitol	-6.022	-3.585	0.0	0.0	0.0	50.0
C00886	L-Alanyl-tRNA	-5.755	-3.459	0.0	0.0	0.0	50.0
C01134	Pantetheine_4'-phosphate	4.79	3.7	0.772	40.661	4.973	80.0
C00066	tRNA	3.807	3.459	0.909	24.993	4.505	70.0
C05399	Melibiitol	6.022	3.585	0.595	76.984	5.518	90.0
C05345	beta-D-Fructose_6-phosphate	6.025	1.412	0.234	67.78	3.99	70.0
C00226	Primary_alcohol	6.687	5.17	0.773	139.038	6.748	90.0
C06037	Digalactosyl-diacylglycerol	6.022	3.585	0.595	76.984	5.518	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-5.6	-3.755	0.0	0.0	0.0	50.0
C00221	beta-D-Glucose	3.916	3.459	0.883	26.092	4.526	70.0
C05382	Sedoheptulose_7-phosphate	-5.655	1.078	0.042	52.499	-1.137	80.0
C00385	Xanthine	-2.555	2.459	0.936	11.375	-3.412	90.0
C03492	D-4'-Phosphopantothenate	-2.322	-2.585	0.0	0.0	0.0	50.0
C00387	Guanosine	4.087	4.807	0.85	44.988	5.257	80.0
C00229	Acyl-carrier_protein	4.807	-3.0	0.286	35.993	-3.363	90.0
C00882	Dephospho-CoA	-4.524	-3.807	0.0	0.0	0.0	50.0
C05841	Nicotinate_D-ribonucleoside	4.087	4.807	0.85	44.988	5.257	80.0
C00655	Xanthosine_5'-phosphate	-4.167	3.115	0.482	26.627	-3.683	90.0
C00301	ADP-ribose	4.755	2.585	0.544	33.002	4.165	70.0
C00718	Amylose	-4.285	-3.209	0.0	0.0	0.0	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.807	-4.087	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.15	-3.322	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-6.022	-3.585	0.0	0.0	0.0	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	6.658	1.585	0.238	103.985	4.63	80.0
C00364	dTMP	-1.415	1.807	0.762	6.166	-2.232	80.0
C00365	dUMP	1.0	0.807	0.807	3.75	1.597	60.0
C00362	dGMP	-0.222	1.585	0.389	4.166	-0.696	70.0
C00363	dTDP	-3.807	-3.322	0.0	0.0	0.0	50.0
C00009	Orthophosphate	-3.907	-3.322	0.0	0.0	0.0	50.0
C00008	ADP	4.47	3.97	0.888	37.832	5.07	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	4.0	1.0	0.25	18.0	2.17	60.0
C00003	NAD+	-3.807	0.737	0.119	15.663	-0.899	70.0
C00002	ATP	6.714	-4.36	0.196	125.517	-4.618	90.0
C00369	Starch	-4.078	0.874	0.109	18.722	-1.023	80.0
C05703	Methaneselenol	-4.644	-3.585	0.0	0.0	0.0	50.0
C00035	GDP	-4.358	4.919	0.678	50.759	-5.105	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	6.022	3.585	0.595	76.984	5.518	90.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-6.547	-4.492	0.0	0.0	0.0	50.0
C00361	dGDP	3.17	4.891	0.648	38.672	4.648	80.0
C00253	Nicotinate	-4.459	-4.807	0.0	0.0	0.0	50.0
C00250	Pyridoxal	4.17	3.807	0.913	31.997	4.868	80.0
C00251	Chorismate	3.087	0.585	0.19	9.997	0.922	60.0
C00254	Prephenate	-1.678	0.19	0.357	4.341	-0.63	70.0
C00255	Riboflavin	5.392	3.0	0.556	49.991	4.798	80.0
C05336	Selenomethionyl-tRNA(Met)	-5.7	-3.585	0.0	0.0	0.0	50.0
C00415	Dihydrofolate	-3.17	1.152	0.247	11.223	-1.47	80.0
C00416	Phosphatidate	5.363	0.807	0.15	42.905	2.691	60.0
C05335	L-Selenomethionine	3.0	3.585	0.837	20.0	4.065	70.0
C00330	Deoxyguanosine	2.104	4.807	0.438	32.292	3.821	70.0
C00310	D-Xylulose	6.17	-3.0	0.111	80.004	-3.152	90.0
C00558	D-Tagaturonate	-6.022	-2.807	0.0	0.0	0.0	50.0
C00492	Raffinose	-4.392	4.087	0.809	37.99	-4.943	90.0
C00314	Pyridoxine	4.17	3.807	0.913	31.997	4.868	80.0
C00469	Ethanol	6.687	5.17	0.773	139.038	6.748	90.0
C00092	D-Glucose_6-phosphate	-6.194	-3.655	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	5.061	3.256	0.643	42.935	4.788	80.0
C00095	D-Fructose	-5.755	-1.0	0.0	0.0	0.0	50.0
