compound_code	compound_name	mollicute_mock_score	lachnospiraceae_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-2.134	1.08	0.482	6.503	-1.647	60.0
C00024	Acetyl-CoA	4.951	-3.764	0.439	44.517	-4.289	90.0
C00026	2-Oxoglutarate	1.415	-0.652	0.589	4.238	-1.32	50.0
C06481	L-Seryl-tRNA(Sec)	-3.907	-1.585	0.2	18.001	-1.848	70.0
C00020	AMP	3.285	-0.678	0.164	11.347	-0.897	60.0
C00352	D-Glucosamine_6-phosphate	1.379	1.322	0.959	5.101	2.29	80.0
C00022	Pyruvate	-3.222	-2.435	0.58	14.738	-3.095	90.0
C00143	5,10-Methylenetetrahydrofolate	0.599	0.131	0.219	2.61	-0.809	60.0
C00144	GMP	-2.888	-0.893	0.251	9.259	-1.216	50.0
C00343	Thioredoxin_disulfide	-4.585	-1.0	0.083	26.001	-1.115	50.0
C00944	3-Dehydroquinate	2.0	-1.0	0.5	6.0	-1.585	60.0
C02430	L-Methionyl-tRNA	-3.17	1.0	0.222	11.0	-1.289	50.0
C00054	Adenosine_3',5'-bisphosphate	-3.0	-1.0	0.25	10.0	-1.322	50.0
C00620	alpha-D-Ribose_1-phosphate	3.858	4.087	0.944	31.495	4.894	90.0
C00627	Pyridoxine_phosphate	-3.807	-1.0	0.143	15.997	-1.193	50.0
C00100	Propanoyl-CoA	-1.585	-1.322	0.833	5.5	-2.196	80.0
C03688	Apo-[acyl-carrier-protein]	3.0	1.0	0.333	10.0	1.737	80.0
C00231	D-Xylulose_5-phosphate	-2.656	-3.346	0.62	16.471	-3.352	90.0
C00234	10-Formyltetrahydrofolate	-0.757	0.598	0.896	3.204	-1.521	60.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	1.585	1.0	6.0	2.585	80.0
C00011	CO2	6.409	4.966	0.775	116.232	6.493	90.0
C00014	Ammonia	-3.619	-0.459	0.112	13.661	-0.612	60.0
C00015	UDP	-3.17	-3.087	0.944	17.498	-4.046	90.0
C05822	3'-CMP	-2.807	-1.0	0.286	8.998	-1.363	50.0
C00065	L-Serine	-1.578	-0.355	0.428	4.265	-0.869	60.0
C00493	Shikimate	1.047	0.341	0.326	3.333	0.118	70.0
C05345	beta-D-Fructose_6-phosphate	1.412	3.763	0.375	16.237	2.607	90.0
C00221	beta-D-Glucose	3.459	-1.064	0.19	13.087	-1.315	50.0
C00229	Acyl-carrier_protein	-3.0	-1.0	0.25	10.0	-1.322	50.0
C00095	D-Fructose	-1.0	-2.0	0.5	6.0	-1.585	60.0
C00655	Xanthosine_5'-phosphate	3.115	0.369	0.118	9.955	0.238	70.0
C00118	D-Glyceraldehyde_3-phosphate	2.4	6.136	0.391	75.605	4.886	90.0
C03125	L-Cysteinyl-tRNA(Cys)	-4.087	-2.322	0.294	21.995	-2.694	80.0
C00008	ADP	3.97	-2.415	0.34	21.004	-2.838	80.0
C00006	NADP+	-2.0	1.0	0.5	6.0	-1.585	60.0
C00002	ATP	-4.36	2.524	0.28	26.287	-2.88	80.0
C00369	Starch	0.874	0.893	0.979	3.69	1.853	80.0
C00250	Pyridoxal	3.807	1.0	0.263	15.997	2.071	80.0
C00251	Chorismate	0.585	-0.297	0.819	2.729	-1.16	50.0
C00254	Prephenate	0.19	0.632	0.301	2.69	-0.306	60.0
C00255	Riboflavin	3.0	2.322	0.774	13.0	3.331	90.0
C05336	Selenomethionyl-tRNA(Met)	-3.585	-1.0	0.167	14.0	-1.222	50.0
C01083	alpha,alpha-Trehalose	-3.0	-2.0	0.5	12.0	-2.585	80.0
C01931	L-Lysyl-tRNA	-3.907	-1.0	0.133	17.001	-1.181	50.0
C00314	Pyridoxine	3.807	1.0	0.263	15.997	2.071	80.0
C00886	L-Alanyl-tRNA	-3.459	-1.585	0.273	13.997	-1.933	70.0
C00092	D-Glucose_6-phosphate	-3.655	-3.459	0.873	23.594	-4.364	90.0
C00093	sn-Glycerol_3-phosphate	3.256	-1.893	0.389	13.267	-2.367	80.0
C00882	Dephospho-CoA	-3.807	1.585	0.214	16.997	-1.865	70.0
C00097	L-Cysteine	3.907	0.415	0.106	16.334	0.795	70.0
C00078	L-Tryptophan	2.585	0.585	0.226	7.5	0.763	70.0
C00079	L-Phenylalanine	2.807	-0.097	0.153	8.068	-0.302	70.0
C00993	D-Alanyl-D-alanine	-1.0	-1.585	0.667	5.0	-1.737	70.0
C00073	L-Methionine	-0.322	3.585	0.104	13.25	-0.465	60.0
C00074	Phosphoenolpyruvate	-3.874	-0.848	0.123	16.462	-1.015	60.0
C00075	UTP	4.061	2.619	0.645	22.834	3.88	90.0
C00979	O-Acetyl-L-serine	-3.15	-0.585	0.169	10.377	-0.81	60.0
C06194	2',3'-Cyclic_GMP	2.807	1.0	0.356	8.998	1.681	80.0
C06193	Guanosine_3'-phosphate	-2.807	-1.0	0.286	8.998	-1.363	50.0
C00123	L-Leucine	3.585	0.222	0.062	13.167	-0.295	70.0
C00085	D-Fructose_6-phosphate	3.773	3.961	0.953	29.244	4.8	90.0
C00242	Guanine	-2.322	1.0	0.4	7.0	-1.485	60.0
