compound_code	compound_name	eubacterium_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-4.875	0.243	0.04	30.528	-0.3	80.0
C00024	Acetyl-CoA	-4.381	-3.848	0.0	0.0	0.0	50.0
C00026	2-Oxoglutarate	-4.807	-4.626	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-5.807	-3.7	0.0	0.0	0.0	50.0
C00020	AMP	-3.565	0.415	0.113	13.168	-0.569	80.0
C00352	D-Glucosamine_6-phosphate	1.848	0.585	0.317	5.1	0.691	60.0
C00022	Pyruvate	3.299	-3.526	0.854	21.362	-4.19	90.0
C00143	5,10-Methylenetetrahydrofolate	-1.312	1.461	0.902	5.236	-2.239	90.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-5.129	-1.585	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-3.904	-2.0	0.0	0.0	0.0	50.0
C00029	UDP-glucose	-1.131	1.766	0.644	5.591	-1.848	90.0
C00147	Adenine	2.644	-0.101	0.172	7.323	-0.329	80.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-6.022	-0.585	0.0	0.0	0.0	50.0
C00149	(S)-Malate	2.273	1.339	0.589	7.363	2.117	70.0
C14089	1-Hydroxymethylnaphthalene	6.687	2.954	0.442	110.785	5.613	90.0
C05400	Epimelibiose	6.022	0.585	0.097	66.483	2.691	70.0
C05401	3-beta-D-Galactosyl-sn-glycerol	6.022	0.585	0.097	66.483	2.691	70.0
C05402	Melibiose	4.392	0.222	0.051	22.162	0.164	60.0
C02430	L-Methionyl-tRNA	-4.322	-2.322	0.0	0.0	0.0	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-4.038	-1.837	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	4.711	1.766	0.375	29.592	3.472	80.0
C00100	Propanoyl-CoA	-3.565	-1.7	0.0	0.0	0.0	50.0
C00438	N-Carbamoyl-L-aspartate	-2.585	0.585	0.25	7.5	-0.907	80.0
C00101	Tetrahydrofolate	-2.655	3.933	0.412	21.572	-3.153	90.0
C06126	Digalactosylceramide	6.022	0.585	0.097	66.483	2.691	70.0
C06250	Holo-[carboxylase]	1.415	-0.322	0.469	3.917	-0.877	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-3.17	-1.0	0.0	0.0	0.0	50.0
C00233	4-Methyl-2-oxopentanoate	2.402	-0.652	0.297	6.857	-1.028	80.0
C01185	Nicotinate_D-ribonucleotide	-1.0	1.0	1.0	4.0	-2.0	90.0
C00235	Dimethylallyl_diphosphate	-6.423	-3.609	0.0	0.0	0.0	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	6.022	0.585	0.097	66.483	2.691	70.0
C01931	L-Lysyl-tRNA	-6.555	-2.807	0.0	0.0	0.0	50.0
C15812	[Enzyme]-S-sulfanylcysteine	-3.907	1.585	0.2	18.001	-1.848	90.0
C00158	Citrate	-3.912	0.895	0.124	16.913	-1.063	80.0
C00014	Ammonia	-3.378	1.053	0.2	12.471	-1.316	80.0
C00015	UDP	-5.037	-1.874	0.0	0.0	0.0	50.0
C00065	L-Serine	-3.92	-0.787	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-4.459	-0.585	0.0	0.0	0.0	50.0
C00152	L-Asparagine	1.737	0.778	0.448	5.048	1.177	60.0
C00155	L-Homocysteine	-6.156	-0.322	0.0	0.0	0.0	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	-1.0	1.0	4.0	-2.0	90.0
C00794	D-Sorbitol	-6.022	-0.585	0.0	0.0	0.0	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.17	1.0	0.24	20.001	2.262	70.0
C00886	L-Alanyl-tRNA	-5.755	-3.585	0.0	0.0	0.0	50.0
C00294	Inosine	4.087	0.485	0.119	18.394	1.126	60.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	1.0	-1.874	0.546	5.665	-1.628	90.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	6.658	3.907	0.587	115.986	6.089	90.0
C02876	Propanoyl_phosphate	-5.6	-1.0	0.0	0.0	0.0	50.0
C05345	beta-D-Fructose_6-phosphate	6.025	-2.4	0.081	70.397	-2.512	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-5.6	-1.322	0.0	0.0	0.0	50.0
C00227	Acetyl_phosphate	2.218	0.107	0.048	5.729	-1.855	90.0
C00226	Primary_alcohol	6.687	2.954	0.442	110.785	5.613	90.0
C06037	Digalactosyl-diacylglycerol	6.022	0.585	0.097	66.483	2.691	70.0
C00259	L-Arabinose	-5.781	3.17	0.164	63.987	-3.389	90.0
C03512	L-Tryptophanyl-tRNA(Trp)	-5.7	-1.0	0.0	0.0	0.0	50.0
C05382	Sedoheptulose_7-phosphate	-5.655	-0.547	0.0	0.0	0.0	50.0
C00385	Xanthine	-2.555	-0.153	0.0	0.0	0.0	50.0
C00387	Guanosine	4.087	0.485	0.119	18.394	1.126	60.0
C00817	D-Altronate	2.115	1.807	0.854	7.831	2.742	80.0
C03539	S-Ribosyl-L-homocysteine	1.585	1.0	0.631	5.0	1.657	60.0
C05841	Nicotinate_D-ribonucleoside	4.087	0.585	0.143	18.495	1.404	60.0
C00655	Xanthosine_5'-phosphate	-4.167	-1.524	0.0	0.0	0.0	50.0
C16396	2,4-Diamino-6-nitrotoluene	1.807	4.644	0.389	28.502	3.471	80.0
C04411	(2R,3S)-3-Isopropylmalate	2.678	1.585	0.592	9.4	2.476	70.0
C16399	2,4-Diamino-6-hydroxylaminotoluene	-1.807	-4.644	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.15	-3.322	0.0	0.0	0.0	50.0
C01172	beta-D-Glucose_6-phosphate	4.644	-2.612	0.245	31.116	-2.928	90.0
C06112	L-Glutamyl-tRNA(Gln)	-5.157	-1.322	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-4.524	-1.0	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	4.322	1.0	0.231	22.001	2.348	70.0
C00364	dTMP	-1.415	-2.874	0.0	0.0	0.0	50.0
C00365	dUMP	1.0	-3.567	0.169	13.852	-1.225	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-4.524	-1.0	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	4.322	1.0	0.231	22.001	2.348	70.0
C00008	ADP	4.47	-1.415	0.12	24.828	-1.579	90.0
C00003	NAD+	-3.807	-2.663	0.0	0.0	0.0	50.0
C00002	ATP	6.714	4.465	0.665	127.067	6.401	90.0
C00369	Starch	-4.078	2.402	0.313	22.174	-2.795	90.0
C01127	4-Hydroxy-2-oxoglutarate	5.0	3.907	0.781	47.001	5.199	90.0
C00253	Nicotinate	-4.459	-1.17	0.0	0.0	0.0	50.0
C05336	Selenomethionyl-tRNA(Met)	-5.7	-2.322	0.0	0.0	0.0	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	5.931	0.585	0.099	62.511	2.624	70.0
C00031	D-Glucose	-3.672	-0.222	0.0	0.0	0.0	50.0
C00645	N-Acetyl-D-mannosamine	-1.585	-1.0	0.0	0.0	0.0	50.0
C00330	Deoxyguanosine	2.104	0.585	0.278	5.799	0.689	60.0
C01083	alpha,alpha-Trehalose	-3.202	-1.585	0.0	0.0	0.0	50.0
C00559	Deoxyadenosine	3.17	-0.322	0.139	10.251	-0.51	80.0
C00558	D-Tagaturonate	-6.022	-7.524	0.0	0.0	0.0	50.0
C00492	Raffinose	-4.392	-0.222	0.0	0.0	0.0	50.0
C00073	L-Methionine	3.661	2.322	0.634	17.65	3.485	80.0
C00469	Ethanol	6.687	2.954	0.442	110.785	5.613	90.0
C00092	D-Glucose_6-phosphate	-6.194	-3.075	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	5.061	-1.525	0.086	36.26	-1.644	90.0
C00498	ADP-glucose	-7.105	-3.157	0.0	0.0	0.0	50.0
C00095	D-Fructose	-5.755	-0.193	0.0	0.0	0.0	50.0
C00097	L-Cysteine	4.279	1.474	0.344	22.192	2.934	80.0
C14099	2-Naphthaldehyde	-6.687	-2.954	0.0	0.0	0.0	50.0
C00078	L-Tryptophan	4.437	1.0	0.225	23.661	2.415	70.0
C00079	L-Phenylalanine	3.017	0.348	0.115	9.368	0.112	60.0
