compound_code	compound_name	lactobacillus_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	3.851	-2.134	0.304	18.819	-2.517	80.0
C00024	Acetyl-CoA	-8.24	4.951	0.102	333.266	-5.092	90.0
C00148	L-Proline	2.536	3.17	0.8	14.8	3.566	70.0
C00026	2-Oxoglutarate	3.981	1.415	0.355	18.457	2.714	60.0
C06481	L-Seryl-tRNA(Sec)	-6.615	-3.907	0.0	0.0	0.0	50.0
C00020	AMP	3.771	3.285	0.871	23.399	4.349	70.0
C00352	D-Glucosamine_6-phosphate	6.155	1.379	0.224	73.86	4.049	70.0
C00022	Pyruvate	-5.362	-3.222	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	-1.356	0.599	0.592	4.074	-1.27	70.0
C00029	UDP-glucose	-6.268	2.891	0.096	84.483	-3.024	80.0
C00147	Adenine	2.121	-2.17	0.967	8.85	-3.097	80.0
C00144	GMP	3.241	-2.888	0.783	16.857	-3.722	90.0
C02876	Propanoyl_phosphate	-1.807	-3.7	0.0	0.0	0.0	50.0
C00343	Thioredoxin_disulfide	5.946	-4.585	0.389	85.649	-5.059	90.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	6.687	-5.044	0.32	136.027	-5.445	90.0
C05400	Epimelibiose	6.954	3.585	0.516	135.983	6.131	90.0
C00021	S-Adenosyl-L-homocysteine	4.19	-2.459	0.301	23.751	-2.839	80.0
C05402	Melibiose	5.7	-4.087	0.327	68.979	-4.495	90.0
C02430	L-Methionyl-tRNA	3.585	-3.17	0.75	21.001	-3.977	90.0
C00054	Adenosine_3',5'-bisphosphate	-5.322	-3.0	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	7.788	3.858	0.495	235.515	6.866	90.0
C00627	Pyridoxine_phosphate	-8.055	-3.807	0.0	0.0	0.0	50.0
C00100	Propanoyl-CoA	-10.569	-1.585	0.0	0.0	0.0	50.0
C00459	dTTP	-4.392	3.392	0.5	31.493	-3.977	90.0
C05122	Taurocholate	6.907	1.0	0.145	122.009	4.143	70.0
C06126	Digalactosylceramide	6.954	3.585	0.516	135.983	6.131	90.0
C00330	Deoxyguanosine	5.585	4.807	0.861	75.994	6.031	90.0
C03688	Apo-[acyl-carrier-protein]	5.322	3.0	0.564	48.002	4.758	80.0
C00231	D-Xylulose_5-phosphate	2.907	-2.656	0.84	13.803	-3.536	80.0
C01345	dITP	5.0	3.459	0.692	42.997	4.895	80.0
C01185	Nicotinate_D-ribonucleotide	3.524	-1.222	0.203	13.836	-1.488	70.0
C05688	L-Selenocysteine	4.17	3.459	0.829	28.998	4.588	80.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	6.954	3.585	0.516	135.983	6.131	90.0
C18902	Methylselenic_acid	6.966	3.7	0.531	138.015	6.196	90.0
C15812	[Enzyme]-S-sulfanylcysteine	-5.0	1.585	0.094	35.0	-1.714	70.0
C02839	L-Tyrosyl-tRNA(Tyr)	-5.209	-3.585	0.0	0.0	0.0	50.0
C00014	Ammonia	-2.52	-3.619	0.0	0.0	0.0	50.0
C00015	UDP	-0.585	-3.17	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-3.0	-3.322	0.0	0.0	0.0	50.0
C02336	beta-D-Fructose	5.555	-4.7	0.553	73.005	-5.335	90.0
C00018	Pyridoxal_phosphate	-8.055	-3.807	0.0	0.0	0.0	50.0
C00065	L-Serine	-2.677	-1.578	0.0	0.0	0.0	50.0
C16688	Sucrose_6-phosphate	-4.459	5.459	0.5	65.98	-5.044	90.0
C00314	Pyridoxine	8.055	3.807	0.473	279.944	7.048	90.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3.17	3.459	0.916	19.997	4.196	70.0
C00794	D-Sorbitol	-4.524	-3.585	0.0	0.0	0.0	50.0
C00886	L-Alanyl-tRNA	-3.907	-3.459	0.0	0.0	0.0	50.0
C01134	Pantetheine_4'-phosphate	5.15	3.7	0.718	48.502	5.123	80.0
C00066	tRNA	2.585	3.459	0.747	16.997	3.667	70.0
C05399	Melibiitol	6.954	3.585	0.516	135.983	6.131	90.0
C05345	beta-D-Fructose_6-phosphate	6.908	1.412	0.204	122.753	4.649	80.0
C11736	5-Fluorodeoxyuridine	3.17	2.0	0.631	13.0	3.036	70.0
C00226	Primary_alcohol	7.639	5.17	0.677	235.33	7.315	90.0
C06037	Digalactosyl-diacylglycerol	6.954	3.585	0.516	135.983	6.131	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.728	-3.755	0.0	0.0	0.0	50.0
C00221	beta-D-Glucose	-7.943	3.459	0.045	257.08	-3.522	80.0
C00385	Xanthine	-4.313	2.459	0.277	25.375	-2.811	80.0
C00387	Guanosine	5.3	4.807	0.907	67.39	5.934	80.0
C00229	Acyl-carrier_protein	-4.392	-3.0	0.0	0.0	0.0	50.0
C00882	Dephospho-CoA	-5.044	-3.807	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	3.298	3.115	0.945	18.499	4.127	70.0
C00301	ADP-ribose	4.7	2.585	0.55	31.992	4.137	70.0
C00718	Amylose	-4.248	-3.209	0.0	0.0	0.0	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.459	-4.087	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-4.087	-3.322	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-6.954	-3.585	0.0	0.0	0.0	50.0
C00152	L-Asparagine	-1.188	-0.415	0.0	0.0	0.0	50.0
C00365	dUMP	-4.692	0.807	0.068	27.598	-0.901	70.0
C00362	dGMP	-3.459	1.585	0.273	13.997	-1.933	70.0
C00363	dTDP	5.17	-3.322	0.278	46.002	-3.676	80.0
C00009	Orthophosphate	-2.807	-3.322	0.0	0.0	0.0	50.0
C00008	ADP	-6.646	3.97	0.156	115.819	-4.18	90.0
C00006	NADP+	6.011	-2.0	0.062	68.49	-2.087	70.0
C00058	Formate	10.263	-1.17	0.002	1231.021	-1.173	70.0
C00003	NAD+	-1.138	0.737	0.757	3.867	-1.55	70.0
C00002	ATP	-6.267	-4.36	0.0	0.0	0.0	50.0
C05980	Cardiolipin	-2.807	-3.585	0.0	0.0	0.0	50.0
C00369	Starch	4.807	0.874	0.182	29.826	2.439	60.0
C05703	Methaneselenol	-6.16	-3.585	0.0	0.0	0.0	50.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-1.0	-3.0	0.0	0.0	0.0	50.0
C05401	3-beta-D-Galactosyl-sn-glycerol	6.954	3.585	0.516	135.983	6.131	90.0
C00253	Nicotinate	-4.931	-4.807	0.0	0.0	0.0	50.0
C00250	Pyridoxal	8.055	3.807	0.473	279.944	7.048	90.0
C00255	Riboflavin	2.322	3.0	0.774	13.0	3.331	70.0
C05336	Selenomethionyl-tRNA(Met)	-3.459	-3.585	0.0	0.0	0.0	50.0
C00415	Dihydrofolate	-1.078	1.152	0.95	4.333	-2.041	70.0
C00416	Phosphatidate	-4.163	0.807	0.098	19.663	-0.941	70.0
C05335	L-Selenomethionine	3.459	3.585	0.965	22.997	4.472	80.0
C00037	Glycine	-2.095	3.129	0.488	13.021	-2.669	80.0
C01083	alpha,alpha-Trehalose	6.508	-3.0	0.088	99.013	-3.122	80.0
C01931	L-Lysyl-tRNA	-4.322	-3.907	0.0	0.0	0.0	50.0
C00492	Raffinose	-5.7	4.087	0.327	68.979	-4.495	90.0
C01528	Hydrogen_selenide	-5.746	-3.544	0.0	0.0	0.0	50.0
C00469	Ethanol	7.639	5.17	0.677	235.33	7.315	90.0
C00092	D-Glucose_6-phosphate	-6.582	-3.655	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	-1.463	3.256	0.289	12.31	-1.829	70.0
C00095	D-Fructose	4.824	-1.0	0.071	30.325	-1.098	70.0
C00097	L-Cysteine	-5.926	3.907	0.247	75.801	-4.225	90.0
C14099	2-Naphthaldehyde	-7.639	-5.17	0.0	0.0	0.0	50.0
