compound_code	compound_name	clostridium_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.243	5.922	0.041	61.815	1.343	60.0
C00024	Acetyl-CoA	-3.848	-8.417	0.0	0.0	0.0	50.0
C00026	2-Oxoglutarate	-4.626	-4.412	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-3.7	-8.426	0.0	0.0	0.0	50.0
C00020	AMP	0.415	-6.484	0.015	90.845	-0.436	70.0
C00352	D-Glucosamine_6-phosphate	0.585	6.436	0.091	88.082	3.001	70.0
C00022	Pyruvate	-3.526	8.769	0.026	447.766	-3.564	90.0
C00143	5,10-Methylenetetrahydrofolate	1.461	-7.131	0.02	142.92	-1.489	90.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-1.585	-8.098	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-2.0	-7.449	0.0	0.0	0.0	50.0
C00029	UDP-glucose	1.766	-7.345	0.021	165.98	-1.796	90.0
C00147	Adenine	-0.101	4.295	0.055	20.703	-0.178	70.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-0.585	-8.028	0.0	0.0	0.0	50.0
C06010	(S)-2-Acetolactate	2.585	8.811	0.293	455.133	7.061	90.0
C00149	(S)-Malate	1.339	4.459	0.3	24.523	2.881	60.0
C05400	Epimelibiose	0.585	8.028	0.073	262.517	4.258	70.0
C05686	Adenylylselenate	-2.585	-5.17	0.0	0.0	0.0	50.0
C05402	Melibiose	0.222	4.907	0.045	31.169	0.496	60.0
C02430	L-Methionyl-tRNA	-2.322	-3.585	0.0	0.0	0.0	50.0
C01762	Xanthosine	0.585	7.676	0.076	206.006	3.973	70.0
C00103	D-Glucose_1-phosphate	3.36	5.816	0.578	66.604	5.266	80.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-1.837	-8.282	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	1.766	-0.678	0.47	5.001	-1.234	80.0
C03033	beta-D-Glucuronoside	1.0	4.392	0.228	22.995	2.388	60.0
C00100	Propanoyl-CoA	-1.7	-11.255	0.0	0.0	0.0	50.0
C00438	N-Carbamoyl-L-aspartate	0.585	-3.03	0.184	9.668	-0.828	80.0
C00101	Tetrahydrofolate	3.933	-5.719	0.29	67.947	-4.3	90.0
C04411	(2R,3S)-3-Isopropylmalate	1.585	2.293	0.691	7.901	2.449	60.0
C06126	Digalactosylceramide	0.585	8.028	0.073	262.517	4.258	70.0
C01721	L-Fuculose	-2.322	-7.15	0.0	0.0	0.0	50.0
C06250	Holo-[carboxylase]	-0.322	-7.998	0.0	0.0	0.0	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.0	5.672	0.039	52.985	-1.056	80.0
C00233	4-Methyl-2-oxopentanoate	-0.652	6.842	0.014	116.293	-0.672	80.0
C01185	Nicotinate_D-ribonucleotide	1.0	5.261	0.19	40.346	2.939	70.0
C00235	Dimethylallyl_diphosphate	-3.609	-8.912	0.0	0.0	0.0	50.0
C01613	Stachyose	0.415	7.858	0.053	233.336	3.623	70.0
C01931	L-Lysyl-tRNA	-2.807	-7.697	0.0	0.0	0.0	50.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	-7.807	0.013	226.945	-1.604	90.0
C00011	CO2	6.808	5.206	0.765	148.962	6.832	90.0
C00014	Ammonia	1.053	-4.607	0.085	26.444	-1.171	80.0
C00015	UDP	-1.874	-6.366	0.0	0.0	0.0	50.0
C00191	D-Glucuronate	7.103	9.187	0.773	720.33	9.121	90.0
C00065	L-Serine	-0.787	-7.009	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-0.585	-7.791	0.0	0.0	0.0	50.0
C00152	L-Asparagine	0.778	-7.197	0.012	148.443	-0.795	80.0
C00155	L-Homocysteine	-0.322	-5.299	0.0	0.0	0.0	50.0
C05791	D-Urobilinogen	-1.0	-4.392	0.0	0.0	0.0	50.0
C00794	D-Sorbitol	-0.585	-7.96	0.0	0.0	0.0	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	1.0	6.426	0.156	87.984	3.775	70.0
C00294	Inosine	0.485	7.715	0.063	211.509	3.733	70.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-1.874	-4.087	0.0	0.0	0.0	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	3.907	9.192	0.425	599.882	7.994	90.0
C00197	3-Phospho-D-glycerate	4.491	6.624	0.678	121.12	6.36	80.0
C05345	beta-D-Fructose_6-phosphate	-2.4	10.671	0.003	1635.666	-2.405	90.0
C00227	Acetyl_phosphate	0.107	-6.781	0.01	111.05	-0.121	70.0
C16633	5-Fluorouridine	2.0	7.577	0.264	194.943	5.685	80.0
C04900	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide	1.0	4.392	0.228	22.995	2.388	60.0
C06037	Digalactosyl-diacylglycerol	0.585	8.028	0.073	262.517	4.258	70.0
C03511	L-Phenylalanyl-tRNA(Phe)	-1.322	-7.873	0.0	0.0	0.0	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	0.585	8.028	0.073	262.517	4.258	70.0
C05382	Sedoheptulose_7-phosphate	-0.547	-6.078	0.0	0.0	0.0	50.0
C00385	Xanthine	-0.153	-5.867	0.0	0.0	0.0	50.0
C00387	Guanosine	0.485	7.676	0.063	205.906	3.702	70.0
C00817	D-Altronate	1.807	-5.85	0.061	61.179	-1.892	90.0
