compound_code	compound_name	mollicute_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-2.134	3.367	0.425	14.707	-2.645	80.0
C00024	Acetyl-CoA	4.951	10.672	0.464	1662.45	9.591	90.0
C00148	L-Proline	3.17	7.538	0.421	194.851	6.357	80.0
C00026	2-Oxoglutarate	1.415	5.085	0.278	36.609	3.349	60.0
C06481	L-Seryl-tRNA(Sec)	-3.907	-9.987	0.0	0.0	0.0	50.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	1.585	6.508	0.244	94.013	4.517	60.0
C00352	D-Glucosamine_6-phosphate	1.379	-8.342	0.008	327.084	-1.391	70.0
C00022	Pyruvate	-3.222	-7.12	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	0.599	-8.635	0.004	399.067	-0.604	70.0
C00029	UDP-glucose	2.891	8.82	0.328	459.362	7.234	80.0
C00147	Adenine	-2.17	-6.608	0.0	0.0	0.0	50.0
C00144	GMP	-2.888	-8.565	0.0	0.0	0.0	50.0
C02876	Propanoyl_phosphate	-3.7	-6.615	0.0	0.0	0.0	50.0
C01100	L-Histidinol_phosphate	2.0	-4.776	0.146	31.398	-2.197	80.0
C00343	Thioredoxin_disulfide	-4.585	7.322	0.15	184.009	-4.787	90.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-5.044	9.18	0.057	613.028	-5.124	90.0
C00944	3-Dehydroquinate	2.0	-6.459	0.045	91.974	-2.064	80.0
C05400	Epimelibiose	3.585	9.18	0.391	592.037	7.853	80.0
C00021	S-Adenosyl-L-homocysteine	-2.459	-5.828	0.0	0.0	0.0	50.0
C02430	L-Methionyl-tRNA	-3.17	-8.071	0.0	0.0	0.0	50.0
C00020	AMP	3.285	-7.908	0.041	249.932	-3.342	90.0
C00054	Adenosine_3',5'-bisphosphate	-3.0	-2.585	0.0	0.0	0.0	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	0.379	-5.946	0.021	62.949	-0.409	70.0
C02737	Phosphatidylserine	-0.222	-5.992	0.0	0.0	0.0	50.0
C00100	Propanoyl-CoA	-1.585	-9.295	0.0	0.0	0.0	50.0
C12739	5'-Deoxy-5-fluorouridine	-4.0	-8.516	0.0	0.0	0.0	50.0
C00780	Serotonin	2.0	6.845	0.292	118.961	5.119	70.0
C00826	L-Arogenate	2.907	7.34	0.396	169.517	6.069	80.0
C05122	Taurocholate	1.0	7.762	0.129	219.068	4.819	70.0
C06126	Digalactosylceramide	3.585	9.18	0.391	592.037	7.853	80.0
C01083	alpha,alpha-Trehalose	-3.0	-1.0	0.0	0.0	0.0	50.0
C03684	6-Pyruvoyltetrahydropterin	-1.585	-8.401	0.0	0.0	0.0	50.0
C00344	Phosphatidylglycerol	3.585	7.087	0.506	147.957	6.226	80.0
C03688	Apo-[acyl-carrier-protein]	3.0	2.585	0.862	14.0	3.593	60.0
C00231	D-Xylulose_5-phosphate	-2.656	-8.858	0.0	0.0	0.0	50.0
C01345	dITP	3.459	-7.977	0.044	262.948	-3.521	90.0
C11433	1-Methoxyphenanthrene	-2.0	-6.845	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	-1.222	-8.313	0.0	0.0	0.0	50.0
C02637	3-Dehydroshikimate	-1.222	6.639	0.023	101.997	-1.255	70.0
C01613	Stachyose	4.807	9.18	0.524	608.03	8.315	90.0
C00558	D-Tagaturonate	-2.807	7.562	0.037	195.967	-2.859	80.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	-2.322	0.6	8.0	-2.263	80.0
C00011	CO2	6.409	10.508	0.61	1541.184	9.877	90.0
C00014	Ammonia	-3.619	-7.126	0.0	0.0	0.0	50.0
C05980	Cardiolipin	-3.585	-8.17	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-3.322	-8.508	0.0	0.0	0.0	50.0
C02336	beta-D-Fructose	-4.7	8.055	0.098	291.94	-4.835	90.0
C05822	3'-CMP	-2.807	-7.19	0.0	0.0	0.0	50.0
C00065	L-Serine	-1.578	-7.847	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-4.807	-8.913	0.0	0.0	0.0	50.0
C00493	Shikimate	1.047	3.544	0.295	13.73	2.02	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3.459	-7.781	0.05	230.942	-3.529	90.0
C00015	UDP	-3.17	-8.186	0.0	0.0	0.0	50.0
C00794	D-Sorbitol	-3.585	-9.18	0.0	0.0	0.0	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	1.0	-6.304	0.025	81.012	-1.036	70.0
C01134	Pantetheine_4'-phosphate	3.7	-7.18	0.09	158.005	-3.824	90.0
C00066	tRNA	3.459	8.98	0.385	515.948	7.635	80.0
C05399	Melibiitol	3.585	9.18	0.391	592.037	7.853	80.0
C05345	beta-D-Fructose_6-phosphate	1.412	6.678	0.211	105.056	4.473	60.0
C03511	L-Phenylalanyl-tRNA(Phe)	-3.755	-9.641	0.0	0.0	0.0	50.0
C00459	dTTP	3.392	-8.832	0.023	466.216	-3.425	90.0
C06037	Digalactosyl-diacylglycerol	3.585	9.18	0.391	592.037	7.853	80.0
