compound_code	compound_name	clostridium_mock_score	alistipes_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.243	5.618	0.043	50.295	1.121	60.0
C00026	2-Oxoglutarate	-4.626	-6.017	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-3.7	-6.768	0.0	0.0	0.0	50.0
C00020	AMP	0.415	1.585	0.262	4.333	0.182	60.0
C00352	D-Glucosamine_6-phosphate	0.585	-5.728	0.028	54.503	-0.625	70.0
C00022	Pyruvate	-3.526	6.239	0.153	87.051	-3.731	90.0
C00143	5,10-Methylenetetrahydrofolate	1.461	-5.215	0.074	39.896	-1.564	80.0
C00141	3-Methyl-2-oxobutanoic_acid	-2.0	-4.392	0.0	0.0	0.0	50.0
C00029	UDP-glucose	1.766	4.17	0.424	21.402	3.18	70.0
C00147	Adenine	-0.101	-2.755	0.0	0.0	0.0	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-1.0	-8.358	0.0	0.0	0.0	50.0
C00149	(S)-Malate	1.339	-5.856	0.044	60.45	-1.401	80.0
C02430	L-Methionyl-tRNA	-2.322	-5.044	0.0	0.0	0.0	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-1.837	-3.382	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	1.766	3.766	0.469	17.005	2.995	70.0
C05335	L-Selenomethionine	2.322	5.322	0.436	45.002	4.295	80.0
C00438	N-Carbamoyl-L-aspartate	0.585	3.858	0.152	16.0	1.279	60.0
C00101	Tetrahydrofolate	3.933	4.512	0.872	38.09	5.053	80.0
C06250	Holo-[carboxylase]	-0.322	-6.267	0.0	0.0	0.0	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.0	-4.907	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	1.0	-6.19	0.027	75.009	-1.039	70.0
C00235	Dimethylallyl_diphosphate	-3.609	-3.138	0.0	0.0	0.0	50.0
C01931	L-Lysyl-tRNA	-2.807	-6.931	0.0	0.0	0.0	50.0
C00011	CO2	6.808	7.581	0.898	303.523	8.091	90.0
C00014	Ammonia	1.053	-4.031	0.127	18.422	-1.225	70.0
C00015	UDP	-1.874	-3.907	0.0	0.0	0.0	50.0
C00065	L-Serine	-0.787	5.185	0.047	38.104	-0.854	70.0
C00153	Nicotinamide	-0.585	-7.304	0.0	0.0	0.0	50.0
C00152	L-Asparagine	0.778	6.7	0.116	105.683	3.617	70.0
C00155	L-Homocysteine	-0.322	-1.379	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	0.485	-1.773	0.41	4.817	-0.98	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	1.0	4.907	0.204	32.002	2.705	70.0
C00091	Succinyl-CoA	5.94	-6.522	0.668	153.293	-6.678	90.0
C00197	3-Phospho-D-glycerate	4.491	6.427	0.699	108.531	6.245	90.0
C05345	beta-D-Fructose_6-phosphate	-2.4	5.811	0.094	61.42	-2.53	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-1.322	-6.615	0.0	0.0	0.0	50.0
C16633	5-Fluorouridine	2.0	7.748	0.258	218.971	5.821	90.0
