compound_code	compound_name	bacteroides_mock_score	turicibacter_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-5.044	-4.17	0.0	0.0	0.0	50.0
C00149	(S)-Malate	-4.948	1.0	0.065	32.867	-1.091	70.0
C02430	L-Methionyl-tRNA	-5.248	-1.0	0.0	0.0	0.0	50.0
C00437	N-Acetylornithine	2.369	1.379	0.582	7.767	2.177	70.0
C00826	L-Arogenate	4.644	3.17	0.683	34.003	4.537	80.0
C06126	Digalactosylceramide	2.322	3.7	0.628	17.996	3.497	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	1.0	-4.954	0.065	32.996	-1.09	70.0
C01185	Nicotinate_D-ribonucleotide	-4.503	2.7	0.287	29.173	-3.064	80.0
C05796	Galactan	9.541	3.322	0.348	754.951	8.038	90.0
C00794	D-Sorbitol	-2.322	-3.7	0.0	0.0	0.0	50.0
C00506	L-Cysteate	3.907	4.17	0.937	33.002	4.95	80.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	2.322	3.7	0.628	17.996	3.497	80.0
C00385	Xanthine	2.907	-0.678	0.213	9.1	-0.957	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	5.448	4.17	0.765	61.654	5.56	90.0
C02504	alpha-Isopropylmalate	2.585	3.157	0.819	14.92	3.611	80.0
C00508	L-Ribulose	-5.248	-4.585	0.0	0.0	0.0	50.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	7.14	4.672	0.654	166.536	6.768	90.0
C05838	cis-2-Hydroxycinnamate	-7.14	-4.672	0.0	0.0	0.0	50.0
C00365	dUMP	-1.737	0.874	0.55	5.166	-1.506	70.0
C00361	dGDP	-2.397	1.222	0.443	7.6	-1.751	70.0
C00003	NAD+	-0.737	-2.415	0.0	0.0	0.0	50.0
C00002	ATP	7.296	3.027	0.415	165.301	6.1	90.0
C00369	Starch	5.989	2.874	0.48	70.845	5.087	80.0
C05703	Methaneselenol	-3.248	-2.807	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-4.883	-1.0	0.0	0.0	0.0	50.0
C02612	(R)-2-Methylmalate	2.585	3.392	0.762	16.498	3.652	80.0
C03742	(S)-4-Hydroxymandelonitrile	-7.14	-4.672	0.0	0.0	0.0	50.0
C00645	N-Acetyl-D-mannosamine	-2.202	-3.585	0.0	0.0	0.0	50.0
C00310	D-Xylulose	-5.358	5.907	0.683	101.017	-6.109	90.0
C01931	L-Lysyl-tRNA	-5.129	-1.0	0.0	0.0	0.0	50.0
C01528	Hydrogen_selenide	-3.059	-2.322	0.0	0.0	0.0	50.0
C00760	Cellulose	6.15	4.115	0.669	88.34	5.885	90.0
C00093	sn-Glycerol_3-phosphate	3.0	2.102	0.701	12.293	3.107	70.0
C00095	D-Fructose	-4.492	1.459	0.122	25.251	-1.625	70.0
C00096	GDP-mannose	3.818	-2.807	0.496	21.102	-3.388	80.0
C00097	L-Cysteine	-3.534	-2.858	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-4.402	2.954	0.367	28.89	-3.405	80.0
C00166	Phenylpyruvate	2.112	-0.621	0.356	5.861	-1.06	70.0
C00163	Propanoate	4.087	2.585	0.632	22.995	3.862	80.0
C02984	L-Aspartyl-tRNA(Asp)	-5.492	-5.833	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-3.644	-5.459	0.0	0.0	0.0	50.0
C00169	Carbamoyl_phosphate	-1.841	-3.563	0.0	0.0	0.0	50.0
C02047	L-Leucyl-tRNA	-5.426	-4.0	0.0	0.0	0.0	50.0
C03082	4-Phospho-L-aspartate	0.531	3.406	0.156	12.045	0.909	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.248	-1.585	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	5.508	1.0	0.182	47.506	3.109	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	1.28	-4.063	0.145	19.143	-1.476	70.0
C00860	L-Histidinol	1.0	-3.7	0.154	14.996	-1.207	70.0
