compound_code	compound_name	bacteroides_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-5.044	-3.0	0.242	40.991	-3.313	60.0
C00149	(S)-Malate	-4.948	2.273	0.157	35.7	-2.483	50.0
C00944	3-Dehydroquinate	1.0	1.585	0.631	5.0	1.657	60.0
C02430	L-Methionyl-tRNA	-5.248	-4.322	0.526	58.003	-4.932	80.0
C14819	Fe3+	-3.17	-4.322	0.45	29.001	-3.706	70.0
C14818	Fe2+	3.17	4.322	0.733	29.001	4.411	80.0
C00437	N-Acetylornithine	2.369	-3.293	0.527	14.967	-2.98	60.0
C00438	N-Carbamoyl-L-aspartate	2.459	-2.585	0.916	11.499	-3.397	60.0
C00826	L-Arogenate	4.644	4.585	0.987	49.003	5.596	80.0
C06126	Digalactosylceramide	2.322	6.022	0.386	69.984	4.754	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	1.0	-3.17	0.222	11.0	-1.289	50.0
C01185	Nicotinate_D-ribonucleotide	-4.503	-1.0	0.088	24.675	-1.122	60.0
C00558	D-Tagaturonate	2.0	-6.022	0.062	68.983	-2.086	50.0
C05796	Galactan	9.541	4.858	0.509	773.95	8.622	90.0
C00794	D-Sorbitol	-2.322	-6.022	0.077	69.984	-2.429	50.0
C16219	3-Oxostearoyl-[acp]	-4.585	4.322	0.833	44.002	-5.196	80.0
C00227	Acetyl_phosphate	-0.547	2.218	0.314	6.114	-0.941	60.0
C00226	Primary_alcohol	0.585	6.687	0.087	104.536	3.193	70.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	2.322	6.022	0.386	69.984	4.754	80.0
C00385	Xanthine	2.907	-2.555	0.783	13.377	-3.39	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	5.448	1.0	0.184	45.653	3.067	70.0
C02504	alpha-Isopropylmalate	2.585	-2.939	0.782	13.669	-3.419	60.0
C00229	Acyl-carrier_protein	8.583	4.807	0.56	411.471	7.848	90.0
C05841	Nicotinate_D-ribonucleoside	2.807	4.087	0.687	23.993	4.043	70.0
C00546	Methylglyoxal	-4.524	-5.977	0.365	85.995	-4.973	80.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	7.14	5.524	0.774	187.058	7.177	90.0
C05838	cis-2-Hydroxycinnamate	-7.14	-5.524	0.326	187.058	-5.931	90.0
C00364	dTMP	-1.0	-1.415	0.75	4.667	-1.807	50.0
C00365	dUMP	-1.737	1.0	0.6	5.333	-1.678	50.0
C00362	dGMP	-2.322	-0.222	0.233	6.167	-0.524	60.0
C00363	dTDP	4.807	-3.807	0.5	41.99	-4.392	80.0
C00360	dAMP	-5.113	-7.307	0.219	192.96	-5.398	90.0
C00361	dGDP	-2.397	3.17	0.585	14.268	-3.062	60.0
C00005	NADPH	-1.0	-3.585	0.167	14.0	-1.222	50.0
C00003	NAD+	-0.737	-3.807	0.119	15.663	-0.899	60.0
C00002	ATP	7.296	6.714	0.92	262.132	7.914	90.0
C00369	Starch	5.989	-4.078	0.266	80.403	-4.418	80.0
C05703	Methaneselenol	-3.248	-4.644	0.38	34.503	-3.713	70.0
C16619	6-Thioguanosine_monophosphate	-4.883	-4.931	0.967	60.013	-5.859	90.0
C16618	6-Thioxanthine_5'-monophosphate	-3.0	-5.322	0.2	48.002	-3.263	60.0
C02612	(R)-2-Methylmalate	2.585	4.7	0.55	31.992	4.137	70.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-5.044	-4.858	0.879	61.991	-5.768	90.0
C16614	6-Methylmercaptopurine	5.044	4.858	0.963	61.991	5.9	90.0
C03742	(S)-4-Hydroxymandelonitrile	-7.14	-5.524	0.326	187.058	-5.931	90.0
C00645	N-Acetyl-D-mannosamine	-2.202	-1.585	0.652	7.601	-2.309	50.0
C00099	beta-Alanine	-1.0	1.222	0.857	4.333	-1.893	50.0
C00310	D-Xylulose	-5.358	6.17	0.57	113.016	-6.008	90.0
C01931	L-Lysyl-tRNA	-5.129	-6.555	0.372	129.02	-5.585	90.0
C01528	Hydrogen_selenide	-3.059	-4.17	0.463	26.335	-3.608	70.0
C00469	Ethanol	0.585	6.687	0.087	104.536	3.193	70.0
C00760	Cellulose	6.15	-6.19	0.973	144.021	-7.13	90.0
C00093	sn-Glycerol_3-phosphate	3.0	5.061	0.593	41.382	4.616	80.0
C00095	D-Fructose	-4.492	-5.755	0.417	76.507	-4.995	80.0
C00096	GDP-mannose	3.818	0.379	0.099	15.404	0.613	60.0
C00097	L-Cysteine	-3.534	4.279	0.597	30.997	-4.209	70.0
C14099	2-Naphthaldehyde	-0.585	-6.687	0.015	104.536	-0.606	60.0
C14090	1-Naphthaldehyde	-0.585	-6.687	0.015	104.536	-0.606	60.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	4.755	4.907	0.969	57.004	5.788	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-4.248	-4.17	0.947	37.002	-5.132	80.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-4.402	-4.129	0.828	38.638	-4.999	80.0
C00166	Phenylpyruvate	2.112	-1.596	0.699	7.346	-2.361	50.0
C02988	L-Histidyl-tRNA(His)	-2.585	-6.285	0.077	83.978	-2.692	50.0
C00163	Propanoate	4.087	6.476	0.631	106.011	6.064	90.0
C02984	L-Aspartyl-tRNA(Asp)	-5.492	-5.672	0.883	95.99	-6.405	90.0
C02987	L-Glutamyl-tRNA(Glu)	-3.644	-5.044	0.379	45.492	-4.108	70.0
C03263	Coproporphyrinogen_III	2.0	4.644	0.431	29.002	3.643	70.0
C02047	L-Leucyl-tRNA	-5.426	-5.524	0.934	89.006	-6.378	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.248	-5.615	0.775	87.012	-6.076	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	5.508	6.304	0.874	124.518	6.765	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	1.28	-4.619	0.099	27.001	-1.416	50.0
C00860	L-Histidinol	1.0	4.17	0.24	20.001	2.262	60.0
C02962	D-Allose_6-phosphate	6.807	5.285	0.776	150.962	6.873	90.0
C00864	Pantothenate	-2.585	3.459	0.546	16.997	-3.213	60.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-4.833	2.585	0.211	34.502	-2.861	60.0
C01380	Ethylene_glycol	3.585	6.443	0.556	99.004	5.784	90.0
C01419	Cys-Gly	5.931	3.907	0.659	76.012	5.646	80.0
C08325	Amygdalin	7.14	5.524	0.774	187.058	7.177	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-6.845	-3.939	0.133	130.299	-4.12	70.0
C03406	N-(L-Arginino)succinate	3.585	-5.322	0.3	52.002	-3.964	70.0
C07648	Thioguanine	5.044	4.858	0.963	61.991	5.9	90.0
C00327	L-Citrulline	2.322	5.248	0.442	43.002	4.25	80.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-3.0	1.585	0.375	11.0	-2.044	50.0
