compound_code	compound_name	lactobacillus_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C00259	L-Arabinose	4.392	-8.098	0.077	294.989	-4.499	70.0
C00149	(S)-Malate	2.322	4.459	0.521	26.994	3.813	60.0
C02430	L-Methionyl-tRNA	3.585	-3.585	1.0	24.001	-4.585	70.0
C14818	Fe2+	2.322	6.794	0.342	115.968	5.309	70.0
C00438	N-Carbamoyl-L-aspartate	-1.585	-3.03	0.367	11.168	-2.036	50.0
C06126	Digalactosylceramide	6.954	8.028	0.866	385.0	8.382	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-5.209	5.672	0.725	87.973	-5.996	80.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-3.17	5.248	0.237	47.002	-3.477	60.0
C01185	Nicotinate_D-ribonucleotide	3.524	5.261	0.67	49.849	5.061	70.0
C06128	GM4	3.322	3.17	0.954	19.001	4.18	70.0
C15812	[Enzyme]-S-sulfanylcysteine	-5.0	-7.807	0.143	255.945	-5.193	80.0
C15811	[Enzyme]-cysteine	5.285	9.074	0.582	577.936	8.395	90.0
C16688	Sucrose_6-phosphate	-4.459	7.322	0.137	182.001	-4.645	70.0
C00794	D-Sorbitol	-4.524	-7.96	0.092	272.007	-4.651	70.0
C02067	Pseudouridine	5.0	7.435	0.672	205.045	7.107	80.0
C00227	Acetyl_phosphate	-6.014	-6.781	0.588	174.597	-6.681	90.0
C01236	D-Glucono-1,5-lactone_6-phosphate	7.219	9.142	0.79	713.941	9.139	90.0
C00221	beta-D-Glucose	-7.943	-8.89	0.519	720.496	-8.546	90.0
C00385	Xanthine	-4.313	-5.867	0.341	78.24	-4.736	70.0
C00387	Guanosine	5.3	7.676	0.69	243.903	7.396	80.0
C02504	alpha-Isopropylmalate	0.503	5.881	0.086	60.35	2.368	60.0
C00229	Acyl-carrier_protein	-4.392	6.781	0.191	130.968	-4.644	70.0
C00508	L-Ribulose	-4.392	-8.512	0.058	386.058	-4.473	70.0
C01801	Deoxyribose	6.285	8.752	0.718	509.114	8.514	90.0
C00365	dUMP	-4.692	-6.949	0.209	149.403	-4.966	70.0
C00362	dGMP	-3.459	-2.7	0.591	17.495	-3.37	50.0
C00009	Orthophosphate	-2.807	-7.883	0.03	243.057	-2.849	50.0
C00008	ADP	-6.646	7.258	0.654	253.214	-7.372	90.0
C00006	NADP+	6.011	-6.672	0.632	166.46	-6.718	90.0
C00005	NADPH	-6.16	-5.459	0.615	115.493	-6.151	80.0
C00003	NAD+	-1.138	-6.163	0.031	73.856	-1.182	60.0
C00002	ATP	-6.267	8.749	0.179	507.252	-6.505	90.0
C00369	Starch	4.807	4.763	0.991	55.145	5.772	70.0
C05703	Methaneselenol	-6.16	-7.547	0.382	258.52	-6.627	90.0
C16619	6-Thioguanosine_monophosphate	-4.524	-8.028	0.088	284.024	-4.646	70.0
C16618	6-Thioxanthine_5'-monophosphate	4.585	-7.877	0.102	259.079	-4.725	70.0
C02612	(R)-2-Methylmalate	0.585	8.063	0.073	268.927	4.286	70.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-3.17	-7.864	0.039	241.97	-3.225	50.0
C16614	6-Methylmercaptopurine	3.17	7.864	0.403	241.97	6.608	80.0
C00645	N-Acetyl-D-mannosamine	-4.629	-5.895	0.416	84.251	-5.131	80.0
C00099	beta-Alanine	2.459	-2.0	0.727	9.498	-2.789	50.0
C01931	L-Lysyl-tRNA	-4.322	-7.697	0.096	227.506	-4.455	70.0
C00314	Pyridoxine	8.055	6.17	0.766	337.952	8.016	90.0
C00092	D-Glucose_6-phosphate	-6.582	-9.622	0.122	883.775	-6.748	90.0
C00093	sn-Glycerol_3-phosphate	-1.463	-7.965	0.011	252.621	-1.479	60.0
C00095	D-Fructose	4.824	7.353	0.656	191.808	6.975	80.0
C00096	GDP-mannose	5.755	6.599	0.872	150.943	7.04	80.0
C00097	L-Cysteine	-5.926	6.061	0.911	127.564	-6.86	90.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-5.524	7.994	0.18	300.952	-5.763	80.0
C02282	Glutaminyl-tRNA	4.03	-8.521	0.044	383.683	-4.093	70.0
C06196	2'-Deoxyinosine_5'-phosphate	-6.209	-6.022	0.878	138.96	-6.932	90.0
C03232	3-Phosphonooxypyruvate	2.678	-0.678	0.25	8.0	-1.0	60.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	2.585	4.7	0.55	31.992	4.137	60.0
C11949	3-Isopropylbut-3-enoyl-CoA	-2.585	-4.7	0.231	31.992	-2.885	50.0
C07118	Benzoyl_acetyl-CoA	2.585	4.7	0.55	31.992	4.137	60.0
C14762	13(S)-HODE	4.392	4.858	0.904	49.996	5.498	70.0
C14765	13-OxoODE	-4.392	-4.858	0.724	49.996	-5.178	80.0
C00160	Glycolate	-4.74	-7.955	0.108	274.861	-4.888	70.0
C00180	Benzoate	-3.858	-6.714	0.138	119.482	-4.045	60.0
C00163	Propanoate	6.615	9.101	0.727	647.148	8.878	90.0
C02984	L-Aspartyl-tRNA(Asp)	-4.459	-7.852	0.095	253.034	-4.59	70.0
C02987	L-Glutamyl-tRNA(Glu)	-4.322	-8.103	0.073	294.946	-4.423	70.0
C00169	Carbamoyl_phosphate	-3.49	-6.626	0.114	110.005	-3.645	60.0
C02047	L-Leucyl-tRNA	-4.755	-9.0	0.053	539.002	-4.829	70.0
C03082	4-Phospho-L-aspartate	5.44	6.8	0.8	154.842	6.953	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.087	-8.852	0.074	496.069	-5.189	80.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	2.0	6.34	0.315	85.008	4.745	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	3.147	-5.964	0.142	71.281	-3.338	50.0
C00864	Pantothenate	4.087	6.852	0.596	132.515	6.305	70.0
C01380	Ethylene_glycol	1.0	8.114	0.123	279.05	5.104	70.0
C01419	Cys-Gly	2.322	6.384	0.364	88.517	5.009	70.0
C01412	Butanal	6.216	4.858	0.782	103.337	6.336	70.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	2.322	-6.629	0.051	103.976	-2.393	50.0
C06040	Diglucosyl-diacylglycerol	-5.755	6.229	0.72	129.014	-6.537	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-4.222	-8.084	0.069	290.01	-4.318	70.0
C17962	Demethylphosphinothricin	3.17	5.392	0.588	50.991	4.906	70.0
C03406	N-(L-Arginino)succinate	2.585	-8.618	0.015	398.895	-2.607	50.0
C05512	Deoxyinosine	4.492	6.798	0.661	133.778	6.466	80.0
C07648	Thioguanine	3.17	7.864	0.403	241.97	6.608	80.0
C00288	HCO3-	4.196	7.371	0.569	183.864	6.71	80.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	4.322	-6.022	0.308	84.984	-4.709	70.0
C00695	Cholic_acid	-6.907	-7.418	0.702	291.027	-7.674	90.0
C00269	CDP-diacylglycerol	-2.459	4.902	0.184	35.397	-2.703	50.0
C16219	3-Oxostearoyl-[acp]	4.585	-2.322	0.208	29.001	-2.595	50.0
C00263	L-Homoserine	-2.738	-3.033	0.815	14.857	-3.598	60.0
C00262	Hypoxanthine	-4.239	-1.954	0.205	22.757	-2.223	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.0	-8.679	0.078	441.864	-5.108	70.0
C16216	3-Oxostearoyl-CoA	5.0	8.679	0.576	441.864	7.992	90.0
C00267	alpha-D-Glucose	4.556	7.457	0.611	199.227	6.927	80.0
C00266	Glycolaldehyde	-1.0	-7.733	0.009	214.748	-1.013	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	4.0	-7.6	0.082	210.012	-4.114	70.0
C00464	Mannan	-5.755	-1.0	0.037	56.004	-1.052	60.0
C00460	dUTP	5.113	7.555	0.677	222.661	7.235	80.0
C00286	dGTP	-7.812	-8.041	0.853	488.102	-8.702	90.0
C00283	Hydrogen_sulfide	7.14	6.807	0.953	253.016	7.914	90.0
C04432	tRNA_containing_6-isopentenyladenosine	-2.585	-6.943	0.049	129.042	-2.654	50.0
C01962	Thiocysteine	-3.755	-7.459	0.077	189.448	-3.862	60.0
C04051	5-Amino-4-imidazolecarboxyamide	-5.7	-8.488	0.145	411.024	-5.895	80.0
C00672	2-Deoxy-D-ribose_1-phosphate	-4.17	8.195	0.061	311.05	-4.256	70.0
C01209	Malonyl-[acyl-carrier_protein]	2.392	6.672	0.359	107.219	5.265	70.0
C02492	1,4-beta-D-Mannan	-5.755	7.022	0.416	183.971	-6.256	80.0
C00217	D-Glutamate	-0.737	5.615	0.034	50.677	-0.785	60.0
C00214	Thymidine	-6.267	5.102	0.446	111.356	-5.634	80.0
C00212	Adenosine	4.728	6.819	0.693	139.409	6.595	80.0
C05796	Galactan	8.449	7.901	0.935	588.486	9.104	90.0
C00036	Oxaloacetate	3.326	10.089	0.33	1099.188	8.501	90.0
C05841	Nicotinate_D-ribonucleoside	5.585	7.676	0.728	252.507	7.521	80.0
C00035	GDP	-6.066	1.7	0.048	70.245	-1.768	50.0
C00033	Acetate	7.121	8.404	0.847	477.93	8.662	90.0
C00031	D-Glucose	4.102	7.856	0.522	248.854	7.022	80.0
C00137	myo-Inositol	-4.788	-7.335	0.171	189.083	-5.016	70.0
C00136	Butanoyl-CoA	-7.5	9.309	0.285	815.31	-7.862	90.0
C00135	L-Histidine	2.17	-6.2	0.061	78.017	-2.256	50.0
