compound_code	compound_name	lachnospiraceae_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	1.08	3.851	0.28	16.544	2.214	80.0
C00024	Acetyl-CoA	-3.764	-8.24	0.045	315.92	-3.827	90.0
C00026	2-Oxoglutarate	-0.652	3.981	0.1	17.362	-0.789	60.0
C06481	L-Seryl-tRNA(Sec)	-1.585	-6.615	0.031	101.02	-1.628	60.0
C00020	AMP	-0.678	3.771	0.117	15.252	-0.838	60.0
C00352	D-Glucosamine_6-phosphate	1.322	6.155	0.215	73.759	3.986	90.0
C00022	Pyruvate	-2.435	-5.362	0.131	46.534	-2.613	80.0
C00143	5,10-Methylenetetrahydrofolate	0.131	-1.356	0.428	3.655	-0.645	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.907	2.3	0.381	6.8	-1.372	50.0
C00144	GMP	-0.893	3.241	0.196	11.312	-1.152	50.0
C01103	Orotidine_5'-phosphate	-3.369	1.222	0.226	12.664	-1.516	60.0
C00343	Thioredoxin_disulfide	-1.0	5.946	0.032	63.649	-1.046	50.0
C03838	5'-Phosphoribosylglycinamide	-1.0	-2.807	0.286	8.998	-1.363	50.0
C02430	L-Methionyl-tRNA	1.0	3.585	0.279	14.0	1.965	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-0.893	-5.141	0.053	37.142	-0.967	60.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-1.322	-2.954	0.323	10.249	-1.725	60.0
C00627	Pyridoxine_phosphate	-1.0	-8.055	0.008	267.948	-1.011	60.0
C00100	Propanoyl-CoA	-1.322	-10.569	0.002	1521.599	-1.324	50.0
C00438	N-Carbamoyl-L-aspartate	-2.0	-1.585	0.75	7.0	-2.392	80.0
C00101	Tetrahydrofolate	-1.0	1.485	0.714	4.799	-1.778	70.0
C01228	Guanosine_3',5'-bis(diphosphate)	-1.0	-4.755	0.074	29.002	-1.103	50.0
C00725	Lipoate	1.0	7.977	0.125	253.951	4.993	90.0
C03688	Apo-[acyl-carrier-protein]	1.0	5.322	0.188	42.002	2.98	80.0
C00231	D-Xylulose_5-phosphate	-3.346	2.907	0.738	17.669	-3.704	90.0
C00234	10-Formyltetrahydrofolate	0.598	-1.565	0.512	4.472	-1.194	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-2.322	-3.459	0.455	15.997	-2.863	90.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	-5.0	0.094	35.0	-1.714	60.0
C01931	L-Lysyl-tRNA	-1.0	-4.322	0.1	22.001	-1.137	50.0
C00014	Ammonia	-0.459	-2.52	0.24	7.11	-0.769	60.0
