compound_code	compound_name	lachnospiraceae_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	1.08	-4.875	0.072	31.458	-1.18	50.0
C00024	Acetyl-CoA	-3.764	-4.381	0.652	34.421	-4.488	90.0
C05528	3-Sulfopyruvate	-1.0	-3.0	0.25	10.0	-1.322	60.0
C06481	L-Seryl-tRNA(Sec)	-1.585	-5.807	0.054	58.986	-1.66	60.0
C00020	AMP	-0.678	-3.565	0.135	13.435	-0.861	60.0
C00352	D-Glucosamine_6-phosphate	1.322	1.848	0.715	6.1	2.126	70.0
C00022	Pyruvate	-2.435	3.299	0.549	15.25	-3.067	90.0
C00143	5,10-Methylenetetrahydrofolate	0.131	-1.312	0.441	3.578	-0.658	60.0
C00140	N-Acetyl-D-glucosamine	-3.0	-1.585	0.375	11.0	-2.044	80.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.907	-3.904	0.125	16.845	-1.077	50.0
C00144	GMP	-0.893	-2.725	0.281	8.469	-1.25	50.0
C02291	L-Cystathionine	3.0	7.807	0.384	231.945	6.478	90.0
C01103	Orotidine_5'-phosphate	-3.369	-6.052	0.156	76.681	-3.578	90.0
C00026	2-Oxoglutarate	-0.652	-4.807	0.056	29.564	-0.731	60.0
C00944	3-Dehydroquinate	-1.0	1.585	0.667	5.0	-1.737	70.0
C03838	5'-Phosphoribosylglycinamide	-1.0	-4.755	0.074	29.002	-1.103	50.0
C05746	3-Oxohexanoyl-[acp]	2.0	4.322	0.463	24.001	3.473	80.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	2.0	4.322	0.463	24.001	3.473	80.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-1.322	-4.129	0.143	19.997	-1.515	60.0
C02430	L-Methionyl-tRNA	1.0	-4.322	0.1	22.001	-1.137	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-0.893	-4.038	0.113	18.284	-1.048	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-1.322	-4.129	0.143	19.997	-1.515	60.0
C00627	Pyridoxine_phosphate	-1.0	-4.17	0.111	20.001	-1.152	50.0
C00100	Propanoyl-CoA	-1.322	-3.565	0.211	14.335	-1.598	60.0
C00624	N-Acetyl-L-glutamate	-1.0	-1.0	1.0	4.0	-2.0	80.0
C05754	trans-Dec-2-enoyl-[acp]	1.0	1.585	0.631	5.0	1.657	70.0
C00438	N-Carbamoyl-L-aspartate	-2.0	-2.585	0.667	10.0	-2.737	80.0
C00101	Tetrahydrofolate	-1.0	-2.655	0.318	8.298	-1.398	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1.0	-5.426	0.047	44.992	-1.066	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.585	-4.524	0.13	26.007	-1.762	70.0
C00231	D-Xylulose_5-phosphate	-3.346	-5.718	0.193	62.805	-3.601	90.0
C00234	10-Formyltetrahydrofolate	0.598	-1.338	0.599	4.042	-1.275	50.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	2.0	2.585	0.774	10.0	2.952	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-2.322	4.129	0.286	22.497	-2.685	80.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	-3.907	0.2	18.001	-1.848	70.0
C01931	L-Lysyl-tRNA	-1.0	-6.555	0.021	96.027	-1.03	50.0
C00014	Ammonia	-0.459	-3.378	0.132	11.771	-0.638	60.0
C00015	UDP	-3.087	-5.037	0.259	41.329	-3.419	90.0
C05751	trans-Oct-2-enoyl-[acp]	1.0	1.585	0.631	5.0	1.657	70.0
C00018	Pyridoxal_phosphate	-1.0	-4.17	0.111	20.001	-1.152	50.0
C00065	L-Serine	-0.355	-3.92	0.084	16.416	-0.472	60.0
C05796	Galactan	2.807	4.858	0.578	35.999	4.379	90.0
C00493	Shikimate	0.341	2.243	0.152	6.0	-0.133	60.0
C00155	L-Homocysteine	-2.222	-6.156	0.065	75.974	-2.313	80.0
C05752	Octanoyl-[acp]	-1.585	1.0	0.667	5.0	-1.737	70.0
C04039	2,3-Dihydroxy-3-methylbutanoate	2.0	3.17	0.631	13.0	3.036	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-1.0	4.17	0.111	20.001	-1.152	50.0
C02659	Acetone_cyanohydrin	-3.322	-5.524	0.217	56.014	-3.606	90.0
C16219	3-Oxostearoyl-[acp]	2.0	4.322	0.463	24.001	3.473	80.0
C00760	Cellulose	2.663	-6.19	0.087	79.342	-2.783	80.0
C05345	beta-D-Fructose_6-phosphate	3.763	6.025	0.625	78.695	5.619	90.0
C00221	beta-D-Glucose	-1.064	3.916	0.139	17.186	-1.251	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-1.585	1.0	0.667	5.0	-1.737	70.0
C00229	Acyl-carrier_protein	-1.0	4.807	0.071	29.993	-1.1	50.0
C00882	Dephospho-CoA	1.585	-4.524	0.13	26.007	-1.762	70.0
C05758	trans-Dodec-2-enoyl-[acp]	1.0	1.585	0.631	5.0	1.657	70.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	2.807	5.129	0.547	41.991	4.522	90.0
C00655	Xanthosine_5'-phosphate	0.369	-4.167	0.072	19.255	-0.469	60.0
C00118	D-Glyceraldehyde_3-phosphate	6.136	7.282	0.843	225.959	7.573	90.0
C05759	3-Oxotetradecanoyl-[acp]	2.0	4.322	0.463	24.001	3.473	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-2.322	-3.807	0.357	18.997	-2.763	80.0
C01172	beta-D-Glucose_6-phosphate	-1.585	4.644	0.12	28.003	-1.748	70.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	3.322	5.524	0.601	56.014	5.074	90.0
C05838	cis-2-Hydroxycinnamate	-3.322	-5.524	0.217	56.014	-3.606	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.585	-4.524	0.13	26.007	-1.762	70.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	2.0	4.322	0.463	24.001	3.473	80.0
C00360	dAMP	-1.585	-7.307	0.019	161.353	-1.612	60.0
C00008	ADP	-2.415	4.47	0.241	27.495	-2.726	80.0
C00005	NADPH	-1.0	-3.585	0.167	14.0	-1.222	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-1.0	-4.7	0.077	27.992	-1.107	50.0
C00002	ATP	2.524	6.714	0.376	110.734	5.379	90.0
C00369	Starch	0.893	-4.078	0.11	18.746	-1.044	50.0
