compound_code	compound_name	lachnospiraceae_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	1.08	5.922	0.182	62.746	3.516	70.0
C00024	Acetyl-CoA	-3.764	-8.417	0.0	0.0	0.0	50.0
C05528	3-Sulfopyruvate	-1.0	-7.693	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-1.585	-8.426	0.0	0.0	0.0	50.0
C00020	AMP	-0.678	-6.484	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	1.322	6.436	0.205	89.082	4.194	70.0
C00022	Pyruvate	-2.435	8.769	0.012	441.654	-2.453	90.0
C00143	5,10-Methylenetetrahydrofolate	0.131	-7.131	0.008	141.262	-0.142	70.0
C00140	N-Acetyl-D-glucosamine	-3.0	-6.87	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.907	-7.449	0.0	0.0	0.0	50.0
C00144	GMP	-0.893	-7.547	0.0	0.0	0.0	50.0
C11376	SN38_glucuronide	2.0	4.392	0.455	24.995	3.509	70.0
C01103	Orotidine_5'-phosphate	-3.369	-6.59	0.0	0.0	0.0	50.0
C00026	2-Oxoglutarate	-0.652	-4.412	0.0	0.0	0.0	50.0
C00944	3-Dehydroquinate	-1.0	-6.954	0.0	0.0	0.0	50.0
C03838	5'-Phosphoribosylglycinamide	-1.0	5.858	0.034	60.001	-1.049	80.0
C05746	3-Oxohexanoyl-[acp]	2.0	-2.322	0.8	9.0	-2.848	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	2.0	-2.322	0.8	9.0	-2.848	90.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-1.322	-6.566	0.0	0.0	0.0	50.0
C02430	L-Methionyl-tRNA	1.0	-3.585	0.167	14.0	-1.222	80.0
C00623	sn-Glycerol_1-phosphate	-1.0	-6.858	0.0	0.0	0.0	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-0.893	-8.282	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-1.322	-6.566	0.0	0.0	0.0	50.0
C03033	beta-D-Glucuronoside	2.0	4.392	0.455	24.995	3.509	70.0
C00100	Propanoyl-CoA	-1.322	-11.255	0.0	0.0	0.0	50.0
C00624	N-Acetyl-L-glutamate	-1.0	2.0	0.5	6.0	-1.585	80.0
C05754	trans-Dec-2-enoyl-[acp]	1.0	6.15	0.163	73.012	3.569	70.0
C00438	N-Carbamoyl-L-aspartate	-2.0	-3.03	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-1.0	-5.719	0.0	0.0	0.0	50.0
C01228	Guanosine_3',5'-bis(diphosphate)	-1.0	-7.276	0.0	0.0	0.0	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.585	-6.977	0.0	0.0	0.0	50.0
C03688	Apo-[acyl-carrier-protein]	1.0	8.155	0.123	287.036	5.137	80.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-3.322	-9.95	0.0	0.0	0.0	50.0
C00234	10-Formyltetrahydrofolate	0.598	6.413	0.093	86.727	3.016	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	2.0	-9.471	0.006	713.668	-2.008	90.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-2.322	9.809	0.006	902.023	-2.33	90.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	-7.807	0.013	226.945	-1.604	80.0
C00011	CO2	4.966	5.206	0.954	68.166	6.023	80.0
C00014	Ammonia	-0.459	-4.607	0.0	0.0	0.0	50.0
C00015	UDP	-3.087	-6.366	0.0	0.0	0.0	50.0
C05751	trans-Oct-2-enoyl-[acp]	1.0	6.15	0.163	73.012	3.569	70.0
C00018	Pyridoxal_phosphate	-1.0	-5.562	0.0	0.0	0.0	50.0
C00065	L-Serine	-0.355	-7.009	0.0	0.0	0.0	50.0
C05796	Galactan	2.807	7.901	0.355	246.02	6.45	90.0
C00493	Shikimate	0.341	4.355	0.078	21.73	0.767	70.0
