compound_code	compound_name	clostridium_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.243	-2.32	0.237	6.177	-0.55	60.0
C00024	Acetyl-CoA	-3.848	2.917	0.524	21.953	-3.525	90.0
C00026	2-Oxoglutarate	-4.626	3.322	0.405	34.693	-3.813	90.0
C06481	L-Seryl-tRNA(Sec)	-3.7	-4.585	0.541	36.997	-4.324	90.0
C00020	AMP	0.415	-3.459	0.121	12.33	-0.58	60.0
C00352	D-Glucosamine_6-phosphate	0.585	4.524	0.129	24.507	1.664	70.0
C00022	Pyruvate	-3.526	-3.676	0.901	24.301	-4.453	90.0
C00143	5,10-Methylenetetrahydrofolate	1.461	-1.008	0.731	4.764	-1.799	70.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-1.585	-4.392	0.143	23.995	-1.778	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-2.0	-3.491	0.356	15.243	-2.439	80.0
C00029	UDP-glucose	1.766	-5.351	0.083	44.215	-1.881	70.0
C00147	Adenine	-0.101	1.644	0.343	4.198	-0.527	60.0
C00558	D-Tagaturonate	-7.524	2.0	0.022	188.056	-2.031	70.0
C00149	(S)-Malate	1.339	-4.948	0.082	33.397	-1.453	60.0
C14089	1-Hydroxymethylnaphthalene	2.954	0.585	0.198	9.249	0.873	70.0
C05400	Epimelibiose	0.585	2.322	0.252	6.5	0.712	70.0
C05686	Adenylylselenate	-2.585	-3.585	0.5	18.0	-3.17	80.0
C05402	Melibiose	0.222	1.585	0.14	4.166	-0.777	50.0
C02430	L-Methionyl-tRNA	-2.322	-5.248	0.132	43.002	-2.5	80.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-1.837	-3.259	0.373	13.146	-2.295	70.0
C03232	3-Phosphonooxypyruvate	1.766	4.293	0.411	23.004	3.242	80.0
C00100	Propanoyl-CoA	-1.7	-3.585	0.271	15.249	-2.046	70.0
C00438	N-Carbamoyl-L-aspartate	0.585	2.459	0.238	6.998	0.735	70.0
C00101	Tetrahydrofolate	3.933	-1.026	0.133	17.31	-1.207	50.0
C04411	(2R,3S)-3-Isopropylmalate	1.585	2.202	0.72	7.601	2.452	80.0
C06126	Digalactosylceramide	0.585	2.322	0.252	6.5	0.712	70.0
C06250	Holo-[carboxylase]	-0.322	7.004	0.01	129.605	-0.336	60.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.0	1.0	1.0	4.0	-2.0	70.0
C00233	4-Methyl-2-oxopentanoate	-0.652	-2.983	0.199	9.478	-0.914	50.0
C01185	Nicotinate_D-ribonucleotide	1.0	-4.503	0.088	24.675	-1.122	50.0
C00235	Dimethylallyl_diphosphate	-3.609	2.202	0.377	16.803	-2.664	80.0
C01613	Stachyose	0.415	1.585	0.262	4.333	0.182	60.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	3.459	5.687	0.608	62.515	5.249	90.0
C00159	D-Mannose	-0.585	-1.585	0.5	4.5	-1.17	50.0
