compound_code	compound_name	bacteroides_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C02730	2-Succinylbenzoate	2.807	3.459	0.812	17.995	3.868	70.0
C05335	L-Selenomethionine	4.459	3.459	0.776	32.99	4.678	80.0
C00149	(S)-Malate	-4.948	2.322	0.162	35.867	-2.539	50.0
C02430	L-Methionyl-tRNA	-5.248	3.585	0.316	50.002	-3.981	70.0
C14818	Fe2+	3.17	2.322	0.732	14.001	3.358	70.0
C00438	N-Carbamoyl-L-aspartate	2.459	-1.585	0.546	8.498	-2.213	50.0
C06126	Digalactosylceramide	2.322	6.954	0.334	128.983	5.429	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	1.0	-5.209	0.054	38.988	-1.076	60.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-4.907	-3.17	0.3	39.003	-3.549	70.0
C01185	Nicotinate_D-ribonucleotide	-4.503	3.524	0.507	34.178	-4.116	80.0
C06128	GM4	1.0	3.322	0.301	12.0	1.853	70.0
C05751	trans-Oct-2-enoyl-[acp]	-3.0	-3.459	0.727	18.997	-3.789	70.0
C05796	Galactan	9.541	8.449	0.886	1094.414	9.921	90.0
C00794	D-Sorbitol	-2.322	-4.524	0.217	28.007	-2.606	50.0
C01233	sn-Glycero-3-phosphoethanolamine	3.7	4.0	0.925	28.996	4.745	80.0
C00226	Primary_alcohol	0.585	7.639	0.077	200.828	3.943	70.0
C01236	D-Glucono-1,5-lactone_6-phosphate	1.0	7.219	0.139	150.983	4.386	80.0
C00221	beta-D-Glucose	-5.574	-7.943	0.194	293.719	-5.829	90.0
C00385	Xanthine	2.907	-4.313	0.377	27.377	-3.369	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	5.448	-2.322	0.115	48.653	-2.478	50.0
C02504	alpha-Isopropylmalate	2.585	0.503	0.195	7.417	0.529	60.0
C00229	Acyl-carrier_protein	8.583	-4.392	0.055	404.473	-4.469	80.0
C05841	Nicotinate_D-ribonucleoside	2.807	5.585	0.503	55.0	4.789	80.0
C00508	L-Ribulose	-5.248	-4.392	0.552	58.997	-5.027	90.0
C02291	L-Cystathionine	3.585	3.755	0.955	25.501	4.606	80.0
C00365	dUMP	-1.737	-4.692	0.129	29.182	-1.912	50.0
C00362	dGMP	-2.322	-3.459	0.455	15.997	-2.863	60.0
C00363	dTDP	4.807	5.17	0.93	63.995	5.895	90.0
C00361	dGDP	-2.397	7.793	0.024	227.049	-2.431	50.0
C00006	NADP+	-3.17	6.011	0.14	73.49	-3.358	60.0
C00005	NADPH	-1.0	-6.16	0.028	73.506	-1.04	60.0
C00003	NAD+	-0.737	-1.138	0.757	3.867	-1.55	50.0
C00002	ATP	7.296	-6.267	0.49	234.162	-6.842	90.0
C00369	Starch	5.989	4.807	0.803	91.507	6.199	90.0
C05703	Methaneselenol	-3.248	-6.16	0.133	81.007	-3.428	60.0
C00376	Retinal	-0.585	-7.704	0.007	210.014	-0.595	60.0
C16619	6-Thioguanosine_monophosphate	-4.883	-4.524	0.78	52.514	-5.356	90.0
C16618	6-Thioxanthine_5'-monophosphate	-3.0	4.585	0.333	32.001	-3.415	60.0
C02612	(R)-2-Methylmalate	2.585	0.585	0.226	7.5	0.763	70.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-5.044	-3.17	0.273	41.991	-3.518	70.0
C16614	6-Methylmercaptopurine	5.044	3.17	0.628	41.991	4.722	80.0
C00645	N-Acetyl-D-mannosamine	-2.202	-4.629	0.186	29.345	-2.448	50.0
C00099	beta-Alanine	-1.0	2.459	0.364	7.498	-1.448	60.0
C01931	L-Lysyl-tRNA	-5.129	-4.322	0.572	54.994	-4.974	90.0
C01528	Hydrogen_selenide	-3.059	-5.746	0.155	62.002	-3.267	60.0
C00091	Succinyl-CoA	-1.83	-7.6	0.018	197.567	-1.856	50.0
C00092	D-Glucose_6-phosphate	-6.047	-6.582	0.69	161.922	-6.804	90.0
C00093	sn-Glycerol_3-phosphate	3.0	-1.463	0.345	10.757	-1.89	50.0
C00095	D-Fructose	-4.492	4.824	0.794	50.827	-5.336	90.0
C00096	GDP-mannose	3.818	5.755	0.663	68.108	5.498	90.0
C00097	L-Cysteine	-3.534	-5.926	0.191	72.384	-3.786	70.0
C14099	2-Naphthaldehyde	-0.585	-7.639	0.008	200.828	-0.596	60.0
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-3.17	-3.322	0.9	19.001	-4.096	80.0
C14090	1-Naphthaldehyde	-0.585	-7.639	0.008	200.828	-0.596	60.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	4.755	-5.524	0.587	73.016	-5.421	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-4.248	-6.209	0.257	92.978	-4.578	80.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-4.402	-2.954	0.367	28.89	-3.405	60.0
C00870	4-Nitrophenol	-5.17	-3.17	0.25	45.002	-3.492	70.0
C02988	L-Histidyl-tRNA(His)	-2.585	-3.0	0.75	14.0	-3.392	60.0
C00163	Propanoate	4.087	6.615	0.618	115.014	6.151	90.0
C02984	L-Aspartyl-tRNA(Asp)	-5.492	-4.459	0.489	66.998	-5.033	90.0
C02987	L-Glutamyl-tRNA(Glu)	-3.644	-4.322	0.625	32.502	-4.344	80.0
C00169	Carbamoyl_phosphate	-1.841	-3.49	0.319	14.818	-2.24	50.0
C02047	L-Leucyl-tRNA	-5.426	-4.755	0.628	69.994	-5.458	90.0
C03082	4-Phospho-L-aspartate	0.531	5.44	0.098	44.856	2.13	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.248	-5.087	0.894	71.991	-6.009	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	5.508	2.0	0.363	49.506	4.168	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	1.28	3.147	0.407	11.287	2.199	70.0
C00864	Pantothenate	-2.585	4.087	0.353	22.995	-3.021	60.0
C01380	Ethylene_glycol	3.585	1.0	0.279	14.0	1.965	70.0
C01419	Cys-Gly	5.931	2.322	0.392	66.011	4.692	80.0
C03360	4-Nitrophenyl_phosphate	5.17	3.17	0.613	45.002	4.786	80.0
C00469	Ethanol	0.585	7.639	0.077	200.828	3.943	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-6.845	-4.222	0.162	133.623	-4.439	80.0
C03406	N-(L-Arginino)succinate	3.585	2.585	0.721	18.0	3.698	70.0
C07645	Aldophosphamide	0.585	7.704	0.076	210.014	3.995	70.0
C07648	Thioguanine	5.044	3.17	0.628	41.991	4.722	80.0
C00327	L-Citrulline	2.322	2.722	0.853	11.598	3.307	70.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-3.0	4.322	0.4	28.001	-3.485	60.0
C00695	Cholic_acid	-1.0	-6.907	0.017	122.009	-1.024	60.0
C00269	CDP-diacylglycerol	-3.892	-2.459	0.37	20.344	-2.914	60.0
C16219	3-Oxostearoyl-[acp]	-4.585	4.585	1.0	48.001	-5.585	90.0
C00263	L-Homoserine	0.222	-2.738	0.175	7.838	-0.454	60.0
C00262	Hypoxanthine	-3.196	-4.239	0.485	28.047	-3.767	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.781	-5.0	0.582	86.986	-5.662	90.0
C16216	3-Oxostearoyl-CoA	5.781	5.0	0.865	86.986	6.233	90.0
C00267	alpha-D-Glucose	-7.723	4.556	0.111	234.801	-4.708	80.0
C00266	Glycolaldehyde	-5.066	-1.0	0.06	35.498	-1.084	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.322	4.0	0.625	26.0	-4.022	80.0
C00460	dUTP	-3.7	5.113	0.376	47.603	-4.16	80.0
C00286	dGTP	1.923	-7.812	0.017	228.514	-1.947	50.0
C00283	Hydrogen_sulfide	3.807	7.14	0.533	155.04	6.369	90.0
C04432	tRNA_containing_6-isopentenyladenosine	-3.459	-2.585	0.546	16.997	-3.213	60.0
C00288	HCO3-	-3.248	4.196	0.518	27.829	-3.851	70.0
C05427	Phytyl_diphosphate	1.0	4.392	0.228	22.995	2.388	70.0
C05688	L-Selenocysteine	2.585	4.17	0.62	24.001	3.895	70.0
C04051	5-Amino-4-imidazolecarboxyamide	-1.0	-5.7	0.038	53.984	-1.054	60.0
C01209	Malonyl-[acyl-carrier_protein]	6.312	2.392	0.379	84.7	5.004	80.0
C00217	D-Glutamate	-1.663	-0.737	0.526	4.833	-1.347	60.0
C00214	Thymidine	-1.585	-6.267	0.039	80.011	-1.64	50.0
C00212	Adenosine	3.087	4.728	0.653	34.999	4.514	80.0
C00036	Oxaloacetate	5.9	3.326	0.564	69.742	5.297	80.0
C00037	Glycine	4.735	-2.095	0.16	30.903	-2.31	50.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-2.322	-1.0	0.4	7.0	-1.485	50.0
C00033	Acetate	2.28	7.121	0.32	144.055	5.527	90.0
C00031	D-Glucose	5.44	4.102	0.754	60.584	5.514	90.0
C00137	myo-Inositol	-6.727	-4.788	0.261	133.559	-5.122	90.0
C00135	L-Histidine	-1.459	2.17	0.611	7.249	-2.147	50.0
C00134	Putrescine	3.585	-3.17	0.75	21.001	-3.977	70.0
C00133	D-Alanine	-3.807	7.647	0.07	214.433	-3.904	70.0
C00131	dATP	2.07	6.046	0.342	70.272	4.589	80.0
C00130	IMP	-2.724	-4.15	0.372	24.36	-3.18	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.954	1.087	0.275	17.622	2.276	70.0
C00042	Succinate	5.865	2.322	0.396	63.283	4.647	80.0
C00041	L-Alanine	3.773	4.17	0.905	31.671	4.841	80.0
C00040	Acyl-CoA	2.0	3.478	0.575	15.142	3.122	70.0
C00047	L-Lysine	4.044	-3.392	0.636	26.993	-4.103	80.0
C00046	RNA	-7.208	-4.694	0.175	173.735	-4.927	80.0
C00044	GTP	-6.398	-5.31	0.47	124.002	-5.866	90.0
C00049	L-Aspartate	1.818	1.69	0.93	6.752	2.65	70.0
C06481	L-Seryl-tRNA(Sec)	-4.585	-6.615	0.245	122.02	-4.901	80.0
C01101	L-Ribulose_5-phosphate	6.807	2.865	0.421	119.258	5.649	90.0
C01103	Orotidine_5'-phosphate	-3.7	1.222	0.179	15.329	-1.46	60.0
C05122	Taurocholate	1.0	6.907	0.145	122.009	4.143	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	5.687	-3.459	0.213	62.515	-3.738	70.0
C00227	Acetyl_phosphate	-0.547	-6.014	0.023	66.085	-0.579	60.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	0.737	3.17	0.232	10.667	1.31	70.0
C05345	beta-D-Fructose_6-phosphate	5.433	6.908	0.786	163.294	7.005	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	2.322	6.954	0.334	128.983	5.429	90.0
C00387	Guanosine	3.0	5.3	0.566	47.397	4.746	80.0
C05466	Glycochenodeoxycholate	1.0	6.907	0.145	122.009	4.143	80.0
C05465	Taurochenodeoxycholate	1.0	6.907	0.145	122.009	4.143	80.0
C00035	GDP	3.162	-6.066	0.134	75.947	-3.343	60.0
C00253	Nicotinate	-2.0	-4.931	0.131	34.506	-2.178	50.0
C00250	Pyridoxal	0.585	8.055	0.073	267.448	4.28	80.0
C00255	Riboflavin	-3.322	2.322	0.5	15.001	-2.907	60.0
C05336	Selenomethionyl-tRNA(Met)	-5.322	-3.459	0.275	50.999	-3.809	70.0
C00259	L-Arabinose	3.585	4.392	0.816	32.996	4.751	80.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-0.585	-7.704	0.007	210.014	-0.595	60.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	0.585	7.704	0.076	210.014	3.995	70.0
C00559	Deoxyadenosine	2.536	-4.492	0.258	28.302	-2.867	60.0
C00491	L-Cystine	3.585	3.755	0.955	25.501	4.606	80.0
C00492	Raffinose	-1.585	-5.7	0.058	54.984	-1.666	50.0
C00886	L-Alanyl-tRNA	-5.358	-3.907	0.366	56.014	-4.357	80.0
C00498	ADP-glucose	-2.858	-5.219	0.195	44.496	-3.115	60.0
C00882	Dephospho-CoA	-2.322	-5.044	0.152	37.991	-2.526	50.0
C00078	L-Tryptophan	-3.298	3.459	0.894	20.832	-4.22	80.0
C00079	L-Phenylalanine	-1.068	2.883	0.284	9.473	-1.429	60.0
C00073	L-Methionine	3.079	-2.087	0.503	12.699	-2.675	50.0
C00071	Aldehyde	-0.585	-6.907	0.012	121.509	-0.603	60.0
C00077	L-Ornithine	-1.918	1.0	0.529	5.779	-1.613	50.0
C00074	Phosphoenolpyruvate	-6.07	-8.696	0.162	481.904	-6.287	90.0
C00075	UTP	7.252	3.126	0.431	161.16	6.118	90.0
C00085	D-Fructose_6-phosphate	3.228	-3.471	0.845	20.458	-4.112	80.0
C00084	Acetaldehyde	-0.485	-6.66	0.014	102.525	-0.505	60.0
C00083	Malonyl-CoA	3.574	-3.693	0.921	24.842	-4.516	80.0
C00082	L-Tyrosine	-2.248	1.766	0.716	8.151	-2.545	50.0
C00081	ITP	-3.322	5.0	0.313	42.0	-3.714	70.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-4.858	-2.322	0.172	34.001	-2.551	50.0
C00089	Sucrose	-2.322	-6.683	0.049	107.751	-2.391	50.0
C00670	sn-Glycero-3-phosphocholine	3.7	4.0	0.925	28.996	4.745	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-2.965	4.314	0.393	27.699	-3.443	60.0
C01921	Glycocholate	1.0	6.907	0.145	122.009	4.143	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	3.807	4.426	0.86	35.493	4.932	80.0
C00106	Uracil	2.379	-4.878	0.177	34.607	-2.614	50.0
C00104	IDP	4.807	5.426	0.886	70.985	5.975	90.0
C00105	UMP	-1.787	0.593	0.437	4.959	-1.116	60.0
C00103	D-Glucose_1-phosphate	3.935	6.54	0.602	108.349	6.027	90.0
C00100	Propanoyl-CoA	-3.585	-10.569	0.008	1531.099	-3.596	70.0
C00101	Tetrahydrofolate	-1.026	1.485	0.727	4.836	-1.815	50.0
C00109	2-Oxobutanoate	-0.663	8.294	0.005	315.448	-0.67	60.0
C05764	Hexadecanoyl-[acp]	5.768	-2.322	0.092	59.493	-2.449	50.0
C06899	Chloral_hydrate	0.585	7.704	0.076	210.014	3.995	70.0
C05761	Tetradecanoyl-[acp]	5.768	-2.322	0.092	59.493	-2.449	50.0
C05760	trans-Tetradec-2-enoyl-[acp]	-3.0	-3.459	0.727	18.997	-3.789	70.0
C05763	trans-Hexadec-2-enoyl-[acp]	-3.0	-3.459	0.727	18.997	-3.789	70.0
C05762	3-Oxohexadecanoyl-[acp]	-4.373	4.19	0.881	38.973	-5.101	90.0
C00008	ADP	-2.624	-6.646	0.062	106.313	-2.71	50.0
C02992	L-Threonyl-tRNA(Thr)	-6.066	-3.907	0.224	81.997	-4.198	80.0
C03090	5-Phosphoribosylamine	1.138	2.678	0.425	8.6	1.87	70.0
C07086	Phenylacetic_acid	4.392	-4.807	0.75	48.988	-5.199	90.0
C02972	Dihydrolipoylprotein	7.375	7.6	0.97	360.007	8.449	90.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.222	2.0	0.583	6.333	-1.885	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.415	-2.0	0.333	5.333	-0.83	60.0
C00857	Deamino-NAD+	3.544	-1.0	0.171	13.664	-1.228	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	3.17	0.315	11.0	1.795	70.0
C01172	beta-D-Glucose_6-phosphate	-4.928	-4.737	0.876	57.109	-5.645	90.0
C01177	Inositol_1-phosphate	6.858	4.17	0.608	134.002	6.348	90.0
C02412	Glycyl-tRNA(Gly)	-8.895	-3.17	0.019	485.061	-3.197	60.0
C00680	meso-2,6-Diaminoheptanedioate	-0.237	1.485	0.421	3.978	-0.744	60.0
C02553	L-Seryl-tRNA(Ser)	-4.585	-6.615	0.245	122.02	-4.901	80.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	-2.503	-1.222	0.412	8.001	-1.719	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	5.304	10.843	0.489	1876.333	9.842	90.0
C00831	Pantetheine	3.0	4.087	0.734	24.995	4.197	80.0
C16551	Alcophosphamide	-0.585	-7.704	0.007	210.014	-0.595	60.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-5.781	-3.322	0.182	64.987	-3.563	70.0
C00921	Dihydropteroate	-3.0	3.17	0.889	17.0	-3.918	70.0
C00458	dCTP	3.35	-6.758	0.094	118.43	-3.48	60.0
C00459	dTTP	-3.051	-4.392	0.395	29.283	-3.531	70.0
C00455	Nicotinamide_D-ribonucleotide	-2.322	3.322	0.5	15.001	-2.907	60.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	7.484	7.577	0.988	369.966	8.513	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-7.484	-5.066	0.187	212.521	-5.313	90.0
C00332	Acetoacetyl-CoA	0.485	1.417	0.342	4.07	0.478	60.0
C00334	4-Aminobutanoate	-2.322	2.954	0.645	12.749	-3.04	60.0
C00337	(S)-Dihydroorotate	-3.907	-1.874	0.244	18.667	-2.189	50.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-4.615	-3.322	0.408	34.505	-3.816	70.0
C00631	2-Phospho-D-glycerate	0.128	-5.885	0.018	60.189	-0.154	60.0
C02528	Chenodeoxycholate	-1.0	-6.907	0.017	122.009	-1.024	60.0
C00208	Maltose	-4.755	6.022	0.416	91.986	-5.256	90.0
C00206	dADP	2.874	-6.353	0.09	89.073	-2.998	60.0
C07490	Trichloroethanol	-0.585	-7.704	0.007	210.014	-0.595	60.0
C00025	L-Glutamate	-2.32	3.851	0.346	19.423	-2.749	50.0
C00024	Acetyl-CoA	2.917	-8.24	0.025	309.887	-2.953	60.0
C00148	L-Proline	1.152	2.536	0.454	8.022	1.866	70.0
C00026	2-Oxoglutarate	3.322	3.981	0.834	25.791	4.428	80.0
C00021	S-Adenosyl-L-homocysteine	-5.959	4.19	0.293	80.459	-4.561	80.0
C00020	AMP	-3.459	3.771	0.806	24.648	-4.311	80.0
C00022	Pyruvate	-3.676	-5.362	0.311	53.908	-4.066	80.0
C00143	5,10-Methylenetetrahydrofolate	-1.008	-1.356	0.786	4.571	-1.844	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-3.491	2.3	0.438	16.168	-2.824	50.0
C00029	UDP-glucose	-5.351	-6.268	0.53	117.879	-5.964	90.0
C00147	Adenine	1.644	2.121	0.775	7.475	2.535	70.0
C00144	GMP	-4.087	3.241	0.556	26.449	-3.879	70.0
C05729	R-S-Cysteinylglycine	5.931	2.322	0.392	66.011	4.692	80.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.259	-5.141	0.271	44.859	-3.605	70.0
C03232	3-Phosphonooxypyruvate	4.293	2.678	0.624	26.003	4.02	70.0
C05726	S-Substituted_L-cysteine	-5.931	-2.322	0.082	66.011	-2.436	50.0
C00700	XTP	4.248	6.209	0.684	92.978	5.991	90.0
C00705	dCDP	-3.426	3.369	0.961	21.08	-4.341	80.0
C06250	Holo-[carboxylase]	7.004	-3.868	0.114	142.956	-4.023	80.0
C00314	Pyridoxine	0.737	8.055	0.091	267.615	4.614	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	3.0	-2.0	0.5	12.0	-2.585	50.0
C01134	Pantetheine_4'-phosphate	-1.874	5.15	0.103	39.172	-2.016	50.0
C06037	Digalactosyl-diacylglycerol	2.322	6.954	0.334	128.983	5.429	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.755	-4.728	0.981	53.504	-5.715	90.0
C03512	L-Tryptophanyl-tRNA(Trp)	-3.322	-3.459	0.909	20.997	-4.255	80.0
C03287	L-Glutamyl_5-phosphate	-1.7	2.644	0.52	9.5	-2.304	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.585	-3.459	0.916	22.997	-4.397	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.492	-4.087	0.378	61.999	-4.549	80.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-2.322	-6.954	0.04	128.983	-2.379	50.0
