compound_code	compound_name	alistipes_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	5.618	0.243	0.043	50.295	1.121	60.0
C00026	2-Oxoglutarate	-6.017	-4.626	0.381	89.451	-5.092	90.0
C06481	L-Seryl-tRNA(Sec)	-6.768	-3.7	0.119	121.982	-3.863	90.0
C00020	AMP	1.585	0.415	0.262	4.333	0.182	60.0
C00352	D-Glucosamine_6-phosphate	-5.728	0.585	0.028	54.503	-0.625	50.0
C00022	Pyruvate	6.239	-3.526	0.153	87.051	-3.731	80.0
C00143	5,10-Methylenetetrahydrofolate	-5.215	1.461	0.074	39.896	-1.564	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-4.392	-2.0	0.191	24.995	-2.252	70.0
C00029	UDP-glucose	4.17	1.766	0.424	21.402	3.18	70.0
C00147	Adenine	-2.755	-0.101	0.159	7.823	-0.314	60.0
C00149	(S)-Malate	-5.856	1.339	0.044	60.45	-1.401	60.0
C00508	L-Ribulose	-7.112	-2.663	0.046	144.666	-2.728	70.0
C02430	L-Methionyl-tRNA	-5.044	-2.322	0.152	37.991	-2.526	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.382	-1.837	0.343	13.998	-2.262	70.0
C03232	3-Phosphonooxypyruvate	3.766	1.766	0.469	17.005	2.995	70.0
C00438	N-Carbamoyl-L-aspartate	3.858	0.585	0.152	16.0	1.279	60.0
C00101	Tetrahydrofolate	4.512	3.933	0.872	38.09	5.053	80.0
C06250	Holo-[carboxylase]	-6.267	-0.322	0.016	78.261	-0.345	60.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-4.907	-1.0	0.067	32.002	-1.093	50.0
C01185	Nicotinate_D-ribonucleotide	-6.19	1.0	0.027	75.009	-1.039	50.0
C00235	Dimethylallyl_diphosphate	-3.138	-3.609	0.721	21.005	-3.922	90.0
C01931	L-Lysyl-tRNA	-6.931	-2.807	0.057	129.02	-2.887	70.0
C00011	CO2	7.581	6.808	0.898	303.523	8.091	90.0
C00014	Ammonia	-4.031	1.053	0.127	18.422	-1.225	50.0
C00015	UDP	-3.907	-1.874	0.244	18.667	-2.189	70.0
