compound_code	compound_name	parabacteroides_mock_score	turicibacter_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-10.382	-4.17	0.013	1352.424	-4.189	80.0
C00149	(S)-Malate	-9.121	1.0	0.004	558.794	-1.005	50.0
C02430	L-Methionyl-tRNA	-8.071	-1.0	0.007	270.914	-1.011	50.0
C00437	N-Acetylornithine	6.883	1.379	0.2	120.63	4.595	70.0
C00826	L-Arogenate	7.34	3.17	0.432	171.017	6.207	80.0
C06126	Digalactosylceramide	9.18	3.7	0.403	593.033	7.901	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-8.409	-4.954	0.091	370.904	-5.08	90.0
C01185	Nicotinate_D-ribonucleotide	-8.313	2.7	0.02	324.524	-2.729	60.0
C05796	Galactan	10.544	3.322	0.315	1503.002	8.887	90.0
C00794	D-Sorbitol	-9.18	-3.7	0.022	593.033	-3.732	70.0
C00506	L-Cysteate	9.29	4.17	0.449	643.993	8.175	90.0
C00221	beta-D-Glucose	7.62	-3.563	0.06	208.539	-3.647	70.0
C00385	Xanthine	-8.262	-0.678	0.005	308.58	-0.685	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	8.264	4.17	0.505	325.407	7.359	80.0
C02504	alpha-Isopropylmalate	-5.649	3.157	0.178	59.098	-3.393	70.0
C05841	Nicotinate_D-ribonucleoside	9.618	1.0	0.104	787.79	6.356	80.0
C00508	L-Ribulose	-9.623	-4.585	0.03	812.519	-4.628	90.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	10.551	4.672	0.443	1525.756	9.4	90.0
C01801	Deoxyribose	1.585	3.0	0.528	11.0	2.539	60.0
C00365	dUMP	-7.689	0.874	0.009	208.19	-0.887	60.0
C00008	ADP	3.719	-3.298	0.747	23.004	-4.103	80.0
C00003	NAD+	5.771	-2.415	0.098	59.94	-2.549	50.0
C00002	ATP	9.324	3.027	0.325	649.071	7.719	80.0
C00369	Starch	-3.935	2.874	0.479	22.626	-3.439	70.0
C05703	Methaneselenol	-9.062	-2.807	0.013	541.481	-2.826	60.0
C16619	6-Thioguanosine_monophosphate	-9.606	-1.0	0.003	781.281	-1.004	50.0
C02612	(R)-2-Methylmalate	7.629	3.392	0.445	208.449	6.534	80.0
C03742	(S)-4-Hydroxymandelonitrile	-10.551	-4.672	0.017	1525.756	-4.696	90.0
C00645	N-Acetyl-D-mannosamine	-2.0	-3.585	0.333	16.0	-2.415	50.0
C00310	D-Xylulose	-10.703	5.907	0.036	1726.96	-5.958	90.0
C01931	L-Lysyl-tRNA	-9.62	-1.0	0.003	788.88	-1.004	50.0
C01528	Hydrogen_selenide	-8.907	-2.322	0.01	485.037	-2.337	50.0
C00760	Cellulose	9.299	4.115	0.443	647.237	8.162	90.0
C00093	sn-Glycerol_3-phosphate	5.152	2.102	0.408	39.849	4.023	70.0
C00095	D-Fructose	-9.204	1.459	0.005	592.516	-1.466	50.0
C00096	GDP-mannose	5.936	-2.807	0.114	68.221	-2.963	60.0
C00097	L-Cysteine	8.036	-2.858	0.028	269.719	-2.897	60.0
C03232	3-Phosphonooxypyruvate	-1.138	1.766	0.647	5.602	-1.858	50.0
C00166	Phenylpyruvate	7.979	-0.621	0.006	253.839	-0.63	60.0
C00160	Glycolate	7.315	-3.123	0.055	167.945	-3.2	60.0
C00163	Propanoate	10.501	2.585	0.246	1455.159	8.485	90.0
C02984	L-Aspartyl-tRNA(Asp)	-9.85	-5.833	0.062	979.885	-5.919	90.0
C02987	L-Glutamyl-tRNA(Glu)	-9.581	-5.459	0.057	809.88	-5.54	90.0
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	-1.0	2.322	0.4	7.0	-1.485	50.0
C19879	D-glycero-alpha-D-manno-Heptose_1,7-bisphosphate	1.0	-2.322	0.4	7.0	-1.485	50.0
C02047	L-Leucyl-tRNA	-10.661	-4.0	0.01	1635.127	-4.014	80.0
C03082	4-Phospho-L-aspartate	-7.397	3.406	0.063	179.146	-3.494	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-10.448	-1.585	0.002	1399.887	-1.588	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	8.649	1.0	0.116	403.429	5.544	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-8.358	-4.063	0.051	344.816	-4.135	80.0
C00860	L-Histidinol	5.129	-3.7	0.371	47.989	-4.156	80.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-8.552	-2.248	0.013	380.076	-2.266	50.0
C01419	Cys-Gly	10.589	3.807	0.36	1554.301	9.126	90.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-2.0	1.644	0.781	7.125	-2.477	50.0
C08325	Amygdalin	10.551	4.672	0.443	1525.756	9.4	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-9.781	-1.585	0.003	882.781	-1.59	50.0
