compound_code	compound_name	eubacterium_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-3.0	-7.693	0.039	214.93	-3.055	50.0
C00149	(S)-Malate	2.273	4.459	0.51	26.827	3.773	60.0
C00944	3-Dehydroquinate	1.585	-6.954	0.024	126.983	-1.619	50.0
C02430	L-Methionyl-tRNA	-4.322	-3.585	0.6	32.001	-4.263	70.0
C14819	Fe3+	-4.322	-6.794	0.18	130.969	-4.561	70.0
C14818	Fe2+	4.322	6.794	0.636	130.969	6.381	70.0
C00436	N-Carbamoylputrescine	-2.322	-2.807	0.714	11.999	-3.1	60.0
C00437	N-Acetylornithine	-3.293	-4.818	0.347	38.009	-3.723	60.0
C00438	N-Carbamoyl-L-aspartate	-2.585	-3.03	0.735	14.168	-3.38	60.0
C00826	L-Arogenate	4.585	7.622	0.602	220.994	7.055	80.0
C06126	Digalactosylceramide	6.022	8.028	0.75	326.0	7.934	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-3.17	5.672	0.177	59.985	-3.405	60.0
C01185	Nicotinate_D-ribonucleotide	-1.0	5.261	0.052	40.346	-1.073	50.0
C00558	D-Tagaturonate	-6.022	-8.061	0.243	332.04	-6.336	90.0
C15812	[Enzyme]-S-sulfanylcysteine	-3.907	-7.807	0.067	238.946	-4.001	70.0
C15811	[Enzyme]-cysteine	4.954	9.074	0.546	569.943	8.282	90.0
C05796	Galactan	4.858	7.901	0.615	268.022	7.365	80.0
C00794	D-Sorbitol	-6.022	-7.96	0.261	313.983	-6.357	90.0
C00793	D-Cysteine	2.585	7.022	0.368	135.967	5.645	70.0
C00791	Creatinine	1.415	2.0	0.708	6.667	2.238	50.0
C16219	3-Oxostearoyl-[acp]	4.322	-2.322	0.25	25.001	-2.644	50.0
C00227	Acetyl_phosphate	2.218	-6.781	0.042	114.625	-2.278	50.0
C05756	3-Oxododecanoyl-[acp]	4.322	-2.322	0.25	25.001	-2.644	50.0
C00221	beta-D-Glucose	3.916	-8.89	0.032	489.508	-3.961	60.0
C00385	Xanthine	-2.555	-5.867	0.101	64.24	-2.693	50.0
C00387	Guanosine	4.087	7.676	0.532	221.501	6.882	80.0
C02504	alpha-Isopropylmalate	-2.939	5.881	0.13	66.602	-3.115	60.0
C00229	Acyl-carrier_protein	4.807	6.781	0.709	137.966	6.612	80.0
C05841	Nicotinate_D-ribonucleoside	4.087	7.676	0.532	221.501	6.882	80.0
C16396	2,4-Diamino-6-nitrotoluene	1.807	7.366	0.245	168.462	5.369	60.0
C00546	Methylglyoxal	-5.977	-8.202	0.214	357.463	-6.257	90.0
C16399	2,4-Diamino-6-hydroxylaminotoluene	-1.807	-7.366	0.021	168.462	-1.837	50.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	5.524	9.95	0.555	1035.133	9.167	90.0
C05838	cis-2-Hydroxycinnamate	-5.524	-9.95	0.047	1035.133	-5.59	80.0
C00364	dTMP	-1.415	-4.787	0.097	30.274	-1.548	50.0
C00365	dUMP	1.0	-6.949	0.016	125.554	-1.023	50.0
C00362	dGMP	-0.222	-2.7	0.179	7.664	-0.46	50.0
C00360	dAMP	-7.307	-9.581	0.207	924.246	-7.578	90.0
C00008	ADP	4.47	7.258	0.616	175.227	6.754	80.0
C00005	NADPH	-3.585	-5.459	0.273	55.987	-3.933	60.0
C00003	NAD+	-3.807	-6.163	0.195	85.652	-4.064	70.0
C00002	ATP	6.714	8.749	0.767	535.223	8.682	90.0
C00369	Starch	-4.078	4.763	0.622	44.041	-4.776	80.0
C05703	Methaneselenol	-4.644	-7.547	0.134	212.016	-4.825	80.0
C16619	6-Thioguanosine_monophosphate	-4.931	-8.028	0.117	291.523	-5.09	80.0
C16618	6-Thioxanthine_5'-monophosphate	-5.322	-7.877	0.17	275.081	-5.549	80.0
C02612	(R)-2-Methylmalate	4.7	8.063	0.583	293.419	7.418	80.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-4.858	-7.864	0.124	261.97	-5.027	80.0
C16614	6-Methylmercaptopurine	4.858	7.864	0.618	261.97	7.338	80.0
C03742	(S)-4-Hydroxymandelonitrile	-5.524	-9.95	0.047	1035.133	-5.59	80.0
C00645	N-Acetyl-D-mannosamine	-1.585	-5.895	0.05	62.508	-1.656	50.0
C00099	beta-Alanine	1.222	-2.0	0.583	6.333	-1.885	50.0
C00311	Isocitrate	-2.412	-7.232	0.035	155.653	-2.462	50.0
C00310	D-Xylulose	6.17	9.028	0.683	594.038	8.665	90.0
C01931	L-Lysyl-tRNA	-6.555	-7.697	0.453	301.531	-7.094	90.0
C00315	Spermidine	-1.7	-0.322	0.385	4.499	-0.792	50.0
C00314	Pyridoxine	4.17	6.17	0.676	90.005	5.927	70.0
C00760	Cellulose	-6.19	9.347	0.112	724.228	-6.343	90.0
C00093	sn-Glycerol_3-phosphate	5.061	-7.965	0.134	283.246	-5.242	80.0
C00095	D-Fructose	-5.755	7.353	0.33	217.488	-6.167	90.0
C00096	GDP-mannose	0.379	6.599	0.057	98.239	2.496	50.0
C00097	L-Cysteine	4.279	6.061	0.706	86.178	5.927	70.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	4.907	7.994	0.614	284.94	7.45	80.0
C02282	Glutaminyl-tRNA	-3.636	-8.521	0.034	379.779	-3.684	60.0
C06196	2'-Deoxyinosine_5'-phosphate	-4.17	-6.022	0.277	82.984	-4.523	70.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-4.129	-6.566	0.185	112.243	-4.373	70.0
C00183	L-Valine	-0.737	6.986	0.013	128.431	-0.756	50.0
C00166	Phenylpyruvate	-1.596	-1.29	0.809	5.468	-2.145	50.0
C02988	L-Histidyl-tRNA(His)	-6.285	-7.615	0.398	274.018	-6.768	90.0
C00180	Benzoate	-1.585	-6.714	0.029	107.982	-1.626	50.0
C00163	Propanoate	6.476	9.101	0.712	638.145	8.827	90.0
C02984	L-Aspartyl-tRNA(Asp)	-5.672	-7.852	0.221	282.025	-5.96	90.0
C02987	L-Glutamyl-tRNA(Glu)	-5.044	-8.103	0.12	307.936	-5.207	80.0
C03263	Coproporphyrinogen_III	4.644	8.52	0.545	392.095	7.74	90.0
C02047	L-Leucyl-tRNA	-5.524	-9.0	0.09	558.014	-5.648	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.615	-8.852	0.106	511.09	-5.76	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.304	6.34	0.994	160.02	7.314	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-4.619	-5.964	0.394	86.996	-5.098	80.0
C00860	L-Histidinol	4.17	6.17	0.676	90.005	5.927	70.0
C02962	D-Allose_6-phosphate	5.285	8.331	0.634	361.008	7.839	90.0
C00864	Pantothenate	3.459	6.852	0.505	126.517	5.997	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	2.585	-9.471	0.008	715.668	-2.597	50.0
C01380	Ethylene_glycol	6.443	8.114	0.794	364.053	8.175	90.0
C01419	Cys-Gly	3.907	6.384	0.612	98.518	5.914	70.0
C01412	Butanal	6.687	4.858	0.726	132.036	6.584	80.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	-0.737	-6.629	0.017	100.642	-0.761	50.0
C03561	(R)-3-Hydroxybutanoyl-CoA	2.807	10.203	0.275	1185.714	8.35	90.0
C08325	Amygdalin	5.524	9.95	0.555	1035.133	9.167	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-3.939	-8.084	0.057	286.686	-4.018	70.0
C17962	Demethylphosphinothricin	3.907	5.392	0.725	56.992	5.368	60.0
C03406	N-(L-Arginino)succinate	-5.322	-8.618	0.102	432.897	-5.462	80.0
C07648	Thioguanine	4.858	7.864	0.618	261.97	7.338	80.0
C00288	HCO3-	-5.443	7.371	0.263	209.038	-5.78	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	1.585	-6.022	0.046	67.984	-1.65	50.0
C00695	Cholic_acid	-3.17	-7.418	0.053	180.018	-3.244	60.0
C18096	D-Allulose_6-phosphate	-5.285	-8.195	0.133	332.039	-5.465	80.0
C00269	CDP-diacylglycerol	-5.7	4.902	0.575	81.883	-5.557	80.0
C00506	L-Cysteate	3.0	7.693	0.39	214.93	6.389	70.0
C00263	L-Homoserine	1.503	-3.033	0.346	11.019	-1.932	50.0
C00262	Hypoxanthine	2.852	-1.954	0.537	11.094	-2.574	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.585	-8.679	0.117	457.865	-5.745	90.0
C16216	3-Oxostearoyl-CoA	5.585	8.679	0.644	457.865	8.203	90.0
C00267	alpha-D-Glucose	4.765	7.457	0.639	202.894	7.018	80.0
C00266	Glycolaldehyde	-6.443	-7.733	0.409	299.751	-6.938	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-5.426	-7.6	0.222	237.004	-5.715	90.0
C00460	dUTP	4.209	7.555	0.557	206.548	6.846	80.0
C00286	dGTP	-4.951	-8.041	0.117	294.311	-5.111	80.0
C00283	Hydrogen_sulfide	3.585	6.807	0.527	123.973	6.029	70.0
C00407	L-Isoleucine	2.379	-6.282	0.067	83.018	-2.472	50.0
C01962	Thiocysteine	-7.807	-7.459	0.786	399.892	-8.295	90.0
C02798	3-Phosphonopyruvate	4.087	-7.077	0.126	152.012	-4.258	70.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-3.907	6.15	0.211	86.014	-4.183	70.0
C01563	Carbamate	-3.322	-7.6	0.052	204.012	-3.395	60.0
