compound_code	compound_name	lachnospiraceae_mock_score	alistipes_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	1.08	5.618	0.192	51.226	3.3	70.0
C05528	3-Sulfopyruvate	-1.0	-6.658	0.02	102.985	-1.028	50.0
C06481	L-Seryl-tRNA(Sec)	-1.585	-6.768	0.028	111.986	-1.624	70.0
C00020	AMP	-0.678	1.585	0.533	4.6	-1.295	60.0
C00352	D-Glucosamine_6-phosphate	1.322	-5.728	0.047	55.503	-1.388	60.0
C00022	Pyruvate	-2.435	6.239	0.072	80.939	-2.535	80.0
C00143	5,10-Methylenetetrahydrofolate	0.131	-5.215	0.029	38.238	-0.173	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.907	-4.392	0.089	22.871	-1.03	50.0
C00144	GMP	-0.893	-6.229	0.025	76.866	-0.928	50.0
C01103	Orotidine_5'-phosphate	-3.369	-3.7	0.795	23.328	-4.213	90.0
C00026	2-Oxoglutarate	-0.652	-6.017	0.024	66.33	-0.687	60.0
C00944	3-Dehydroquinate	-1.0	5.392	0.048	43.991	-1.067	50.0
C03838	5'-Phosphoribosylglycinamide	-1.0	-6.741	0.019	108.965	-1.027	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	2.0	6.34	0.315	85.008	4.745	80.0
C02430	L-Methionyl-tRNA	1.0	-5.044	0.061	34.991	-1.085	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-0.893	-3.382	0.178	12.282	-1.129	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-1.322	-7.071	0.019	136.957	-1.349	60.0
C00627	Pyridoxine_phosphate	-1.0	-6.629	0.02	100.976	-1.029	50.0
C05754	trans-Dec-2-enoyl-[acp]	1.0	-5.7	0.038	53.984	-1.054	50.0
C00438	N-Carbamoyl-L-aspartate	-2.0	3.858	0.276	18.5	-2.351	80.0
C00101	Tetrahydrofolate	-1.0	4.512	0.088	24.816	-1.121	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-3.322	-7.435	0.058	183.045	-3.403	90.0
C00234	10-Formyltetrahydrofolate	0.598	-3.229	0.161	10.89	-0.814	60.0
C01931	L-Lysyl-tRNA	-1.0	-6.931	0.016	124.022	-1.023	50.0
C00010	CoA	-1.0	-6.755	0.019	110.008	-1.026	50.0
C00011	CO2	4.966	7.581	0.655	222.728	7.189	90.0
C00014	Ammonia	-0.459	-4.031	0.084	17.722	-0.575	60.0
C00015	UDP	-3.087	-3.907	0.566	23.498	-3.734	90.0
C00065	L-Serine	-0.355	5.185	0.035	37.657	-0.405	60.0
C05796	Galactan	2.807	6.248	0.449	83.002	5.221	80.0
C01528	Hydrogen_selenide	1.0	-6.812	0.018	114.361	-1.025	50.0
C00155	L-Homocysteine	-2.222	-1.379	0.557	7.266	-2.018	80.0
C05752	Octanoyl-[acp]	-1.585	6.498	0.033	93.384	-1.632	70.0
C05746	3-Oxohexanoyl-[acp]	2.0	6.34	0.315	85.008	4.745	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-1.0	4.907	0.067	32.002	-1.093	50.0
C00886	L-Alanyl-tRNA	-1.585	-6.7	0.029	106.968	-1.626	70.0
C16219	3-Oxostearoyl-[acp]	2.0	6.34	0.315	85.008	4.745	80.0
C01131	L-Rhamnulose_1-phosphate	-2.0	5.833	0.07	61.004	-2.098	80.0
C05345	beta-D-Fructose_6-phosphate	3.763	5.811	0.648	69.718	5.497	90.0
C16633	5-Fluorouridine	1.585	7.748	0.205	217.971	5.479	90.0
C02051	Lipoylprotein	-1.585	-4.585	0.125	27.001	-1.755	70.0
C00221	beta-D-Glucose	-1.064	3.215	0.225	11.376	-1.357	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-1.585	6.752	0.028	110.784	-1.625	70.0
C00229	Acyl-carrier_protein	-1.0	7.257	0.013	154.959	-1.019	50.0
C00882	Dephospho-CoA	1.585	-2.807	0.429	9.998	-2.1	80.0
C00655	Xanthosine_5'-phosphate	0.369	-2.773	0.189	8.127	-0.619	60.0
C00118	D-Glyceraldehyde_3-phosphate	6.136	4.754	0.775	97.31	6.236	90.0
C05759	3-Oxotetradecanoyl-[acp]	2.0	6.34	0.315	85.008	4.745	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-2.322	-6.845	0.043	119.961	-2.383	80.0
C01172	beta-D-Glucose_6-phosphate	-1.585	-3.322	0.3	13.001	-1.964	80.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	3.322	7.435	0.447	183.045	6.354	90.0
C05838	cis-2-Hydroxycinnamate	-3.322	-7.435	0.058	183.045	-3.403	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.585	-8.358	0.009	331.102	-1.598	60.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	2.0	6.34	0.315	85.008	4.745	80.0
C00008	ADP	-2.415	-2.336	0.947	10.382	-3.297	90.0
C00006	NADP+	1.0	-6.322	0.025	82.004	-1.036	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-1.0	6.629	0.02	100.976	-1.029	50.0
C00002	ATP	2.524	6.959	0.363	130.165	5.561	90.0
C00369	Starch	0.893	2.644	0.338	8.108	1.453	70.0
C15972	Enzyme_N6-(lipoyl)lysine	-1.585	-6.907	0.025	123.009	-1.621	70.0
C00760	Cellulose	2.663	7.435	0.358	179.378	6.006	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-1.322	-7.071	0.019	136.957	-1.349	60.0
C16619	6-Thioguanosine_monophosphate	-1.0	-7.129	0.014	141.973	-1.02	50.0
C16618	6-Thioxanthine_5'-monophosphate	1.0	-2.0	0.5	6.0	-1.585	60.0
C00251	Chorismate	-0.297	3.0	0.154	9.229	-0.503	60.0
C00255	Riboflavin	2.322	-4.807	0.179	32.993	-2.559	90.0
C05336	Selenomethionyl-tRNA(Met)	-1.0	-6.741	0.019	108.965	-1.027	50.0
C05143	Dhurrin	3.322	7.435	0.447	183.045	6.354	90.0
C00259	L-Arabinose	-1.0	8.262	0.007	308.98	-1.009	50.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-1.0	-7.077	0.015	137.017	-1.021	50.0
C16614	6-Methylmercaptopurine	1.0	7.077	0.141	137.017	4.275	70.0
C03742	(S)-4-Hydroxymandelonitrile	-3.322	-7.435	0.058	183.045	-3.403	90.0
C00312	L-Xylulose	2.0	7.055	0.283	136.974	5.279	90.0
C00491	L-Cystine	3.0	6.129	0.489	77.986	5.254	80.0
C00493	Shikimate	0.341	2.988	0.114	9.2	0.07	70.0
C00091	Succinyl-CoA	-1.585	-6.522	0.033	94.901	-1.631	70.0
C00092	D-Glucose_6-phosphate	-3.459	-7.589	0.057	203.535	-3.539	90.0
C00093	sn-Glycerol_3-phosphate	-1.893	7.347	0.023	166.519	-1.926	80.0
C00095	D-Fructose	-2.0	-7.827	0.018	231.071	-2.025	80.0
C00154	Palmitoyl-CoA	-1.0	-8.651	0.005	403.986	-1.007	50.0
C00097	L-Cysteine	0.415	-7.224	0.009	150.833	-0.428	60.0
C00078	L-Tryptophan	0.585	6.409	0.091	86.477	2.981	70.0
C00079	L-Phenylalanine	-0.097	-1.138	0.486	3.27	-0.668	60.0
C00993	D-Alanyl-D-alanine	-1.585	-3.0	0.375	11.0	-2.044	80.0
C01798	D-Glucoside	3.322	7.435	0.447	183.045	6.354	90.0
C00073	L-Methionine	3.585	5.298	0.677	51.342	5.119	80.0
C00074	Phosphoenolpyruvate	-0.848	-6.979	0.014	127.95	-0.868	60.0
C00075	UTP	2.619	5.652	0.463	56.426	4.709	80.0
C00620	alpha-D-Ribose_1-phosphate	4.087	7.492	0.546	197.013	6.748	90.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	2.0	5.883	0.34	63.015	4.421	80.0
C04246	But-2-enoyl-[acyl-carrier_protein]	1.0	-5.7	0.038	53.984	-1.054	50.0
C00123	L-Leucine	0.222	-3.322	0.117	11.167	-0.381	60.0
C00279	D-Erythrose_4-phosphate	-4.512	-3.68	0.562	35.634	-4.323	90.0
C02659	Acetone_cyanohydrin	-3.322	-7.435	0.058	183.045	-3.403	90.0
C00085	D-Fructose_6-phosphate	3.961	4.926	0.804	45.973	5.208	80.0
C00242	Guanine	1.0	-4.585	0.083	26.001	-1.115	50.0
C00231	D-Xylulose_5-phosphate	-3.346	-5.576	0.213	57.871	-3.625	90.0
C00249	Hexadecanoic_acid	1.0	8.651	0.116	403.986	5.545	90.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-3.0	4.585	0.333	32.001	-3.415	90.0
C04646	6-Thioinosine-5'-monophosphate	-1.0	3.807	0.143	15.997	-1.193	60.0
C02218	Dehydroalanine	-1.585	-7.562	0.016	191.968	-1.608	60.0
C00337	(S)-Dihydroorotate	2.322	-6.57	0.053	100.01	-2.396	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.0	6.858	0.017	118.002	-1.025	50.0
C00160	Glycolate	-1.0	-6.229	0.027	77.009	-1.038	50.0
C00163	Propanoate	1.0	7.238	0.138	152.958	4.401	80.0
C02984	L-Aspartyl-tRNA(Asp)	-2.0	-6.285	0.051	81.978	-2.072	80.0
C00561	Mandelonitrile	-3.322	-7.435	0.058	183.045	-3.403	90.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-6.426	0.047	89.984	-2.066	80.0
C03263	Coproporphyrinogen_III	1.0	6.109	0.164	71.023	3.539	70.0
C02047	L-Leucyl-tRNA	-1.0	-6.524	0.022	94.028	-1.031	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.585	-8.358	0.009	331.102	-1.598	60.0
C00342	Thioredoxin	1.0	-4.916	0.066	32.19	-1.093	50.0
C00105	UMP	0.489	5.356	0.091	42.359	1.951	70.0
C00103	D-Glucose_1-phosphate	2.807	5.218	0.538	44.218	4.572	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-1.585	-7.15	0.021	145.025	-1.615	70.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	3.0	-3.459	0.727	18.997	-3.789	90.0
C00063	CTP	2.524	6.823	0.37	118.973	5.46	90.0
C00062	L-Arginine	1.0	5.883	0.17	61.015	3.375	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-1.28	4.441	0.112	24.149	-1.433	60.0
C00064	L-Glutamine	-1.078	-5.595	0.044	50.446	-1.14	60.0
C00861	L-Rhamnulose	2.0	-6.883	0.034	122.029	-2.048	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	0.585	3.7	0.158	14.496	1.197	70.0
C02962	D-Allose_6-phosphate	1.585	6.508	0.244	94.013	4.517	80.0
C16634	5-Fluorouridine_monophosphate	-1.585	-8.362	0.009	332.013	-1.598	60.0
C00577	D-Glyceraldehyde	-1.0	-7.366	0.012	166.963	-1.017	50.0
C05764	Hexadecanoyl-[acp]	-1.585	7.229	0.02	153.019	-1.614	70.0
C05761	Tetradecanoyl-[acp]	-1.585	7.229	0.02	153.019	-1.614	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	1.0	-5.7	0.038	53.984	-1.054	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	1.0	-5.7	0.038	53.984	-1.054	50.0
C03175	Shikimate_3-phosphate	-0.585	-2.7	0.231	7.998	-0.885	60.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-1.0	6.629	0.02	100.976	-1.029	50.0
C08325	Amygdalin	3.322	7.435	0.447	183.045	6.354	90.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	0.585	-2.322	0.3	6.5	-0.964	50.0
C00475	Cytidine	0.263	-5.258	0.031	39.466	-0.308	60.0
C12215	Iminoerythrose_4-phosphate	-4.7	-7.476	0.146	204.025	-4.897	90.0
C02163	L-Arginyl-tRNA(Arg)	-1.585	-6.109	0.043	72.023	-1.646	70.0
C00988	2-Phosphoglycolate	1.0	6.229	0.161	77.009	3.628	70.0
C00117	D-Ribose_5-phosphate	-3.467	-6.12	0.159	80.609	-3.68	90.0
C00111	Glycerone_phosphate	-0.466	-3.388	0.132	11.85	-0.645	60.0
C02380	6-Mercaptopurine	1.0	7.077	0.141	137.017	4.275	70.0
C00112	CDP	-4.087	-4.346	0.836	37.331	-4.963	90.0
C07648	Thioguanine	1.0	7.077	0.141	137.017	4.275	70.0
C05698	Selenohomocysteine	-2.807	-1.585	0.429	9.998	-2.1	80.0
C00668	alpha-D-Glucose_6-phosphate	-3.14	-3.912	0.586	23.868	-3.805	90.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.811	2.531	0.607	9.289	-2.495	80.0
C00243	Lactose	2.807	6.248	0.449	83.002	5.221	80.0
C00299	Uridine	0.263	-1.399	0.455	3.837	-0.804	60.0
C02972	Dihydrolipoylprotein	1.585	-6.15	0.042	74.013	-1.645	70.0
C01079	Protoporphyrinogen_IX	-1.0	-6.109	0.029	71.023	-1.041	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-0.415	-3.585	0.111	13.334	-0.567	60.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.415	3.459	0.12	12.33	0.565	70.0
