compound_code	compound_name	bacteroides_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-2.32	0.243	0.237	6.177	-0.55	60.0
C00024	Acetyl-CoA	2.917	-3.848	0.524	21.953	-3.525	90.0
C00026	2-Oxoglutarate	3.322	-4.626	0.405	34.693	-3.813	90.0
C06481	L-Seryl-tRNA(Sec)	-4.585	-3.7	0.0	0.0	0.0	50.0
C00020	AMP	-3.459	0.415	0.121	12.33	-0.58	60.0
C00352	D-Glucosamine_6-phosphate	4.524	0.585	0.129	24.507	1.664	70.0
C00022	Pyruvate	-3.676	-3.526	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	-1.008	1.461	0.731	4.764	-1.799	80.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-4.392	-1.585	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-3.491	-2.0	0.0	0.0	0.0	50.0
C00029	UDP-glucose	-5.351	1.766	0.083	44.215	-1.881	80.0
C00147	Adenine	1.644	-0.101	0.343	4.198	-0.527	60.0
C00149	(S)-Malate	-4.948	1.339	0.082	33.397	-1.453	80.0
C14089	1-Hydroxymethylnaphthalene	0.585	2.954	0.198	9.249	0.873	70.0
C05400	Epimelibiose	2.322	0.585	0.252	6.5	0.712	70.0
C05686	Adenylylselenate	-3.585	-2.585	0.0	0.0	0.0	50.0
C05402	Melibiose	1.585	0.222	0.14	4.166	-0.777	70.0
C02430	L-Methionyl-tRNA	-5.248	-2.322	0.0	0.0	0.0	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.259	-1.837	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	4.293	1.766	0.411	23.004	3.242	80.0
C00100	Propanoyl-CoA	-3.585	-1.7	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-3.322	-1.0	0.0	0.0	0.0	50.0
C00438	N-Carbamoyl-L-aspartate	2.459	0.585	0.238	6.998	0.735	70.0
C00101	Tetrahydrofolate	-1.026	3.933	0.133	17.31	-1.207	80.0
C04411	(2R,3S)-3-Isopropylmalate	2.202	1.585	0.72	7.601	2.452	80.0
C06126	Digalactosylceramide	2.322	0.585	0.252	6.5	0.712	70.0
C02051	Lipoylprotein	-7.435	0.585	0.009	174.545	-0.597	60.0
C06250	Holo-[carboxylase]	7.004	-0.322	0.01	129.605	-0.336	60.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	1.0	-1.0	1.0	4.0	-2.0	80.0
C00233	4-Methyl-2-oxopentanoate	-2.983	-0.652	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	-4.503	1.0	0.088	24.675	-1.122	70.0
C00235	Dimethylallyl_diphosphate	2.202	-3.609	0.377	16.803	-2.664	90.0
C01613	Stachyose	1.585	0.415	0.262	4.333	0.182	60.0
C01931	L-Lysyl-tRNA	-5.129	-2.807	0.0	0.0	0.0	50.0
C00159	D-Mannose	-1.585	-0.585	0.0	0.0	0.0	50.0
C00158	Citrate	0.026	0.895	0.029	2.878	-3.58	90.0
C00014	Ammonia	-4.471	1.053	0.094	24.252	-1.182	70.0
C00015	UDP	-3.0	-1.874	0.0	0.0	0.0	50.0
C00191	D-Glucuronate	4.6	7.103	0.648	161.724	6.711	90.0
C00065	L-Serine	-2.452	-0.787	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-3.524	-0.585	0.0	0.0	0.0	50.0
C00152	L-Asparagine	3.218	0.778	0.242	11.02	1.414	70.0
C00155	L-Homocysteine	2.592	-0.322	0.207	7.279	-0.594	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	-1.0	1.0	4.0	-2.0	80.0
C00794	D-Sorbitol	-2.322	-0.585	0.0	0.0	0.0	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	3.0	1.0	0.333	10.0	1.737	70.0
C00886	L-Alanyl-tRNA	-5.358	-3.585	0.0	0.0	0.0	50.0
C00294	Inosine	3.0	0.485	0.162	9.4	0.604	70.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	0.737	-1.874	0.455	5.332	-1.278	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-2.807	3.907	0.467	21.999	-3.359	90.0
C02876	Propanoyl_phosphate	2.807	-1.0	0.286	8.998	-1.363	80.0
C05345	beta-D-Fructose_6-phosphate	5.433	-2.4	0.122	48.479	-2.566	90.0
C00227	Acetyl_phosphate	-0.547	0.107	0.737	2.538	-0.904	70.0
C00226	Primary_alcohol	0.585	2.954	0.198	9.249	0.873	70.0
C06037	Digalactosyl-diacylglycerol	2.322	0.585	0.252	6.5	0.712	70.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.755	-1.322	0.0	0.0	0.0	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	2.322	0.585	0.252	6.5	0.712	70.0
C05382	Sedoheptulose_7-phosphate	-2.012	-0.547	0.0	0.0	0.0	50.0
C00212	Adenosine	3.087	0.322	0.104	9.747	0.024	60.0
C00387	Guanosine	3.0	0.485	0.162	9.4	0.604	70.0
C00817	D-Altronate	-4.03	1.807	0.214	19.835	-2.087	90.0
C03539	S-Ribosyl-L-homocysteine	-2.0	1.0	0.5	6.0	-1.585	80.0
C05841	Nicotinate_D-ribonucleoside	2.807	0.585	0.208	8.498	0.825	70.0
C00655	Xanthosine_5'-phosphate	-3.575	-1.524	0.0	0.0	0.0	50.0
C00385	Xanthine	2.907	-0.153	0.148	8.612	-0.352	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.492	-3.322	0.0	0.0	0.0	50.0
C00097	L-Cysteine	-3.534	1.474	0.24	14.361	-1.784	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.781	-1.0	0.0	0.0	0.0	50.0
C15996	7-Cyano-7-carbaguanine	-1.585	3.907	0.2	18.001	-1.848	80.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-5.781	-1.0	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-4.585	1.0	0.083	26.001	-1.115	70.0
C00364	dTMP	-1.0	-2.874	0.0	0.0	0.0	50.0
C00365	dUMP	-1.737	-3.567	0.0	0.0	0.0	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-5.781	-1.0	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-4.585	1.0	0.083	26.001	-1.115	70.0
C00361	dGDP	-2.397	1.585	0.57	8.267	-2.235	90.0
C00003	NAD+	-0.737	-2.663	0.0	0.0	0.0	50.0
C00002	ATP	7.296	4.465	0.612	179.235	6.777	90.0
C16633	5-Fluorouridine	3.907	2.0	0.512	19.001	3.282	80.0
C00369	Starch	5.989	2.402	0.401	68.799	4.786	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-7.484	1.585	0.017	182.023	-1.609	80.0
C05401	3-beta-D-Galactosyl-sn-glycerol	2.322	0.585	0.252	6.5	0.712	70.0
C01127	4-Hydroxy-2-oxoglutarate	5.248	3.907	0.744	53.003	5.302	90.0
C16618	6-Thioxanthine_5'-monophosphate	-3.0	-2.585	0.0	0.0	0.0	50.0
C05336	Selenomethionyl-tRNA(Met)	-5.322	-2.322	0.0	0.0	0.0	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	2.322	0.585	0.252	6.5	0.712	70.0
C00259	L-Arabinose	3.585	3.17	0.884	21.001	4.215	90.0
C00645	N-Acetyl-D-mannosamine	-2.202	-1.0	0.0	0.0	0.0	50.0
C01242	S-Aminomethyldihydrolipoylprotein	2.503	-0.322	0.221	6.919	-0.609	70.0
C00558	D-Tagaturonate	2.0	-7.524	0.022	188.056	-2.031	90.0
C00492	Raffinose	-1.585	-0.222	0.0	0.0	0.0	50.0
C00073	L-Methionine	3.079	2.322	0.754	13.451	3.342	80.0
C00091	Succinyl-CoA	-1.83	5.94	0.058	64.948	-1.911	80.0
C00092	D-Glucose_6-phosphate	-6.047	-3.075	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	3.0	-1.525	0.36	10.878	-1.968	80.0
C00498	ADP-glucose	-2.858	-3.157	0.0	0.0	0.0	50.0
C00095	D-Fructose	-4.492	-0.193	0.0	0.0	0.0	50.0
C05759	3-Oxotetradecanoyl-[acp]	-4.585	1.0	0.083	26.001	-1.115	70.0
C14099	2-Naphthaldehyde	-0.585	-2.954	0.0	0.0	0.0	50.0
C00078	L-Tryptophan	-3.298	1.0	0.203	11.836	-1.267	80.0
C00079	L-Phenylalanine	-1.068	0.348	0.607	3.369	-1.032	70.0
C14090	1-Naphthaldehyde	-0.585	-2.954	0.0	0.0	0.0	50.0
C00071	Aldehyde	-0.585	-2.459	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-6.07	-4.699	0.0	0.0	0.0	50.0
C00075	UTP	7.252	5.006	0.69	184.563	6.993	90.0
C00333	D-Galacturonate	5.0	7.524	0.665	216.056	7.166	90.0
C00620	alpha-D-Ribose_1-phosphate	6.57	3.954	0.602	110.507	6.055	90.0
C00718	Amylose	-3.524	-2.585	0.0	0.0	0.0	50.0
C00123	L-Leucine	1.939	1.222	0.63	6.167	1.959	80.0
C02686	Galactosylceramide	-1.415	-0.585	0.0	0.0	0.0	50.0
C01019	6-Deoxy-L-galactose	2.322	2.322	1.0	10.0	3.322	80.0
C00085	D-Fructose_6-phosphate	3.228	-0.363	0.137	10.656	-0.549	60.0
C00084	Acetaldehyde	-0.485	3.229	0.149	10.776	-0.686	70.0
C00083	Malonyl-CoA	3.574	-0.562	0.124	13.385	-0.731	70.0
C00231	D-Xylulose_5-phosphate	-5.032	0.3	0.038	33.949	-0.353	60.0
C03373	Aminoimidazole_ribotide	-4.982	-2.807	0.0	0.0	0.0	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-4.858	2.0	0.138	33.0	-2.186	90.0
C00407	L-Isoleucine	2.263	1.485	0.656	7.599	2.318	80.0
C00089	Sucrose	-2.322	-0.459	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-2.322	-0.585	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-2.965	-2.83	0.0	0.0	0.0	50.0
C00673	2-Deoxy-D-ribose_5-phosphate	3.807	-1.322	0.179	16.497	-1.559	80.0
C02988	L-Histidyl-tRNA(His)	-2.585	-2.807	0.0	0.0	0.0	50.0
C00559	Deoxyadenosine	2.536	-0.322	0.216	7.05	-0.604	70.0
C00163	Propanoate	4.087	1.0	0.245	18.995	2.216	80.0
C02984	L-Aspartyl-tRNA(Asp)	-5.492	-1.585	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-3.644	-2.0	0.0	0.0	0.0	50.0
C01721	L-Fuculose	-2.322	-2.322	0.0	0.0	0.0	50.0
C00169	Carbamoyl_phosphate	-1.841	-1.354	0.0	0.0	0.0	50.0
C02047	L-Leucyl-tRNA	-5.426	-3.17	0.0	0.0	0.0	50.0
C00106	Uracil	2.379	-0.29	0.235	6.424	-0.595	60.0
C00068	Thiamin_diphosphate	2.528	-0.222	0.202	6.934	-0.488	60.0
