compound_code	compound_name	alistipes_mock_score	turicibacter_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	5.618	-1.263	0.049	51.512	-1.332	50.0
C00148	L-Proline	7.18	2.07	0.288	149.208	5.427	80.0
C00026	2-Oxoglutarate	-6.017	-2.585	0.093	70.759	-2.713	50.0
C06481	L-Seryl-tRNA(Sec)	-6.768	-3.907	0.138	123.987	-4.093	80.0
C00020	AMP	1.585	0.678	0.428	4.6	0.977	60.0
C00352	D-Glucosamine_6-phosphate	-5.728	1.848	0.068	56.603	-1.943	50.0
C00022	Pyruvate	6.239	5.066	0.812	109.029	6.468	90.0
C00143	5,10-Methylenetetrahydrofolate	-5.215	0.425	0.036	38.485	-0.476	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-4.392	-0.854	0.086	22.803	-0.973	60.0
C00029	UDP-glucose	4.17	-2.962	0.433	25.793	-3.481	70.0
C00147	Adenine	-2.755	-0.322	0.185	8.001	-0.567	60.0
C00144	GMP	-6.229	-0.788	0.023	76.736	-0.821	60.0
C01103	Orotidine_5'-phosphate	-3.7	3.17	0.693	21.997	-3.929	70.0
C05528	3-Sulfopyruvate	-6.658	-4.17	0.178	118.986	-4.407	80.0
C01094	D-Fructose_1-phosphate	7.366	3.322	0.451	174.964	6.302	90.0
C02430	L-Methionyl-tRNA	-5.044	-1.0	0.061	34.991	-1.085	50.0
C03939	Acetyl-[acyl-carrier_protein]	3.051	4.17	0.732	26.289	4.266	70.0
C05729	R-S-Cysteinylglycine	8.618	3.807	0.442	406.892	7.49	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.382	-4.181	0.575	28.564	-4.037	80.0
C03232	3-Phosphonooxypyruvate	3.766	1.766	0.469	17.005	2.995	70.0
C05684	Selenite	6.943	3.7	0.533	136.037	6.18	90.0
C05754	trans-Dec-2-enoyl-[acp]	-5.7	-4.087	0.327	68.979	-4.495	80.0
C00101	Tetrahydrofolate	4.512	0.515	0.114	24.245	1.469	60.0
C05122	Taurocholate	6.17	1.0	0.162	74.004	3.584	70.0
C05726	S-Substituted_L-cysteine	-8.618	-3.807	0.036	406.892	-3.858	70.0
C00445	5,10-Methenyltetrahydrofolate	3.781	0.059	0.016	14.788	-2.116	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-7.484	3.322	0.056	189.023	-3.4	70.0
C06250	Holo-[carboxylase]	-6.267	-1.585	0.039	80.011	-1.64	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-4.907	-4.954	0.968	60.998	-5.884	90.0
C01185	Nicotinate_D-ribonucleotide	-6.19	2.7	0.089	79.507	-2.823	50.0
C18902	Methylselenic_acid	6.943	3.7	0.533	136.037	6.18	90.0
C00010	CoA	-6.755	-3.0	0.074	116.008	-3.103	60.0
C00011	CO2	7.581	2.322	0.306	196.474	5.911	80.0
C00014	Ammonia	-4.031	3.191	0.559	25.48	-3.831	70.0
C00015	UDP	-3.907	-4.575	0.629	38.836	-4.611	90.0
C00065	L-Serine	5.185	0.981	0.189	38.352	2.859	70.0
C05796	Galactan	6.248	3.322	0.532	86.004	5.515	80.0
C00152	L-Asparagine	6.7	-3.434	0.104	114.776	-3.577	70.0
C00155	L-Homocysteine	-1.379	-0.402	0.508	3.922	-0.995	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-6.15	1.0	0.028	73.012	-1.04	50.0
C05746	3-Oxohexanoyl-[acp]	6.34	-3.459	0.136	92.005	-3.643	70.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	6.19	-4.0	0.219	89.009	-4.286	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.907	1.585	0.323	33.002	3.414	70.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-4.954	3.907	0.484	45.997	-4.476	80.0
C00506	L-Cysteate	6.658	4.17	0.626	118.986	6.22	90.0
C00760	Cellulose	7.435	4.115	0.553	190.372	6.719	90.0
C05345	beta-D-Fructose_6-phosphate	5.811	4.279	0.736	75.555	5.798	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.615	-4.585	0.245	122.02	-4.901	90.0
C00221	beta-D-Glucose	3.215	-3.563	0.786	21.104	-4.051	80.0
C03838	5'-Phosphoribosylglycinamide	-6.741	-5.644	0.467	156.97	-6.197	90.0
C00385	Xanthine	-4.19	-0.678	0.088	19.852	-0.799	60.0
C00387	Guanosine	7.304	1.0	0.137	160.024	4.453	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-7.071	2.954	0.058	142.206	-3.035	60.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-6.426	-4.0	0.186	101.984	-4.246	80.0
C05841	Nicotinate_D-ribonucleoside	7.304	1.0	0.137	160.024	4.453	70.0
C00655	Xanthosine_5'-phosphate	-2.773	0.663	0.232	8.419	-0.964	60.0
C00118	D-Glyceraldehyde_3-phosphate	4.754	4.617	0.971	51.522	5.645	80.0
C00718	Amylose	-2.55	-4.0	0.366	21.856	-3.0	60.0
C03125	L-Cysteinyl-tRNA(Cys)	-6.845	-3.0	0.07	122.961	-3.097	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.57	-1.0	0.021	97.01	-1.03	50.0
C00508	L-Ribulose	-7.112	-4.585	0.173	162.333	-4.816	90.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	7.435	4.672	0.628	198.537	6.963	90.0
C05838	cis-2-Hydroxycinnamate	-7.435	-4.672	0.147	198.537	-4.87	90.0
C01127	4-Hydroxy-2-oxoglutarate	7.827	3.459	0.442	238.068	6.717	90.0
C00365	dUMP	-5.221	0.874	0.049	39.13	-0.943	60.0
C05466	Glycochenodeoxycholate	6.17	1.0	0.162	74.004	3.584	70.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	6.34	-3.459	0.136	92.005	-3.643	70.0
C20375	Glutaryl-[acp]_methyl_ester	7.229	4.17	0.577	168.02	6.599	90.0
C00008	ADP	-2.336	-3.298	0.513	14.885	-2.934	60.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.954	3.907	0.484	45.997	-4.476	80.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	6.629	-4.087	0.172	115.97	-4.316	80.0
C00003	NAD+	-7.5	-2.415	0.029	186.353	-2.457	50.0
C00002	ATP	6.959	3.027	0.435	132.565	5.85	80.0
C00369	Starch	2.644	2.874	0.92	13.582	3.643	70.0
C05703	Methaneselenol	-6.845	-2.807	0.061	121.959	-2.892	60.0
C00035	GDP	3.624	-3.626	0.999	24.675	-4.623	90.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	5.392	1.0	0.185	43.991	3.028	70.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-4.977	2.585	0.191	37.494	-2.837	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-6.561	2.954	0.082	102.168	-3.068	60.0
C00361	dGDP	-4.481	1.222	0.104	24.664	-1.365	50.0
C16619	6-Thioguanosine_monophosphate	-7.129	-1.0	0.014	141.973	-1.02	60.0
C00253	Nicotinate	-7.304	-0.415	0.008	159.357	-0.427	60.0
C05336	Selenomethionyl-tRNA(Met)	-6.741	-1.0	0.019	108.965	-1.027	60.0
C00441	L-Aspartate_4-semialdehyde	-4.815	2.585	0.213	34.149	-2.864	60.0
C00416	Phosphatidate	4.19	2.939	0.701	25.921	4.184	70.0
C05335	L-Selenomethionine	5.322	-2.585	0.15	46.002	-2.787	50.0
C03742	(S)-4-Hydroxymandelonitrile	-7.435	-4.672	0.147	198.537	-4.87	90.0
C01081	Thiamin_monophosphate	7.349	-3.585	0.074	175.031	-3.687	70.0
C00310	D-Xylulose	-6.443	5.907	0.69	147.008	-6.664	90.0
C01931	L-Lysyl-tRNA	-6.931	-1.0	0.016	124.022	-1.023	60.0
C01528	Hydrogen_selenide	-6.812	-2.322	0.045	117.361	-2.385	50.0
C00886	L-Alanyl-tRNA	-6.7	-3.907	0.144	118.969	-4.101	80.0
C00092	D-Glucose_6-phosphate	-7.589	-2.678	0.033	198.938	-2.725	50.0
C00093	sn-Glycerol_3-phosphate	7.347	2.102	0.286	167.098	5.579	80.0
C00095	D-Fructose	-7.827	1.459	0.012	229.82	-1.476	50.0
C00097	L-Cysteine	-7.224	-2.858	0.048	156.75	-2.926	60.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.248	-3.322	0.132	86.004	-3.5	70.0
C00078	L-Tryptophan	6.409	1.0	0.156	86.977	3.762	70.0
C00079	L-Phenylalanine	-1.138	1.99	0.554	6.173	-1.774	50.0
C00993	D-Alanyl-D-alanine	-3.0	-3.907	0.533	23.001	-3.617	70.0
C01798	D-Glucoside	7.435	4.672	0.628	198.537	6.963	90.0
C00073	L-Methionine	5.298	2.668	0.504	45.698	4.524	80.0
C00231	D-Xylulose_5-phosphate	-5.576	1.802	0.073	51.19	-1.904	50.0
C00074	Phosphoenolpyruvate	-6.979	-6.807	0.888	238.123	-7.724	90.0
C00075	UTP	5.652	3.194	0.565	59.434	5.07	80.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-7.071	2.954	0.058	142.206	-3.035	60.0
C00337	(S)-Dihydroorotate	-6.57	-2.503	0.06	100.678	-2.587	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-5.7	-4.087	0.327	68.979	-4.495	80.0
C00123	L-Leucine	-3.322	1.737	0.333	13.334	-2.152	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-6.409	-1.0	0.024	86.977	-1.034	50.0
C00279	D-Erythrose_4-phosphate	-3.68	-0.628	0.121	14.363	-0.792	60.0
C02659	Acetone_cyanohydrin	-7.435	-4.672	0.147	198.537	-4.87	90.0
C00085	D-Fructose_6-phosphate	4.926	-3.322	0.329	40.401	-3.732	70.0
C00242	Guanine	-4.585	-1.0	0.083	26.001	-1.115	50.0
C00245	Taurine	-6.17	-1.0	0.028	74.004	-1.04	50.0
C00082	L-Tyrosine	1.248	0.022	0.018	3.39	-4.064	80.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	6.248	3.322	0.532	86.004	5.515	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	4.585	-1.0	0.083	26.001	-1.115	50.0
C04646	6-Thioinosine-5'-monophosphate	3.807	1.585	0.416	16.997	2.823	70.0
C01921	Glycocholate	6.17	1.0	0.162	74.004	3.584	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	6.858	-0.585	0.013	117.502	-0.604	60.0
C00160	Glycolate	-6.229	-3.123	0.116	83.721	-3.282	60.0
C00163	Propanoate	7.238	2.585	0.357	156.958	5.809	80.0
C02984	L-Aspartyl-tRNA(Asp)	-6.285	-5.833	0.731	134.983	-6.625	90.0
C00561	Mandelonitrile	-7.435	-4.672	0.147	198.537	-4.87	90.0
C02987	L-Glutamyl-tRNA(Glu)	-6.426	-5.459	0.512	129.971	-6.055	90.0
C00169	Carbamoyl_phosphate	4.147	-3.563	0.667	29.535	-4.3	80.0
C02047	L-Leucyl-tRNA	-6.524	-4.0	0.174	108.028	-4.231	80.0
C00106	Uracil	-2.202	4.524	0.2	27.608	-2.465	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-8.358	3.322	0.03	338.102	-3.365	60.0
C00342	Thioredoxin	-4.916	-3.496	0.374	41.472	-3.954	70.0
C00105	UMP	5.356	1.322	0.247	43.456	3.423	70.0
C03082	4-Phospho-L-aspartate	1.379	3.406	0.405	13.201	2.418	70.0
C00103	D-Glucose_1-phosphate	5.218	-1.536	0.078	40.12	-1.644	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.15	-1.585	0.021	145.025	-1.615	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	-3.459	1.0	0.182	12.997	-1.241	50.0
C00063	CTP	6.823	3.632	0.532	125.619	6.063	80.0
C00062	L-Arginine	5.883	-1.0	0.034	61.015	-1.048	50.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.441	-4.063	0.77	38.435	-4.886	90.0
C00064	L-Glutamine	-5.595	-3.478	0.231	59.478	-3.777	70.0
