compound_code	compound_name	butyrivibrio_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	5.922	-2.134	0.072	65.021	-2.235	80.0
C00024	Acetyl-CoA	-8.417	4.951	0.09	372.729	-5.076	90.0
C00148	L-Proline	-4.322	3.17	0.45	29.001	-3.706	90.0
C00026	2-Oxoglutarate	-4.412	1.415	0.125	23.955	-1.585	80.0
C06481	L-Seryl-tRNA(Sec)	-8.426	-3.907	0.0	0.0	0.0	50.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	4.248	1.585	0.373	22.001	3.037	60.0
C00352	D-Glucosamine_6-phosphate	6.436	1.379	0.214	89.183	4.256	60.0
C00022	Pyruvate	8.769	-3.222	0.021	445.577	-3.253	90.0
C00143	5,10-Methylenetetrahydrofolate	-7.131	0.599	0.011	141.681	-0.615	70.0
C00029	UDP-glucose	-7.345	2.891	0.046	169.997	-2.955	80.0
C00147	Adenine	4.295	-2.17	0.229	24.13	-2.468	80.0
C00144	GMP	-7.547	-2.888	0.0	0.0	0.0	50.0
C02876	Propanoyl_phosphate	-2.115	-3.7	0.0	0.0	0.0	50.0
C01100	L-Histidinol_phosphate	-4.524	2.0	0.174	27.007	-2.231	80.0
C00343	Thioredoxin_disulfide	-9.0	-4.585	0.0	0.0	0.0	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	6.459	-5.044	0.375	120.965	-5.503	90.0
C00944	3-Dehydroquinate	-6.954	2.0	0.032	127.983	-2.046	80.0
C05400	Epimelibiose	8.028	3.585	0.447	273.017	6.93	80.0
C00021	S-Adenosyl-L-homocysteine	5.597	-2.459	0.114	53.901	-2.614	80.0
C05402	Melibiose	4.907	-4.087	0.566	46.997	-4.734	90.0
C02430	L-Methionyl-tRNA	-3.585	-3.17	0.0	0.0	0.0	50.0
C12739	5'-Deoxy-5-fluorouridine	-7.672	-4.0	0.0	0.0	0.0	50.0
C00020	AMP	-6.484	3.285	0.109	99.259	-3.434	90.0
C00054	Adenosine_3',5'-bisphosphate	-8.155	-3.0	0.0	0.0	0.0	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-4.121	0.379	0.075	18.7	-0.483	70.0
C02737	Phosphatidylserine	-0.222	-0.222	0.0	0.0	0.0	50.0
C00100	Propanoyl-CoA	-11.255	-1.585	0.0	0.0	0.0	50.0
C00459	dTTP	7.798	3.392	0.435	233.05	6.664	80.0
C00780	Serotonin	6.476	2.0	0.309	93.016	4.844	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.2	-2.585	0.0	0.0	0.0	50.0
C00826	L-Arogenate	7.622	2.907	0.381	204.493	6.285	80.0
C05122	Taurocholate	7.418	1.0	0.135	173.017	4.544	60.0
C06126	Digalactosylceramide	8.028	3.585	0.447	273.017	6.93	80.0
C01083	alpha,alpha-Trehalose	-8.873	-3.0	0.0	0.0	0.0	50.0
C03684	6-Pyruvoyltetrahydropterin	-3.0	-1.585	0.0	0.0	0.0	50.0
C00344	Phosphatidylglycerol	7.87	3.585	0.456	245.941	6.808	80.0
C03688	Apo-[acyl-carrier-protein]	8.155	3.0	0.368	293.036	6.752	80.0
C00231	D-Xylulose_5-phosphate	-9.179	-2.656	0.0	0.0	0.0	50.0
C01345	dITP	6.022	3.459	0.574	75.98	5.448	70.0
C00037	Glycine	8.083	3.129	0.387	279.908	6.76	80.0
C01185	Nicotinate_D-ribonucleotide	5.261	-1.222	0.061	40.679	-1.307	80.0
C02637	3-Dehydroshikimate	2.722	-1.222	0.354	8.931	-1.659	80.0
C01613	Stachyose	7.858	4.807	0.612	259.996	7.313	90.0
C00558	D-Tagaturonate	-8.061	-2.807	0.0	0.0	0.0	50.0
C15812	[Enzyme]-S-sulfanylcysteine	-7.807	1.585	0.013	226.945	-1.604	80.0
C02839	L-Tyrosyl-tRNA(Tyr)	-8.006	-3.585	0.0	0.0	0.0	50.0
C00014	Ammonia	-4.607	-3.619	0.0	0.0	0.0	50.0
C00015	UDP	-6.366	-3.17	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-7.615	-3.322	0.0	0.0	0.0	50.0
C00018	Pyridoxal_phosphate	-5.562	-3.807	0.0	0.0	0.0	50.0
C00065	L-Serine	-7.009	-1.578	0.0	0.0	0.0	50.0
C16688	Sucrose_6-phosphate	7.322	5.459	0.746	203.995	7.249	90.0
C00493	Shikimate	4.355	1.047	0.24	22.53	2.437	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	4.0	3.459	0.865	26.997	4.545	70.0
C00794	D-Sorbitol	-7.96	-3.585	0.0	0.0	0.0	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	7.735	1.0	0.129	215.043	4.797	70.0
C01134	Pantetheine_4'-phosphate	7.767	3.7	0.476	230.817	6.781	80.0
C00066	tRNA	6.943	3.459	0.498	134.038	6.061	80.0
C05399	Melibiitol	8.028	3.585	0.447	273.017	6.93	80.0
C05345	beta-D-Fructose_6-phosphate	10.671	1.412	0.132	1633.049	7.755	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-7.873	-3.755	0.0	0.0	0.0	50.0
C02336	beta-D-Fructose	8.261	-4.7	0.085	332.759	-4.817	90.0
C06037	Digalactosyl-diacylglycerol	8.028	3.585	0.447	273.017	6.93	80.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	8.028	3.585	0.447	273.017	6.93	80.0
C00221	beta-D-Glucose	-8.89	3.459	0.023	485.41	-3.492	90.0
C05382	Sedoheptulose_7-phosphate	-6.078	1.078	0.031	69.667	-1.122	70.0
C00385	Xanthine	-5.867	2.459	0.094	63.862	-2.589	80.0
C03492	D-4'-Phosphopantothenate	-6.721	-2.585	0.0	0.0	0.0	50.0
C00387	Guanosine	7.676	4.807	0.626	232.499	7.186	90.0
C05659	5-Methoxytryptamine	-6.476	-2.0	0.0	0.0	0.0	50.0
C00229	Acyl-carrier_protein	6.781	-3.0	0.073	117.973	-3.101	90.0
C00882	Dephospho-CoA	-7.109	-3.807	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-7.212	3.115	0.058	156.925	-3.197	90.0
C00301	ADP-ribose	8.234	2.585	0.314	307.08	6.591	80.0
C00718	Amylose	-8.51	-3.209	0.0	0.0	0.0	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-8.114	-4.087	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-8.17	-3.322	0.0	0.0	0.0	50.0
C00714	Pectin	7.451	4.907	0.659	204.977	7.077	90.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-8.028	-3.585	0.0	0.0	0.0	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	9.192	1.585	0.172	587.881	6.663	80.0
C00364	dTMP	-4.787	1.807	0.127	31.107	-1.979	80.0
C00365	dUMP	-6.949	0.807	0.014	125.304	-0.827	70.0
C00362	dGMP	-2.7	1.585	0.462	9.498	-2.133	80.0
C00009	Orthophosphate	-7.883	-3.322	0.0	0.0	0.0	50.0
C00008	ADP	7.258	3.97	0.547	168.736	6.528	80.0
C05831	3-Methoxyanthranilate	-6.476	-2.0	0.0	0.0	0.0	50.0
