compound_code	compound_name	parabacteroides_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-10.382	-7.693	0.0	0.0	0.0	50.0
C00942	3',5'-Cyclic_GMP	-4.459	-6.895	0.0	0.0	0.0	50.0
C00149	(S)-Malate	-9.121	4.459	0.04	578.787	-4.515	80.0
C00944	3-Dehydroquinate	-6.459	-6.954	0.0	0.0	0.0	50.0
C02430	L-Methionyl-tRNA	-8.071	-3.585	0.0	0.0	0.0	50.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	7.562	-4.322	0.106	208.969	-4.467	80.0
C14819	Fe3+	-10.065	-6.794	0.0	0.0	0.0	50.0
C14818	Fe2+	10.065	6.794	0.675	1182.159	9.64	90.0
C00436	N-Carbamoylputrescine	8.785	-2.807	0.016	448.11	-2.83	80.0
C00437	N-Acetylornithine	6.883	-4.818	0.239	146.237	-5.127	80.0
C00438	N-Carbamoyl-L-aspartate	-5.732	-3.03	0.0	0.0	0.0	50.0
C00826	L-Arogenate	7.34	7.622	0.963	359.01	8.433	80.0
C06126	Digalactosylceramide	9.18	8.028	0.875	841.054	9.523	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-8.409	5.672	0.15	390.893	-5.874	80.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-8.488	5.248	0.106	397.042	-5.393	80.0
C01185	Nicotinate_D-ribonucleotide	-8.313	5.261	0.121	356.372	-5.425	80.0
C06128	GM4	6.022	3.17	0.526	73.984	5.283	60.0
C00558	D-Tagaturonate	7.562	-8.061	0.708	456.025	-8.334	90.0
C15812	[Enzyme]-S-sulfanylcysteine	-2.322	-7.807	0.0	0.0	0.0	50.0
C06441	L-Xylulose_1-phosphate	10.16	6.524	0.642	1236.13	9.633	90.0
C15811	[Enzyme]-cysteine	2.322	9.074	0.256	543.947	7.121	70.0
C15815	C15815	7.788	0.585	0.075	222.515	4.063	60.0
C05796	Galactan	10.544	7.901	0.749	1732.024	10.342	90.0
C03294	N-Formylmethionyl-tRNA	-8.15	-8.098	0.0	0.0	0.0	50.0
C05791	D-Urobilinogen	-3.7	-4.392	0.0	0.0	0.0	50.0
C00794	D-Sorbitol	-9.18	-7.96	0.0	0.0	0.0	50.0
C00791	Creatinine	3.459	2.0	0.578	14.997	3.116	60.0
C16219	3-Oxostearoyl-[acp]	9.263	-2.322	0.008	619.386	-2.334	70.0
C11538	Cobalt-sirohydrochlorin	-3.17	-4.17	0.0	0.0	0.0	50.0
C01233	sn-Glycero-3-phosphoethanolamine	7.0	8.281	0.845	439.049	8.536	80.0
C20359	UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate	2.585	3.459	0.747	16.997	3.667	60.0
C00221	beta-D-Glucose	7.62	-8.89	0.415	671.133	-8.12	90.0
C00385	Xanthine	-8.262	-5.867	0.0	0.0	0.0	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	8.264	5.907	0.715	367.41	8.037	70.0
C02504	alpha-Isopropylmalate	-5.649	5.881	0.851	109.111	-6.538	90.0
C00229	Acyl-carrier_protein	10.721	6.781	0.632	1797.857	10.151	90.0
C02528	Chenodeoxycholate	-7.762	-7.418	0.0	0.0	0.0	50.0
C11173	SN-38	-3.7	-4.392	0.0	0.0	0.0	50.0
C00546	Methylglyoxal	-6.313	-8.202	0.0	0.0	0.0	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-10.617	-8.679	0.0	0.0	0.0	50.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	10.551	9.95	0.943	2489.382	11.197	90.0
C05838	cis-2-Hydroxycinnamate	-10.551	-9.95	0.0	0.0	0.0	50.0
C00364	dTMP	-7.202	-4.787	0.0	0.0	0.0	50.0
C00365	dUMP	-7.689	-6.949	0.0	0.0	0.0	50.0
C00362	dGMP	-6.541	-2.7	0.0	0.0	0.0	50.0
C00360	dAMP	-8.667	-9.581	0.0	0.0	0.0	50.0
C00008	ADP	3.719	7.258	0.512	166.233	6.412	60.0
C05831	3-Methoxyanthranilate	-6.845	-6.476	0.0	0.0	0.0	50.0
C00006	NADP+	-8.297	-6.672	0.0	0.0	0.0	50.0
C00005	NADPH	-1.0	-5.459	0.0	0.0	0.0	50.0
C00003	NAD+	5.771	-6.163	0.762	126.262	-6.588	90.0
C00002	ATP	9.324	8.749	0.938	1071.16	9.973	90.0
C00369	Starch	-3.935	4.763	0.563	42.447	-4.58	80.0
C05703	Methaneselenol	-9.062	-7.547	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-9.606	-8.028	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	6.34	-7.877	0.345	316.087	-6.767	90.0
C02612	(R)-2-Methylmalate	7.629	8.063	0.946	465.378	8.782	80.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-9.241	-7.864	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	9.241	7.864	0.851	838.057	9.478	80.0
C03742	(S)-4-Hydroxymandelonitrile	-10.551	-9.95	0.0	0.0	0.0	50.0
C00645	N-Acetyl-D-mannosamine	-2.0	-5.895	0.0	0.0	0.0	50.0
C00312	L-Xylulose	7.852	7.392	0.941	399.003	8.553	80.0
C00310	D-Xylulose	-10.703	9.028	0.313	2188.99	-9.421	90.0
C01931	L-Lysyl-tRNA	-9.62	-7.697	0.0	0.0	0.0	50.0
C00315	Spermidine	-8.566	-0.322	0.0	0.0	0.0	50.0
C00314	Pyridoxine	1.0	6.17	0.162	74.004	3.584	60.0
C00760	Cellulose	9.299	9.347	0.995	1281.129	10.316	90.0
C00093	sn-Glycerol_3-phosphate	5.152	-7.965	0.142	285.42	-5.344	80.0
C00094	Sulfite	-2.0	-4.17	0.0	0.0	0.0	50.0
C00095	D-Fructose	-9.204	7.353	0.277	753.25	-7.706	90.0
C00096	GDP-mannose	5.936	6.599	0.9	158.162	7.152	70.0
C00097	L-Cysteine	8.036	6.061	0.754	329.232	7.956	70.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	8.873	7.994	0.901	723.793	9.349	80.0
C00077	L-Ornithine	-6.61	7.366	0.592	262.644	-7.281	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-9.543	-6.022	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	-1.138	-0.678	0.0	0.0	0.0	50.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	2.0	4.7	0.426	29.992	3.674	60.0
C11949	3-Isopropylbut-3-enoyl-CoA	-2.0	-4.7	0.0	0.0	0.0	50.0
C06199	Hordenine	-6.845	-6.476	0.0	0.0	0.0	50.0
C07118	Benzoyl_acetyl-CoA	2.0	4.7	0.426	29.992	3.674	60.0
C05773	Cobyrinate	3.0	5.358	0.56	49.013	4.778	60.0
C14762	13(S)-HODE	8.651	4.858	0.562	430.986	7.919	70.0
C14765	13-OxoODE	-8.651	-4.858	0.0	0.0	0.0	50.0
C00183	L-Valine	-5.915	6.986	0.476	187.102	-6.477	90.0
C00166	Phenylpyruvate	7.979	-1.29	0.01	254.746	-1.304	70.0
C00167	UDP-glucuronate	-9.282	-7.877	0.0	0.0	0.0	50.0
C00160	Glycolate	7.315	-7.955	0.642	407.372	-8.03	90.0
C00162	Fatty_acid	-2.322	-3.322	0.0	0.0	0.0	50.0
C00163	Propanoate	10.501	9.101	0.867	1998.287	10.758	90.0
C02984	L-Aspartyl-tRNA(Asp)	-9.85	-7.852	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-9.581	-8.103	0.0	0.0	0.0	50.0
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	-1.0	-5.129	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	5.17	8.52	0.607	403.094	7.934	70.0
C02047	L-Leucyl-tRNA	-10.661	-9.0	0.0	0.0	0.0	50.0
C03082	4-Phospho-L-aspartate	-7.397	6.8	0.661	279.977	-7.532	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-10.448	-8.852	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	8.649	6.34	0.733	482.437	8.466	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-8.358	-5.964	0.0	0.0	0.0	50.0
C00861	L-Rhamnulose	-10.92	-6.066	0.0	0.0	0.0	50.0
C00860	L-Histidinol	5.129	6.17	0.831	106.997	6.475	60.0
C02962	D-Allose_6-phosphate	8.945	8.331	0.931	814.867	9.568	90.0
C00864	Pantothenate	4.248	6.852	0.62	134.521	6.382	60.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-8.552	-9.471	0.0	0.0	0.0	50.0
C01380	Ethylene_glycol	9.649	8.114	0.841	1079.907	9.827	90.0
C01419	Cys-Gly	10.589	6.384	0.603	1623.822	9.935	90.0
C12214	Aminofructose_6-phosphate	10.672	11.438	0.933	4405.996	12.005	90.0
C01412	Butanal	8.651	4.858	0.562	430.986	7.919	70.0
C06040	Diglucosyl-diacylglycerol	-4.322	6.229	0.267	95.01	-4.663	80.0
C08325	Amygdalin	10.551	9.95	0.943	2489.382	11.197	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-9.781	-8.084	0.0	0.0	0.0	50.0
C17962	Demethylphosphinothricin	3.7	5.392	0.686	54.987	5.238	60.0
C03406	N-(L-Arginino)succinate	-8.455	-8.618	0.0	0.0	0.0	50.0
C07648	Thioguanine	9.241	7.864	0.851	838.057	9.478	80.0
C07649	5-FU	8.823	7.349	0.833	615.915	9.003	80.0
C00288	HCO3-	-8.19	7.371	0.567	457.571	-8.019	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	7.044	-6.022	0.492	196.947	-6.6	90.0
C00695	Cholic_acid	-7.762	-7.418	0.0	0.0	0.0	50.0
C18096	D-Allulose_6-phosphate	-8.945	-8.195	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-7.116	4.902	0.216	168.615	-5.184	80.0
C00506	L-Cysteate	9.29	7.693	0.828	832.922	9.43	80.0
C00507	L-Rhamnose	11.081	7.87	0.71	2400.215	10.735	90.0
C18259	1-Methoxypyrene	-6.845	-6.476	0.0	0.0	0.0	50.0
C00263	L-Homoserine	5.802	-3.033	0.147	63.978	-3.23	80.0
C00262	Hypoxanthine	7.192	-1.954	0.026	150.095	-1.992	70.0
C00508	L-Ribulose	-9.623	-8.512	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	10.617	8.679	0.817	1980.355	10.661	90.0
C00267	alpha-D-Glucose	8.316	7.457	0.897	494.391	8.792	80.0
C00266	Glycolaldehyde	-9.327	-7.733	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-10.328	-7.6	0.0	0.0	0.0	50.0
C00464	Mannan	-4.322	-1.0	0.0	0.0	0.0	50.0
C00460	dUTP	-8.414	7.555	0.551	529.142	-8.189	90.0
C00286	dGTP	-6.216	-8.041	0.0	0.0	0.0	50.0
C00283	Hydrogen_sulfide	6.781	6.807	0.996	221.945	7.789	70.0
C00407	L-Isoleucine	-6.117	-6.282	0.0	0.0	0.0	50.0
C01962	Thiocysteine	-9.486	-7.459	0.0	0.0	0.0	50.0
