compound_code	compound_name	cumulative_metabolite_score	consumption_score	production_score	percentile
C02730	2-Succinylbenzoate	5.555	5.555	0.0	70.0
C05335	L-Selenomethionine	6.52338651075	6.523	0.0	80.0
C16470	5-Methylhex-4-enoyl-CoA	1.585	1.585	0.0	50.0
C00026	2-Oxoglutarate	6.00094422011	6.792	-5.548	70.0
C05356	5(S)-HPETE	2.0	2.0	0.0	50.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	8.864	8.864	0.0	90.0
C02430	L-Methionyl-tRNA	-5.12938706436	1.0	-5.21	60.0
C14818	Fe2+	4.17	4.17	0.0	60.0
C00438	N-Carbamoyl-L-aspartate	-0.222438758993	2.273	-2.585	50.0
C06126	Digalactosylceramide	9.5	9.5	0.0	90.0
C00469	Ethanol	8.94846347898	8.948	0.0	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-6.585	0.0	-6.585	80.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-5.209	0.0	-5.209	60.0
C01185	Nicotinate_D-ribonucleotide	6.01082244321	6.011	0.0	70.0
C06128	GM4	6.066	6.066	0.0	70.0
C00558	D-Tagaturonate	-9.02511924913	0.0	-9.025	90.0
C15812	[Enzyme]-S-sulfanylcysteine	-6.672	0.0	-6.672	80.0
C05750	3-Oxooctanoyl-[acp]	10.5809022678	10.581	0.0	90.0
C15811	[Enzyme]-cysteine	7.18	7.18	0.0	80.0
C03160	2-Succinylbenzoyl-CoA	2.0	2.0	0.0	50.0
C16688	Sucrose_6-phosphate	-5.7	0.0	-5.7	70.0
C09815	Benzamide	5.209	5.209	0.0	70.0
C00015	UDP	3.12087596618	4.04	-2.954	50.0
C00794	D-Sorbitol	7.484	7.484	0.0	80.0
C05754	trans-Dec-2-enoyl-[acp]	-5.04449298138	0.0	-5.044	60.0
C05552	Biocytin	-7.119	0.0	-7.119	80.0
C00227	Acetyl_phosphate	-6.26493552828	0.107	-6.285	80.0
C00226	Primary_alcohol	8.94846347898	8.948	0.0	90.0
C01236	D-Glucono-1,5-lactone_6-phosphate	-4.087	0.0	-4.087	50.0
C00221	beta-D-Glucose	-7.70019183953	1.0	-7.714	80.0
C00385	Xanthine	-5.38599769555	0.188	-5.425	70.0
C00387	Guanosine	6.58971098132	6.59	0.0	80.0
C02505	2-Phenylacetamide	5.209	5.209	0.0	70.0
C00229	Acyl-carrier_protein	9.51981643526	9.528	-2.0	90.0
C00288	HCO3-	5.719	5.719	0.0	70.0
C05759	3-Oxotetradecanoyl-[acp]	11.0111563782	11.011	0.0	90.0
C00508	L-Ribulose	-5.08728716265	0.0	-5.087	60.0
C01801	Deoxyribose	7.989	7.989	0.0	80.0
C00364	dTMP	-3.00002812455	0.0	-3.0	50.0
C00365	dUMP	-5.96106427739	0.0	-5.961	70.0
C00362	dGMP	-4.644	0.0	-4.644	60.0
C00363	dTDP	7.2	7.2	0.0	80.0
C00009	Orthophosphate	-4.585	0.0	-4.585	60.0
C00008	ADP	-7.73197556736	0.0	-7.732	80.0
C00006	NADP+	7.558	7.558	0.0	80.0
C00005	NADPH	-7.817	0.0	-7.817	80.0
C00003	NAD+	1.84709260344	3.104	-2.322	50.0
C00002	ATP	-5.29602089801	6.606	-7.095	70.0
C00369	Starch	8.51248798102	8.519	-0.807	90.0
C05703	Methaneselenol	-7.714	0.0	-7.714	80.0
C00079	L-Phenylalanine	3.717288486	3.717	0.0	60.0
C03586	2-Oxo-2,3-dihydrofuran-5-acetate	-5.585	0.0	-5.585	70.0
C16619	6-Thioguanosine_monophosphate	-6.248	0.0	-6.248	80.0
C16618	6-Thioxanthine_5'-monophosphate	5.72754331678	5.807	-1.585	70.0
C02612	(R)-2-Methylmalate	-1.0	0.0	-1.0	50.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-5.615	0.0	-5.615	70.0
C16614	6-Methylmercaptopurine	5.615	5.615	0.0	70.0
C00645	N-Acetyl-D-mannosamine	-5.901	0.0	-5.901	70.0
C00644	D-Mannitol_1-phosphate	-5.285	0.0	-5.285	70.0
C00310	D-Xylulose	-8.47172575141	0.0	-8.472	90.0
C00641	1,2-Diacyl-sn-glycerol	5.684	5.684	0.0	70.0
C01931	L-Lysyl-tRNA	-7.08761915802	0.0	-7.088	80.0
C00314	Pyridoxine	8.447	8.447	0.0	90.0
C00091	Succinyl-CoA	-7.76343307767	6.833	-8.372	80.0
C00092	D-Glucose_6-phosphate	6.87134398607	8.11	-7.314	80.0
C00093	sn-Glycerol_3-phosphate	4.26145176138	4.261	0.0	60.0
C00095	D-Fructose	-6.86471708222	6.7	-7.785	80.0
C00096	GDP-mannose	8.22175255922	8.222	0.0	80.0
C00097	L-Cysteine	-6.82238891773	2.059	-6.875	80.0
C14099	2-Naphthaldehyde	-8.94846347898	0.0	-8.948	90.0
C05729	R-S-Cysteinylglycine	4.67217717777	4.672	0.0	60.0
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-5.6438921891	0.0	-5.644	70.0
C14090	1-Naphthaldehyde	-8.94846347898	0.0	-8.948	90.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-6.15	0.0	-6.15	70.0
C00077	L-Ornithine	4.7813472742	4.781	0.0	60.0
C06196	2'-Deoxyinosine_5'-phosphate	-7.585	0.0	-7.585	80.0
C06194	2',3'-Cyclic_GMP	8.47584610309	8.476	0.0	90.0
C06193	Guanosine_3'-phosphate	-8.47584610309	0.0	-8.476	90.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	4.087	4.087	0.0	60.0
C11949	3-Isopropylbut-3-enoyl-CoA	-4.087	0.0	-4.087	50.0
C07118	Benzoyl_acetyl-CoA	4.087	4.087	0.0	60.0
C14762	13(S)-HODE	6.375	6.375	0.0	80.0
C00979	O-Acetyl-L-serine	7.86588809595	7.866	0.0	80.0
C14765	13-OxoODE	-6.375	0.0	-6.375	80.0
C03063	2-Oxohept-3-enedioate	3.7	3.7	0.0	60.0
C00166	Phenylpyruvate	0.801	0.801	0.0	50.0
C00167	UDP-glucuronate	-1.0	0.0	-1.0	50.0
C00160	Glycolate	-6.448	0.0	-6.448	80.0
C00180	Benzoate	-4.248	0.0	-4.248	60.0
C00163	Propanoate	6.65061284722	6.651	0.0	80.0
C02984	L-Aspartyl-tRNA(Asp)	-5.858	0.0	-5.858	70.0
C02987	L-Glutamyl-tRNA(Glu)	-6.60769527881	0.0	-6.608	80.0
C00169	Carbamoyl_phosphate	-4.45093381886	4.089	-5.281	60.0
C02047	L-Leucyl-tRNA	-5.45985162936	0.0	-5.46	70.0
C03082	4-Phospho-L-aspartate	4.7442954551	4.744	0.0	60.0
C04377	5,10-Methylenetetrahydromethanopterin	-11.2775084058	0.0	-11.278	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	4.459	4.459	0.0	60.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.36279155209	4.363	0.0	60.0
C00861	L-Rhamnulose	-5.83299856481	0.0	-5.833	70.0
C00864	Pantothenate	5.02287261533	5.109	-1.0	60.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	1.524	2.17	-0.7	50.0
C01419	Cys-Gly	4.67217717777	4.672	0.0	60.0
C03360	4-Nitrophenyl_phosphate	5.209	5.209	0.0	70.0
C01412	Butanal	7.8991692028	7.899	0.0	80.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-10.5612354982	0.0	-10.561	90.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	5.24793343445	5.248	0.0	70.0
C01143	(R)-5-Diphosphomevalonate	3.087	3.087	0.0	50.0
C06510	Adenosine-GDP-cobinamide	-5.17	0.0	-5.17	60.0
C06040	Diglucosyl-diacylglycerol	-8.214	0.0	-8.214	80.0
C03402	L-Asparaginyl-tRNA(Asn)	-5.481115717	0.0	-5.481	70.0
C17962	Demethylphosphinothricin	5.087	5.087	0.0	60.0
C03406	N-(L-Arginino)succinate	-4.90645330728	1.585	-5.044	60.0
C05512	Deoxyinosine	3.209	3.209	0.0	50.0
C07645	Aldophosphamide	8.864	8.864	0.0	90.0
C07648	Thioguanine	5.615	5.615	0.0	70.0
C07649	5-FU	1.0	1.0	0.0	50.0
C00085	D-Fructose_6-phosphate	-5.08414381715	5.797	-6.484	60.0
C00327	L-Citrulline	4.99061857966	5.644	-4.186	60.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	5.492	5.492	0.0	70.0
C00695	Cholic_acid	-4.907	0.0	-4.907	60.0
C00083	Malonyl-CoA	-4.178	0.0	-4.178	60.0
C00082	L-Tyrosine	1.59508418201	2.159	-0.531	50.0
C00269	CDP-diacylglycerol	-4.524	0.0	-4.524	60.0
C16219	3-Oxostearoyl-[acp]	11.0111563782	11.011	0.0	90.0
C00507	L-Rhamnose	5.83299856481	5.833	0.0	70.0
C00263	L-Homoserine	-3.056	0.0	-3.056	50.0
C00262	Hypoxanthine	-5.74020428629	1.322	-5.806	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-11.0393279453	0.0	-11.039	90.0
C16216	3-Oxostearoyl-CoA	11.0393279453	11.039	0.0	90.0
C00267	alpha-D-Glucose	-9.28362778563	6.537	-9.484	90.0
C00266	Glycolaldehyde	-1.585	0.0	-1.585	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-2.32188385365	3.459	-4.0	50.0
C00464	Mannan	-8.214	0.0	-8.214	80.0
C00460	dUTP	6.45094794635	6.451	0.0	80.0
C00286	dGTP	-9.15291005951	4.152	-9.197	90.0
C00283	Hydrogen_sulfide	8.219	8.219	0.0	80.0
