compound_code	compound_name	clostridium_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.495	-4.981	0.045	32.991	-0.558	70.0
C00024	Acetyl-CoA	-0.382	2.362	0.253	6.444	-0.708	70.0
C00026	2-Oxoglutarate	-5.51	6.324	0.569	125.685	-6.16	90.0
C00124	D-Galactose	3.514	-10.095	0.01	1105.123	-3.529	90.0
C00103	D-Glucose_1-phosphate	-0.515	1.233	0.608	3.78	-1.2	80.0
C00022	Pyruvate	0.006	-1.817	0.285	4.528	-0.368	70.0
C00063	CTP	1.222	4.207	0.29	20.801	2.595	70.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.547	-1.254	0.0	0.0	0.0	50.0
C00002	ATP	1.126	5.231	0.215	39.739	3.097	80.0
C00369	Starch	0.515	7.746	0.066	216.102	3.845	90.0
C00365	dUMP	-1.945	-2.222	0.0	0.0	0.0	50.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.7	1.524	0.459	4.5	1.048	50.0
C02430	L-Methionyl-tRNA	-1.0	-4.907	0.0	0.0	0.0	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	1.0	2.0	0.5	6.0	1.585	60.0
C05336	Selenomethionyl-tRNA(Met)	-1.0	-4.907	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	1.0	4.907	0.204	32.002	2.705	70.0
C00558	D-Tagaturonate	-9.014	-2.0	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	1.845	1.714	0.929	6.873	2.675	70.0
C00091	Succinyl-CoA	6.833	-5.9	0.524	173.723	-6.508	90.0
C00197	3-Phospho-D-glycerate	2.184	-1.164	0.493	6.785	-1.742	90.0
C00191	D-Glucuronate	8.6	1.7	0.198	391.272	6.273	90.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.7	1.524	0.459	4.5	1.048	50.0
C00097	L-Cysteine	1.585	0.222	0.14	4.166	-0.777	80.0
C00036	Oxaloacetate	1.613	3.499	0.461	14.365	2.727	70.0
C00011	CO2	6.845	2.385	0.348	120.184	5.388	90.0
C15972	Enzyme_N6-(lipoyl)lysine	1.0	-10.217	0.002	1192.21	-1.002	80.0
C00073	L-Methionine	1.0	3.044	0.329	10.248	1.751	60.0
C00333	D-Galacturonate	9.014	2.0	0.222	520.993	6.853	90.0
C00118	D-Glyceraldehyde_3-phosphate	1.369	5.095	0.269	36.761	3.304	80.0
C00074	Phosphoenolpyruvate	-2.222	-3.833	0.0	0.0	0.0	50.0
C00075	UTP	1.441	5.518	0.261	48.538	3.664	80.0
C05345	beta-D-Fructose_6-phosphate	-0.812	5.103	0.051	36.124	-0.884	80.0
C00631	2-Phospho-D-glycerate	-0.138	-0.445	0.0	0.0	0.0	50.0
C01172	beta-D-Glucose_6-phosphate	-0.596	-0.429	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.637	-1.415	0.0	0.0	0.0	50.0
C00046	RNA	-1.1	-5.296	0.0	0.0	0.0	50.0
C00044	GTP	-1.027	-4.15	0.0	0.0	0.0	50.0
C00460	dUTP	2.459	2.433	0.989	10.899	3.431	80.0
