kegg_code	genome_code	organism_name
hsa	T01001	Homo_sapiens_(human)
ptr	T01005	Pan_troglodytes_(chimpanzee)
pps	T02283	Pan_paniscus_(bonobo)
ggo	T02442	Gorilla_gorilla_gorilla_(western_lowland_gorilla)
pon	T01416	Pongo_abelii_(Sumatran_orangutan)
mcc	T01028	Macaca_mulatta_(rhesus_monkey)
mmu	T01002	Mus_musculus_(mouse)
rno	T01003	Rattus_norvegicus_(rat)
cge	T02813	Cricetulus_griseus_(Chinese_hamster)
hgl	T02812	Heterocephalus_glaber_(naked_mole_rat)
cfa	T01007	Canis_familiaris_(dog)
aml	T01329	Ailuropoda_melanoleuca_(giant_panda)
fca	T02385	Felis_catus_(domestic_cat)
bta	T01008	Bos_taurus_(cow)
ssc	T01009	Sus_scrofa_(pig)
ecb	T01058	Equus_caballus_(horse)
mdo	T01031	Monodelphis_domestica_(opossum)
shr	T02286	Sarcophilus_harrisii_(Tasmanian_devil)
oaa	T01045	Ornithorhynchus_anatinus_(platypus)
gga	T01006	Gallus_gallus_(chicken)
mgp	T01523	Meleagris_gallopavo_(turkey)
tgu	T01082	Taeniopygia_guttata_(zebra_finch)
fab	T02815	Ficedula_albicollis_(collared_flycatcher)
apla	T02816	Anas_platyrhynchos_(mallard)
fpg	T02856	Falco_peregrinus_(peregrine_falcon)
acs	T01608	Anolis_carolinensis_(green_anole)
xla	T01010	Xenopus_laevis_(African_clawed_frog)
xtr	T01011	Xenopus_tropicalis_(western_clawed_frog)
dre	T01004	Danio_rerio_(zebrafish)
tru	T02386	Takifugu_rubripes_(torafugu)
mze	T02814	Maylandia_zebra_(zebra_mbuna)
ola	T02443	Oryzias_latipes_(Japanese_medaka)
bfo	T01074	Branchiostoma_floridae_(Florida_lancelet)
cin	T01056	Ciona_intestinalis_(sea_squirt)
spu	T01019	Strongylocentrotus_purpuratus_(purple_sea_urchin)
dme	T00030	Drosophila_melanogaster_(fruit_fly)
dpo	T01032	Drosophila_pseudoobscura_pseudoobscura
dan	T01059	Drosophila_ananassae
der	T01060	Drosophila_erecta
dpe	T01063	Drosophila_persimilis
dse	T01064	Drosophila_sechellia
dsi	T01065	Drosophila_simulans
dwi	T01067	Drosophila_willistoni
dya	T01068	Drosophila_yakuba
dgr	T01061	Drosophila_grimshawi
dmo	T01062	Drosophila_mojavensis
dvi	T01066	Drosophila_virilis
aga	T01036	Anopheles_gambiae_(mosquito)
aag	T01053	Aedes_aegypti_(yellow_fever_mosquito)
cqu	T01079	Culex_quinquefasciatus_(southern_house_mosquito)
ame	T01057	Apis_mellifera_(honey_bee)
nvi	T01081	Nasonia_vitripennis_(jewel_wasp)
tca	T01046	Tribolium_castaneum_(red_flour_beetle)
bmor	T02817	Bombyx_mori_(domestic_silkworm)
api	T01076	Acyrthosiphon_pisum_(pea_aphid)
phu	T01223	Pediculus_humanus_corporis_(human_body_louse)
isc	T01131	Ixodes_scapularis_(black-legged_tick)
cel	T00019	Caenorhabditis_elegans_(nematode)
cbr	T01054	Caenorhabditis_briggsae
bmy	T01050	Brugia_malayi_(filaria)
loa	T02664	Loa_loa_(eye_worm)
tsp	T01609	Trichinella_spiralis
smm	T01095	Schistosoma_mansoni
nve	T01037	Nematostella_vectensis_(sea_anemone)
hmg	T01080	Hydra_magnipapillata
tad	T01069	Trichoplax_adhaerens
aqu	T02284	Amphimedon_queenslandica_(sponge)
ath	T00041	Arabidopsis_thaliana_(thale_cress)
aly	T01578	Arabidopsis_lyrata_(lyrate_rockcress)
gmx	T01710	Glycine_max_(soybean)
mtr	T01716	Medicago_truncatula_(barrel_medic)
cam	T02819	Cicer_arietinum_(chickpea)
fve	T02666	Fragaria_vesca_(woodland_strawberry)
csv	T02486	Cucumis_sativus_(cucumber)
