compound_code	compound_name	escherichia_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00106	Uracil	-9.827	1.379	0.003	910.885	-1.383	90.0
C00024	Acetyl-CoA	-9.357	0.014	0.002	656.759	-0.016	70.0
C00122	Fumarate	13.128	0.489	0.037	8953.439	8.382	90.0
C00149	(S)-Malate	4.853	-0.077	0.036	29.955	-0.129	70.0
C00345	6-Phospho-D-gluconate	-5.615	6.409	0.577	133.987	-6.272	90.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	1.585	6.919	0.229	124.012	4.828	60.0
C00101	Tetrahydrofolate	-8.76	-0.091	0.0	0.0	0.0	50.0
C00006	NADP+	7.447	4.858	0.652	203.49	7.053	90.0
C00005	NADPH	4.322	-4.858	0.69	49.001	-5.079	90.0
C00065	L-Serine	2.075	-0.412	0.316	5.544	-0.808	80.0
C00002	ATP	8.641	1.495	0.173	402.028	6.12	80.0
C00026	2-Oxoglutarate	8.67	0.138	0.016	408.415	2.701	50.0
C00286	dGTP	-8.944	0.17	0.002	493.632	-0.173	70.0
C00124	D-Galactose	-11.034	-1.459	0.0	0.0	0.0	50.0
C01151	D-Ribose_1,5-bisphosphate	-7.827	-6.919	0.0	0.0	0.0	50.0
C00103	D-Glucose_1-phosphate	-9.152	0.536	0.003	570.338	-0.54	80.0
C00620	alpha-D-Ribose_1-phosphate	9.921	1.0	0.101	971.435	6.613	80.0
C00459	dTTP	5.776	0.193	0.033	55.939	0.902	50.0
C05744	Acetoacetyl-[acp]	9.468	-0.628	0.002	709.739	-0.631	80.0
C00117	D-Ribose_5-phosphate	-8.591	-0.241	0.0	0.0	0.0	50.0
C00395	Penicillin	8.229	1.0	0.122	302.038	5.198	60.0
C00458	dCTP	-9.408	0.181	0.002	680.478	-0.183	70.0
C05822	3'-CMP	-8.886	-1.0	0.0	0.0	0.0	50.0
C01367	3'-AMP	-8.886	-1.0	0.0	0.0	0.0	50.0
C01209	Malonyl-[acyl-carrier_protein]	10.44	0.177	0.017	1390.293	4.559	60.0
C00199	D-Ribulose_5-phosphate	9.519	-4.392	0.029	754.672	-4.433	90.0
C00668	alpha-D-Glucose_6-phosphate	-9.577	-2.026	0.0	0.0	0.0	50.0
C00105	UMP	-5.242	0.04	0.027	38.872	-0.079	70.0
C00091	Succinyl-CoA	8.559	-0.12	0.003	378.238	-0.124	70.0
C00092	D-Glucose_6-phosphate	-8.561	-0.322	0.0	0.0	0.0	50.0
C03939	Acetyl-[acyl-carrier_protein]	10.44	-1.138	0.002	1391.364	-1.14	80.0
C00094	Sulfite	-6.106	-7.295	0.0	0.0	0.0	50.0
C00063	CTP	7.182	1.688	0.235	148.432	5.125	60.0
C00036	Oxaloacetate	8.431	0.234	0.028	346.307	3.265	50.0
C00037	Glycine	7.799	0.503	0.064	224.124	3.853	60.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	9.508	1.585	0.167	731.104	6.929	90.0
C00111	Glycerone_phosphate	7.55	0.155	0.021	188.516	1.952	50.0
C00031	D-Glucose	-9.336	3.239	0.015	655.714	-3.26	90.0
C00137	myo-Inositol	-9.547	-0.933	0.0	0.0	0.0	50.0
C05796	Galactan	9.371	2.17	0.232	666.644	7.27	90.0
C00152	L-Asparagine	10.193	0.918	0.09	1172.463	6.722	80.0
C00243	Lactose	8.917	3.0	0.336	491.375	7.369	90.0
C00074	Phosphoenolpyruvate	-9.553	-1.35	0.0	0.0	0.0	50.0
C00075	UTP	8.331	1.415	0.17	324.685	5.785	80.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	9.371	3.0	0.32	670.143	7.745	90.0
C06194	2',3'-Cyclic_GMP	8.886	1.0	0.113	475.1	5.741	70.0
C06193	Guanosine_3'-phosphate	-8.886	-1.0	0.0	0.0	0.0	50.0
C04006	1D-myo-Inositol_3-phosphate	8.607	1.0	0.116	391.911	5.509	70.0
C03546	myo-Inositol_4-phosphate	8.607	1.0	0.116	391.911	5.509	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-9.371	-2.503	0.0	0.0	0.0	50.0
C02353	2',3'-Cyclic_AMP	8.886	1.0	0.113	475.1	5.741	70.0
C02355	2',3'-Cyclic_UMP	8.886	1.0	0.113	475.1	5.741	70.0
C02354	2',3'-Cyclic_CMP	8.886	1.0	0.113	475.1	5.741	70.0
C00267	alpha-D-Glucose	7.929	-1.115	0.009	245.872	-1.128	80.0
C00229	Acyl-carrier_protein	8.14	1.585	0.195	285.088	5.795	80.0
C01177	Inositol_1-phosphate	8.607	1.0	0.116	391.911	5.509	70.0
C00046	RNA	11.369	-1.538	0.001	2647.809	-1.54	90.0
C00118	D-Glyceraldehyde_3-phosphate	6.053	1.079	0.178	68.507	3.61	60.0
C00044	GTP	8.803	-0.874	0.004	448.482	-0.88	80.0
C01368	3'-UMP	-8.886	-1.0	0.0	0.0	0.0	50.0
C00049	L-Aspartate	-11.381	-0.652	0.0	0.0	0.0	50.0
