compound_code	compound_name	lactobacillus_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00106	Uracil	6.416	1.379	0.215	87.991	4.241	70.0
C00024	Acetyl-CoA	-11.246	0.014	0.0	2429.763	-0.015	60.0
C00152	L-Asparagine	-6.737	0.918	0.018	108.559	-0.943	80.0
C00026	2-Oxoglutarate	6.185	0.138	0.022	73.857	0.721	70.0
C00021	S-Adenosyl-L-homocysteine	9.18	-0.379	0.002	581.337	-0.382	70.0
C00103	D-Glucose_1-phosphate	5.377	0.536	0.1	43.006	2.1	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-9.855	-1.0	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	4.513	-0.091	0.047	23.897	-0.157	60.0
C00006	NADP+	9.351	4.858	0.52	682.028	8.469	90.0
C00005	NADPH	-9.725	-4.858	0.0	0.0	0.0	50.0
C00149	(S)-Malate	6.895	-0.077	0.009	120.07	-0.09	60.0
C00065	L-Serine	-8.489	-0.412	0.0	0.0	0.0	50.0
C00002	ATP	-9.623	1.495	0.004	791.337	-1.5	90.0
C02412	Glycyl-tRNA(Gly)	-7.331	-1.585	0.0	0.0	0.0	50.0
C00286	dGTP	-11.078	0.17	0.001	2162.899	-0.171	60.0
C00124	D-Galactose	8.641	-1.459	0.007	401.958	-1.469	80.0
C00345	6-Phospho-D-gluconate	6.524	6.409	0.982	177.005	7.442	90.0
C00620	alpha-D-Ribose_1-phosphate	10.647	1.0	0.094	1605.49	7.236	90.0
C05744	Acetoacetyl-[acp]	8.246	-0.628	0.005	305.14	-0.635	80.0
C00117	D-Ribose_5-phosphate	9.442	-0.241	0.002	696.727	-0.243	70.0
C00458	dCTP	-9.803	0.181	0.001	894.433	-0.183	60.0
C00459	dTTP	-8.726	0.193	0.003	424.579	-0.197	70.0
C01209	Malonyl-[acyl-carrier_protein]	5.257	0.177	0.034	39.37	0.407	60.0
C00199	D-Ribulose_5-phosphate	-8.336	-4.392	0.0	0.0	0.0	50.0
C06040	Diglucosyl-diacylglycerol	-10.353	8.864	0.356	1773.807	-9.304	90.0
C00143	5,10-Methylenetetrahydrofolate	-4.692	0.179	0.044	26.98	-0.241	70.0
C00105	UMP	2.38	0.04	0.017	6.233	-3.255	90.0
C00091	Succinyl-CoA	-9.86	-0.12	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-10.731	-0.322	0.0	0.0	0.0	50.0
C03939	Acetyl-[acyl-carrier_protein]	-6.312	-1.138	0.0	0.0	0.0	50.0
C00063	CTP	9.065	1.688	0.186	538.818	6.649	80.0
C00122	Fumarate	-6.88	0.489	0.012	119.187	-0.506	70.0
C00036	Oxaloacetate	-6.489	0.234	0.013	90.998	-0.253	70.0
C00037	Glycine	8.876	0.503	0.057	471.249	4.739	70.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	9.836	1.585	0.161	916.968	7.207	80.0
C15972	Enzyme_N6-(lipoyl)lysine	-7.901	-1.585	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	10.592	0.155	0.015	1544.624	4.498	70.0
C00031	D-Glucose	-8.92	3.239	0.019	493.823	-3.267	90.0
C00137	myo-Inositol	-9.483	-0.933	0.0	0.0	0.0	50.0
C05796	Galactan	9.317	2.17	0.233	642.318	7.225	90.0
C00668	alpha-D-Glucose_6-phosphate	-7.946	-2.026	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	-12.05	1.079	0.0	4242.558	-1.08	80.0
C00074	Phosphoenolpyruvate	-10.298	-1.35	0.0	0.0	0.0	50.0
C00075	UTP	7.373	1.415	0.192	168.432	5.015	70.0
C06250	Holo-[carboxylase]	-7.99	1.874	0.014	257.897	-1.895	90.0
C04006	1D-myo-Inositol_3-phosphate	9.371	1.0	0.107	664.143	6.147	80.0
C02972	Dihydrolipoylprotein	9.86	1.585	0.161	932.3	7.228	90.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-8.96	-2.503	0.0	0.0	0.0	50.0
C03546	myo-Inositol_4-phosphate	9.371	1.0	0.107	664.143	6.147	80.0
C00243	Lactose	8.503	3.0	0.353	370.792	7.031	80.0
C02051	Lipoylprotein	-9.86	-1.585	0.0	0.0	0.0	50.0
C00631	2-Phospho-D-glycerate	-8.04	-0.256	0.0	0.0	0.0	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	8.96	3.0	0.335	505.999	7.404	90.0
C00267	alpha-D-Glucose	7.888	-1.115	0.009	239.044	-1.128	80.0
C00229	Acyl-carrier_protein	-4.322	1.585	0.15	23.001	-1.787	90.0
C01177	Inositol_1-phosphate	9.371	1.0	0.107	664.143	6.147	80.0
C00046	RNA	-8.742	-1.538	0.0	0.0	0.0	50.0
C00044	GTP	-9.238	-0.874	0.0	0.0	0.0	50.0
C00049	L-Aspartate	4.635	-0.652	0.063	26.418	-0.74	80.0
