compound_code	compound_name	bacteroides_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00106	Uracil	1.379	6.416	0.215	87.991	4.241	70.0
C00024	Acetyl-CoA	0.014	-11.246	0.0	2429.763	-0.015	60.0
C00152	L-Asparagine	0.918	-6.737	0.018	108.559	-0.943	60.0
C00149	(S)-Malate	-0.077	6.895	0.009	120.07	-0.09	60.0
C00021	S-Adenosyl-L-homocysteine	-0.379	9.18	0.002	581.337	-0.382	50.0
C00103	D-Glucose_1-phosphate	0.536	5.377	0.1	43.006	2.1	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-1.0	-9.855	0.002	928.084	-1.003	60.0
C00101	Tetrahydrofolate	-0.091	4.513	0.047	23.897	-0.157	60.0
C00006	NADP+	4.858	9.351	0.52	682.028	8.469	90.0
C00005	NADPH	-4.858	-9.725	0.034	875.286	-4.907	90.0
C00065	L-Serine	-0.412	-8.489	0.004	360.619	-0.417	50.0
C00002	ATP	1.495	-9.623	0.004	791.337	-1.5	70.0
C02412	Glycyl-tRNA(Gly)	-1.585	-7.331	0.019	164.009	-1.612	80.0
C00026	2-Oxoglutarate	0.138	6.185	0.022	73.857	0.721	70.0
C00286	dGTP	0.17	-11.078	0.001	2162.899	-0.171	60.0
C00124	D-Galactose	-1.459	8.641	0.007	401.958	-1.469	70.0
C00345	6-Phospho-D-gluconate	6.409	6.524	0.982	177.005	7.442	90.0
C00620	alpha-D-Ribose_1-phosphate	1.0	10.647	0.094	1605.49	7.236	90.0
C05744	Acetoacetyl-[acp]	-0.628	8.246	0.005	305.14	-0.635	50.0
C00117	D-Ribose_5-phosphate	-0.241	9.442	0.002	696.727	-0.243	50.0
C00458	dCTP	0.181	-9.803	0.001	894.433	-0.183	50.0
C00459	dTTP	0.193	-8.726	0.003	424.579	-0.197	50.0
C01209	Malonyl-[acyl-carrier_protein]	0.177	5.257	0.034	39.37	0.407	60.0
C00199	D-Ribulose_5-phosphate	-4.392	-8.336	0.065	344.132	-4.483	90.0
C06040	Diglucosyl-diacylglycerol	8.864	-10.353	0.356	1773.807	-9.304	90.0
C00143	5,10-Methylenetetrahydrofolate	0.179	-4.692	0.044	26.98	-0.241	50.0
C00105	UMP	0.04	2.38	0.017	6.233	-3.255	90.0
C00091	Succinyl-CoA	-0.12	-9.86	0.001	930.386	-0.122	60.0
C00092	D-Glucose_6-phosphate	-0.322	-10.731	0.001	1700.874	-0.323	50.0
C03939	Acetyl-[acyl-carrier_protein]	-1.138	-6.312	0.028	81.652	-1.177	70.0
C00063	CTP	1.688	9.065	0.186	538.818	6.649	80.0
C00122	Fumarate	0.489	-6.88	0.012	119.187	-0.506	50.0
C00036	Oxaloacetate	0.234	-6.489	0.013	90.998	-0.253	50.0
C00037	Glycine	0.503	8.876	0.057	471.249	4.739	70.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	1.585	9.836	0.161	916.968	7.207	80.0
C15972	Enzyme_N6-(lipoyl)lysine	-1.585	-7.901	0.013	242.022	-1.603	80.0
C00111	Glycerone_phosphate	0.155	10.592	0.015	1544.624	4.498	70.0
C00031	D-Glucose	3.239	-8.92	0.019	493.823	-3.267	90.0
C00137	myo-Inositol	-0.933	-9.483	0.003	717.504	-0.937	60.0
C05796	Galactan	2.17	9.317	0.233	642.318	7.225	90.0
C00668	alpha-D-Glucose_6-phosphate	-2.026	-7.946	0.017	250.668	-2.05	80.0
C00118	D-Glyceraldehyde_3-phosphate	1.079	-12.05	0.0	4242.558	-1.08	60.0
C00074	Phosphoenolpyruvate	-1.35	-10.298	0.002	1261.495	-1.353	70.0
C00075	UTP	1.415	7.373	0.192	168.432	5.015	70.0
C06250	Holo-[carboxylase]	1.874	-7.99	0.014	257.897	-1.895	80.0
C04006	1D-myo-Inositol_3-phosphate	1.0	9.371	0.107	664.143	6.147	80.0
C02972	Dihydrolipoylprotein	1.585	9.86	0.161	932.3	7.228	90.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-2.503	-8.96	0.011	503.668	-2.519	90.0
C03546	myo-Inositol_4-phosphate	1.0	9.371	0.107	664.143	6.147	80.0
C00243	Lactose	3.0	8.503	0.353	370.792	7.031	80.0
C02051	Lipoylprotein	-1.585	-9.86	0.003	932.3	-1.59	80.0
C00631	2-Phospho-D-glycerate	-0.256	-8.04	0.005	264.391	-0.263	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	3.0	8.96	0.335	505.999	7.404	90.0
C00267	alpha-D-Glucose	-1.115	7.888	0.009	239.044	-1.128	70.0
C00229	Acyl-carrier_protein	1.585	-4.322	0.15	23.001	-1.787	80.0
C01177	Inositol_1-phosphate	1.0	9.371	0.107	664.143	6.147	80.0
C00046	RNA	-1.538	-8.742	0.007	431.062	-1.548	70.0
C00044	GTP	-0.874	-9.238	0.003	605.663	-0.878	60.0
C00049	L-Aspartate	-0.652	4.635	0.063	26.418	-0.74	60.0
