compound_code	compound_name	lactobacillus_mock_score	escherichia_mock_score	ratio	magnitude	interaction_score	percentile
C00259	L-Arabinose	7.375	9.878	0.747	1106.962	9.691	80.0
C00149	(S)-Malate	6.895	4.853	0.704	147.915	6.702	60.0
C02430	L-Methionyl-tRNA	5.492	10.386	0.529	1383.132	9.514	80.0
C14818	Fe2+	6.658	8.704	0.765	518.013	8.63	70.0
C06126	Digalactosylceramide	10.292	12.079	0.852	5580.266	12.215	90.0
C00469	Ethanol	11.476	10.47	0.912	4266.878	11.927	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-8.87	-5.044	0.071	500.873	-5.142	50.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-8.248	-8.017	0.852	563.05	-8.906	80.0
C01185	Nicotinate_D-ribonucleotide	8.2	8.879	0.924	764.876	9.464	80.0
C15812	[Enzyme]-S-sulfanylcysteine	-9.568	8.353	0.431	1085.99	-8.87	80.0
C05796	Galactan	9.317	9.371	0.994	1299.961	10.336	90.0
C00794	D-Sorbitol	7.943	-11.896	0.065	4057.205	-8.033	70.0
C02067	Pseudouridine	8.371	7.375	0.881	497.067	8.775	70.0
C00227	Acetyl_phosphate	-8.624	-8.851	0.854	856.293	-9.515	90.0
C00226	Primary_alcohol	11.476	10.47	0.912	4266.878	11.927	90.0
C01236	D-Glucono-1,5-lactone_6-phosphate	9.468	4.459	0.471	730.187	8.426	70.0
C00221	beta-D-Glucose	-10.161	-9.615	0.685	1929.053	-10.368	90.0
C00385	Xanthine	-6.268	-6.21	0.961	151.093	-7.181	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-6.209	10.44	0.053	1463.14	-6.284	50.0
C00229	Acyl-carrier_protein	-4.322	8.14	0.071	302.089	-4.421	60.0
C00508	L-Ribulose	-7.375	5.404	0.255	208.337	-5.732	50.0
C01801	Deoxyribose	10.209	9.313	0.912	1819.68	10.697	90.0
C00364	dTMP	-5.248	6.759	0.351	146.31	-5.682	50.0
C00365	dUMP	-8.244	-8.5	0.837	665.212	-9.122	80.0
C00363	dTDP	9.331	8.401	0.9	982.065	9.788	80.0
C00009	Orthophosphate	-7.484	-8.512	0.49	544.085	-8.06	70.0
C00008	ADP	-9.806	-8.775	0.489	1333.224	-9.35	90.0
C00006	NADP+	9.351	7.447	0.796	827.517	9.364	80.0
C00005	NADPH	-9.725	4.322	0.024	866.286	-4.356	60.0
C00003	NAD+	-3.35	-8.658	0.025	414.137	-3.386	60.0
C00002	ATP	-9.623	8.641	0.506	1187.727	-9.232	80.0
C00369	Starch	9.029	7.359	0.815	686.561	9.128	70.0
C00079	L-Phenylalanine	5.801	-5.802	0.999	111.546	-6.801	50.0
C16619	6-Thioguanosine_monophosphate	-8.714	-9.362	0.638	1077.954	-9.426	90.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-8.476	-9.362	0.541	1014.091	-9.1	80.0
C16614	6-Methylmercaptopurine	8.476	9.362	0.905	1014.091	9.843	80.0
C00645	N-Acetyl-D-mannosamine	-8.481	-8.772	0.817	794.457	-9.343	90.0
C00644	D-Mannitol_1-phosphate	-7.257	-8.788	0.346	594.989	-7.686	60.0
C00641	1,2-Diacyl-sn-glycerol	7.493	8.922	0.84	665.197	9.126	70.0
C01931	L-Lysyl-tRNA	-8.618	-9.502	0.542	1117.977	-9.243	80.0
C00314	Pyridoxine	11.461	-6.328	0.028	2899.4	-6.369	50.0
C00091	Succinyl-CoA	-9.86	8.559	0.406	1306.451	-9.05	80.0
C00092	D-Glucose_6-phosphate	-10.731	-8.561	0.222	2077.299	-8.85	80.0
C00093	sn-Glycerol_3-phosphate	5.97	-9.175	0.108	640.713	-6.119	50.0
C00095	D-Fructose	8.481	7.811	0.921	581.869	9.066	70.0
C00097	L-Cysteine	-8.305	6.17	0.228	388.271	-6.466	50.0
C14099	2-Naphthaldehyde	-11.476	-10.47	0.498	4266.878	-11.053	90.0
C14090	1-Naphthaldehyde	-11.476	-10.47	0.498	4266.878	-11.053	90.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-8.963	-8.775	0.878	937.101	-9.684	90.0
C03232	3-Phosphonooxypyruvate	7.162	-9.953	0.144	1134.389	-7.357	60.0
C00870	4-Nitrophenol	-8.248	-8.017	0.852	563.05	-8.906	80.0
C02988	L-Histidyl-tRNA(His)	-7.349	-9.426	0.237	850.904	-7.656	60.0
C00163	Propanoate	9.19	9.791	0.939	1469.971	10.43	90.0
C02984	L-Aspartyl-tRNA(Asp)	-8.883	-9.304	0.747	1104.213	-9.688	90.0
C02987	L-Glutamyl-tRNA(Glu)	-8.468	8.484	0.989	712.143	-9.46	90.0
C02047	L-Leucyl-tRNA	-7.943	-9.447	0.353	944.043	-8.379	70.0
C03082	4-Phospho-L-aspartate	7.421	-8.491	0.476	531.161	-7.983	70.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	7.19	6.248	0.869	222.022	7.592	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	5.948	-10.22	0.052	1254.421	-6.021	50.0
C00864	Pantothenate	7.422	-6.895	0.694	290.507	-7.655	60.0
C01419	Cys-Gly	6.672	9.439	0.707	796.07	9.136	70.0
C03360	4-Nitrophenyl_phosphate	8.248	8.017	0.972	563.05	9.096	70.0
C01412	Butanal	10.781	11.88	0.907	5528.65	12.293	90.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	7.109	7.146	0.995	279.677	8.12	70.0
