compound_code	compound_name	bacteroides_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C02730	2-Succinylbenzoate	2.585	10.572	0.245	1528.261	8.546	80.0
C05335	L-Selenomethionine	-1.585	11.107	0.001	2208.668	-1.587	50.0
C00149	(S)-Malate	-5.184	8.873	0.078	505.209	-5.292	90.0
C02430	L-Methionyl-tRNA	-4.459	-10.006	0.021	1050.261	-4.49	80.0
C14818	Fe2+	2.807	8.047	0.349	271.476	6.565	70.0
C00438	N-Carbamoyl-L-aspartate	1.737	-7.83	0.015	230.877	-1.758	50.0
C06126	Digalactosylceramide	1.0	12.826	0.078	7263.239	9.145	80.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-3.907	-8.798	0.034	460.106	-3.955	70.0
C01185	Nicotinate_D-ribonucleotide	-4.273	10.495	0.013	1462.478	-4.292	80.0
C05796	Galactan	3.585	11.492	0.312	2892.294	9.817	90.0
C00794	D-Sorbitol	-1.0	-10.951	0.001	1981.609	-1.001	60.0
C00227	Acetyl_phosphate	-0.469	-10.299	0.001	1261.202	-0.471	60.0
C01236	D-Glucono-1,5-lactone_6-phosphate	-2.0	10.603	0.003	1559.325	-2.004	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	1.0	12.826	0.078	7263.239	9.145	80.0
C00385	Xanthine	3.663	-8.499	0.035	374.455	-3.713	70.0
C05223	Dodecanoyl-[acyl-carrier_protein]	5.869	9.224	0.636	656.444	8.706	80.0
C00229	Acyl-carrier_protein	6.651	11.478	0.579	2952.974	10.741	90.0
C00288	HCO3-	-2.585	11.494	0.002	2890.289	-2.588	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.459	-12.479	0.008	5752.898	-5.47	90.0
C01801	Deoxyribose	1.0	12.427	0.08	5508.806	8.792	80.0
C00364	dTMP	-1.485	-9.298	0.004	632.272	-1.491	50.0
C00365	dUMP	-1.939	-8.358	0.012	331.936	-1.956	50.0
C00362	dGMP	-2.481	9.635	0.007	800.687	-2.491	50.0
C00363	dTDP	5.087	10.966	0.464	2034.288	9.882	90.0
C00008	ADP	-3.624	-11.492	0.004	2892.622	-3.63	70.0
C00006	NADP+	2.585	11.677	0.221	3280.366	9.504	90.0
C00005	NADPH	-3.585	-12.038	0.003	4217.321	-3.589	70.0
C00003	NAD+	0.737	6.333	0.116	82.283	3.259	60.0
C00002	ATP	7.597	-10.255	0.158	1415.585	-7.809	90.0
C00369	Starch	3.737	10.336	0.362	1305.88	8.883	80.0
C05703	Methaneselenol	-3.644	-12.033	0.003	4203.272	-3.648	70.0
C16619	6-Thioguanosine_monophosphate	-4.907	-10.913	0.016	1958.15	-4.929	80.0
C16618	6-Thioxanthine_5'-monophosphate	-3.0	10.428	0.006	1385.656	-3.008	60.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-5.129	-10.655	0.022	1647.4	-5.16	80.0
C16614	6-Methylmercaptopurine	5.129	10.655	0.481	1647.4	9.631	90.0
C00099	beta-Alanine	0.585	7.765	0.075	219.019	4.044	60.0
C01931	L-Lysyl-tRNA	-5.087	-11.373	0.013	2686.237	-5.105	80.0
C01528	Hydrogen_selenide	-3.544	-11.785	0.003	3540.557	-3.549	70.0
C00091	Succinyl-CoA	4.06	-12.148	0.004	4555.18	-4.065	80.0
C00092	D-Glucose_6-phosphate	-5.214	-11.236	0.015	2449.093	-5.236	90.0
C00093	sn-Glycerol_3-phosphate	4.644	9.286	0.5	649.261	8.343	80.0
C00095	D-Fructose	0.585	10.51	0.056	1459.727	6.344	70.0
C00096	GDP-mannose	3.935	11.632	0.338	3189.105	10.075	90.0
C00097	L-Cysteine	-2.97	-9.279	0.013	629.072	-2.988	60.0
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-2.585	-10.526	0.004	1480.49	-2.591	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	3.7	-10.804	0.007	1800.834	-3.71	70.0
C06196	2'-Deoxyinosine_5'-phosphate	-4.322	-11.008	0.01	2079.389	-4.336	80.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-3.322	10.535	0.007	1493.717	-3.332	60.0
C00870	4-Nitrophenol	-4.087	-8.798	0.038	462.099	-4.141	80.0
C02988	L-Histidyl-tRNA(His)	-2.322	-10.085	0.005	1091.144	-2.329	50.0
C00163	Propanoate	4.0	11.048	0.362	2133.285	9.593	90.0
C02984	L-Aspartyl-tRNA(Asp)	-5.755	-11.787	0.015	3587.793	-5.777	90.0
C02987	L-Glutamyl-tRNA(Glu)	-3.644	-10.824	0.007	1825.296	-3.654	70.0
C00169	Carbamoyl_phosphate	-4.387	-10.586	0.014	1558.028	-4.407	80.0
C02047	L-Leucyl-tRNA	-5.7	-10.92	0.027	1989.51	-5.738	90.0
C03082	4-Phospho-L-aspartate	2.04	5.271	0.387	42.725	4.048	60.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.044	-11.766	0.009	3515.714	-5.058	80.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.17	9.317	0.662	709.821	8.877	80.0
C00864	Pantothenate	-1.0	9.405	0.003	679.934	-1.004	60.0
C01419	Cys-Gly	5.087	8.992	0.566	543.158	8.263	80.0
C03360	4-Nitrophenyl_phosphate	4.087	8.798	0.465	462.099	7.746	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-7.17	-10.778	0.082	1899.914	-7.284	90.0
C03406	N-(L-Arginino)succinate	4.17	7.615	0.548	214.04	6.873	70.0
C07648	Thioguanine	5.129	10.655	0.481	1647.4	9.631	90.0
C01962	Thiocysteine	-2.807	-9.879	0.007	948.618	-2.818	60.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-2.807	9.526	0.009	744.243	-2.821	60.0
C00695	Cholic_acid	-2.807	-10.208	0.006	1189.806	-2.816	60.0
C00269	CDP-diacylglycerol	-4.81	-5.392	0.668	70.042	-5.548	90.0
C16219	3-Oxostearoyl-[acp]	-5.755	11.41	0.02	2775.153	-5.783	90.0
C00263	L-Homoserine	0.115	-6.054	0.016	67.524	-0.138	60.0
C00262	Hypoxanthine	-3.222	-9.746	0.011	868.025	-3.238	60.0
C00508	L-Ribulose	-4.322	-9.951	0.02	1009.806	-4.351	80.0
C16216	3-Oxostearoyl-CoA	5.459	12.479	0.437	5752.898	11.297	90.0
C00267	alpha-D-Glucose	2.243	5.49	0.409	49.676	4.343	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.0	-9.668	0.01	821.501	-3.014	60.0
C00460	dUTP	-4.248	9.719	0.023	861.774	-4.28	80.0
C00286	dGTP	-2.443	-12.324	0.001	5132.796	-2.445	50.0
C00283	Hydrogen_sulfide	4.0	11.427	0.35	2769.403	9.921	90.0
C00407	L-Isoleucine	2.926	-8.343	0.023	332.308	-2.959	60.0
C00327	L-Citrulline	1.585	8.873	0.179	471.856	6.397	70.0
C05427	Phytyl_diphosphate	1.0	10.098	0.099	1097.976	6.765	70.0
