compound_code	compound_name	lactobacillus_630_score	escherichia_630_score	ratio	magnitude	interaction_score	percentile
C06188	Salicin_6-phosphate	13.655	2.0	0.146	12903.254	10.884	90.0
C00024	Acetyl-CoA	-12.271	1.677	0.001	4945.611	-1.678	60.0
C00122	Fumarate	-9.087	0.93	0.004	545.731	-0.935	50.0
C00035	GDP	-11.007	-0.322	0.0	0.0	0.0	60.0
C00993	D-Alanyl-D-alanine	-12.646	4.907	0.005	6439.52	-4.914	70.0
C00022	Pyruvate	-9.913	-2.353	0.0	0.0	0.0	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	10.018	4.907	0.49	1066.858	9.029	90.0
C01172	beta-D-Glucose_6-phosphate	-10.345	-1.0	0.0	0.0	0.0	60.0
C01228	Guanosine_3',5'-bis(diphosphate)	-9.255	1.0	0.003	612.988	-1.005	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	8.644	-4.907	0.075	430.042	-5.011	80.0
C00149	(S)-Malate	8.873	-5.588	0.103	516.957	-5.729	90.0
C02047	L-Leucyl-tRNA	-10.92	-1.585	0.0	0.0	0.0	60.0
C00011	CO2	-7.892	4.624	0.104	262.194	-4.766	70.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-11.687	4.907	0.009	3327.144	-4.92	80.0
C00049	L-Aspartate	7.221	-0.203	0.008	150.34	-0.214	50.0
C00123	L-Leucine	-8.508	0.415	0.004	365.385	-0.42	50.0
C00197	3-Phospho-D-glycerate	-10.639	-2.115	0.0	0.0	0.0	60.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	8.644	-4.907	0.075	430.042	-5.011	80.0
