compound_code	compound_name	cd630_cefoperazone_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C00149	(S)-Malate	1.222	8.873	0.138	471.188	6.02	60.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	5.129	12.974	0.395	8080.681	11.641	90.0
C02430	L-Methionyl-tRNA	-5.129	-10.006	0.034	1063.261	-5.177	60.0
C14818	Fe2+	7.794	8.047	0.969	486.413	8.88	70.0
C00438	N-Carbamoyl-L-aspartate	-4.358	-7.83	0.09	248.05	-4.482	50.0
C00469	Ethanol	9.569	13.176	0.726	10014.439	12.828	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	3.0	-11.687	0.002	3305.141	-3.003	50.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	5.833	-8.798	0.128	502.109	-6.007	70.0
C01185	Nicotinate_D-ribonucleotide	5.7	10.495	0.543	1495.129	9.665	80.0
C15812	[Enzyme]-S-sulfanylcysteine	-6.644	-10.341	0.077	1397.043	-6.751	80.0
C15811	[Enzyme]-cysteine	7.17	11.271	0.636	2615.214	10.7	90.0
C00794	D-Sorbitol	5.385	-10.951	0.021	2021.397	-5.415	60.0
C00227	Acetyl_phosphate	2.041	-10.299	0.003	1263.934	-2.046	60.0
C00226	Primary_alcohol	9.569	13.176	0.726	10014.439	12.828	90.0
C00221	beta-D-Glucose	4.858	-11.81	0.008	3619.577	-4.87	50.0
C00385	Xanthine	-5.245	-8.499	0.105	399.711	-5.389	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	6.755	9.224	0.732	706.008	9.014	80.0
C00229	Acyl-carrier_protein	6.943	11.478	0.605	2975.519	10.814	90.0
C02291	L-Cystathionine	4.322	9.879	0.437	961.62	8.717	70.0
C00364	dTMP	-5.585	-9.298	0.076	677.474	-5.691	60.0
C00365	dUMP	4.242	-8.358	0.058	347.024	-4.323	50.0
C00363	dTDP	-4.0	10.966	0.008	2016.299	-4.011	50.0
C00009	Orthophosphate	-6.129	-9.997	0.068	1091.859	-6.225	70.0
C00008	ADP	-7.557	-11.492	0.065	3068.608	-7.648	90.0
C00006	NADP+	-5.322	11.677	0.012	3314.368	-5.34	60.0
C00003	NAD+	-0.415	6.333	0.017	81.95	-0.439	60.0
C00002	ATP	-2.639	-10.255	0.005	1228.205	-2.646	50.0
C00369	Starch	4.409	10.336	0.427	1313.79	9.13	80.0
C05703	Methaneselenol	-8.416	-12.033	0.082	4532.332	-8.529	90.0
C00376	Retinal	-5.129	-12.974	0.004	8080.681	-5.135	50.0
C16619	6-Thioguanosine_monophosphate	-6.615	-10.913	0.051	2026.168	-6.687	80.0
C16618	6-Thioxanthine_5'-monophosphate	-5.954	10.428	0.045	1439.648	-6.017	70.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-6.229	-10.655	0.047	1687.416	-6.295	70.0
C16614	6-Methylmercaptopurine	6.229	10.655	0.585	1687.416	9.946	80.0
C00645	N-Acetyl-D-mannosamine	-5.011	-10.577	0.021	1559.791	-5.041	50.0
C00644	D-Mannitol_1-phosphate	7.845	-6.492	0.391	319.931	-6.969	80.0
C00641	1,2-Diacyl-sn-glycerol	-2.536	9.984	0.006	1018.506	-2.544	50.0
C01931	L-Lysyl-tRNA	-7.615	-11.373	0.074	2848.287	-7.718	90.0
C01528	Hydrogen_selenide	-9.412	-11.785	0.193	4210.124	-9.667	90.0
C00091	Succinyl-CoA	5.625	-12.148	0.011	4587.851	-5.641	60.0
C00092	D-Glucose_6-phosphate	-7.534	-11.236	0.077	2597.312	-7.641	90.0
C00093	sn-Glycerol_3-phosphate	6.131	9.286	0.66	694.342	8.841	70.0
C00095	D-Fructose	-4.858	10.51	0.02	1487.228	-4.886	50.0
C00097	L-Cysteine	5.269	-9.279	0.062	659.796	-5.356	60.0
C14099	2-Naphthaldehyde	-9.569	-13.176	0.082	10014.439	-9.683	90.0
C14090	1-Naphthaldehyde	-9.569	-13.176	0.082	10014.439	-9.683	90.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	5.129	-10.804	0.02	1822.831	-5.157	60.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-6.331	10.535	0.054	1564.221	-6.407	70.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	3.322	9.253	0.359	620.142	7.799	70.0
C11949	3-Isopropylbut-3-enoyl-CoA	-3.322	-9.253	0.016	620.142	-3.345	50.0
C07118	Benzoyl_acetyl-CoA	3.322	9.253	0.359	620.142	7.799	70.0
C02988	L-Histidyl-tRNA(His)	-6.17	-10.085	0.066	1158.148	-6.263	70.0
C00180	Benzoate	-5.492	-8.301	0.143	360.396	-5.684	60.0
C00163	Propanoate	8.19	11.048	0.741	2409.321	10.803	90.0
C02984	L-Aspartyl-tRNA(Asp)	-6.87	-11.787	0.033	3650.759	-6.917	80.0
C02987	L-Glutamyl-tRNA(Glu)	-6.044	-10.824	0.036	1878.777	-6.096	70.0
C00169	Carbamoyl_phosphate	-5.544	-10.586	0.03	1583.761	-5.587	60.0
C02047	L-Leucyl-tRNA	-6.476	-10.92	0.046	2026.543	-6.541	70.0
C03082	4-Phospho-L-aspartate	4.548	5.271	0.863	62.006	5.741	60.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.322	-11.766	0.011	3522.725	-5.338	60.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	5.755	9.317	0.618	691.822	8.739	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-7.183	6.12	0.479	214.862	-6.684	80.0
C00864	Pantothenate	6.15	9.405	0.654	748.946	8.936	70.0
C01419	Cys-Gly	7.397	8.992	0.823	677.715	9.123	80.0
C01144	(S)-3-Hydroxybutanoyl-CoA	6.957	-8.669	0.305	531.274	-7.341	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-6.459	-10.778	0.05	1843.88	-6.53	70.0
C03406	N-(L-Arginino)succinate	-4.807	7.615	0.143	224.033	-5.0	50.0
C05512	Deoxyinosine	5.634	9.295	0.606	677.825	8.682	70.0
C07645	Aldophosphamide	5.129	12.974	0.395	8080.681	11.641	90.0
C07648	Thioguanine	6.229	10.655	0.585	1687.416	9.946	80.0
C01962	Thiocysteine	-4.322	-9.879	0.021	961.62	-4.352	50.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-5.209	9.526	0.05	774.233	-5.28	60.0
C00269	CDP-diacylglycerol	-4.285	-5.392	0.464	61.485	-4.835	50.0
C16219	3-Oxostearoyl-[acp]	-6.883	11.41	0.043	2839.178	-6.944	80.0
C00263	L-Homoserine	-0.415	-6.054	0.02	67.774	-0.444	60.0
C00262	Hypoxanthine	-4.841	-9.746	0.033	887.354	-4.888	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-7.435	-12.479	0.03	5881.956	-7.478	90.0
C16216	3-Oxostearoyl-CoA	7.435	12.479	0.596	5881.956	11.775	90.0
C00267	alpha-D-Glucose	4.365	5.49	0.795	65.548	5.704	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-4.807	-9.668	0.034	841.494	-4.856	50.0
C00460	dUTP	4.858	9.719	0.5	871.773	8.767	70.0
C00286	dGTP	-7.725	-12.324	0.041	5338.93	-7.783	90.0
C00283	Hydrogen_sulfide	1.652	11.427	0.145	2756.546	8.638	70.0
C00288	HCO3-	7.984	11.494	0.695	3137.466	11.09	90.0
C04051	5-Amino-4-imidazolecarboxyamide	-6.022	-11.629	0.021	3232.2	-6.051	70.0
C01209	Malonyl-[acyl-carrier_protein]	6.151	-9.032	0.136	594.545	-6.335	70.0
C00217	D-Glutamate	4.346	9.207	0.472	611.331	8.173	70.0
C00212	Adenosine	6.879	9.666	0.712	930.076	9.37	80.0
C00036	Oxaloacetate	4.102	7.805	0.526	240.807	6.984	60.0
C00037	Glycine	-5.082	10.839	0.018	1865.613	-5.108	50.0
C00035	GDP	-5.984	-11.007	0.031	2121.255	-6.028	70.0
C00033	Acetate	7.99	11.597	0.689	3351.971	11.173	90.0
C00031	D-Glucose	2.433	-10.854	0.003	1856.286	-2.437	60.0
C00136	Butanoyl-CoA	-5.247	-13.51	0.003	11703.795	-5.252	60.0
C00135	L-Histidine	5.977	9.086	0.658	606.436	8.64	70.0
C00134	Putrescine	3.298	-9.504	0.014	735.923	-3.317	50.0
C00133	D-Alanine	-5.399	12.645	0.007	6447.271	-5.408	60.0
C00131	dATP	5.147	11.019	0.467	2110.583	9.945	80.0
C00130	IMP	4.977	-9.184	0.054	613.141	-5.053	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-5.185	-6.79	0.329	147.039	-5.595	60.0
C00041	L-Alanine	4.443	-9.567	0.029	780.248	-4.484	50.0
C00040	Acyl-CoA	6.259	10.056	0.622	1141.115	9.472	80.0
C00047	L-Lysine	5.663	9.951	0.569	1040.473	9.21	80.0
C00046	RNA	-6.828	-10.917	0.059	2047.116	-6.91	80.0
C00044	GTP	-7.605	-11.195	0.083	2539.08	-7.72	90.0
C00049	L-Aspartate	-4.675	7.221	0.171	174.735	-4.903	50.0
C06481	L-Seryl-tRNA(Sec)	-7.087	-11.053	0.064	2260.592	-7.176	90.0
