compound_code	compound_name	bacteroides_630_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	2.02	-0.759	0.417	5.748	-1.262	50.0
C00024	Acetyl-CoA	1.987	5.752	0.345	57.856	4.321	80.0
C00148	L-Proline	1.0	-3.907	0.133	17.001	-1.181	50.0
C00026	2-Oxoglutarate	-2.228	3.641	0.376	17.16	-2.688	70.0
C06481	L-Seryl-tRNA(Sec)	-4.0	-4.0	0.0	0.0	0.0	50.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	5.129	4.585	0.894	58.994	5.721	90.0
C00022	Pyruvate	-3.756	-1.052	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	1.834	3.045	0.602	11.819	2.832	70.0
C00029	UDP-glucose	-5.152	4.35	0.574	55.948	-5.004	90.0
C00144	GMP	-4.232	-3.74	0.0	0.0	0.0	50.0
C01100	L-Histidinol_phosphate	-4.667	2.322	0.197	30.405	-2.581	70.0
C05528	3-Sulfopyruvate	-5.392	-5.883	0.0	0.0	0.0	50.0
C00944	3-Dehydroquinate	2.322	-3.7	0.385	17.996	-2.792	70.0
C03082	4-Phospho-L-aspartate	2.04	-4.018	0.254	20.313	-2.366	70.0
C05402	Melibiose	0.585	-0.737	0.9	3.167	-1.511	60.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	1.0	-1.585	0.667	5.0	-1.737	60.0
C00020	AMP	-3.585	0.222	0.097	13.167	-0.356	50.0
C06311	Galactitol_1-phosphate	-4.807	-4.565	0.0	0.0	0.0	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-1.181	2.322	0.453	7.268	-1.72	60.0
C05684	Selenite	3.907	8.986	0.435	522.057	7.826	90.0
C00099	beta-Alanine	0.585	1.322	0.443	4.0	0.824	70.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.663	2.524	0.948	12.085	3.518	80.0
C05726	S-Substituted_L-cysteine	-5.087	-4.248	0.0	0.0	0.0	50.0
C00705	dCDP	-2.7	3.17	0.722	15.498	-3.484	80.0
C01346	dUDP	1.807	-4.459	0.159	25.493	-2.02	60.0
C01185	Nicotinate_D-ribonucleotide	-4.273	-3.0	0.0	0.0	0.0	50.0
C02637	3-Dehydroshikimate	-3.273	3.544	0.829	21.331	-4.144	90.0
C01613	Stachyose	0.585	0.737	0.794	3.167	1.33	70.0
C18902	Methylselenic_acid	3.907	8.986	0.435	522.057	7.826	90.0
C00010	CoA	-1.0	4.459	0.091	23.993	-1.126	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.807	-6.409	0.0	0.0	0.0	50.0
C00014	Ammonia	-2.098	5.802	0.077	60.074	-2.205	60.0
C00015	UDP	-4.066	3.0	0.478	24.749	-3.563	80.0
C00493	Shikimate	-0.341	0.341	1.0	2.533	-1.341	60.0
C00155	L-Homocysteine	4.053	-2.17	0.271	21.099	-2.516	70.0
C00794	D-Sorbitol	-1.0	4.954	0.065	32.996	-1.09	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.0	5.459	0.733	59.987	5.458	90.0
C00091	Succinyl-CoA	4.06	-0.263	0.072	17.879	-0.363	50.0
C01134	Pantetheine_4'-phosphate	-2.415	5.392	0.127	47.324	-2.587	70.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-2.0	6.022	0.062	68.983	-2.086	60.0
C00760	Cellulose	6.687	-2.807	0.068	110.034	-2.902	70.0
C05345	beta-D-Fructose_6-phosphate	4.314	-5.626	0.403	69.275	-4.802	90.0
C01233	sn-Glycero-3-phosphoethanolamine	2.322	2.322	1.0	10.0	3.322	80.0
C02336	beta-D-Fructose	2.585	2.536	0.981	11.8	3.533	80.0
C05382	Sedoheptulose_7-phosphate	-1.503	6.005	0.044	67.057	-1.565	60.0
C00385	Xanthine	3.663	3.024	0.826	20.801	4.102	80.0
